,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ARHGAP5,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0,0,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0.967845831767674,0
REST,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786
ROCK2,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578
PCNX,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786
LATS1,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0.934242310376295,0
BPTF,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0.96838262923399,0
RANBP2,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786
ARFGEF2,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155,0.992109077245155
PPM1A,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836,0.979333297546836
MAP3K2,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0,0.922701164850502,0.922701164850502,0.922701164850502,0,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502,0.922701164850502
