,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MUC13,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.797777539188319,0,0,0,0.797777539188319,0,0,0,0,0.797777539188319,0,0,0,0,0
HNF4A,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.990015031135924,0,0,0,0.990015031135924,0,0,0,0,0.990015031135924,0,0,0,0,0
IMPA1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.849903371269057,0,0,0,0.849903371269057,0,0,0,0,0.849903371269057,0,0,0,0,0
HNF1A,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.999838952115096,0,0,0,0.999838952115096,0,0,0,0,0.999838952115096,0,0,0,0,0
TRIM10,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.924307494094911,0,0,0,0.924307494094911,0,0,0,0,0.924307494094911,0,0,0,0,0
AP1AR,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.733143654713335,0,0,0,0.733143654713335,0,0,0,0,0.733143654713335,0,0,0,0,0
TM9SF3,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.721226111230406,0,0,0,0.721226111230406,0,0,0,0,0.721226111230406,0,0,0,0,0
PLEKHA6,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.869497530599098,0,0,0,0.869497530599098,0,0,0,0,0.869497530599098,0,0,0,0,0
MTMR11,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.792355593729869,0,0,0,0.792355593729869,0,0,0,0,0.792355593729869,0,0,0,0,0
GPR35,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.85940519647842,0,0,0,0.85940519647842,0,0,0,0,0.85940519647842,0,0,0,0,0
PTPRH,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.873523727721709,0,0,0,0.873523727721709,0,0,0,0,0.873523727721709,0,0,0,0,0
ARHGAP12,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.930534678977883,0,0,0,0.930534678977883,0,0,0,0,0.930534678977883,0,0,0,0,0
NFXL1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.70941593300408,0,0,0,0.70941593300408,0,0,0,0,0.70941593300408,0,0,0,0,0
EPT1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.746510629160404,0,0,0,0.746510629160404,0,0,0,0,0.746510629160404,0,0,0,0,0
TPD52,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.740283444277432,0,0,0,0.740283444277432,0,0,0,0,0.740283444277432,0,0,0,0,0
SLC35A3,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.670012883830792,0,0,0,0.670012883830792,0,0,0,0,0.670012883830792,0,0,0,0,0
C2orf72,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.87100064419154,0,0,0,0.87100064419154,0,0,0,0,0.87100064419154,0,0,0,0,0
PLS1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.678172643332618,0,0,0,0.678172643332618,0,0,0,0,0.678172643332618,0,0,0,0,0
EML4,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.905572256817694,0,0,0,0.905572256817694,0,0,0,0,0.905572256817694,0,0,0,0,0
RBM47,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.835301696371054,0,0,0,0.835301696371054,0,0,0,0,0.835301696371054,0,0,0,0,0
PRELID2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.909115310285592,0,0,0,0.909115310285592,0,0,0,0,0.909115310285592,0,0,0,0,0
LARP1B,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.794663946746833,0,0,0,0.794663946746833,0,0,0,0,0.794663946746833,0,0,0,0,0
ANKS4B,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.767822632596092,0,0,0,0.767822632596092,0,0,0,0,0.767822632596092,0,0,0,0,0
ATP8B1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.938533390594804,0,0,0,0.938533390594804,0,0,0,0,0.938533390594804,0,0,0,0,0
ACBD5,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.624865793429246,0,0,0,0.624865793429246,0,0,0,0,0.624865793429246,0,0,0,0,0
KLF3,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.757837663732016,0,0,0,0.757837663732016,0,0,0,0,0.757837663732016,0,0,0,0,0
TMEM45B,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.869497530599098,0,0,0,0.869497530599098,0,0,0,0,0.869497530599098,0,0,0,0,0
AGMAT,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.739531887481211,0,0,0,0.739531887481211,0,0,0,0,0.739531887481211,0,0,0,0,0
CALML4,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.852694867940734,0,0,0,0.852694867940734,0,0,0,0,0.852694867940734,0,0,0,0,0
VDAC1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.932091475198626,0,0,0,0.932091475198626,0,0,0,0,0.932091475198626,0,0,0,0,0
TRIM2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.736096199269916,0,0,0,0.736096199269916,0,0,0,0,0.736096199269916,0,0,0,0,0
VIL1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.867457590723642,0,0,0,0.867457590723642,0,0,0,0,0.867457590723642,0,0,0,0,0
IYD,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.478419583422804,0,0,0,0.478419583422804,0,0,0,0,0.478419583422804,0,0,0,0,0
LGR4,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.748818982177367,0,0,0,0.748818982177367,0,0,0,0,0.748818982177367,0,0,0,0,0
DNAJC22,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.887373845823492,0,0,0,0.887373845823492,0,0,0,0,0.887373845823492,0,0,0,0,0
SH3BGRL2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.91920764440627,0,0,0,0.91920764440627,0,0,0,0,0.91920764440627,0,0,0,0,0
NIPAL2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0.860425166416148,0,0,0,0.860425166416148,0,0,0,0,0.860425166416148,0,0,0,0,0
