,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CHST14,0,0.996618175962209,0,0.996618175962209,0.996618175962209,0,0,0.996618175962209,0,0,0.996618175962209,0,0.996618175962209,0.996618175962209,0.996618175962209,0.996618175962209,0,0,0.996618175962209,0,0,0.996618175962209,0.996618175962209,0.996618175962209,0.996618175962209,0.996618175962209,0,0.996618175962209,0.996618175962209
LTBP1,0.99865800633421,0,0,0,0,0,0,0,0,0,0,0.99865800633421,0.99865800633421,0.99865800633421,0.99865800633421,0,0.99865800633421,0.99865800633421,0.99865800633421,0,0.99865800633421,0,0.99865800633421,0,0.99865800633421,0.99865800633421,0,0,0.99865800633421
LIPE,0,0,0,0.997154973428525,0,0.997154973428525,0,0,0,0.997154973428525,0,0,0.997154973428525,0.997154973428525,0.997154973428525,0,0,0,0.997154973428525,0,0.997154973428525,0.997154973428525,0,0.997154973428525,0,0.997154973428525,0.997154973428525,0,0.997154973428525
MEGF8,0.997852810134736,0.997852810134736,0,0.997852810134736,0,0.997852810134736,0,0,0.997852810134736,0,0.997852810134736,0,0.997852810134736,0.997852810134736,0.997852810134736,0,0,0,0.997852810134736,0,0,0.997852810134736,0,0,0,0.997852810134736,0,0,0.997852810134736
LOC100131691,0.998282248107789,0,0,0.998282248107789,0.998282248107789,0,0,0.998282248107789,0.998282248107789,0,0.998282248107789,0,0.998282248107789,0.998282248107789,0.998282248107789,0.998282248107789,0,0,0.998282248107789,0,0,0,0,0,0,0.998282248107789,0,0,0.998282248107789
ZNF446,0,0,0,0.998067529121263,0.998067529121263,0.998067529121263,0,0.998067529121263,0.998067529121263,0,0.998067529121263,0,0.998067529121263,0.998067529121263,0.998067529121263,0,0,0,0.998067529121263,0,0,0,0.998067529121263,0.998067529121263,0,0.998067529121263,0,0,0.998067529121263
SOX8,0,0,0.998067529121263,0,0,0,0.998067529121263,0,0.998067529121263,0,0,0,0.998067529121263,0.998067529121263,0.998067529121263,0,0,0.998067529121263,0.998067529121263,0.998067529121263,0,0.998067529121263,0,0.998067529121263,0,0.998067529121263,0,0,0.998067529121263
POMT2,0.997584411401578,0,0,0,0,0,0,0,0.997584411401578,0.997584411401578,0.997584411401578,0,0.997584411401578,0.997584411401578,0.997584411401578,0.997584411401578,0,0,0.997584411401578,0,0,0.997584411401578,0,0,0,0.997584411401578,0,0,0.997584411401578
COL23A1,0.999624241773579,0,0.999624241773579,0,0,0,0,0,0,0,0,0,0.999624241773579,0.999624241773579,0.999624241773579,0,0,0,0.999624241773579,0,0.999624241773579,0,0.999624241773579,0,0,0.999624241773579,0,0,0.999624241773579
SRRT,0.995759300016104,0,0,0,0,0,0.995759300016104,0.995759300016104,0,0,0.995759300016104,0,0.995759300016104,0.995759300016104,0.995759300016104,0,0,0,0.995759300016104,0,0,0,0,0,0,0.995759300016104,0.995759300016104,0,0.995759300016104
TMEM145,0,0,0,0.997101293681894,0,0,0.997101293681894,0,0.997101293681894,0,0.997101293681894,0,0.997101293681894,0.997101293681894,0.997101293681894,0,0,0.997101293681894,0.997101293681894,0,0,0,0,0.997101293681894,0,0.997101293681894,0,0,0.997101293681894
