,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PRPF3,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0.971979172258307,0,0.971979172258307,0,0.971979172258307,0.971979172258307
ZNF692,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0.940683879972087,0,0.940683879972087,0.940683879972087
USP21,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0.987922057007891,0,0.987922057007891,0,0.987922057007891,0.987922057007891
DMTF1,0,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0,0.982929840571153,0.982929840571153
NKTR,0.957807719147566,0.957807719147566,0.957807719147566,0,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0.957807719147566,0,0.957807719147566,0.957807719147566
LUC7L3,0.969026786193569,0.969026786193569,0.969026786193569,0,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0.969026786193569,0,0.969026786193569,0.969026786193569
PAN2,0.950936711578721,0.950936711578721,0.950936711578721,0,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0.950936711578721,0,0,0.950936711578721,0.950936711578721,0.950936711578721,0,0.950936711578721,0.950936711578721
ACIN1,0,0.947930645767352,0.947930645767352,0,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0.947930645767352,0,0.947930645767352,0.947930645767352
RCOR3,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735,0.993773149390735
TRIM52,0,0.972784368457781,0.972784368457781,0,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0.972784368457781,0,0.972784368457781,0.972784368457781,0.972784368457781,0,0.972784368457781,0.972784368457781
