,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SF3B1,0,0.92065707537041,0.922267554219455,0.944599527592871,0.934936654498604,0.906914322525231,0.914107794717629,0.923878033068499,0,0.927206356023191,0.940680695726863,0.939875456302341,0.943740605540047,0,0.91088683701954,1,0,0.920120249087395,1,0.942291174575907,0,0.943096414000429,0.920496027485506,0.920442344857204,0.89274210865364,0.892634743397037,0.945565814902298,0.876368907021688,0
SHPRH,0,0.926132703457161,0.959093837234271,0.9347756066137,0.864612411423663,0.927313721279794,0.887856989478205,0.810983465750483,0,0.932145157826927,0.845340347863431,0.986686708181233,0.875563667597166,0,0.964032639038007,1,0,0.964623147949324,1,0.90433755636676,0,0.859458879106721,0.922321236847756,0.931339918402405,0.992108653639682,0.965965213656861,0.951954047670174,0.937567103285377,0
SMG1,0,0.925703242430749,0.958664376207859,0.885924414859351,0.864988189821774,0.929138930642044,0.885441271204638,0.810983465750483,0,0.931984109942023,0.84673609619927,0.976594374060554,0.877120463817909,0,0.963603178011595,1,0,0.964086321666309,1,0.716072578913464,0,0.86085462744256,0.921999141077947,0.930964140004295,0.968703027700236,0.96558943525875,0.952061412926777,0.936869229117458,0
GMCL1,0,0.935097702383509,0.968864075585141,0.897305132059266,0.880019325746189,0.979869014386944,0.895426240068714,0.810983465750483,0,0.941646983036289,0.889467468327249,0.984861498818982,0.921623362679837,0,0.971709254885119,1,0,0.973373416362465,1,0.716072578913464,0,0.90433755636676,0.93042731372128,0.939768091045738,0.974124973158686,0.975467038866223,0.965482070002147,0.943203779257032,0
BPTF,0,0.98947820485291,0.983036289456732,0.981640541120893,0.977453296113378,0.643815761219669,0.991464462100064,0.966233626798368,0,0.983143654713335,0.962368477560661,0.889789564097058,0.950987760360747,0,0.988458234915181,1,0,0.985183594588791,1,0.96521365686064,0,0.960006441915396,0.989692935366116,0.989424522224608,0.979976379643547,0.98878033068499,0.967790423019111,0.992538114666094,0
RLF,0,0.804273137212798,0.851245436976594,0.811520292033498,0.842817264333262,0.967253596736096,0.632649774532961,0.810983465750483,0,0.8623040584067,0.87534893708396,0.918992913893064,0.905679622074297,0,0.827249302125832,1,0,0.84673609619927,1,0.716072578913464,0,0.889467468327249,0.796972299763796,0.811896070431608,0.699806742538115,0.820914751986257,0.896446210006442,0.727399613485076,0
TPR,0,0.967844105647413,0.939338630019326,0.970152458664376,0.973749194760576,0.643815761219669,0.977023835086966,0.985076229332188,0,0.960811681339918,0.973963925273781,0.743343354090616,0.962583208073867,0,0.933111445136354,1,0,0.928655786987331,1,0.981425810607687,0,0.971548207000215,0.969132488726648,0.964945243719132,0.79493235988834,0.92645479922697,0.930588361606184,0.956570753704101,0
ATAD2B,0,0.96956194975306,0.941163839381576,0.971762937513421,0.975789134636032,0.643815761219669,0.979976379643547,0.98947820485291,0,0.962475842817264,0.97643332617565,0.744900150311359,0.96483787846253,0,0.935097702383509,1,0,0.930534678977883,1,0.984968864075585,0,0.973802877388877,0.970796650203994,0.966716770453081,0.796489156109083,0.928280008589221,0.932520936225038,0.958557010951256,0
MGA,0,0.999033712690573,0.995383293966073,0.999141077947176,0.999409491088684,0.643815761219669,0.999355808460382,0.999677904230191,0,0.998335838522654,0.999409491088684,0.832456517071076,0.998496886407559,0,0.994524371913249,1,0,0.993397036718918,1,0.999355808460382,0,0.999355808460382,0.999033712690573,0.998657934292463,0.860532531672751,0.992806527807601,0.994094910886837,0.997691646983036,0
PHF3,0,0.829826068284303,0.882864505046167,0.868799656431179,0.878194116383938,0.977238565600172,0.697391024264548,0.828806098346575,0,0.883455013957483,0.895909383723427,0.939821773674039,0.922643332617565,0,0.847272922482285,1,0,0.86412926776895,1,0.831704960274855,0,0.908578484002577,0.822793643976809,0.835355378999356,0.797777539188319,0.840455228687997,0.912121537470475,0.758481855271634,0
GTF3C3,0,0.937083959630663,0.968649345071935,0.938211294824995,0.872611123040584,0.954316083315439,0.913463603178012,0.810983465750483,0,0.940519647841958,0.865256602963281,0.989531887481211,0.895479922697015,0,0.97391024264548,1,0,0.974017607902083,1,0.914000429461026,0,0.879482499463174,0.932950397251449,0.941217522009878,0.995168563452867,0.97863431393601,0.960435902941808,0.964891561090831,0
ZBTB26,0,0.986740390809534,0.987545630234056,0.993719132488727,0.99092763581705,0.97428602104359,0.969991410779472,0.975413356237921,0,0.990390809534035,0.993235988834013,0.970313506549281,0.994309641400043,0,0.980674253811467,1,0,0.982660511058621,1,0.993235988834013,0,0.993719132488727,0.986364612411424,0.986364612411424,0.897788275713979,0.97643332617565,0.992162336267984,0.974232338415289,0
