,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ADNP,0,0.978419583422804,0.977399613485076,0.943096414000429,0.979815331758643,0.954155035430535,0,0.976379643547348,0,0,0,0.976916469830363,0.98512991196049,0,0.984485720420872,0.934399828215589,0,0.97680910457376,0.977077517715267,0,0.971494524371913,0,0.979922697015246,0.957912819411638,0.982499463173717,0,0,0.970742967575693,0
RBBP5,0,0.935956624436332,0.866759716555723,0.706839166845609,0.905357526304488,0.767232123684776,0,0.928118960704316,0,0,0,0.821827356667382,0.963978956409706,0,0.94889413785699,0.721226111230406,0,0.780223319733734,0.978741679192613,0,0.934936654498604,0,0.873470045093408,0.860210435902942,0.895855701095126,0,0,0.956731801589006,0
CDC73,0,0.972192398539833,0.930266265836375,0.757300837449001,0.961616920764441,0.917597165557226,0,0.966931500966287,0,0,0,0.898056688855486,0.985237277217093,0,0.977077517715267,0.781135924414859,0,0.856237921408632,0.994094910886837,0,0.984968864075585,0,0.91920764440627,0.961026411853124,0.930642044234486,0,0,0.984968864075585,0
ASH1L,0,0.954638179085248,0.894245222246081,0.726487008803951,0.936439768091046,0.846145587287954,0,0.956356023190895,0,0,0,0.849366544986042,0.980942666952974,0,0.969454584496457,0.723051320592656,0,0.811144513635388,0.992323384152888,0,0.967736740390809,0,0.896768305776251,0.906055400472407,0.918778183379858,0,0,0.970098776036075,0
ARID4B,0,0.634152888125403,0.65471333476487,0.707483358385227,0.641185312432897,0.539778827571398,0,0.613968219884045,0,0,0,0.599688640755851,0.719722997637964,0,0.75107365256603,0.580631307708825,0,0.550998496886408,0.79783122181662,0,0.733251019969938,0,0.52646553575263,0.703403478634314,0.552447927850548,0,0,0.77426454799227,0
DHX9,0,0.773888769594159,0.78585999570539,0.461133777109727,0.804326819841099,0.665503543053468,0,0.65653854412712,0,0,0,0.809534034786343,0.808889843246725,0,0.744041228258536,0.52426454799227,0,0.809534034786343,0.797401760790208,0,0.736310929783122,0,0.782907451148808,0.697874167919261,0.804326819841099,0,0,0.793429246295899,0
TP53BP2,0,0.880609834657505,0.896714623147949,0.492001288383079,0.902458664376208,0.796972299763796,0,0.777861284088469,0,0,0,0.915396177796865,0.900257676615847,0,0.841636246510629,0.610478849044449,0,0.916738243504402,0.899022976164913,0,0.818660081597595,0,0.900203993987546,0.773244578054541,0.913893064204423,0,0,0.876529954906592,0
GON4L,0,0.787899935580846,0.820485290959845,0.800676401116599,0.787255744041228,0.673985398325102,0,0.723588146875671,0,0,0,0.836375348937084,0.74817479063775,0,0.763528022331973,0.85795576551428,0,0.840079450289886,0.70834228043805,0,0.661316298045952,0,0.815063345501396,0.723480781619068,0.826229332188104,0,0,0.777485505690359,0
SMARCC1,0,0.923394889413786,0.941002791496672,0.951739317156968,0.936278720206141,0.932037792570324,0,0.90181447283659,0,0,0,0.931715696800515,0.918617135494954,0,0.947766802662658,0.953457161262615,0,0.920710757998712,0.926401116598669,0,0.94057333047026,0,0.904069143225252,0.947498389521151,0.91158471118746,0,0,0.946532102211724,0
UBAP2L,0,0.863646124114237,0.884152888125403,0.803951041442989,0.877227829074511,0.77861284088469,0,0.83406699592012,0,0,0,0.88624651062916,0.85253382005583,0,0.856560017178441,0.801750053682628,0,0.879858277861284,0.811251878891991,0,0.857365256602963,0,0.856291604036934,0.88442130126691,0.857096843461456,0,0,0.871644835731157,0
TOR1AIP2,0,0.661316298045952,0.703725574404123,0.764279579128194,0.699753059909813,0.777109727292248,0,0.652512347004509,0,0,0,0.719293536611552,0.625402619712261,0,0.661316298045952,0.848829718703028,0,0.73153317586429,0.611713549495383,0,0.637373845823492,0,0.70941593300408,0.66920764440627,0.713442130126691,0,0,0.615686063989693,0
GATAD2B,0,0.678226325960919,0.728473266051106,0.890541120893279,0.69964569465321,0.808299334335409,0,0.734378355164269,0,0,0,0.716126261541765,0.680212583208074,0,0.736901438694438,0.847541335623792,0,0.719776680266266,0.690627013098561,0,0.71811251878892,0,0.700021473051321,0.735827786128409,0.704584496456947,0,0,0.65906162765729,0
RBM12,0,0.888340133132918,0.780330684990337,0.667972943955336,0.847702383508697,0.720581919690788,0,0.90761219669315,0,0,0,0.732177367403908,0.918241357096844,0,0.893923126476272,0.736149881898218,0,0.707322310500322,0.952115095555078,0,0.895587287953618,0,0.824887266480567,0.824457805454155,0.835784840025768,0,0,0.89784195834228,0
HEATR1,0,0.787416791926133,0.616491303414215,0.415718273566674,0.691378569894782,0.513205926562164,0,0.795361820914752,0,0,0,0.555507837663732,0.851406484861499,0,0.780169637105433,0.395748335838523,0,0.508803951041443,0.916630878247799,0,0.798797509126047,0,0.64998926347434,0.658256388232768,0.67645479922697,0,0,0.836160618423878,0
TRIP12,0,0.729761649130341,0.754187245007516,0.814150740820271,0.742484432037793,0.747208503328323,0,0.785108438909169,0,0,0,0.765514279579128,0.727668026626584,0,0.750912604681125,0.808514064848615,0,0.797240712905304,0.699377281511703,0,0.700558299334335,0,0.792838737384582,0.712153747047455,0.783551642688426,0,0,0.652351299119605,0
POGZ,0,0.905894352587503,0.936386085462744,0.920549710113807,0.926669529740176,0.92607902082886,0,0.91738243504402,0,0,0,0.952276143439983,0.864021902512347,0,0.884260253382006,0.94057333047026,0,0.960221172428602,0.761380717199914,0,0.870946961563238,0,0.952007730298475,0.910027914966717,0.944975305990981,0,0,0.820377925703242,0
FBXO28,0,0.617887051750054,0.624973158685849,0.743074940949109,0.609619926991625,0.584442774318231,0,0.638501181017823,0,0,0,0.613592441485935,0.585194331114451,0,0.634528666523513,0.728526948679407,0,0.601406484861499,0.589059480352158,0,0.650955550783766,0,0.584496456946532,0.699430964140004,0.576121966931501,0,0,0.639789564097058,0
RAB3GAP2,0,0.593354090616277,0.600977023835087,0.498711616920764,0.605915825638823,0.664107794717629,0,0.572417865578699,0,0,0,0.608009448142581,0.604090616276573,0,0.575638823276788,0.442828000858922,0,0.595340347863431,0.685956624436332,0,0.677152673394889,0,0.566244363324028,0.651868155464892,0.56087610049388,0,0,0.625993128623577,0
TPR,0,0.55905089113163,0.579181876744685,0.666845608761005,0.54455658149023,0.371859566244363,0,0.564526519218381,0,0,0,0.513635387588576,0.646446210006442,0,0.689177582134421,0.577034571612626,0,0.43042731372128,0.716502039939875,0,0.591260468112519,0,0.418670818123255,0.574779901223964,0.4710113807172,0,0,0.686386085462744,0
BPTF,0,0.957483358385227,0.90508911316298,0.770345716126262,0.939714408417436,0.859244148593515,0,0.959308567747477,0,0,0,0.867779686493451,0.980352158041658,0,0.970581919690788,0.785376852050676,0,0.836375348937084,0.99167919261327,0,0.963656860639897,0,0.911477345930857,0.903156538544127,0.929568391668456,0,0,0.968703027700236,0
PUM1,0,0.800461670603393,0.748765299549066,0.757408202705604,0.768037363109298,0.613807171999141,0,0.779954906592227,0,0,0,0.693257461885334,0.855110586214301,0,0.859190465965214,0.688264977453296,0,0.655679622074297,0.890165342495169,0,0.82354520077303,0,0.685312432896715,0.773351943311145,0.717844105647413,0,0,0.875885763366974,0
ZMYM4,0,0.721065063345501,0.758374490015031,0.709040154605969,0.74602748550569,0.68622503757784,0,0.699806742538115,0,0,0,0.768949967790423,0.742967575692506,0,0.741732875241572,0.715804165771956,0,0.787577839811037,0.732284732660511,0,0.680212583208074,0,0.762347004509341,0.676293751342066,0.76701739317157,0,0,0.701900365041872,0
AFF4,0,0.694975305990981,0.64021902512347,0.589596306635173,0.673287524157183,0.577625080523942,0,0.682467253596736,0,0,0,0.581382864505046,0.783605325316728,0,0.77136568606399,0.533175864290316,0,0.531672750697874,0.867242860210436,0,0.778827571397896,0,0.573491518144728,0.69019755207215,0.605701095125617,0,0,0.807279364397681,0
MIB1,0,0.98298260682843,0.966609405196478,0.967092548851192,0.972031350654928,0.834603822203135,0,0.987599312862358,0,0,0,0.941808030921194,0.991571827356667,0,0.992967575692506,0.952974017607902,0,0.919529740176079,0.993343354090616,0,0.982445780545416,0,0.955819196907881,0.970581919690788,0.963066351728581,0,0,0.990605540047241,0
NUP133,0,0.591045737599313,0.59491088683702,0.500214730513206,0.605540047240713,0.59276358170496,0,0.554595232982607,0,0,0,0.595071934721924,0.609190465965214,0,0.586429031565385,0.476701739317157,0,0.574189392312648,0.65471333476487,0,0.664161477345931,0,0.547723856560017,0.647251449430964,0.547401760790208,0,0,0.648325101996994,0
COPA,0,0.828376637320163,0.6340455228688,0.480996349581276,0.714247369551213,0.506388232767876,0,0.856989478204853,0,0,0,0.571934721923985,0.880556152029203,0,0.818391668456088,0.492645479922697,0,0.532424307494095,0.93660081597595,0,0.813291818767447,0,0.696961563238136,0.662443633240283,0.717253596736096,0,0,0.85070861069358,0
ZMYM2,0,0.715643117887052,0.748121108009448,0.722138715911531,0.717575692505905,0.498818982177367,0,0.661155250161048,0,0,0,0.759448142581061,0.710435902941808,0,0.711563238136139,0.757837663732016,0,0.775338200558299,0.607633669744471,0,0.565117028129697,0,0.750107365256603,0.625509984968864,0.759984968864076,0,0,0.704638179085248,0
SON,0,0.680051535323169,0.676240068713764,0.566244363324028,0.665879321451578,0.56667382435044,0,0.61305561520292,0,0,0,0.664376207859137,0.686761863860855,0,0.665127764655358,0.556635172858063,0,0.638715911531029,0.74130341421516,0,0.689177582134421,0,0.609834657504831,0.698249946317372,0.617726003865149,0,0,0.761863860854627,0
REST,0,0.861874597380288,0.874436332402834,0.663517285806313,0.860371483787846,0.576175649559802,0,0.769594159330041,0,0,0,0.861552501610479,0.89419153961778,0,0.873738458234915,0.591367833369122,0,0.834657504831437,0.868799656431179,0,0.830631307708825,0,0.809104573759931,0.829879750912605,0.834979600601245,0,0,0.917275069787417,0
KLHL20,0,0.60398325101997,0.606184238780331,0.495436976594374,0.620088039510414,0.469615632381361,0,0.552984754133562,0,0,0,0.581436547133348,0.677582134421301,0,0.664054112089328,0.507408202705604,0,0.546113377710973,0.77029203349796,0,0.659330040798798,0,0.522170925488512,0.611552501610479,0.540637749624222,0,0,0.716555722568177,0
CELF1,0,0.992216018896285,0.96483787846253,0.737652995490659,0.981747906377496,0.912228902727078,0,0.9927528451793,0,0,0,0.953564526519218,0.996993772815117,0,0.989370839596307,0.82392097917114,0,0.944170066566459,0.998067425381147,0,0.985344642473695,0,0.982499463173717,0.948410994202276,0.986364612411424,0,0,0.991732875241572,0
CHD8,0,0.971440841743612,0.972138715911531,0.794019755207215,0.974608116813399,0.916255099849689,0,0.936976594374061,0,0,0,0.97498389521151,0.972138715911531,0,0.958718058836161,0.799012239639253,0,0.972943955336053,0.941378569894782,0,0.956463388447498,0,0.971333476487009,0.954208718058836,0.97535967360962,0,0,0.968058836160618,0
RPRD2,0,0.854305346789779,0.864666094051965,0.712905303843676,0.84856130556152,0.646285162121537,0,0.763581704960275,0,0,0,0.858546274425596,0.847487652995491,0,0.828376637320163,0.636568606398969,0,0.835623792140863,0.801320592656216,0,0.830148164054112,0,0.810231908954262,0.862411423663303,0.821290530384368,0,0,0.899184024049817,0
PBRM1,0,0.842709899076659,0.877281511702813,0.811681339918402,0.859619926991625,0.71628730942667,0,0.792570324243075,0,0,0,0.879214086321666,0.860264118531243,0,0.866008159759502,0.826605110586214,0,0.878140433755637,0.809587717414645,0,0.771580416577196,0,0.854573759931286,0.775982392097917,0.874436332402834,0,0,0.846950826712476,0
