,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SRRM2,0,0.951417221387159,0.933057762508052,0,0.951417221387159,1,0.964247369551213,0.951417221387159,0,0.978741679192613,0,0.933057762508052,0.951417221387159,0,0.933057762508052,1,0,1,0.951417221387159,0.951417221387159,0,0.951417221387159,0.171462314794932,1,0.951417221387159,0.951417221387159,0.951417221387159,0.951417221387159,0
DDX3X,0,0.835409061627657,0.604036933648271,0,0.835409061627657,1,0.822310500322096,0.835409061627657,0,0.560231908954262,0,0.604036933648271,0.835409061627657,0,0.604036933648271,1,0,1,0.835409061627657,0.835409061627657,0,0.835409061627657,0.0606613699806743,1,0.835409061627657,0.835409061627657,0.835409061627657,0.835409061627657,0
PHF8,0,0.835409061627657,0.604036933648271,0,0.835409061627657,1,0.822310500322096,0.835409061627657,0,0.560231908954262,0,0.604036933648271,0.835409061627657,0,0.604036933648271,1,0,1,0.835409061627657,0.835409061627657,0,0.835409061627657,0.270721494524372,1,0.835409061627657,0.835409061627657,0.835409061627657,0.835409061627657,0
MED14,0,0.843783551642688,0.604036933648271,0,0.843783551642688,1,0.828000858922053,0.843783551642688,0,0.560231908954262,0,0.604036933648271,0.843783551642688,0,0.604036933648271,1,0,1,0.843783551642688,0.843783551642688,0,0.843783551642688,0.266963710543268,1,0.843783551642688,0.843783551642688,0.843783551642688,0.843783551642688,0
SNRNP200,0,0.920173931715697,0.848346575048314,0,0.920173931715697,1,0.933916684560876,0.920173931715697,0,0.80615202920335,0,0.848346575048314,0.920173931715697,0,0.848346575048314,1,0,1,0.920173931715697,0.920173931715697,0,0.920173931715697,0.197122611123041,1,0.920173931715697,0.920173931715697,0.920173931715697,0.920173931715697,0
EP300,0,0.920871805883616,0.66158471118746,0,0.920871805883616,1,0.891185312432897,0.920871805883616,0,0.669959201202491,0,0.66158471118746,0.920871805883616,0,0.66158471118746,1,0,1,0.920871805883616,0.920871805883616,0,0.920871805883616,0.220045093407773,1,0.920871805883616,0.920871805883616,0.920871805883616,0.920871805883616,0
CDK13,0,0.8369658578484,0.909705819196908,0,0.8369658578484,1,0.91738243504402,0.8369658578484,0,0.859727292248229,0,0.909705819196908,0.8369658578484,0,0.909705819196908,1,0,1,0.8369658578484,0.8369658578484,0,0.8369658578484,0.269808889843247,1,0.8369658578484,0.8369658578484,0.8369658578484,0.8369658578484,0
HERC2,0,0.907129053038437,0.604036933648271,0,0.907129053038437,1,0.874812110800945,0.907129053038437,0,0.560231908954262,0,0.604036933648271,0.907129053038437,0,0.604036933648271,1,0,1,0.907129053038437,0.907129053038437,0,0.907129053038437,0.230674253811467,1,0.907129053038437,0.907129053038437,0.907129053038437,0.907129053038437,0
ZCCHC11,0,0.885441271204638,0.909705819196908,0,0.885441271204638,1,0.92607902082886,0.885441271204638,0,0.859727292248229,0,0.909705819196908,0.885441271204638,0,0.909705819196908,1,0,1,0.885441271204638,0.885441271204638,0,0.885441271204638,0.0495490659222676,1,0.885441271204638,0.885441271204638,0.885441271204638,0.885441271204638,0
UBR4,0,0.791067210650633,0.949055185741894,0,0.791067210650633,1,0.812057118316513,0.791067210650633,0,0.919422374919476,0,0.949055185741894,0.791067210650633,0,0.949055185741894,1,0,1,0.791067210650633,0.791067210650633,0,0.791067210650633,0.19384797079665,1,0.791067210650633,0.791067210650633,0.791067210650633,0.791067210650633,0
SETD5,0,0.764064848614988,0.75107365256603,0,0.764064848614988,1,0.752415718273567,0.764064848614988,0,0.703779257032424,0,0.75107365256603,0.764064848614988,0,0.75107365256603,1,0,1,0.764064848614988,0.764064848614988,0,0.764064848614988,0.348078161906807,1,0.764064848614988,0.764064848614988,0.764064848614988,0.764064848614988,0
SART3,0,0.826927206356023,0.604036933648271,0,0.826927206356023,1,0.81484861498819,0.826927206356023,0,0.560231908954262,0,0.604036933648271,0.826927206356023,0,0.604036933648271,1,0,1,0.826927206356023,0.826927206356023,0,0.826927206356023,0.0689821773674039,1,0.826927206356023,0.826927206356023,0.826927206356023,0.826927206356023,0
ANKRD17,0,0.989102426454799,0.604036933648271,0,0.989102426454799,1,0.984968864075585,0.989102426454799,0,0.560231908954262,0,0.604036933648271,0.989102426454799,0,0.604036933648271,1,0,1,0.989102426454799,0.989102426454799,0,0.989102426454799,0.104251664161477,1,0.989102426454799,0.989102426454799,0.989102426454799,0.989102426454799,0
TGFBRAP1,0,0.951417221387159,0.66158471118746,0,0.951417221387159,1,0.934399828215589,0.951417221387159,0,0.673502254670389,0,0.66158471118746,0.951417221387159,0,0.66158471118746,1,0,1,0.951417221387159,0.951417221387159,0,0.951417221387159,0.18949967790423,1,0.951417221387159,0.951417221387159,0.951417221387159,0.951417221387159,0
CHD2,0,0.961563238136139,0.604036933648271,0,0.961563238136139,1,0.946585784840026,0.961563238136139,0,0.560231908954262,0,0.604036933648271,0.961563238136139,0,0.604036933648271,1,0,1,0.961563238136139,0.961563238136139,0,0.961563238136139,0.168241357096843,1,0.961563238136139,0.961563238136139,0.961563238136139,0.961563238136139,0
MGA,0,0.965374704745544,0.989531887481211,0,0.965374704745544,1,0.981640541120893,0.965374704745544,0,0.996456946532102,0,0.989531887481211,0.965374704745544,0,0.989531887481211,1,0,1,0.965374704745544,0.965374704745544,0,0.965374704745544,0.00101996993772815,1,0.965374704745544,0.965374704745544,0.965374704745544,0.965374704745544,0
ZNF236,0,0.963442130126691,0.604036933648271,0,0.963442130126691,1,0.949592012024909,0.963442130126691,0,0.560231908954262,0,0.604036933648271,0.963442130126691,0,0.604036933648271,1,0,1,0.963442130126691,0.963442130126691,0,0.963442130126691,0.174253811466609,1,0.963442130126691,0.963442130126691,0.963442130126691,0.963442130126691,0
BIRC6,0,0.840347863431394,0.883186600815976,0,0.840347863431394,1,0.917811896070432,0.840347863431394,0,0.839220528237063,0,0.883186600815976,0.840347863431394,0,0.883186600815976,1,0,1,0.840347863431394,0.840347863431394,0,0.840347863431394,0.0622181662014172,1,0.840347863431394,0.840347863431394,0.840347863431394,0.840347863431394,0
DHX33,0,0.827786128408847,0.804380502469401,0,0.827786128408847,1,0.891131629804595,0.827786128408847,0,0.906914322525231,0,0.804380502469401,0.827786128408847,0,0.804380502469401,1,0,1,0.827786128408847,0.827786128408847,0,0.827786128408847,0.141990551857419,1,0.827786128408847,0.827786128408847,0.827786128408847,0.827786128408847,0
GPATCH8,0,0.87465106291604,0.604036933648271,0,0.87465106291604,1,0.848937083959631,0.87465106291604,0,0.560231908954262,0,0.604036933648271,0.87465106291604,0,0.604036933648271,1,0,1,0.87465106291604,0.87465106291604,0,0.87465106291604,0.254563023405626,1,0.87465106291604,0.87465106291604,0.87465106291604,0.87465106291604,0
RBAK,0,0.928333691217522,0.604036933648271,0,0.928333691217522,1,0.895748335838523,0.928333691217522,0,0.560231908954262,0,0.604036933648271,0.928333691217522,0,0.604036933648271,1,0,1,0.928333691217522,0.928333691217522,0,0.928333691217522,0.0293643976809105,1,0.928333691217522,0.928333691217522,0.928333691217522,0.928333691217522,0
SON,0,0.99672535967361,0.958449645694653,0,0.99672535967361,1,0.997960060124544,0.99672535967361,0,0.902673394889414,0,0.958449645694653,0.99672535967361,0,0.958449645694653,1,0,1,0.99672535967361,0.99672535967361,0,0.99672535967361,0.00842817264333262,1,0.99672535967361,0.99672535967361,0.99672535967361,0.99672535967361,0
ZNF609,0,0.822793643976809,0.604036933648271,0,0.822793643976809,1,0.810124543697659,0.822793643976809,0,0.560231908954262,0,0.604036933648271,0.822793643976809,0,0.604036933648271,1,0,1,0.822793643976809,0.822793643976809,0,0.822793643976809,0.212046381790852,1,0.822793643976809,0.822793643976809,0.822793643976809,0.822793643976809,0
ZKSCAN1,0,0.952383508696586,0.701524586643762,0,0.952383508696586,1,0.938372342709899,0.952383508696586,0,0.650203993987546,0,0.701524586643762,0.952383508696586,0,0.701524586643762,1,0,1,0.952383508696586,0.952383508696586,0,0.952383508696586,0.188372342709899,1,0.952383508696586,0.952383508696586,0.952383508696586,0.952383508696586,0
ADNP,0,0.837985827786128,0.865095555078377,0,0.837985827786128,1,0.915825638823277,0.837985827786128,0,0.966877818337986,0,0.865095555078377,0.837985827786128,0,0.865095555078377,1,0,1,0.837985827786128,0.837985827786128,0,0.837985827786128,0.0648486149881898,1,0.837985827786128,0.837985827786128,0.837985827786128,0.837985827786128,0
ZNF646,0,0.762776465535753,0.827410350010736,0,0.762776465535753,1,0.772278290745115,0.762776465535753,0,0.78296113377711,0,0.827410350010736,0.762776465535753,0,0.827410350010736,1,0,1,0.762776465535753,0.762776465535753,0,0.762776465535753,0.227829074511488,1,0.762776465535753,0.762776465535753,0.762776465535753,0.762776465535753,0
CLASP1,0,0.993021258320807,0.604036933648271,0,0.993021258320807,1,0.988834013313292,0.993021258320807,0,0.560231908954262,0,0.604036933648271,0.993021258320807,0,0.604036933648271,1,0,1,0.993021258320807,0.993021258320807,0,0.993021258320807,0.0985613055615203,1,0.993021258320807,0.993021258320807,0.993021258320807,0.993021258320807,0
PHF2,0,0.802877388876959,0.604036933648271,0,0.802877388876959,1,0.785537899935581,0.802877388876959,0,0.560231908954262,0,0.604036933648271,0.802877388876959,0,0.604036933648271,1,0,1,0.802877388876959,0.802877388876959,0,0.802877388876959,0.0963066351728581,1,0.802877388876959,0.802877388876959,0.802877388876959,0.802877388876959,0
ZNF786,0,0.984700450934078,0.975574404122826,0,0.984700450934078,1,0.994041228258536,0.984700450934078,0,0.921569680051535,0,0.975574404122826,0.984700450934078,0,0.975574404122826,1,0,1,0.984700450934078,0.984700450934078,0,0.984700450934078,0.0952329826068284,1,0.984700450934078,0.984700450934078,0.984700450934078,0.984700450934078,0
ZXDC,0,0.9130341421516,0.604036933648271,0,0.9130341421516,1,0.880663517285806,0.9130341421516,0,0.560231908954262,0,0.604036933648271,0.9130341421516,0,0.604036933648271,1,0,1,0.9130341421516,0.9130341421516,0,0.9130341421516,0.196800515353232,1,0.9130341421516,0.9130341421516,0.9130341421516,0.9130341421516,0
BDP1,0,0.816942237491948,0.604036933648271,0,0.816942237491948,1,0.802662658363754,0.816942237491948,0,0.560231908954262,0,0.604036933648271,0.816942237491948,0,0.604036933648271,1,0,1,0.816942237491948,0.816942237491948,0,0.816942237491948,0.0801481640541121,1,0.816942237491948,0.816942237491948,0.816942237491948,0.816942237491948,0
CXorf23,0,0.898432467253597,0.604036933648271,0,0.898432467253597,1,0.864451363538759,0.898432467253597,0,0.560231908954262,0,0.604036933648271,0.898432467253597,0,0.604036933648271,1,0,1,0.898432467253597,0.898432467253597,0,0.898432467253597,0.242538114666094,1,0.898432467253597,0.898432467253597,0.898432467253597,0.898432467253597,0
ZSCAN29,0,0.954155035430535,0.734002576766158,0,0.954155035430535,1,0.942666952974018,0.954155035430535,0,0.955658149022976,0,0.734002576766158,0.954155035430535,0,0.734002576766158,1,0,1,0.954155035430535,0.954155035430535,0,0.954155035430535,0.0155679622074297,1,0.954155035430535,0.954155035430535,0.954155035430535,0.954155035430535,0
MDN1,0,0.898432467253597,0.904605969508267,0,0.898432467253597,1,0.927206356023191,0.898432467253597,0,0.855701095125617,0,0.904605969508267,0.898432467253597,0,0.904605969508267,1,0,1,0.898432467253597,0.898432467253597,0,0.898432467253597,0.242538114666094,1,0.898432467253597,0.898432467253597,0.898432467253597,0.898432467253597,0
