,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ARFIP1,0.953298620430512,0.953298620430512,0.953298620430512,0.953298620430512,0.953298620430512,0.953298620430512,0,0.953298620430512,0.953298620430512,0,0.953298620430512,0,0.953298620430512,0.953298620430512,0.953298620430512,0.953298620430512,0.953298620430512,0.953298620430512,0.953298620430512,0.953298620430512,0.953298620430512,0.953298620430512,0.953298620430512,0.953298620430512,0,0,0,0.953298620430512,0.953298620430512
HNRNPA2B1,0,0,0,0.913790326909657,0.913790326909657,0.913790326909657,0,0.913790326909657,0.913790326909657,0.913790326909657,0.913790326909657,0.913790326909657,0.913790326909657,0.913790326909657,0.913790326909657,0.913790326909657,0.913790326909657,0,0.913790326909657,0,0.913790326909657,0,0,0,0.913790326909657,0.913790326909657,0.913790326909657,0.913790326909657,0.913790326909657
CNOT6L,0.968328949487358,0.968328949487358,0.968328949487358,0.968328949487358,0.968328949487358,0.968328949487358,0.968328949487358,0.968328949487358,0.968328949487358,0,0.968328949487358,0,0.968328949487358,0.968328949487358,0.968328949487358,0.968328949487358,0.968328949487358,0.968328949487358,0.968328949487358,0,0.968328949487358,0.968328949487358,0.968328949487358,0,0,0,0.968328949487358,0.968328949487358,0.968328949487358
PGGT1B,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0,0,0.976380911482098,0.976380911482098,0,0,0,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0,0.976380911482098,0,0,0,0.976380911482098,0.976380911482098,0.976380911482098
KTN1,0,0,0.958720274840303,0,0,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0,0.958720274840303,0,0.958720274840303,0,0.958720274840303,0.958720274840303,0.958720274840303,0,0,0.958720274840303,0.958720274840303
NAE1,0.969993021632938,0,0,0.969993021632938,0,0.969993021632938,0,0.969993021632938,0.969993021632938,0,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0,0.969993021632938,0,0,0.969993021632938,0.969993021632938,0,0.969993021632938
PCMTD2,0.988834612700628,0.988834612700628,0.988834612700628,0.988834612700628,0.988834612700628,0.988834612700628,0,0.988834612700628,0,0.988834612700628,0.988834612700628,0,0.988834612700628,0.988834612700628,0.988834612700628,0.988834612700628,0.988834612700628,0.988834612700628,0.988834612700628,0,0.988834612700628,0.988834612700628,0.988834612700628,0.988834612700628,0,0.988834612700628,0,0,0.988834612700628
TIGD4,0.955392130549144,0.955392130549144,0.955392130549144,0,0,0.955392130549144,0.955392130549144,0.955392130549144,0.955392130549144,0,0.955392130549144,0,0.955392130549144,0.955392130549144,0.955392130549144,0.955392130549144,0.955392130549144,0.955392130549144,0.955392130549144,0.955392130549144,0.955392130549144,0,0.955392130549144,0,0.955392130549144,0,0,0,0.955392130549144
KIAA1430,0.952063986257985,0.952063986257985,0.952063986257985,0,0.952063986257985,0.952063986257985,0,0.952063986257985,0.952063986257985,0,0,0,0.952063986257985,0.952063986257985,0.952063986257985,0.952063986257985,0.952063986257985,0.952063986257985,0.952063986257985,0,0.952063986257985,0,0.952063986257985,0,0,0,0,0.952063986257985,0.952063986257985
FASTKD3,0.966933276074937,0.966933276074937,0.966933276074937,0,0,0.966933276074937,0,0.966933276074937,0,0,0.966933276074937,0,0,0.966933276074937,0,0.966933276074937,0.966933276074937,0,0.966933276074937,0.966933276074937,0.966933276074937,0,0.966933276074937,0,0,0.966933276074937,0.966933276074937,0.966933276074937,0.966933276074937
PSIP1,0,0,0,0.940576520478823,0,0.940576520478823,0.940576520478823,0.940576520478823,0,0.940576520478823,0.940576520478823,0,0,0.940576520478823,0,0.940576520478823,0.940576520478823,0.940576520478823,0.940576520478823,0.940576520478823,0,0.940576520478823,0,0.940576520478823,0.940576520478823,0,0.940576520478823,0.940576520478823,0.940576520478823
PMS1,0,0,0.943689945783456,0.943689945783456,0,0.943689945783456,0,0.943689945783456,0,0.943689945783456,0.943689945783456,0.943689945783456,0,0.943689945783456,0.943689945783456,0.943689945783456,0.943689945783456,0.943689945783456,0.943689945783456,0.943689945783456,0.943689945783456,0,0.943689945783456,0.943689945783456,0,0.943689945783456,0,0,0.943689945783456
ZFP62,0.940576520478823,0.940576520478823,0.940576520478823,0.940576520478823,0,0,0.940576520478823,0.940576520478823,0,0.940576520478823,0.940576520478823,0,0,0.940576520478823,0.940576520478823,0.940576520478823,0.940576520478823,0,0.940576520478823,0.940576520478823,0.940576520478823,0.940576520478823,0,0,0,0.940576520478823,0,0,0.940576520478823
TAF7,0.996349777229051,0,0,0.996349777229051,0,0,0,0.996349777229051,0,0,0.996349777229051,0.996349777229051,0.996349777229051,0.996349777229051,0,0.996349777229051,0.996349777229051,0,0.996349777229051,0.996349777229051,0.996349777229051,0.996349777229051,0,0,0.996349777229051,0,0.996349777229051,0.996349777229051,0.996349777229051
ZNF136,0,0.934027591389769,0.934027591389769,0,0,0.934027591389769,0,0.934027591389769,0.934027591389769,0.934027591389769,0.934027591389769,0,0,0.934027591389769,0,0.934027591389769,0.934027591389769,0,0.934027591389769,0.934027591389769,0.934027591389769,0.934027591389769,0.934027591389769,0,0,0,0,0.934027591389769,0.934027591389769
TRIM52,0.982554082344731,0,0.982554082344731,0,0,0,0,0.982554082344731,0,0.982554082344731,0.982554082344731,0,0,0.982554082344731,0.982554082344731,0.982554082344731,0.982554082344731,0,0.982554082344731,0.982554082344731,0.982554082344731,0.982554082344731,0.982554082344731,0.982554082344731,0,0.982554082344731,0.982554082344731,0,0.982554082344731
ZNF195,0,0.962048419131462,0.962048419131462,0.962048419131462,0,0.962048419131462,0,0.962048419131462,0.962048419131462,0,0.962048419131462,0,0,0.962048419131462,0,0.962048419131462,0.962048419131462,0,0.962048419131462,0.962048419131462,0.962048419131462,0,0.962048419131462,0.962048419131462,0,0,0,0.962048419131462,0.962048419131462
PDCD7,0,0.94213323313114,0.94213323313114,0,0,0.94213323313114,0.94213323313114,0.94213323313114,0,0.94213323313114,0,0,0,0.94213323313114,0.94213323313114,0.94213323313114,0.94213323313114,0,0.94213323313114,0.94213323313114,0,0.94213323313114,0,0,0,0.94213323313114,0.94213323313114,0.94213323313114,0.94213323313114
PRDM10,0,0.982554082344731,0.982554082344731,0,0.982554082344731,0,0,0.982554082344731,0.982554082344731,0.982554082344731,0.982554082344731,0,0,0.982554082344731,0.982554082344731,0.982554082344731,0.982554082344731,0,0.982554082344731,0.982554082344731,0.982554082344731,0.982554082344731,0.982554082344731,0,0,0,0,0.982554082344731,0.982554082344731
TTC33,0.953674378656933,0.953674378656933,0,0,0.953674378656933,0,0,0.953674378656933,0,0,0.953674378656933,0,0,0.953674378656933,0,0.953674378656933,0.953674378656933,0,0.953674378656933,0.953674378656933,0,0.953674378656933,0.953674378656933,0,0,0,0.953674378656933,0.953674378656933,0.953674378656933
MBD4,0,0,0.975199957056203,0.975199957056203,0,0.975199957056203,0,0.975199957056203,0.975199957056203,0,0.975199957056203,0,0,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0,0.975199957056203,0,0.975199957056203,0.975199957056203,0.975199957056203,0,0,0.975199957056203,0.975199957056203,0,0.975199957056203
PHF10,0,0.988190455741049,0.988190455741049,0,0,0.988190455741049,0.988190455741049,0.988190455741049,0,0.988190455741049,0.988190455741049,0,0.988190455741049,0.988190455741049,0,0.988190455741049,0.988190455741049,0.988190455741049,0.988190455741049,0,0.988190455741049,0.988190455741049,0,0.988190455741049,0,0,0,0.988190455741049,0.988190455741049
RICTOR,0.969080465940201,0.969080465940201,0.969080465940201,0,0,0,0.969080465940201,0.969080465940201,0,0.969080465940201,0.969080465940201,0,0,0.969080465940201,0,0.969080465940201,0.969080465940201,0,0.969080465940201,0.969080465940201,0.969080465940201,0,0.969080465940201,0,0,0,0.969080465940201,0,0.969080465940201
ZNF302,0,0,0.934027591389769,0,0,0.934027591389769,0.934027591389769,0.934027591389769,0,0.934027591389769,0.934027591389769,0,0.934027591389769,0.934027591389769,0,0.934027591389769,0.934027591389769,0,0.934027591389769,0.934027591389769,0.934027591389769,0,0,0.934027591389769,0,0.934027591389769,0,0,0.934027591389769
PRKAA1,0.964786086209673,0.964786086209673,0,0,0.964786086209673,0,0,0.964786086209673,0.964786086209673,0,0.964786086209673,0,0.964786086209673,0.964786086209673,0,0.964786086209673,0.964786086209673,0,0.964786086209673,0,0.964786086209673,0.964786086209673,0.964786086209673,0,0,0,0,0.964786086209673,0.964786086209673
SNX25,0.962209458371357,0.962209458371357,0.962209458371357,0,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0,0.962209458371357,0,0,0.962209458371357,0,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0,0,0,0.962209458371357,0,0,0,0,0,0.962209458371357
FAM175B,0,0,0.938912448333244,0,0.938912448333244,0.938912448333244,0,0.938912448333244,0,0,0.938912448333244,0.938912448333244,0,0.938912448333244,0,0.938912448333244,0.938912448333244,0,0.938912448333244,0.938912448333244,0,0,0,0,0,0,0.938912448333244,0.938912448333244,0.938912448333244
ZFP3,0,0,0.933544473670084,0,0,0,0.933544473670084,0.933544473670084,0,0.933544473670084,0.933544473670084,0,0.933544473670084,0.933544473670084,0,0.933544473670084,0.933544473670084,0,0.933544473670084,0.933544473670084,0.933544473670084,0,0,0,0.933544473670084,0.933544473670084,0,0,0.933544473670084
HMGB2,0,0,0.923291642063449,0.923291642063449,0.923291642063449,0.923291642063449,0,0.923291642063449,0,0,0,0,0.923291642063449,0.923291642063449,0.923291642063449,0.923291642063449,0.923291642063449,0.923291642063449,0.923291642063449,0,0,0.923291642063449,0,0.923291642063449,0.923291642063449,0,0,0,0.923291642063449
CNTLN,0,0,0,0.967309034301358,0.967309034301358,0,0,0.967309034301358,0.967309034301358,0.967309034301358,0.967309034301358,0,0,0.967309034301358,0,0.967309034301358,0.967309034301358,0,0.967309034301358,0.967309034301358,0,0.967309034301358,0.967309034301358,0,0,0,0,0.967309034301358,0.967309034301358
NCOA5,0.981480487412099,0.981480487412099,0.981480487412099,0,0,0.981480487412099,0,0.981480487412099,0,0.981480487412099,0,0,0,0.981480487412099,0.981480487412099,0.981480487412099,0.981480487412099,0,0.981480487412099,0.981480487412099,0,0.981480487412099,0,0,0,0.981480487412099,0.981480487412099,0,0.981480487412099
USP45,0,0.971335015298728,0.971335015298728,0.971335015298728,0,0.971335015298728,0,0.971335015298728,0.971335015298728,0,0.971335015298728,0,0,0.971335015298728,0.971335015298728,0.971335015298728,0.971335015298728,0,0.971335015298728,0,0.971335015298728,0,0.971335015298728,0,0,0,0,0.971335015298728,0.971335015298728
CAMK2D,0.962370497611251,0.962370497611251,0,0.962370497611251,0.962370497611251,0.962370497611251,0,0.962370497611251,0,0,0.962370497611251,0,0,0.962370497611251,0.962370497611251,0.962370497611251,0.962370497611251,0.962370497611251,0.962370497611251,0,0,0,0.962370497611251,0.962370497611251,0,0,0,0,0.962370497611251
ETFDH,0.909495947179129,0.909495947179129,0.909495947179129,0,0.909495947179129,0.909495947179129,0,0.909495947179129,0,0,0,0,0,0.909495947179129,0.909495947179129,0.909495947179129,0.909495947179129,0,0.909495947179129,0,0,0.909495947179129,0.909495947179129,0,0,0,0,0,0.909495947179129
METTL10,0,0,0.969778302646412,0,0,0.969778302646412,0,0.969778302646412,0,0.969778302646412,0.969778302646412,0,0,0.969778302646412,0,0.969778302646412,0.969778302646412,0,0.969778302646412,0.969778302646412,0.969778302646412,0,0.969778302646412,0.969778302646412,0,0.969778302646412,0,0.969778302646412,0.969778302646412
NFKB1,0.929572172419346,0.929572172419346,0,0.929572172419346,0.929572172419346,0.929572172419346,0,0.929572172419346,0,0,0,0,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0,0,0.929572172419346,0,0,0,0,0,0,0.929572172419346
ZNF606,0,0,0.985935906382522,0,0,0,0,0.985935906382522,0,0.985935906382522,0.985935906382522,0,0.985935906382522,0.985935906382522,0.985935906382522,0.985935906382522,0.985935906382522,0,0.985935906382522,0.985935906382522,0.985935906382522,0,0.985935906382522,0,0,0.985935906382522,0,0,0.985935906382522
TUBGCP3,0,0,0,0,0.95426485586988,0,0,0.95426485586988,0,0.95426485586988,0.95426485586988,0,0,0.95426485586988,0.95426485586988,0.95426485586988,0.95426485586988,0,0.95426485586988,0,0.95426485586988,0.95426485586988,0,0,0,0,0.95426485586988,0.95426485586988,0.95426485586988
CBX1,0,0,0.947018090074615,0,0,0.947018090074615,0.947018090074615,0.947018090074615,0,0,0,0.947018090074615,0.947018090074615,0.947018090074615,0,0.947018090074615,0.947018090074615,0,0.947018090074615,0.947018090074615,0,0,0,0,0,0.947018090074615,0.947018090074615,0,0.947018090074615
