,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SYNGAP1,0,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0.964517687476515,0,0.964517687476515,0,0,0
ARID1A,0,0,0.947608567287562,0.947608567287562,0.947608567287562,0.947608567287562,0.947608567287562,0.947608567287562,0,0.947608567287562,0.947608567287562,0,0,0.947608567287562,0.947608567287562,0.947608567287562,0.947608567287562,0.947608567287562,0.947608567287562,0.947608567287562,0.947608567287562,0.947608567287562,0.947608567287562,0,0.947608567287562,0.947608567287562,0.947608567287562,0.947608567287562,0.947608567287562
ZNF236,0,0.959793869772935,0.959793869772935,0.959793869772935,0.959793869772935,0.959793869772935,0.959793869772935,0.959793869772935,0,0.959793869772935,0.959793869772935,0,0.959793869772935,0.959793869772935,0.959793869772935,0.959793869772935,0.959793869772935,0.959793869772935,0.959793869772935,0,0.959793869772935,0.959793869772935,0.959793869772935,0,0.959793869772935,0.959793869772935,0.959793869772935,0.959793869772935,0.959793869772935
TSSK4,0,0.955338450802512,0.955338450802512,0.955338450802512,0.955338450802512,0.955338450802512,0.955338450802512,0.955338450802512,0,0.955338450802512,0,0,0.955338450802512,0.955338450802512,0.955338450802512,0.955338450802512,0.955338450802512,0,0.955338450802512,0.955338450802512,0.955338450802512,0.955338450802512,0.955338450802512,0,0.955338450802512,0.955338450802512,0.955338450802512,0.955338450802512,0.955338450802512
LCOR,0,0.964034569756831,0,0.964034569756831,0.964034569756831,0.964034569756831,0.964034569756831,0,0,0,0.964034569756831,0,0.964034569756831,0.964034569756831,0,0.964034569756831,0.964034569756831,0.964034569756831,0.964034569756831,0.964034569756831,0.964034569756831,0.964034569756831,0.964034569756831,0,0.964034569756831,0.964034569756831,0.964034569756831,0.964034569756831,0.964034569756831
NUMA1,0,0.949863116646089,0.949863116646089,0.949863116646089,0,0.949863116646089,0.949863116646089,0.949863116646089,0,0.949863116646089,0.949863116646089,0.949863116646089,0.949863116646089,0.949863116646089,0.949863116646089,0.949863116646089,0.949863116646089,0.949863116646089,0.949863116646089,0,0.949863116646089,0.949863116646089,0.949863116646089,0.949863116646089,0,0.949863116646089,0.949863116646089,0,0
ZNF609,0,0,0,0,0.975468355789361,0.975468355789361,0.975468355789361,0.975468355789361,0.975468355789361,0.975468355789361,0.975468355789361,0,0.975468355789361,0.975468355789361,0.975468355789361,0,0.975468355789361,0,0.975468355789361,0.975468355789361,0.975468355789361,0.975468355789361,0,0.975468355789361,0.975468355789361,0.975468355789361,0.975468355789361,0.975468355789361,0.975468355789361
KCTD7,0.978528101347362,0,0.978528101347362,0,0.978528101347362,0.978528101347362,0.978528101347362,0.978528101347362,0,0.978528101347362,0.978528101347362,0,0,0.978528101347362,0.978528101347362,0.978528101347362,0.978528101347362,0,0.978528101347362,0.978528101347362,0.978528101347362,0.978528101347362,0,0.978528101347362,0.978528101347362,0.978528101347362,0.978528101347362,0,0.978528101347362
ADNP,0,0,0,0,0.972515969724623,0.972515969724623,0.972515969724623,0.972515969724623,0,0,0.972515969724623,0,0.972515969724623,0.972515969724623,0,0,0.972515969724623,0.972515969724623,0.972515969724623,0.972515969724623,0.972515969724623,0.972515969724623,0.972515969724623,0,0.972515969724623,0.972515969724623,0.972515969724623,0.972515969724623,0.972515969724623
PDCD11,0,0.914434483869236,0.914434483869236,0.914434483869236,0.914434483869236,0.914434483869236,0.914434483869236,0.914434483869236,0,0,0.914434483869236,0,0.914434483869236,0.914434483869236,0,0.914434483869236,0.914434483869236,0.914434483869236,0.914434483869236,0.914434483869236,0,0.914434483869236,0.914434483869236,0,0.914434483869236,0.914434483869236,0,0,0
PLAGL2,0,0,0,0.981534167158731,0.981534167158731,0.981534167158731,0.981534167158731,0,0.981534167158731,0,0.981534167158731,0,0.981534167158731,0.981534167158731,0,0,0.981534167158731,0.981534167158731,0.981534167158731,0.981534167158731,0.981534167158731,0.981534167158731,0.981534167158731,0,0.981534167158731,0.981534167158731,0.981534167158731,0.981534167158731,0.981534167158731
CHD4,0.976649310215256,0,0.976649310215256,0.976649310215256,0.976649310215256,0.976649310215256,0.976649310215256,0.976649310215256,0,0,0.976649310215256,0.976649310215256,0.976649310215256,0.976649310215256,0,0,0.976649310215256,0.976649310215256,0.976649310215256,0.976649310215256,0.976649310215256,0.976649310215256,0.976649310215256,0,0,0.976649310215256,0,0.976649310215256,0.976649310215256
SETD1B,0,0.932631917977347,0,0.932631917977347,0.932631917977347,0.932631917977347,0.932631917977347,0,0.932631917977347,0.932631917977347,0.932631917977347,0,0.932631917977347,0.932631917977347,0.932631917977347,0.932631917977347,0.932631917977347,0.932631917977347,0.932631917977347,0,0.932631917977347,0.932631917977347,0.932631917977347,0,0,0.932631917977347,0,0,0.932631917977347
HERC1,0,0.99731601266842,0,0,0.99731601266842,0.99731601266842,0.99731601266842,0,0,0.99731601266842,0.99731601266842,0,0.99731601266842,0.99731601266842,0.99731601266842,0.99731601266842,0.99731601266842,0,0.99731601266842,0.99731601266842,0.99731601266842,0.99731601266842,0,0.99731601266842,0.99731601266842,0.99731601266842,0.99731601266842,0,0.99731601266842
SETD5,0,0,0.952278705244511,0,0.952278705244511,0.952278705244511,0.952278705244511,0,0,0.952278705244511,0.952278705244511,0,0.952278705244511,0.952278705244511,0.952278705244511,0,0.952278705244511,0.952278705244511,0.952278705244511,0,0.952278705244511,0.952278705244511,0.952278705244511,0,0,0.952278705244511,0.952278705244511,0.952278705244511,0.952278705244511
USP49,0,0,0.904986848462075,0.904986848462075,0.904986848462075,0.904986848462075,0.904986848462075,0,0,0.904986848462075,0.904986848462075,0,0.904986848462075,0.904986848462075,0.904986848462075,0,0.904986848462075,0,0.904986848462075,0,0.904986848462075,0.904986848462075,0.904986848462075,0,0.904986848462075,0,0,0.904986848462075,0.904986848462075
ACIN1,0,0.985667507649364,0.985667507649364,0.985667507649364,0.985667507649364,0.985667507649364,0.985667507649364,0.985667507649364,0,0.985667507649364,0,0.985667507649364,0.985667507649364,0.985667507649364,0.985667507649364,0.985667507649364,0.985667507649364,0.985667507649364,0.985667507649364,0,0.985667507649364,0.985667507649364,0.985667507649364,0,0,0.985667507649364,0,0,0.985667507649364
NT5C2,0.947393848301036,0.947393848301036,0.947393848301036,0.947393848301036,0.947393848301036,0.947393848301036,0.947393848301036,0,0,0.947393848301036,0.947393848301036,0,0,0.947393848301036,0,0.947393848301036,0.947393848301036,0.947393848301036,0.947393848301036,0,0,0.947393848301036,0.947393848301036,0,0.947393848301036,0.947393848301036,0,0.947393848301036,0
TCP11L2,0.950185195125879,0,0,0,0.950185195125879,0.950185195125879,0.950185195125879,0,0,0,0.950185195125879,0,0,0.950185195125879,0,0,0.950185195125879,0.950185195125879,0.950185195125879,0.950185195125879,0.950185195125879,0.950185195125879,0,0,0.950185195125879,0.950185195125879,0.950185195125879,0.950185195125879,0.950185195125879
YLPM1,0,0,0,0,0.984969670943153,0.984969670943153,0.984969670943153,0.984969670943153,0,0,0.984969670943153,0,0.984969670943153,0.984969670943153,0,0,0.984969670943153,0.984969670943153,0.984969670943153,0.984969670943153,0.984969670943153,0.984969670943153,0.984969670943153,0,0.984969670943153,0.984969670943153,0.984969670943153,0.984969670943153,0
ZNF623,0,0,0,0,0.954694293842933,0.954694293842933,0.954694293842933,0.954694293842933,0,0,0.954694293842933,0,0.954694293842933,0.954694293842933,0,0,0.954694293842933,0,0.954694293842933,0.954694293842933,0.954694293842933,0.954694293842933,0.954694293842933,0,0.954694293842933,0.954694293842933,0.954694293842933,0.954694293842933,0
KDM3B,0.907992914273445,0,0,0,0.907992914273445,0.907992914273445,0.907992914273445,0,0,0,0.907992914273445,0,0.907992914273445,0.907992914273445,0,0,0.907992914273445,0,0.907992914273445,0.907992914273445,0.907992914273445,0.907992914273445,0.907992914273445,0,0.907992914273445,0.907992914273445,0,0.907992914273445,0.907992914273445
CHD2,0,0.924848354715766,0,0,0.924848354715766,0.924848354715766,0.924848354715766,0,0,0.924848354715766,0.924848354715766,0,0.924848354715766,0.924848354715766,0.924848354715766,0.924848354715766,0.924848354715766,0,0.924848354715766,0,0.924848354715766,0.924848354715766,0.924848354715766,0,0,0.924848354715766,0.924848354715766,0,0.924848354715766
MDC1,0,0,0,0.986741102581996,0,0.986741102581996,0.986741102581996,0.986741102581996,0,0.986741102581996,0.986741102581996,0.986741102581996,0.986741102581996,0.986741102581996,0,0.986741102581996,0.986741102581996,0,0.986741102581996,0.986741102581996,0.986741102581996,0.986741102581996,0.986741102581996,0,0.986741102581996,0.986741102581996,0,0,0
ZNF689,0,0,0,0,0.941757474904718,0.941757474904718,0.941757474904718,0.941757474904718,0,0,0,0,0.941757474904718,0.941757474904718,0,0,0.941757474904718,0,0.941757474904718,0.941757474904718,0.941757474904718,0.941757474904718,0,0,0.941757474904718,0.941757474904718,0.941757474904718,0.941757474904718,0.941757474904718
PDZD8,0,0,0,0,0.971281335552096,0.971281335552096,0.971281335552096,0.971281335552096,0,0,0,0.971281335552096,0.971281335552096,0.971281335552096,0,0.971281335552096,0.971281335552096,0.971281335552096,0.971281335552096,0.971281335552096,0,0.971281335552096,0.971281335552096,0,0.971281335552096,0,0.971281335552096,0.971281335552096,0.971281335552096
EIF3A,0,0,0,0.91185785603092,0.91185785603092,0.91185785603092,0.91185785603092,0,0,0,0,0,0.91185785603092,0.91185785603092,0,0.91185785603092,0.91185785603092,0.91185785603092,0.91185785603092,0.91185785603092,0,0.91185785603092,0.91185785603092,0,0.91185785603092,0,0.91185785603092,0.91185785603092,0
RSBN1L,0,0,0,0,0.998067529121263,0.998067529121263,0.998067529121263,0.998067529121263,0,0,0.998067529121263,0,0.998067529121263,0.998067529121263,0,0,0.998067529121263,0,0.998067529121263,0.998067529121263,0.998067529121263,0.998067529121263,0,0,0.998067529121263,0.998067529121263,0.998067529121263,0.998067529121263,0.998067529121263
WHSC1L1,0,0,0,0,0.97074453808578,0.97074453808578,0.97074453808578,0,0.97074453808578,0,0.97074453808578,0,0.97074453808578,0.97074453808578,0,0,0.97074453808578,0,0.97074453808578,0.97074453808578,0.97074453808578,0.97074453808578,0,0,0.97074453808578,0.97074453808578,0.97074453808578,0.97074453808578,0
FAM53B,0,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0,0,0,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0,0,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0,0,0,0
ERN1,0,0,0,0,0.961833700144935,0.961833700144935,0.961833700144935,0,0.961833700144935,0,0.961833700144935,0,0.961833700144935,0.961833700144935,0,0,0.961833700144935,0,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0,0,0.961833700144935,0,0.961833700144935,0.961833700144935,0.961833700144935
ZNF786,0,0.943850985023351,0.943850985023351,0.943850985023351,0,0.943850985023351,0.943850985023351,0.943850985023351,0,0,0,0,0.943850985023351,0.943850985023351,0.943850985023351,0.943850985023351,0.943850985023351,0.943850985023351,0.943850985023351,0.943850985023351,0.943850985023351,0.943850985023351,0,0.943850985023351,0,0,0,0.943850985023351,0.943850985023351
CCNI,0,0,0,0,0.93542326480219,0.93542326480219,0.93542326480219,0,0,0,0.93542326480219,0,0.93542326480219,0.93542326480219,0,0,0.93542326480219,0,0.93542326480219,0.93542326480219,0.93542326480219,0.93542326480219,0.93542326480219,0,0.93542326480219,0,0.93542326480219,0.93542326480219,0
DHX33,0,0,0,0,0,0.926029309141661,0.926029309141661,0,0,0,0.926029309141661,0,0.926029309141661,0.926029309141661,0,0,0.926029309141661,0.926029309141661,0.926029309141661,0.926029309141661,0.926029309141661,0.926029309141661,0,0,0.926029309141661,0.926029309141661,0.926029309141661,0.926029309141661,0
UNK,0,0,0.967738472274411,0.967738472274411,0,0.967738472274411,0.967738472274411,0.967738472274411,0,0.967738472274411,0,0.967738472274411,0.967738472274411,0.967738472274411,0.967738472274411,0,0.967738472274411,0,0.967738472274411,0,0.967738472274411,0.967738472274411,0.967738472274411,0.967738472274411,0,0.967738472274411,0,0,0.967738472274411
CLCN6,0,0.98620430511568,0.98620430511568,0,0.98620430511568,0.98620430511568,0.98620430511568,0.98620430511568,0,0.98620430511568,0,0,0.98620430511568,0.98620430511568,0.98620430511568,0.98620430511568,0.98620430511568,0,0.98620430511568,0,0.98620430511568,0.98620430511568,0,0,0,0.98620430511568,0,0,0.98620430511568
USP34,0,0,0,0,0.944065704009877,0.944065704009877,0.944065704009877,0,0,0,0.944065704009877,0,0,0.944065704009877,0.944065704009877,0,0.944065704009877,0.944065704009877,0.944065704009877,0,0.944065704009877,0.944065704009877,0,0,0.944065704009877,0.944065704009877,0.944065704009877,0.944065704009877,0
DSTYK,0,0,0,0,0.994256267110419,0.994256267110419,0.994256267110419,0.994256267110419,0,0,0.994256267110419,0,0,0.994256267110419,0.994256267110419,0,0.994256267110419,0.994256267110419,0.994256267110419,0,0.994256267110419,0.994256267110419,0,0.994256267110419,0.994256267110419,0.994256267110419,0,0.994256267110419,0
RANBP10,0,0.992431155724945,0,0,0.992431155724945,0.992431155724945,0.992431155724945,0,0,0.992431155724945,0,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0,0.992431155724945,0.992431155724945,0.992431155724945,0,0,0,0,0
NCOR1,0,0,0,0,0,0.99023028611305,0.99023028611305,0,0.99023028611305,0,0.99023028611305,0,0.99023028611305,0.99023028611305,0,0,0.99023028611305,0.99023028611305,0.99023028611305,0.99023028611305,0.99023028611305,0.99023028611305,0,0,0.99023028611305,0.99023028611305,0.99023028611305,0.99023028611305,0
HECTD1,0,0.993880508883998,0,0,0.993880508883998,0.993880508883998,0.993880508883998,0,0.993880508883998,0,0,0,0.993880508883998,0.993880508883998,0,0,0.993880508883998,0,0.993880508883998,0.993880508883998,0.993880508883998,0.993880508883998,0,0,0.993880508883998,0.993880508883998,0.993880508883998,0.993880508883998,0
FNIP2,0.993021632937893,0,0,0,0.993021632937893,0.993021632937893,0.993021632937893,0,0,0,0,0,0,0.993021632937893,0,0,0.993021632937893,0,0.993021632937893,0.993021632937893,0.993021632937893,0.993021632937893,0.993021632937893,0,0.993021632937893,0,0.993021632937893,0.993021632937893,0.993021632937893
TRIM8,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0,0.982339363358205,0,0,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0,0,0.982339363358205,0,0.982339363358205,0,0,0,0,0
CCNT1,0,0,0,0,0.930753126845241,0.930753126845241,0.930753126845241,0,0,0,0.930753126845241,0,0,0.930753126845241,0,0,0.930753126845241,0,0.930753126845241,0.930753126845241,0.930753126845241,0.930753126845241,0,0,0.930753126845241,0,0.930753126845241,0.930753126845241,0.930753126845241
ZNF175,0,0,0,0,0,0.99763809114821,0.99763809114821,0.99763809114821,0,0.99763809114821,0.99763809114821,0,0,0.99763809114821,0,0,0.99763809114821,0,0.99763809114821,0.99763809114821,0.99763809114821,0.99763809114821,0,0,0.99763809114821,0.99763809114821,0.99763809114821,0,0.99763809114821
AKAP10,0,0,0,0,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0,0,0,0,0.959740190026303,0.959740190026303,0,0,0.959740190026303,0,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0,0,0.959740190026303,0,0.959740190026303,0.959740190026303,0.959740190026303
GADD45GIP1,0,0,0,0,0.989961887379892,0.989961887379892,0.989961887379892,0,0.989961887379892,0,0,0,0,0.989961887379892,0,0,0.989961887379892,0,0.989961887379892,0.989961887379892,0.989961887379892,0.989961887379892,0,0,0.989961887379892,0,0.989961887379892,0.989961887379892,0.989961887379892
CHMP2A,0,0,0,0,0,0.978420741854098,0.978420741854098,0,0,0,0.978420741854098,0,0.978420741854098,0.978420741854098,0,0,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098,0,0,0,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098
POLR3E,0,0.961243222931988,0.961243222931988,0.961243222931988,0.961243222931988,0.961243222931988,0.961243222931988,0.961243222931988,0,0,0,0.961243222931988,0.961243222931988,0.961243222931988,0,0.961243222931988,0.961243222931988,0,0.961243222931988,0.961243222931988,0,0.961243222931988,0,0,0,0,0,0.961243222931988,0
MBD6,0,0.939771324279349,0.939771324279349,0,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0,0,0,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0,0,0.939771324279349,0.939771324279349,0,0,0,0,0,0
ZBTB12,0,0,0.962209458371357,0.962209458371357,0,0.962209458371357,0.962209458371357,0,0.962209458371357,0,0,0,0.962209458371357,0.962209458371357,0,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0,0.962209458371357,0.962209458371357,0,0,0.962209458371357,0,0.962209458371357,0
KDM3A,0,0.938590369853454,0,0,0.938590369853454,0.938590369853454,0.938590369853454,0.938590369853454,0,0,0,0,0,0.938590369853454,0,0,0.938590369853454,0.938590369853454,0.938590369853454,0,0.938590369853454,0.938590369853454,0,0,0,0.938590369853454,0.938590369853454,0.938590369853454,0
GTF3C2,0,0,0,0,0.937409415427559,0.937409415427559,0.937409415427559,0,0,0,0,0.937409415427559,0.937409415427559,0.937409415427559,0,0,0.937409415427559,0,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0.937409415427559,0,0,0,0.937409415427559,0.937409415427559,0
NEK1,0.988297815234312,0.988297815234312,0,0,0,0.988297815234312,0.988297815234312,0,0,0,0.988297815234312,0,0,0.988297815234312,0,0,0.988297815234312,0,0.988297815234312,0.988297815234312,0,0.988297815234312,0,0,0.988297815234312,0,0.988297815234312,0.988297815234312,0.988297815234312
RFX7,0,0.93440334961619,0,0,0.93440334961619,0.93440334961619,0.93440334961619,0,0,0,0.93440334961619,0,0.93440334961619,0.93440334961619,0,0,0.93440334961619,0,0.93440334961619,0.93440334961619,0.93440334961619,0.93440334961619,0,0,0.93440334961619,0.93440334961619,0,0,0
WDR59,0,0.9485211229803,0,0.9485211229803,0.9485211229803,0.9485211229803,0.9485211229803,0,0,0.9485211229803,0,0.9485211229803,0,0.9485211229803,0.9485211229803,0.9485211229803,0.9485211229803,0.9485211229803,0.9485211229803,0.9485211229803,0,0.9485211229803,0,0,0,0,0,0,0
TXNL4A,0.987063181061785,0,0,0,0,0.987063181061785,0.987063181061785,0,0,0,0.987063181061785,0,0,0.987063181061785,0,0,0.987063181061785,0,0.987063181061785,0.987063181061785,0.987063181061785,0.987063181061785,0,0,0.987063181061785,0.987063181061785,0.987063181061785,0,0.987063181061785
HIC2,0.981587846905363,0,0,0.981587846905363,0,0.981587846905363,0.981587846905363,0,0,0.981587846905363,0,0.981587846905363,0.981587846905363,0.981587846905363,0.981587846905363,0.981587846905363,0.981587846905363,0,0.981587846905363,0,0.981587846905363,0.981587846905363,0.981587846905363,0,0,0,0,0,0.981587846905363
WDTC1,0,0,0.977508186161361,0.977508186161361,0.977508186161361,0.977508186161361,0.977508186161361,0.977508186161361,0.977508186161361,0,0,0.977508186161361,0,0.977508186161361,0.977508186161361,0,0.977508186161361,0,0.977508186161361,0,0,0.977508186161361,0,0.977508186161361,0,0.977508186161361,0.977508186161361,0,0
INPP4A,0.968973106446938,0,0,0,0,0.968973106446938,0.968973106446938,0,0,0.968973106446938,0.968973106446938,0,0,0.968973106446938,0.968973106446938,0,0.968973106446938,0.968973106446938,0.968973106446938,0,0.968973106446938,0.968973106446938,0,0.968973106446938,0,0.968973106446938,0,0.968973106446938,0
SSH1,0,0,0,0,0,0.963605131783778,0.963605131783778,0,0,0.963605131783778,0.963605131783778,0,0.963605131783778,0.963605131783778,0,0,0.963605131783778,0.963605131783778,0.963605131783778,0,0.963605131783778,0.963605131783778,0,0.963605131783778,0.963605131783778,0,0,0.963605131783778,0
TAF8,0,0,0.995598260776209,0,0,0.995598260776209,0.995598260776209,0.995598260776209,0,0.995598260776209,0.995598260776209,0.995598260776209,0,0.995598260776209,0.995598260776209,0,0.995598260776209,0,0.995598260776209,0,0.995598260776209,0.995598260776209,0.995598260776209,0,0.995598260776209,0,0,0,0.995598260776209
USP21,0,0,0.953620698910301,0.953620698910301,0.953620698910301,0.953620698910301,0.953620698910301,0.953620698910301,0,0.953620698910301,0,0.953620698910301,0.953620698910301,0.953620698910301,0.953620698910301,0,0.953620698910301,0.953620698910301,0.953620698910301,0,0,0.953620698910301,0.953620698910301,0,0,0,0,0,0
EZH1,0,0,0.964947125449568,0,0.964947125449568,0.964947125449568,0.964947125449568,0.964947125449568,0,0.964947125449568,0,0,0,0.964947125449568,0.964947125449568,0.964947125449568,0.964947125449568,0,0.964947125449568,0,0.964947125449568,0.964947125449568,0,0.964947125449568,0,0.964947125449568,0,0,0
P2RX7,0.973321165924097,0,0,0,0.973321165924097,0.973321165924097,0.973321165924097,0,0,0,0,0,0.973321165924097,0.973321165924097,0,0,0.973321165924097,0,0.973321165924097,0.973321165924097,0.973321165924097,0.973321165924097,0.973321165924097,0.973321165924097,0,0,0.973321165924097,0,0
FOXJ2,0,0,0,0,0.93542326480219,0.93542326480219,0.93542326480219,0,0,0.93542326480219,0.93542326480219,0,0.93542326480219,0.93542326480219,0,0,0.93542326480219,0,0.93542326480219,0.93542326480219,0.93542326480219,0.93542326480219,0,0,0,0.93542326480219,0,0,0.93542326480219
ATAD5,0,0,0,0,0.996564496215578,0.996564496215578,0.996564496215578,0,0,0.996564496215578,0.996564496215578,0,0.996564496215578,0.996564496215578,0,0,0.996564496215578,0,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0,0,0.996564496215578,0,0.996564496215578,0
CTCF,0,0,0,0,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0,0,0,0,0.98115840893231,0.98115840893231,0,0,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0,0.98115840893231,0.98115840893231,0,0,0.98115840893231,0,0.98115840893231,0.98115840893231
SMARCC2,0,0,0.916527993987868,0.916527993987868,0.916527993987868,0.916527993987868,0.916527993987868,0.916527993987868,0,0.916527993987868,0,0,0.916527993987868,0.916527993987868,0,0,0.916527993987868,0,0.916527993987868,0,0.916527993987868,0.916527993987868,0,0,0,0.916527993987868,0,0,0
UBE2O,0,0,0,0,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0,0,0.974824198829782,0,0.974824198829782,0.974824198829782,0,0.974824198829782,0.974824198829782,0,0,0,0,0.974824198829782,0
TMEM131,0,0,0,0,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052,0,0,0.97879650008052,0,0.97879650008052,0.97879650008052,0,0,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052,0,0.97879650008052,0,0,0.97879650008052,0.97879650008052,0,0,0
STAG1,0,0,0,0,0,0.923130602823555,0.923130602823555,0,0,0,0,0,0,0.923130602823555,0,0,0.923130602823555,0,0.923130602823555,0.923130602823555,0.923130602823555,0.923130602823555,0,0,0.923130602823555,0.923130602823555,0.923130602823555,0.923130602823555,0
MYO18A,0,0,0,0,0.986311664608943,0.986311664608943,0.986311664608943,0,0,0.986311664608943,0,0.986311664608943,0.986311664608943,0.986311664608943,0,0,0.986311664608943,0,0.986311664608943,0.986311664608943,0.986311664608943,0.986311664608943,0.986311664608943,0,0.986311664608943,0,0,0,0
BCLAF1,0,0.967094315314832,0,0,0,0.967094315314832,0.967094315314832,0,0,0,0.967094315314832,0,0,0.967094315314832,0,0,0.967094315314832,0,0.967094315314832,0,0.967094315314832,0.967094315314832,0,0,0.967094315314832,0.967094315314832,0.967094315314832,0.967094315314832,0
KIAA0895L,0,0.949755757152826,0.949755757152826,0.949755757152826,0,0.949755757152826,0.949755757152826,0.949755757152826,0,0.949755757152826,0,0,0,0.949755757152826,0.949755757152826,0.949755757152826,0.949755757152826,0.949755757152826,0.949755757152826,0,0,0.949755757152826,0,0,0,0,0,0,0.949755757152826
