,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
DOC2B,0,0.993075312684524,0.993075312684524,0.993075312684524,0,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0,0.993075312684524,0.993075312684524,0.993075312684524,0,0.993075312684524,0,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0,0,0.993075312684524,0.993075312684524,0,0.993075312684524
FAM101B,0,0.99597401900263,0,0.99597401900263,0,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0,0.99597401900263,0.99597401900263,0,0.99597401900263,0,0,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263
LINGO1,0.993343711417682,0.993343711417682,0,0,0,0.993343711417682,0.993343711417682,0.993343711417682,0.993343711417682,0.993343711417682,0.993343711417682,0,0,0.993343711417682,0.993343711417682,0,0.993343711417682,0,0,0.993343711417682,0,0.993343711417682,0.993343711417682,0,0,0.993343711417682,0.993343711417682,0.993343711417682,0.993343711417682
COL23A1,0,0.99967792152021,0.99967792152021,0,0,0.99967792152021,0.99967792152021,0.99967792152021,0.99967792152021,0,0.99967792152021,0,0.99967792152021,0.99967792152021,0.99967792152021,0,0.99967792152021,0,0.99967792152021,0.99967792152021,0,0.99967792152021,0,0.99967792152021,0,0,0.99967792152021,0,0.99967792152021
PPP1R12B,0,0.991840678511997,0.991840678511997,0,0,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0,0,0.991840678511997,0.991840678511997,0,0.991840678511997,0.991840678511997,0,0.991840678511997,0,0,0,0.991840678511997,0,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997
SYT2,0,0.99833592785442,0.99833592785442,0.99833592785442,0,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0,0.99833592785442,0,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0,0,0.99833592785442,0,0,0,0,0.99833592785442,0,0.99833592785442,0,0.99833592785442
SOX8,0.995759300016104,0.995759300016104,0.995759300016104,0.995759300016104,0,0.995759300016104,0.995759300016104,0.995759300016104,0.995759300016104,0.995759300016104,0.995759300016104,0,0,0.995759300016104,0.995759300016104,0,0.995759300016104,0,0,0.995759300016104,0,0.995759300016104,0,0,0,0,0.995759300016104,0,0.995759300016104
TMEM130,0,0.994256267110419,0,0,0,0.994256267110419,0.994256267110419,0.994256267110419,0.994256267110419,0,0.994256267110419,0.994256267110419,0.994256267110419,0.994256267110419,0.994256267110419,0,0.994256267110419,0,0,0.994256267110419,0,0.994256267110419,0,0.994256267110419,0,0,0.994256267110419,0,0.994256267110419
RASD1,0,0.996403456975683,0.996403456975683,0.996403456975683,0,0.996403456975683,0.996403456975683,0.996403456975683,0.996403456975683,0.996403456975683,0.996403456975683,0,0,0.996403456975683,0.996403456975683,0,0.996403456975683,0,0,0.996403456975683,0,0.996403456975683,0,0,0.996403456975683,0,0.996403456975683,0,0.996403456975683
AATK,0.992001717751892,0.992001717751892,0,0,0,0.992001717751892,0.992001717751892,0.992001717751892,0.992001717751892,0.992001717751892,0.992001717751892,0,0,0.992001717751892,0.992001717751892,0,0.992001717751892,0,0,0.992001717751892,0,0.992001717751892,0,0,0,0,0.992001717751892,0.992001717751892,0.992001717751892
EHMT1,0,0.995007783563262,0,0,0,0.995007783563262,0.995007783563262,0.995007783563262,0.995007783563262,0,0.995007783563262,0.995007783563262,0,0.995007783563262,0.995007783563262,0,0.995007783563262,0.995007783563262,0,0.995007783563262,0,0,0.995007783563262,0,0.995007783563262,0,0.995007783563262,0,0.995007783563262
CDH23,0,0.997745450641473,0.997745450641473,0,0,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0,0.997745450641473,0,0,0.997745450641473,0.997745450641473,0,0.997745450641473,0,0,0.997745450641473,0,0,0,0.997745450641473,0,0.997745450641473,0.997745450641473,0,0.997745450641473
WDR5,0,0.99597401900263,0,0,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0,0.99597401900263,0,0,0.99597401900263,0.99597401900263,0,0.99597401900263,0.99597401900263,0,0.99597401900263,0,0,0.99597401900263,0,0.99597401900263,0,0.99597401900263,0,0.99597401900263
PTPRN2,0,0.999355843040421,0,0,0,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0,0.999355843040421,0,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0,0,0.999355843040421,0,0.999355843040421,0,0,0,0,0.999355843040421,0.999355843040421,0.999355843040421
FABP3,0.994256267110419,0.994256267110419,0,0,0,0.994256267110419,0.994256267110419,0.994256267110419,0.994256267110419,0,0.994256267110419,0,0.994256267110419,0.994256267110419,0.994256267110419,0,0.994256267110419,0,0,0.994256267110419,0,0,0.994256267110419,0,0,0,0.994256267110419,0,0.994256267110419
C19orf45,0,0.996993934188631,0,0.996993934188631,0.996993934188631,0.996993934188631,0.996993934188631,0.996993934188631,0.996993934188631,0,0.996993934188631,0,0,0.996993934188631,0.996993934188631,0.996993934188631,0.996993934188631,0,0,0.996993934188631,0,0,0.996993934188631,0,0.996993934188631,0,0.996993934188631,0,0.996993934188631
ZNF623,0,0.998228568361157,0,0,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0,0.998228568361157,0,0,0.998228568361157,0.998228568361157,0,0.998228568361157,0,0,0.998228568361157,0.998228568361157,0,0,0,0.998228568361157,0,0.998228568361157,0.998228568361157,0.998228568361157
ZNF407,0,0.998980084814,0,0,0,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0,0.998980084814,0,0,0.998980084814,0.998980084814,0,0.998980084814,0,0.998980084814,0.998980084814,0,0,0,0,0.998980084814,0,0.998980084814,0.998980084814,0.998980084814
FAIM3,0,0.999785281013474,0,0,0,0.999785281013474,0.999785281013474,0.999785281013474,0.999785281013474,0,0.999785281013474,0.999785281013474,0,0.999785281013474,0.999785281013474,0,0.999785281013474,0,0.999785281013474,0.999785281013474,0,0,0,0.999785281013474,0,0,0.999785281013474,0,0.999785281013474
DKFZP434L187,0,0.997852810134736,0.997852810134736,0,0,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0,0.997852810134736,0.997852810134736,0,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0,0,0.997852810134736,0,0,0.997852810134736,0,0,0,0.997852810134736,0.997852810134736,0.997852810134736
STK32C,0,0.994470986096946,0,0.994470986096946,0,0.994470986096946,0.994470986096946,0.994470986096946,0.994470986096946,0,0.994470986096946,0,0.994470986096946,0.994470986096946,0.994470986096946,0.994470986096946,0.994470986096946,0,0,0.994470986096946,0,0,0,0,0,0,0.994470986096946,0,0.994470986096946
KNDC1,0,0.995115143056525,0,0,0,0.995115143056525,0.995115143056525,0.995115143056525,0.995115143056525,0,0.995115143056525,0,0.995115143056525,0.995115143056525,0.995115143056525,0.995115143056525,0.995115143056525,0,0,0.995115143056525,0,0.995115143056525,0,0,0,0,0.995115143056525,0,0.995115143056525
ZNF565,0,0.994417306350314,0,0,0,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0,0.994417306350314,0,0,0.994417306350314,0.994417306350314,0,0.994417306350314,0,0,0.994417306350314,0.994417306350314,0,0,0,0.994417306350314,0,0.994417306350314,0.994417306350314,0.994417306350314
IL24,0,0.997477051908315,0,0,0,0.997477051908315,0.997477051908315,0.997477051908315,0.997477051908315,0,0.997477051908315,0.997477051908315,0,0.997477051908315,0.997477051908315,0,0.997477051908315,0,0.997477051908315,0.997477051908315,0,0,0,0,0,0,0.997477051908315,0,0.997477051908315
FAM20C,0,0.995383541789683,0,0,0,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0,0.995383541789683,0.995383541789683,0,0.995383541789683,0.995383541789683,0,0.995383541789683,0,0,0.995383541789683,0,0,0,0.995383541789683,0,0,0.995383541789683,0,0.995383541789683
GNG13,0,0.998550646840947,0,0,0,0.998550646840947,0.998550646840947,0.998550646840947,0.998550646840947,0,0.998550646840947,0,0.998550646840947,0.998550646840947,0.998550646840947,0,0.998550646840947,0.998550646840947,0,0.998550646840947,0,0,0,0,0,0,0.998550646840947,0,0.998550646840947
ZNF557,0,0.991894358258629,0,0,0.991894358258629,0.991894358258629,0.991894358258629,0.991894358258629,0.991894358258629,0,0.991894358258629,0,0,0.991894358258629,0.991894358258629,0,0.991894358258629,0,0,0.991894358258629,0,0,0,0,0.991894358258629,0,0.991894358258629,0,0.991894358258629
FAM157A,0,0.998067529121263,0,0,0,0.998067529121263,0.998067529121263,0.998067529121263,0.998067529121263,0,0.998067529121263,0,0,0.998067529121263,0.998067529121263,0,0.998067529121263,0,0,0.998067529121263,0,0,0,0,0.998067529121263,0,0.998067529121263,0.998067529121263,0.998067529121263
TUBB8,0.998872725320736,0.998872725320736,0,0,0,0.998872725320736,0.998872725320736,0.998872725320736,0.998872725320736,0,0.998872725320736,0,0,0.998872725320736,0.998872725320736,0,0.998872725320736,0,0,0.998872725320736,0,0,0,0,0.998872725320736,0,0.998872725320736,0,0.998872725320736
FOXI2,0,0.99393418863063,0,0,0,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0,0.99393418863063,0,0,0.99393418863063,0.99393418863063,0,0.99393418863063,0,0,0.99393418863063,0,0.99393418863063,0.99393418863063,0.99393418863063,0,0,0.99393418863063,0,0.99393418863063
GPR123,0,0.999248483547158,0,0,0,0.999248483547158,0.999248483547158,0.999248483547158,0.999248483547158,0,0.999248483547158,0,0,0.999248483547158,0.999248483547158,0.999248483547158,0.999248483547158,0.999248483547158,0,0.999248483547158,0,0.999248483547158,0,0,0,0.999248483547158,0.999248483547158,0,0.999248483547158
