,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
EEF1D,0.996081378495894,0.996081378495894,0.996081378495894,0,0,0,0,0,0,0.996081378495894,0.996081378495894,0,0.996081378495894,0.996081378495894,0.996081378495894,0.996081378495894,0.996081378495894,0.996081378495894,0,0,0.996081378495894,0.996081378495894,0,0,0.996081378495894,0.996081378495894,0,0.996081378495894,0.996081378495894
ZNF358,0,0.996457136722315,0.996457136722315,0.996457136722315,0,0.996457136722315,0,0,0,0.996457136722315,0.996457136722315,0.996457136722315,0,0.996457136722315,0,0,0,0.996457136722315,0.996457136722315,0,0.996457136722315,0,0.996457136722315,0.996457136722315,0.996457136722315,0.996457136722315,0,0.996457136722315,0.996457136722315
C9orf142,0.995920339255999,0,0.995920339255999,0,0.995920339255999,0,0,0,0.995920339255999,0,0.995920339255999,0,0,0.995920339255999,0.995920339255999,0,0,0.995920339255999,0,0.995920339255999,0.995920339255999,0,0,0,0.995920339255999,0.995920339255999,0.995920339255999,0,0.995920339255999
SEC22B,0,0.996725535455473,0.996725535455473,0,0,0.996725535455473,0,0,0,0,0.996725535455473,0,0,0.996725535455473,0,0,0,0.996725535455473,0.996725535455473,0,0.996725535455473,0.996725535455473,0,0,0,0.996725535455473,0.996725535455473,0.996725535455473,0.996725535455473
SHARPIN,0.999141124053894,0,0.999141124053894,0,0,0.999141124053894,0,0,0,0.999141124053894,0.999141124053894,0,0,0.999141124053894,0.999141124053894,0,0,0.999141124053894,0,0.999141124053894,0.999141124053894,0,0.999141124053894,0,0.999141124053894,0.999141124053894,0,0,0.999141124053894
PEX11G,0,0.997906489881368,0.997906489881368,0,0,0,0.997906489881368,0,0,0.997906489881368,0.997906489881368,0,0,0.997906489881368,0.997906489881368,0,0.997906489881368,0.997906489881368,0,0.997906489881368,0,0.997906489881368,0.997906489881368,0,0,0.997906489881368,0,0,0.997906489881368
HINT2,0,0,0.994685705083472,0,0.994685705083472,0,0,0,0,0.994685705083472,0.994685705083472,0,0,0.994685705083472,0,0,0.994685705083472,0.994685705083472,0,0.994685705083472,0,0,0,0,0.994685705083472,0.994685705083472,0.994685705083472,0,0.994685705083472
ZNF407,0,0.998496967094315,0.998496967094315,0,0.998496967094315,0.998496967094315,0,0,0,0.998496967094315,0.998496967094315,0,0,0.998496967094315,0,0,0,0.998496967094315,0,0.998496967094315,0,0,0,0,0.998496967094315,0.998496967094315,0.998496967094315,0,0.998496967094315
PSMD14,0,0.998604326587578,0.998604326587578,0,0,0,0.998604326587578,0,0,0,0.998604326587578,0,0,0.998604326587578,0,0.998604326587578,0.998604326587578,0.998604326587578,0.998604326587578,0,0,0,0.998604326587578,0.998604326587578,0,0.998604326587578,0,0.998604326587578,0.998604326587578
ZNF623,0,0.999409522787052,0.999409522787052,0,0.999409522787052,0,0,0.999409522787052,0,0.999409522787052,0.999409522787052,0,0,0.999409522787052,0,0,0,0.999409522787052,0.999409522787052,0,0,0,0,0,0,0.999409522787052,0.999409522787052,0,0.999409522787052
NID1,0,0,0.998443287347684,0,0.998443287347684,0,0.998443287347684,0,0,0.998443287347684,0.998443287347684,0.998443287347684,0,0.998443287347684,0,0,0,0.998443287347684,0.998443287347684,0,0,0,0.998443287347684,0,0,0.998443287347684,0,0,0.998443287347684
DPP7,0,0.995383541789683,0.995383541789683,0,0.995383541789683,0,0,0,0.995383541789683,0.995383541789683,0.995383541789683,0,0,0.995383541789683,0,0,0,0.995383541789683,0,0,0,0,0,0,0.995383541789683,0.995383541789683,0,0,0.995383541789683
