,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
KIF22,0,0.813506549280653,0.855540047240713,0.795683916684561,0.778559158256388,0.797562808675113,0.80980244792785,0,0,0,0.799924844320378,0.802823706248658,0.812808675112733,0,0,0.824726218595662,0.810070861069358,0.85108438909169,0,0,0.913356237921409,0.832188103929568,0.79783122181662,0.813291818767447,0.831812325531458,0,0.827088254240928,0,0.286074726218596
TBC1D10B,0,0.988511917543483,0.974124973158686,0.98733089972085,0.99527592870947,0.993611767232124,0.994846467683058,0,0,0,0.987062486579343,0.993397036718918,0.993504401975521,0,0,0.984700450934078,0.984754133562379,0.97498389521151,0,0,0.92065707537041,0.990337126905733,0.994309641400043,0.990981318445351,0.986364612411424,0,0.991088683701954,0,0.993021258320807
INO80E,0,0.899828215589435,0.937835516426884,0.926991625509985,0.963120034356882,0.941324887266481,0.942989048743826,0,0,0,0.918992913893064,0.928548421730728,0.943150096628731,0,0,0.94637105432682,0.936278720206141,0.927367403908095,0,0,0.926240068713764,0.890272707751771,0.942291174575907,0.937835516426884,0.918026626583638,0,0.906431178870517,0,0.71521365686064
ZNF768,0,0.871591153102856,0.872503757783981,0.880019325746189,0.907129053038437,0.895104144298905,0.90363968219884,0,0,0,0.870463817908525,0.891077947176294,0.895694653210221,0,0,0.880126691002792,0.9347756066137,0.906216448357312,0,0,0.849366544986042,0.879965643117887,0.897358814687567,0.890380073008375,0.92607902082886,0,0.882273996134851,0,0.293697659437406
DAZAP1,0,0.933970367189178,0.981425810607687,0.983787846252953,0.938103929568392,0.976003865149238,0.955389735881469,0,0,0,0.979815331758643,0.974178655786987,0.97063560231909,0,0,0.982928924200129,0.950450934077732,0.965321022117243,0,0,0.955658149022976,0.94239853983251,0.972407129053038,0.977345930856775,0.937728151170281,0,0.891077947176294,0,0.537792570324243
MLST8,0,0.960221172428602,0.906216448357312,0.933057762508052,0.936439768091046,0.932628301481641,0.945028988619283,0,0,0,0.943364827141937,0.936869229117458,0.933863001932575,0,0,0.915771956194975,0.919261327034572,0.911638393815761,0,0,0.809104573759931,0.957859136783337,0.93660081597595,0.934560876100494,0.934882971870303,0,0.959630663517286,0,0.933433540906163
SPNS1,0,0.776358170496028,0.784464247369551,0.826283014816405,0.826658793214516,0.837126905733305,0.858009448142581,0,0,0,0.810285591582564,0.834925917972944,0.823276787631522,0,0,0.808084603822203,0.865739746617994,0.801857418939231,0,0,0.657987975091261,0.822203135065493,0.83406699592012,0.828537685205068,0.896929353661155,0,0.794717629375134,0,0.413893064204423
PPP4C,0,0.992538114666094,0.977775391883187,0.989156109083101,0.992860210435903,0.993343354090616,0.994255958771741,0,0,0,0.989209791711402,0.993933863001933,0.993289671462315,0,0,0.984485720420872,0.98512991196049,0.982016319519004,0,0,0.937889199055186,0.994148593515139,0.994094910886837,0.991249731586858,0.986310929783122,0,0.993611767232124,0,0.989048743826498
SAC3D1,0,0.901868155464892,0.884958127549925,0.897627227829075,0.911531028559158,0.904659652136569,0.921301266910028,0,0,0,0.895533605325317,0.905411208932789,0.904928065278076,0,0,0.890863216663088,0.88007300837449,0.870195404767017,0,0,0.835355378999356,0.913678333691218,0.908417436117672,0.903908095340348,0.913893064204423,0,0.913839381576122,0,0.859888340133133
C16orf59,0,0.592441485935151,0.861015675327464,0.848829718703028,0.87969722997638,0.859458879106721,0.84566244363324,0,0,0,0.803467897788276,0.825799871161692,0.846521365686064,0,0,0.885226540691432,0.912443633240283,0.857526304487868,0,0,0.817371698518359,0.640326390380073,0.850977023835087,0.849205497101138,0.883240283444277,0,0.578484002576766,0,0.0817049602748551
FBXL19,0,0.99382649774533,0.991357096843461,0.98947820485291,0.980459523298261,0.988082456517071,0.986525660296328,0,0,0,0.99167919261327,0.989317156968005,0.990176079020829,0,0,0.989585570109513,0.994631737169852,0.996510629160404,0,0,0.987384582349152,0.993289671462315,0.98840455228688,0.98947820485291,0.990766587932145,0,0.991035001073653,0,0.386353875885763
PRR14,0,0.996940090186816,0.990766587932145,0.991035001073653,0.992162336267984,0.989102426454799,0.993933863001933,0,0,0,0.995061198196264,0.989961348507623,0.992054971011381,0,0,0.990981318445351,0.985290959845394,0.989746617994417,0,0,0.962636890702169,0.995812754992484,0.991840240498175,0.992162336267984,0.98802877388877,0,0.996510629160404,0,0.98405625939446
THOC6,0,0.993074940949109,0.955819196907881,0.973856560017178,0.99457805454155,0.97718488297187,0.984861498818982,0,0,0,0.984002576766158,0.973695512132274,0.983734163624651,0,0,0.972997637964355,0.977614343998282,0.970420871805884,0,0,0.849527592870947,0.98008374490015,0.983841528881254,0.978312218166201,0.952651921838093,0,0.991786557869873,0,0.993182306205712
MBD3,0,0.967736740390809,0.963120034356882,0.951631951900365,0.961616920764441,0.962475842817264,0.972568176937943,0,0,0,0.95216877818338,0.965643117887052,0.96666308782478,0,0,0.955980244792785,0.927957912819412,0.953510843890917,0,0,0.976164913034142,0.97680910457376,0.963925273781404,0.963442130126691,0.956248657934292,0,0.977238565600172,0,0.943901653424952
CDT1,0,0.849688640755851,0.931071505260898,0.920871805883616,0.892366330255529,0.917811896070432,0.926132703457161,0,0,0,0.902512347004509,0.915557225681769,0.912121537470475,0,0,0.927850547562809,0.961724286021044,0.938372342709899,0,0,0.913356237921409,0.898700880395104,0.912443633240283,0.921838093193043,0.975198625724715,0,0.860210435902942,0,0.0970581919690788
TUFM,0,0.937889199055186,0.885065492806528,0.943955336053253,0.903424951685635,0.950397251449431,0.934614558728795,0,0,0,0.934346145587288,0.958288597809749,0.937191324887267,0,0,0.902834442774318,0.834120678548422,0.855110586214301,0,0,0.796220742967576,0.954638179085248,0.944760575477775,0.938479707966502,0.874221601889628,0,0.935688211294825,0,0.989156109083101
ZNF668,0,0.963871591153103,0.966018896285162,0.965965213656861,0.907826927206356,0.958288597809749,0.944277431823062,0,0,0,0.966877818337986,0.965911531028559,0.956678118960704,0,0,0.9565170710758,0.901331329181877,0.954423448572042,0,0,0.970367189177582,0.972782907451149,0.954584496456947,0.961509555507838,0.917650848185527,0,0.955550783766373,0,0.833798582778613
