,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZMYM3,0,0.602748550569036,0.602748550569036,0.980191110156753,0.621054326819841,0.693633240283444,0.6702812969723,0,0,0.753059909813184,0,0.689821773674039,0.670764440627013,0,0.668456087610049,0.650150311359244,0,0.649076658793215,0,0,0.66630878247799,0.648486149881898,0.75182520936225,0.666147734593086,0,0.643547348078162,0.645318874812111,0.665879321451578,0
SNRNP200,0,0.933379858277861,0.933379858277861,0.980191110156753,0.92645479922697,0.831973373416362,0.882059265621645,0,0,0.645265192183809,0,0.843622503757784,0.881844535108439,0,0.883991840240498,0.905894352587503,0,0.907451148808246,0,0,0.887534893708396,0.913302555293107,0.752093622503758,0.887964354734808,0,0.910940519647842,0.920764440627013,0.889413785698948,0
GPATCH8,0,0.517983680480996,0.517983680480996,0.980191110156753,0.534303199484647,0.616061842387803,0.585838522654069,0,0,0.652243933863002,0,0.611015675327464,0.585945887910672,0,0.584228043805025,0.564043375563668,0,0.562432896714623,0,0,0.581329181876745,0.562754992484432,0.631361391453726,0.581114451363539,0,0.557869873308997,0.558245651707108,0.579879750912605,0
TRRAP,0,0.591689929138931,0.591689929138931,0.980191110156753,0.657451148808246,0.849098131844535,0.794449216233627,0,0,0.851299119604896,0,0.840079450289886,0.794771312003436,0,0.790476701739317,0.741840240498175,0,0.737384582349152,0,0,0.78585999570539,0.728741679192613,0.791281941163839,0.785269486794073,0,0.725467038866223,0.708610693579558,0.782531672750698,0
SPEN,0,0.690734378355164,0.690734378355164,0.980191110156753,0.801320592656216,0.975252308353017,0.947391024264548,0,0,0.994255958771741,0,0.971118745973803,0.947498389521151,0,0.94492162336268,0.904552286879966,0,0.89998926347434,0,0,0.941754348292892,0.889360103070646,0.99022976164913,0.941432252523083,0,0.888179085248014,0.862465106291604,0.939284947391024,0
EP400,0,0.696585784840026,0.696585784840026,0.980191110156753,0.717951470904015,0.780867511273352,0.764655357526305,0,0,0.892688426025338,0,0.779042301911102,0.764762722782907,0,0.763205926562164,0.747208503328323,0,0.745759072364183,0,0,0.761702812969723,0.744631737169852,0.913195190036504,0.761541765084819,0,0.740766587932145,0.73947820485291,0.761004938801804,0
ZNF142,0,0.835677474769165,0.835677474769165,0.980191110156753,0.830040798797509,0.767500536826283,0.798153317586429,0,0,0.606989478204853,0,0.774855056903586,0.797938587073223,0,0.800193257461885,0.813613914537256,0,0.814794932359888,0,0,0.80217951470904,0.821183165127765,0.653424951685635,0.802340562593945,0,0.817049602748551,0.829933433540906,0.803199484646768,0
MDN1,0,0.720742967575693,0.720742967575693,0.980191110156753,0.730298475413356,0.745598024479278,0.745598024479278,0,0,0.663678333691218,0,0.74602748550569,0.74565170710758,0,0.745920120249087,0.740981318445351,0,0.739800300622719,0,0,0.745329611337771,0.742216018896285,0.659759501825209,0.745114880824565,0,0.738350869658578,0.742806527807601,0.745114880824565,0
ADNP,0,0.598883401331329,0.598883401331329,0.995383293966073,0.683379858277861,0.895855701095126,0.843622503757784,0,0,0.983036289456732,0,0.887642258964999,0.843783551642688,0,0.840347863431394,0.784625295254456,0,0.779686493450719,0,0,0.834281726433326,0.768574189392313,0.981640541120893,0.833798582778613,0,0.765890057977239,0.738726648056689,0.830470259823921,0
ARID1A,0,0.892527378140434,0.892527378140434,0.980191110156753,0.916577195619498,0.954101352802233,0.949216233626798,0,0,0.92318015890058,0,0.953779257032424,0.949377281511703,0,0.948840455228688,0.939768091045738,0,0.938909168992914,0,0,0.948303628945673,0.936493450719347,0.917704530813829,0.948249946317372,0,0.935527163409921,0.930695726862787,0.948035215804166,0
