,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PBX1,0,0.786289456731802,0.885763366974447,0,0.337771097272922,0,0.966018896285162,0.987921408632167,0,1,0,0.75327464032639,0,0,0.845930856774748,1,0,1,0.978741679192613,1,0.87427528451793,0.829879750912605,0,0.821934721923985,0,0,0.883938157612197,0,0
PRICKLE2,0,0.968380931930427,0.996295898647198,0,0.372986901438694,0,0.945780545415503,0.63442130126691,0,1,0,0.373416362465106,0,0,0.989209791711402,1,0,1,0.375778398110372,1,0.983143654713335,0.977721709254885,0,0.979600601245437,0,0,0.973051320592656,0,0
DZIP1,0,0.652243933863002,0.823974661799442,0,0.520775177152673,0,0.912389950611982,0.496886407558514,0,1,0,0.373416362465106,0,0,0.6376959415933,1,0,1,0.543751342065708,1,0.635172858063131,0.665610908310071,0,0.719508267124758,0,0,0.622557440412283,0,0
TCF4,0,0.925917972943955,0.989585570109513,0,0.604573759931286,0,0.993611767232124,0.989317156968005,0,1,0,0.963442130126691,0,0,0.956624436332403,1,0,1,0.558030921193902,1,0.960060124543698,0.930480996349581,0,0.94637105432682,0,0,0.979654283873738,0,0
MEIS2,0,0.989048743826498,0.979546918617135,0,0.883777109727292,0,0.980459523298261,0.984485720420872,0,1,0,0.882166630878248,0,0,0.98985398325102,1,0,1,0.0607150526089757,1,0.98947820485291,0.986471977668027,0,0.986096199269916,0,0,0.996188533390595,0,0
C20orf194,0,0.748818982177367,0.811842387803307,0,0.871698518359459,0,0.0544878677260039,0.208932789349367,0,1,0,0.972031350654928,0,0,0.80110586214301,1,0,1,0.402512347004509,1,0.858653639682199,0.700504616706034,0,0.687191324887267,0,0,0.849527592870947,0,0
FLRT2,0,0.752039939875456,0.874328967146231,0,0.283873738458235,0,0.851567532746403,0.695458449645695,0,1,0,0.373416362465106,0,0,0.817156968005154,1,0,1,0.718434614558729,1,0.860586214301052,0.813130770882542,0,0.799710113807172,0,0,0.798045952329826,0,0
PTRF,0,0.905948035215804,0.866544986042517,0,0.724339703671892,0,0.577141936869229,0.270828859780975,0,1,0,0.939070216877818,0,0,0.918992913893064,1,0,1,0.190680695726863,1,0.933165127764655,0.909974232338415,0,0.901599742323384,0,0,0.941861713549495,0,0
SYDE1,0,0.963817908524801,0.981103714837879,0,0.433755636675972,0,0.845125617350226,0.467683057762508,0,1,0,0.373416362465106,0,0,0.980459523298261,1,0,1,0.470259823920979,1,0.980405840669959,0.973641829503972,0,0.969239853983251,0,0,0.96628730942667,0,0
CALD1,0,0.926240068713764,0.98078161906807,0,0.421891775821344,0,0.562003435688211,0.539295683916685,0,1,0,0.86885333905948,0,0,0.946854197981533,1,0,1,0.526411853124329,1,0.966340992054971,0.941754348292892,0,0.935366115525016,0,0,0.972621859566244,0,0
SSPN,0,0.984002576766158,0.9782585355379,0,0.319465321022117,0,0.893708395963066,0.651760790208289,0,1,0,0.434346145587288,0,0,0.984163624651063,1,0,1,0.665771956194975,1,0.991464462100064,0.988995061198196,0,0.987652995490659,0,0,0.983251019969938,0,0
LHFP,0,0.994255958771741,0.939177582134421,0,0.835892205282371,0,0.360478849044449,0.115793429246296,0,1,0,0.373416362465106,0,0,0.988458234915181,1,0,1,0.234485720420872,1,0.988243504401976,0.994309641400043,0,0.993880180373631,0,0,0.987706678118961,0,0
MSRB3,0,0.5905625939446,0.350118101782263,0,0.464998926347434,0,0.429085248013743,0.481264762722783,0,1,0,0.373416362465106,0,0,0.64601674898003,1,0,1,0.522170925488512,1,0.708664376207859,0.623308997208503,0,0.611015675327464,0,0,0.615525016104788,0,0
ZBTB47,0,0.591528881254026,0.767071075799871,0,0.356398969293537,0,0.918939231264763,0.67355593729869,0,1,0,0.552286879965643,0,0,0.648325101996994,1,0,1,0.568176937942882,1,0.654230191110157,0.640111659866867,0,0.648271419368692,0,0,0.662658363753489,0,0
