,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CLIC4,0,0,0.886890702168778,1,0,0,0.963281082241787,0,0,0.928280008589221,0.889628516212154,1,0.926508481855272,0,0.929514709040155,0,0,0,1,0,1,0.766748980030062,0.901599742323384,1,0,0.708234915181447,0,0,0.924951685634529
GNG12,0,0,0.700504616706034,1,0,0,0.988672965428387,0,0,0.745222246081168,0.673609619926992,1,0.635119175434829,0,0.638823276787632,0,0,0,1,0,1,0.986096199269916,0.99710113807172,1,0,0.744363324028344,0,0,0.718595662443633
PDCD6IP,0,0,0.911799441700666,1,0,0,0.894996779042302,0,0,0.965267339488941,0.697015245866438,1,0.800569035859996,0,0.698035215804166,0,0,0,1,0,1,0.72063560231909,0.907343783551643,1,0,0.97063560231909,0,0,0.981050032209577
WDFY1,0,0,0.9637642258965,1,0,0,0.992806527807601,0,0,0.96269057333047,0.973641829503972,1,0.935527163409921,0,0.938103929568392,0,0,0,1,0,1,0.971065063345501,0.989370839596307,1,0,0.708234915181447,0,0,0.962636890702169
AXL,0,0,0.707859136783337,1,0,0,0.883777109727292,0,0,0.380985613055615,0.579235559372987,1,0.678816834872235,0,0.682789349366545,0,0,0,1,0,1,0.787577839811037,0.786343139360103,1,0,0.948035215804166,0,0,0.42355593729869
LAMP2,0,0,0.834657504831437,1,0,0,0.916469830362895,0,0,0.934131415074082,0.782316942237492,1,0.906216448357312,0,0.910027914966717,0,0,0,1,0,1,0.83659007945029,0.901868155464892,1,0,0.708234915181447,0,0,0.916899291389306
SLC7A7,0,0,0.796596521365686,1,0,0,0.778022331973373,0,0,0.834818552716341,0.687996564311789,1,0.712046381790852,0,0.721118745973803,0,0,0,1,0,1,0.779632810822418,0.867618638608546,1,0,0.870517500536826,0,0,0.793697659437406
FEM1B,0,0,0.96521365686064,1,0,0,0.971333476487009,0,0,0.913839381576122,0.980405840669959,1,0.904283873738458,0,0.908041657719562,0,0,0,1,0,1,0.951846682413571,0.972353446424737,1,0,0.821881039295684,0,0,0.9130341421516
MBNL1,0,0,0.85833154391239,1,0,0,0.904230191110157,0,0,0.937728151170281,0.837932145157827,1,0.941646983036289,0,0.943901653424952,0,0,0,1,0,1,0.664000429461026,0.755260897573545,1,0,0.708234915181447,0,0,0.934185097702384
TGFBR1,0,0,0.887749624221602,1,0,0,0.942344857204209,0,0,0.990176079020829,0.733895211509556,1,0.961992699162551,0,0.964086321666309,0,0,0,1,0,1,0.928548421730728,0.948679407343784,1,0,0.708234915181447,0,0,0.982767876315224
EPS15,0,0,0.909222675542194,1,0,0,0.979869014386944,0,0,0.871322739961348,0.929944170066566,1,0.793053467897788,0,0.801964784195834,0,0,0,1,0,1,0.682037792570324,0.963549495383294,1,0,0.782263259609191,0,0,0.854036933648271
RHOG,0,0,0.904069143225252,1,0,0,0.697391024264548,0,0,0.933487223534464,0.888554863646124,1,0.727829074511488,0,0.737652995490659,0,0,0,1,0,1,0.984593085677475,0.923448572042087,1,0,0.708234915181447,0,0,0.931017822632596
PICALM,0,0,0.791550354305347,1,0,0,0.944009018681555,0,0,0.814204423448572,0.610264118531243,1,0.765406914322525,0,0.689284947391024,0,0,0,1,0,1,0.719078806098347,0.866437620785914,1,0,0.964247369551213,0,0,0.920871805883616
RAB32,0,0,0.848453940304917,1,0,0,0.959845394030492,0,0,0.67355593729869,0.798421730727936,1,0.812057118316513,0,0.819680051535323,0,0,0,1,0,1,0.55507837663732,0.823437835516427,1,0,0.931393601030706,0,0,0.705175005368263
WIPF1,0,0,0.781296972299764,1,0,0,0.806044663946747,0,0,0.8876959415933,0.749033712690573,1,0.920549710113807,0,0.923663302555293,0,0,0,1,0,1,0.680534678977883,0.601728580631308,1,0,0.708234915181447,0,0,0.89929138930642
RBM43,0,0,0.587502684131415,1,0,0,0.74457805454155,0,0,0.761649130341422,0.524908739531887,1,0.782316942237492,0,0.792248228473266,0,0,0,1,0,1,0.516856345286665,0.67897788275714,1,0,0.708234915181447,0,0,0.723588146875671
NPAT,0,0,0.542999785269487,1,0,0,0.689929138930642,0,0,0.725413356237921,0.487169851835946,1,0.817371698518359,0,0.824350440197552,0,0,0,1,0,1,0.773298260682843,0.67790423019111,1,0,0.708234915181447,0,0,0.718166201417221
