,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
KDM4B,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0,0,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0.932846636963873,0,0.932846636963873,0.932846636963873
FEM1A,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0.965591282409147,0,0,0.965591282409147,0.965591282409147
REXO1,0,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0.903000697836706,0,0,0.903000697836706,0
SPPL2B,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0.931987761017768,0,0.931987761017768,0
CHERP,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0,0,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0.8990820763326,0,0,0
ARHGEF18,0,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0,0.92699554458103,0.92699554458103,0,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0.92699554458103,0,0,0.92699554458103,0.92699554458103
GTF2F1,0,0.912663052230393,0.912663052230393,0.912663052230393,0.912663052230393,0.912663052230393,0.912663052230393,0.912663052230393,0.912663052230393,0.912663052230393,0,0.912663052230393,0,0.912663052230393,0.912663052230393,0.912663052230393,0,0.912663052230393,0.912663052230393,0.912663052230393,0.912663052230393,0.912663052230393,0.912663052230393,0.912663052230393,0.912663052230393,0,0,0.912663052230393,0
BRD4,0,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0,0.932524558484084,0.932524558484084,0,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0,0,0,0.932524558484084
ANAPC2,0,0.983144559557679,0.983144559557679,0.983144559557679,0.983144559557679,0.983144559557679,0.983144559557679,0.983144559557679,0.983144559557679,0.983144559557679,0,0.983144559557679,0.983144559557679,0.983144559557679,0.983144559557679,0.983144559557679,0.983144559557679,0,0.983144559557679,0.983144559557679,0.983144559557679,0,0,0.983144559557679,0.983144559557679,0.983144559557679,0,0.983144559557679,0.983144559557679
CLPP,0.926727145847872,0.926727145847872,0.926727145847872,0.926727145847872,0.926727145847872,0,0,0.926727145847872,0.926727145847872,0.926727145847872,0,0.926727145847872,0.926727145847872,0.926727145847872,0,0.926727145847872,0.926727145847872,0.926727145847872,0.926727145847872,0.926727145847872,0,0.926727145847872,0.926727145847872,0.926727145847872,0.926727145847872,0,0,0.926727145847872,0
