,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
NID1,0,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0,0,0.998228568361157,0.998228568361157,0,0.998228568361157,0,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0,0,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0
SCN1B,0,0.995490901282946,0,0.995490901282946,0.995490901282946,0.995490901282946,0.995490901282946,0.995490901282946,0.995490901282946,0,0,0.995490901282946,0.995490901282946,0,0,0,0,0,0.995490901282946,0.995490901282946,0.995490901282946,0,0.995490901282946,0.995490901282946,0,0.995490901282946,0,0.995490901282946,0.995490901282946
COL23A1,0,0.999785281013474,0.999785281013474,0,0,0.999785281013474,0.999785281013474,0.999785281013474,0.999785281013474,0,0,0.999785281013474,0.999785281013474,0,0.999785281013474,0,0,0,0.999785281013474,0.999785281013474,0.999785281013474,0,0.999785281013474,0,0.999785281013474,0.999785281013474,0,0.999785281013474,0
LGI4,0.998496967094315,0.998496967094315,0.998496967094315,0,0.998496967094315,0,0.998496967094315,0,0.998496967094315,0,0.998496967094315,0.998496967094315,0.998496967094315,0,0.998496967094315,0,0,0,0,0.998496967094315,0.998496967094315,0,0,0.998496967094315,0,0.998496967094315,0,0.998496967094315,0.998496967094315
SCT,0,0.999194803800526,0.999194803800526,0.999194803800526,0,0,0.999194803800526,0.999194803800526,0.999194803800526,0,0,0.999194803800526,0.999194803800526,0,0.999194803800526,0,0,0.999194803800526,0,0.999194803800526,0.999194803800526,0,0,0,0,0.999194803800526,0,0.999194803800526,0
FXYD1,0,0.998174888614526,0.998174888614526,0.998174888614526,0,0.998174888614526,0.998174888614526,0.998174888614526,0.998174888614526,0,0,0.998174888614526,0.998174888614526,0,0,0,0,0,0,0.998174888614526,0.998174888614526,0,0,0.998174888614526,0,0.998174888614526,0,0.998174888614526,0
INPP5D,0.998765365827473,0,0.998765365827473,0.998765365827473,0.998765365827473,0,0.998765365827473,0,0.998765365827473,0,0,0.998765365827473,0.998765365827473,0.998765365827473,0.998765365827473,0,0,0,0,0.998765365827473,0.998765365827473,0,0,0,0,0.998765365827473,0,0.998765365827473,0
MUC12,0,0,0.999409522787052,0.999409522787052,0.999409522787052,0,0.999409522787052,0,0.999409522787052,0,0.999409522787052,0.999409522787052,0.999409522787052,0,0,0,0.999409522787052,0,0,0.999409522787052,0.999409522787052,0,0,0,0,0.999409522787052,0,0.999409522787052,0.999409522787052
FXYD5,0.997208653175157,0,0.997208653175157,0,0,0,0.997208653175157,0,0.997208653175157,0,0,0.997208653175157,0.997208653175157,0.997208653175157,0.997208653175157,0,0,0,0,0.997208653175157,0.997208653175157,0.997208653175157,0,0,0,0.997208653175157,0,0.997208653175157,0
ARHGEF16,0,0,0,0,0,0,0.997423372161683,0,0.997423372161683,0,0.997423372161683,0.997423372161683,0.997423372161683,0.997423372161683,0,0,0,0,0,0.997423372161683,0.997423372161683,0,0,0,0.997423372161683,0.997423372161683,0,0.997423372161683,0.997423372161683
TMEM121,0,0,0,0,0,0.994846744323367,0.994846744323367,0.994846744323367,0.994846744323367,0,0,0.994846744323367,0.994846744323367,0,0,0,0,0,0.994846744323367,0.994846744323367,0.994846744323367,0,0,0.994846744323367,0,0.994846744323367,0,0.994846744323367,0
SOX8,0,0.997691770894841,0,0,0.997691770894841,0,0.997691770894841,0,0.997691770894841,0,0,0.997691770894841,0.997691770894841,0.997691770894841,0,0,0.997691770894841,0.997691770894841,0,0.997691770894841,0.997691770894841,0,0,0,0,0.997691770894841,0,0.997691770894841,0
EPS8L2,0,0,0,0,0,0,0.996242417735788,0.996242417735788,0.996242417735788,0,0,0.996242417735788,0.996242417735788,0,0,0,0.996242417735788,0,0,0.996242417735788,0.996242417735788,0,0,0,0.996242417735788,0.996242417735788,0,0.996242417735788,0.996242417735788
FAM83H,0.996188737989157,0,0,0,0,0,0.996188737989157,0,0.996188737989157,0.996188737989157,0,0.996188737989157,0.996188737989157,0,0,0,0,0,0.996188737989157,0.996188737989157,0.996188737989157,0,0,0,0.996188737989157,0.996188737989157,0,0.996188737989157,0
LINGO1,0,0,0,0,0.995812979762736,0,0.995812979762736,0,0.995812979762736,0,0,0.995812979762736,0.995812979762736,0.995812979762736,0,0,0,0,0,0.995812979762736,0.995812979762736,0,0,0,0,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736
ACHE,0,0,0,0.996349777229051,0,0,0.996349777229051,0.996349777229051,0.996349777229051,0,0,0.996349777229051,0.996349777229051,0,0,0,0,0,0,0.996349777229051,0.996349777229051,0,0.996349777229051,0,0.996349777229051,0.996349777229051,0,0.996349777229051,0
NGEF,0,0,0,0,0,0,0.998872725320736,0,0.998872725320736,0,0,0.998872725320736,0.998872725320736,0,0,0,0,0,0.998872725320736,0.998872725320736,0.998872725320736,0,0,0,0.998872725320736,0.998872725320736,0.998872725320736,0.998872725320736,0
SSTR5,0.997423372161683,0,0,0,0,0,0.997423372161683,0,0.997423372161683,0,0,0.997423372161683,0.997423372161683,0,0,0,0.997423372161683,0,0,0.997423372161683,0.997423372161683,0,0,0,0.997423372161683,0.997423372161683,0,0.997423372161683,0
FXYD7,0,0,0.998067529121263,0,0.998067529121263,0,0.998067529121263,0,0.998067529121263,0,0,0.998067529121263,0.998067529121263,0,0.998067529121263,0,0,0,0.998067529121263,0.998067529121263,0.998067529121263,0,0,0,0,0.998067529121263,0,0.998067529121263,0
DRD4,0,0,0.99967792152021,0.99967792152021,0,0,0.99967792152021,0.99967792152021,0.99967792152021,0,0,0.99967792152021,0.99967792152021,0,0,0,0,0,0,0.99967792152021,0.99967792152021,0,0,0,0,0.99967792152021,0,0.99967792152021,0
SYT2,0,0,0,0,0,0,0.999033764560631,0,0.999033764560631,0,0,0.999033764560631,0.999033764560631,0,0,0,0,0,0,0.999033764560631,0.999033764560631,0.999033764560631,0,0,0,0.999033764560631,0.999033764560631,0.999033764560631,0.999033764560631
SCCPDH,0,0,0,0,0,0,0.994578345590209,0,0.994578345590209,0,0,0.994578345590209,0.994578345590209,0,0,0,0,0,0,0.994578345590209,0.994578345590209,0,0.994578345590209,0,0.994578345590209,0.994578345590209,0,0.994578345590209,0.994578345590209
FOXI2,0,0,0,0,0,0,0.996457136722315,0,0.996457136722315,0,0,0.996457136722315,0.996457136722315,0,0,0,0,0,0,0.996457136722315,0.996457136722315,0,0,0,0.996457136722315,0.996457136722315,0.996457136722315,0.996457136722315,0
DGAT1,0,0,0,0,0,0,0.994578345590209,0,0.994578345590209,0.994578345590209,0.994578345590209,0.994578345590209,0.994578345590209,0,0,0.994578345590209,0,0,0,0.994578345590209,0.994578345590209,0,0.994578345590209,0,0,0.994578345590209,0,0.994578345590209,0
IRF7,0,0,0,0.998711686080842,0,0,0.998711686080842,0,0.998711686080842,0.998711686080842,0,0.998711686080842,0.998711686080842,0,0,0,0,0,0,0.998711686080842,0.998711686080842,0.998711686080842,0,0,0,0.998711686080842,0,0.998711686080842,0
PSMD14,0,0,0,0,0,0,0.998443287347684,0,0.998443287347684,0,0,0.998443287347684,0.998443287347684,0,0,0,0,0,0,0.998443287347684,0.998443287347684,0.998443287347684,0,0.998443287347684,0,0.998443287347684,0.998443287347684,0.998443287347684,0
MCOLN1,0,0,0,0,0,0,0.996886574695367,0,0.996886574695367,0,0,0.996886574695367,0.996886574695367,0,0,0,0,0,0.996886574695367,0.996886574695367,0.996886574695367,0,0,0,0.996886574695367,0.996886574695367,0,0.996886574695367,0
PTPRN2,0,0,0,0.999624241773579,0.999624241773579,0,0.999624241773579,0,0.999624241773579,0,0,0.999624241773579,0.999624241773579,0.999624241773579,0,0,0,0,0,0.999624241773579,0.999624241773579,0,0,0,0,0.999624241773579,0,0.999624241773579,0
NARFL,0.995437221536314,0,0,0,0,0,0.995437221536314,0,0.995437221536314,0.995437221536314,0,0.995437221536314,0.995437221536314,0,0,0,0,0,0,0.995437221536314,0.995437221536314,0,0.995437221536314,0,0,0.995437221536314,0,0.995437221536314,0
ARRDC1,0,0,0,0,0,0,0.996188737989157,0.996188737989157,0.996188737989157,0,0.996188737989157,0.996188737989157,0.996188737989157,0,0,0,0,0,0,0.996188737989157,0.996188737989157,0.996188737989157,0,0,0,0.996188737989157,0,0.996188737989157,0
LOC143666,0,0,0,0,0,0,0.995866659509367,0,0.995866659509367,0,0.995866659509367,0.995866659509367,0.995866659509367,0,0,0,0.995866659509367,0.995866659509367,0,0.995866659509367,0.995866659509367,0,0,0,0,0.995866659509367,0,0.995866659509367,0
PPP1R12B,0,0.995061463309893,0,0,0,0,0.995061463309893,0,0.995061463309893,0,0,0.995061463309893,0.995061463309893,0,0,0.995061463309893,0,0,0,0.995061463309893,0.995061463309893,0,0.995061463309893,0,0,0.995061463309893,0,0.995061463309893,0
LMF1,0.99763809114821,0,0,0,0,0,0.99763809114821,0,0.99763809114821,0,0,0.99763809114821,0.99763809114821,0,0,0,0,0,0,0.99763809114821,0.99763809114821,0,0,0,0,0.99763809114821,0.99763809114821,0.99763809114821,0
DOCK1,0,0,0,0,0,0,0.997799130388105,0,0.997799130388105,0.997799130388105,0.997799130388105,0.997799130388105,0.997799130388105,0,0,0,0,0,0,0.997799130388105,0.997799130388105,0,0.997799130388105,0,0,0.997799130388105,0,0.997799130388105,0
SRRT,0.995168822803156,0,0,0,0,0,0.995168822803156,0,0.995168822803156,0,0,0.995168822803156,0.995168822803156,0,0,0,0,0,0,0.995168822803156,0.995168822803156,0,0,0,0,0.995168822803156,0,0.995168822803156,0.995168822803156
ZNF358,0,0,0,0,0,0,0.99731601266842,0.99731601266842,0.99731601266842,0.99731601266842,0,0.99731601266842,0.99731601266842,0,0,0,0,0,0,0.99731601266842,0.99731601266842,0,0,0,0,0.99731601266842,0,0.99731601266842,0
FAM173A,0,0,0,0.994309946857051,0,0,0.994309946857051,0,0.994309946857051,0.994309946857051,0,0.994309946857051,0.994309946857051,0,0,0,0,0,0,0.994309946857051,0.994309946857051,0,0,0,0,0.994309946857051,0,0.994309946857051,0
TSTA3,0,0,0,0,0,0,0.997047613935262,0,0.997047613935262,0.997047613935262,0.997047613935262,0.997047613935262,0.997047613935262,0,0,0,0,0,0,0.997047613935262,0.997047613935262,0,0,0,0,0.997047613935262,0,0.997047613935262,0
GPR137B,0.997584411401578,0,0,0,0,0,0.997584411401578,0,0.997584411401578,0,0,0.997584411401578,0.997584411401578,0,0.997584411401578,0,0,0,0,0.997584411401578,0.997584411401578,0,0,0,0,0.997584411401578,0,0.997584411401578,0
SLC38A10,0,0,0,0.997530731654947,0,0,0.997530731654947,0.997530731654947,0.997530731654947,0,0,0.997530731654947,0.997530731654947,0,0,0,0,0,0,0.997530731654947,0.997530731654947,0,0,0,0,0.997530731654947,0,0.997530731654947,0
ZNF146,0,0,0,0.996779215202104,0,0,0.996779215202104,0,0.996779215202104,0.996779215202104,0,0.996779215202104,0.996779215202104,0,0,0,0,0,0,0.996779215202104,0.996779215202104,0,0,0,0,0.996779215202104,0,0.996779215202104,0
RPUSD1,0,0,0,0,0,0,0.998282248107789,0,0.998282248107789,0.998282248107789,0,0.998282248107789,0.998282248107789,0,0,0,0,0,0,0.998282248107789,0.998282248107789,0.998282248107789,0,0,0,0.998282248107789,0,0.998282248107789,0
EHMT1,0.997154973428525,0,0,0,0,0,0.997154973428525,0,0.997154973428525,0,0.997154973428525,0.997154973428525,0.997154973428525,0,0,0,0,0,0,0.997154973428525,0.997154973428525,0,0,0,0,0.997154973428525,0,0.997154973428525,0
EFHC2,0,0,0,0,0,0,0.994900424069998,0,0.994900424069998,0,0,0.994900424069998,0.994900424069998,0,0,0.994900424069998,0,0.994900424069998,0,0.994900424069998,0.994900424069998,0,0,0,0,0.994900424069998,0,0.994900424069998,0
TRIP6,0,0,0,0,0,0,0.994846744323367,0,0.994846744323367,0,0,0.994846744323367,0.994846744323367,0,0,0,0,0,0,0.994846744323367,0.994846744323367,0,0,0,0.994846744323367,0.994846744323367,0,0.994846744323367,0
UNCX,0,0,0,0,0,0,0.998013849374631,0,0.998013849374631,0,0,0.998013849374631,0.998013849374631,0,0,0,0,0,0,0.998013849374631,0.998013849374631,0,0,0,0.998013849374631,0.998013849374631,0,0.998013849374631,0
CTTN,0,0,0,0,0,0,0.99865800633421,0,0.99865800633421,0,0,0.99865800633421,0.99865800633421,0,0,0,0,0,0,0.99865800633421,0.99865800633421,0,0,0,0.99865800633421,0.99865800633421,0,0.99865800633421,0
LOC149134,0,0,0,0,0,0,0.998550646840947,0,0.998550646840947,0,0,0.998550646840947,0.998550646840947,0,0,0,0,0,0,0.998550646840947,0.998550646840947,0,0.998550646840947,0,0,0.998550646840947,0.998550646840947,0.998550646840947,0
ZNF565,0,0,0,0,0,0,0.996832894948736,0,0.996832894948736,0,0,0.996832894948736,0.996832894948736,0,0,0,0,0,0,0.996832894948736,0.996832894948736,0,0,0,0.996832894948736,0.996832894948736,0,0.996832894948736,0
MSLN,0,0,0,0,0,0,0.996725535455473,0,0.996725535455473,0,0.996725535455473,0.996725535455473,0.996725535455473,0,0,0,0.996725535455473,0,0,0.996725535455473,0.996725535455473,0,0,0,0,0.996725535455473,0,0.996725535455473,0
GPR123,0,0,0,0,0,0,0.999570562026947,0,0.999570562026947,0,0,0.999570562026947,0.999570562026947,0,0,0,0,0,0,0.999570562026947,0.999570562026947,0,0,0,0.999570562026947,0.999570562026947,0,0.999570562026947,0
RASSF7,0,0,0,0,0,0,0.99527618229642,0,0.99527618229642,0,0.99527618229642,0.99527618229642,0.99527618229642,0,0,0,0.99527618229642,0,0,0.99527618229642,0.99527618229642,0,0,0,0,0.99527618229642,0,0.99527618229642,0
NAPRT1,0,0,0,0,0,0,0.994846744323367,0,0.994846744323367,0.994846744323367,0,0.994846744323367,0.994846744323367,0,0,0,0,0,0,0.994846744323367,0.994846744323367,0,0.994846744323367,0,0,0.994846744323367,0,0.994846744323367,0
AATK,0.995168822803156,0,0,0,0,0,0.995168822803156,0,0.995168822803156,0,0,0.995168822803156,0.995168822803156,0,0,0,0,0,0,0.995168822803156,0.995168822803156,0,0,0,0,0.995168822803156,0,0.995168822803156,0
PYCRL,0,0,0,0,0,0,0.996510816468946,0,0.996510816468946,0.996510816468946,0,0.996510816468946,0.996510816468946,0,0,0,0,0,0,0.996510816468946,0.996510816468946,0,0,0,0,0.996510816468946,0,0.996510816468946,0
C17orf89,0,0,0,0,0,0,0.999463202533684,0,0.999463202533684,0.999463202533684,0,0.999463202533684,0.999463202533684,0,0,0,0,0,0,0.999463202533684,0.999463202533684,0,0,0,0,0.999463202533684,0,0.999463202533684,0
HSF1,0,0,0,0,0,0,0.996618175962209,0,0.996618175962209,0.996618175962209,0,0.996618175962209,0.996618175962209,0,0,0,0,0,0,0.996618175962209,0.996618175962209,0,0,0,0,0.996618175962209,0,0.996618175962209,0
PPP2R3B,0,0,0,0,0,0,0.994578345590209,0,0.994578345590209,0,0,0.994578345590209,0.994578345590209,0,0,0,0,0,0,0.994578345590209,0.994578345590209,0,0,0,0,0.994578345590209,0,0.994578345590209,0.994578345590209
HPN,0,0,0,0,0,0,0.996027698749262,0,0.996027698749262,0,0,0.996027698749262,0.996027698749262,0,0,0,0,0,0,0.996027698749262,0.996027698749262,0,0,0,0,0.996027698749262,0,0.996027698749262,0.996027698749262
KNDC1,0,0,0,0,0,0,0.997262332921789,0,0.997262332921789,0,0,0.997262332921789,0.997262332921789,0.997262332921789,0,0,0,0,0,0.997262332921789,0.997262332921789,0,0,0,0,0.997262332921789,0,0.997262332921789,0
TIGD5,0,0,0,0,0,0,0.995598260776209,0,0.995598260776209,0.995598260776209,0,0.995598260776209,0.995598260776209,0,0,0,0,0,0,0.995598260776209,0.995598260776209,0,0,0,0,0.995598260776209,0,0.995598260776209,0
C1QTNF8,0.995651940522841,0,0,0,0,0,0.995651940522841,0,0.995651940522841,0,0,0.995651940522841,0.995651940522841,0,0,0,0,0,0,0.995651940522841,0.995651940522841,0,0,0,0,0.995651940522841,0,0.995651940522841,0
CLRN3,0.994363626603682,0,0,0,0,0,0.994363626603682,0,0.994363626603682,0,0,0.994363626603682,0.994363626603682,0,0,0,0,0,0,0.994363626603682,0.994363626603682,0,0,0,0,0.994363626603682,0,0.994363626603682,0
PNPLA6,0,0,0,0,0,0,0.99597401900263,0,0.99597401900263,0,0,0.99597401900263,0.99597401900263,0,0,0,0.99597401900263,0,0,0.99597401900263,0.99597401900263,0,0,0,0,0.99597401900263,0,0.99597401900263,0
SNX16,0,0,0,0,0,0,0.999946320253368,0,0.999946320253368,0,0,0.999946320253368,0.999946320253368,0,0,0.999946320253368,0,0,0,0.999946320253368,0.999946320253368,0,0,0,0,0.999946320253368,0,0.999946320253368,0
CRYAA,0,0,0,0,0,0,0.994578345590209,0,0.994578345590209,0,0.994578345590209,0.994578345590209,0.994578345590209,0,0,0,0,0,0,0.994578345590209,0.994578345590209,0,0,0,0,0.994578345590209,0,0.994578345590209,0
