,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
FBXO11,0,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0.945783455902088,0,0.945783455902088,0,0.945783455902088,0.945783455902088
DHX57,0,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0.936818938214612,0,0.936818938214612,0,0.936818938214612,0.936818938214612
USP39,0,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816,0,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816,0,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816,0,0.917118471200816,0.917118471200816,0.917118471200816,0.917118471200816
SLC4A1AP,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0.938966128079875,0,0.938966128079875,0,0.938966128079875,0
MRPL19,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0,0.956465725481776,0
GTF3C2,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0,0.909549626925761,0.909549626925761,0.909549626925761,0.909549626925761,0,0.909549626925761,0,0.909549626925761,0
SUPT7L,0,0.940039723012507,0.940039723012507,0.940039723012507,0.940039723012507,0.940039723012507,0,0.940039723012507,0.940039723012507,0.940039723012507,0.940039723012507,0.940039723012507,0,0.940039723012507,0.940039723012507,0.940039723012507,0.940039723012507,0.940039723012507,0.940039723012507,0.940039723012507,0.940039723012507,0.940039723012507,0.940039723012507,0.940039723012507,0,0.940039723012507,0,0.940039723012507,0.940039723012507
MTIF2,0.976864029201782,0.976864029201782,0.976864029201782,0.976864029201782,0.976864029201782,0.976864029201782,0,0.976864029201782,0.976864029201782,0.976864029201782,0.976864029201782,0.976864029201782,0,0.976864029201782,0.976864029201782,0.976864029201782,0,0.976864029201782,0.976864029201782,0.976864029201782,0.976864029201782,0.976864029201782,0.976864029201782,0.976864029201782,0.976864029201782,0.976864029201782,0,0,0
HEATR5B,0,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0.985345429169574,0,0.985345429169574,0,0.985345429169574,0.985345429169574
E2F6,0.967309034301358,0.967309034301358,0.967309034301358,0.967309034301358,0.967309034301358,0.967309034301358,0,0.967309034301358,0.967309034301358,0.967309034301358,0.967309034301358,0.967309034301358,0,0.967309034301358,0.967309034301358,0.967309034301358,0.967309034301358,0.967309034301358,0.967309034301358,0,0,0.967309034301358,0.967309034301358,0.967309034301358,0,0.967309034301358,0,0,0.967309034301358
