,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
LMNB1,0,0.866008159759502,1,0,1,0.94964569465321,0,0,0,0,0,0.93187674468542,0,0,0.839220528237063,0.699914107794718,0,1,0.885172858063131,0,0,0,0,0.767661584711188,1,0,0.816727506978742,1,0
CENPF,0,0.649398754563023,1,0,1,0.796596521365686,0,0,0,0,0,0.552823706248658,0,0,0.806420442344857,0.528666523512991,0,1,0.721977668026627,0,0,0,0,0.53151170281297,1,0,0.73405625939446,1,0
FBXO5,0,0.716126261541765,1,0,1,0.775230835301696,0,0,0,0,0,0.854144298904874,0,0,0.854251664161477,0.693686922911746,0,1,0.695136353875886,0,0,0,0,0.512937513420657,1,0,0.768198410994202,1,0
EZH2,0,0.854197981533176,1,0,1,0.974447068928495,0,0,0,0,0,0.73223105003221,0,0,0.76846682413571,0.690465965213657,0,1,0.923878033068499,0,0,0,0,0.816083315439124,1,0,0.864558728795362,1,0
CEP78,0,0.692076444062701,1,0,1,0.576712475842817,0,0,0,0,0,0.590025767661585,0,0,0.918509770238351,0.563721279793859,0,1,0.53516212153747,0,0,0,0,0.867994417006657,1,0,0.650579772385656,1,0
DSCC1,0,0.603875885763367,1,0,1,0.281619068069573,0,0,0,0,0,0.737062486579343,0,0,0.843998282155894,0.692237491947606,0,1,0.312916040369336,0,0,0,0,0.888501181017823,1,0,0.618745973802877,1,0
HAUS6,0,0.659813184453511,1,0,1,0.891829503972514,0,0,0,0,0,0.649667167704531,0,0,0.65471333476487,0.508642903156539,0,1,0.901492377066781,0,0,0,0,0.760629160403693,1,0,0.73115739746618,1,0
STMN1,0,0.890809534034786,1,0,1,0.548958557010951,0,0,0,0,0,0.800622718488297,0,0,0.989156109083101,0.908202705604466,0,1,0.654069143225252,0,0,0,0,0.994846467683058,1,0,0.931662014172214,1,0
TTK,0,0.712046381790852,1,0,1,0.759609190465965,0,0,0,0,0,0.822632596091905,0,0,0.652780760146017,0.58841528881254,0,1,0.693955336053253,0,0,0,0,0.439768091045738,1,0,0.562916040369337,1,0
CDCA7,0,0.715911531028559,1,0,1,0.791120893278935,0,0,0,0,0,0.680695726862787,0,0,0.775445565814902,0.577732445780545,0,1,0.706087610049388,0,0,0,0,0.543590294180803,1,0,0.7282585355379,1,0
TMPO,0,0.843568821129483,1,0,1,0.815117028129697,0,0,0,0,0,0.882864505046167,0,0,0.836321666308782,0.85215804165772,0,1,0.730942666952974,0,0,0,0,0.936654498604252,1,0,0.91738243504402,1,0
STIL,0,0.609566244363324,1,0,1,0.792624006871376,0,0,0,0,0,0.71993772815117,0,0,0.584389091689929,0.611820914751986,0,1,0.711831651277647,0,0,0,0,0.769594159330041,1,0,0.664698303628946,1,0
E2F2,0,0.985666738243504,1,0,1,0.73008374490015,0,0,0,0,0,0.850064419153962,0,0,0.987491947605755,0.983197337341636,0,1,0.66448357311574,0,0,0,0,0.948410994202276,1,0,0.984163624651063,1,0
RBMX,0,0.921193901653425,1,0,1,0.829772385656002,0,0,0,0,0,0.541711402190251,0,0,0.866222890272708,0.77716340992055,0,1,0.753006227184883,0,0,0,0,0.606667382435044,1,0,0.930373631092978,1,0
MCM6,0,0.6594374060554,1,0,1,0.542570324243075,0,0,0,0,0,0.560661369980674,0,0,0.644782048529096,0.657987975091261,0,1,0.658954262400687,0,0,0,0,0.517929997852695,1,0,0.66883186600816,1,0
CCDC138,0,0.65288812540262,1,0,1,0.38442130126691,0,0,0,0,0,0.493450719347219,0,0,0.8695512132274,0.610532531672751,0,1,0.485183594588791,0,0,0,0,0.512454369765944,1,0,0.688587073223105,1,0
MST4,0,0.906377496242216,1,0,1,0.971816620141722,0,0,0,0,0,0.951309856130556,0,0,0.635602319089543,0.804541550354305,0,1,0.919851835945888,0,0,0,0,0.410672106506335,1,0,0.782370624865793,1,0
DTL,0,0.763742752845179,1,0,1,0.899398754563023,0,0,0,0,0,0.465482070002147,0,0,0.735452007730299,0.56232553145802,0,1,0.960060124543698,0,0,0,0,0.777324457805454,1,0,0.778129697229976,1,0
FAM111B,0,0.803575263044879,1,0,1,0.281619068069573,0,0,0,0,0,0.303145802018467,0,0,0.426293751342066,0.867296542838737,0,1,0.312916040369336,0,0,0,0,0.536074726218596,1,0,0.855647412497316,1,0
NEK2,0,0.736257247154821,1,0,1,0.898754563023406,0,0,0,0,0,0.723319733734164,0,0,0.62824779901224,0.75434829289242,0,1,0.960704316083315,0,0,0,0,0.901116598668671,1,0,0.796274425595877,1,0
BLM,0,0.805990981318445,1,0,1,0.887856989478205,0,0,0,0,0,0.89349366544986,0,0,0.657182735666738,0.776143439982822,0,1,0.943364827141937,0,0,0,0,0.838791067210651,1,0,0.726594374060554,1,0
KHDRBS1,0,0.761434399828216,1,0,1,0.874919476057548,0,0,0,0,0,0.673663302555293,0,0,0.758857633669744,0.745490659222676,0,1,0.800944814258106,0,0,0,0,0.720850332832295,1,0,0.839757354520077,1,0
TPX2,0,0.738458234915181,1,0,1,0.85650633455014,0,0,0,0,0,0.714623147949324,0,0,0.854197981533176,0.675649559802448,0,1,0.797992269701525,0,0,0,0,0.837019540476702,1,0,0.712153747047455,1,0
LBR,0,0.967522009877604,1,0,1,0.953349796006012,0,0,0,0,0,0.892581060768735,0,0,0.958288597809749,0.936332402834443,0,1,0.947981533175864,0,0,0,0,0.796703886622289,1,0,0.931769379428817,1,0
KIFC1,0,0.951524586643762,1,0,1,0.982177367403908,0,0,0,0,0,0.901009233412068,0,0,0.985774103500107,0.835409061627657,0,1,0.965965213656861,0,0,0,0,0.997262185956624,1,0,0.927850547562809,1,0
E2F8,0,0.846038222031351,1,0,1,0.782907451148808,0,0,0,0,0,0.463871591153103,0,0,0.739102426454799,0.724608116813399,0,1,0.728419583422804,0,0,0,0,0.788168348722353,1,0,0.804487867726004,1,0
NASP,0,0.806420442344857,1,0,1,0.563023405625939,0,0,0,0,0,0.8985398325102,0,0,0.923072793643977,0.793375563667597,0,1,0.562808675112733,0,0,0,0,0.867242860210436,1,0,0.770882542409276,1,0
HMGB2,0,0.75289886192828,1,0,1,0.939660725789135,0,0,0,0,0,0.667167704530814,0,0,0.782209576980889,0.650311359244149,0,1,0.978741679192613,0,0,0,0,0.891614773459309,1,0,0.804165771956195,1,0
HNRNPL,0,0.990820270560447,1,0,1,0.973319733734164,0,0,0,0,0,0.938264977453296,0,0,0.999785269486794,0.946639467468327,0,1,0.922697015245866,0,0,0,0,0.977668026626584,1,0,0.989370839596307,1,0
MCM3,0,0.974822847326605,1,0,1,0.960221172428602,0,0,0,0,0,0.991786557869873,0,0,0.869068069572686,0.956839166845609,0,1,0.903317586429032,0,0,0,0,0.687137642258965,1,0,0.933594588791067,1,0
MCM7,0,0.993880180373631,1,0,1,0.916684560876101,0,0,0,0,0,0.986525660296328,0,0,0.987277217092549,0.993074940949109,0,1,0.865793429246296,0,0,0,0,0.998443203779257,1,0,0.997154820700021,1,0
SFPQ,0,0.733197337341636,1,0,1,0.796059695082671,0,0,0,0,0,0.690412282585355,0,0,0.532209576980889,0.774747691646983,0,1,0.716072578913464,0,0,0,0,0.580953403478634,1,0,0.803897358814688,1,0
GSG2,0,0.993450719347219,1,0,1,0.980727936439768,0,0,0,0,0,0.998067425381147,0,0,0.988941378569895,0.987008803951041,0,1,0.94492162336268,0,0,0,0,0.911316298045952,1,0,0.988726648056689,1,0
OIP5,0,0.69384797079665,1,0,1,0.857633669744471,0,0,0,0,0,0.766426884260253,0,0,0.668670818123255,0.490068713764226,0,1,0.786826283014816,0,0,0,0,0.589757354520077,1,0,0.539242001288383,1,0
STRBP,0,0.862894567318016,1,0,1,0.827947176293751,0,0,0,0,0,0.737599312862358,0,0,0.912604681125188,0.803145802018467,0,1,0.79638179085248,0,0,0,0,0.533497960060125,1,0,0.788114666094052,1,0
TYMS,0,0.929622074296758,1,0,1,0.843890916899291,0,0,0,0,0,0.946693150096629,0,0,0.973588146875671,0.932520936225038,0,1,0.768681554648916,0,0,0,0,0.552770023620356,1,0,0.941861713549495,1,0
CDC7,0,0.780008589220528,1,0,1,0.921838093193043,0,0,0,0,0,0.909598453940305,0,0,0.699001503113592,0.590992054971011,0,1,0.854036933648271,0,0,0,0,0.476325960919047,1,0,0.584818552716341,1,0
USP1,0,0.527378140433756,1,0,1,0.829074511488082,0,0,0,0,0,0.441110156753275,0,0,0.516695297401761,0.366867081812326,0,1,0.814043375563668,0,0,0,0,0.505368262830148,1,0,0.544395533605325,1,0
HNRNPA3,0,0.778773888769594,1,0,1,0.870410135280223,0,0,0,0,0,0.812271848829719,0,0,0.853446424736955,0.611391453725574,0,1,0.796220742967576,0,0,0,0,0.849903371269057,1,0,0.754563023405626,1,0
SGOL2,0,0.813989692935366,1,0,1,0.801213227399614,0,0,0,0,0,0.674361176723212,0,0,0.793214515782693,0.7355056903586,0,1,0.728419583422804,0,0,0,0,0.453886622289027,1,0,0.825531458020185,1,0
CCDC18,0,0.740981318445351,1,0,1,0.986203564526519,0,0,0,0,0,0.548099634958128,0,0,0.515675327464033,0.542624006871376,0,1,0.988243504401976,0,0,0,0,0.581812325531458,1,0,0.755690358599957,1,0
SEPHS1,0,0.876959415933004,1,0,1,0.845447713120034,0,0,0,0,0,0.909168992913893,0,0,0.778022331973373,0.828537685205068,0,1,0.775391883186601,0,0,0,0,0.553897358814688,1,0,0.793160833154391,1,0
CASP2,0,0.758267124758428,1,0,1,0.564204423448572,0,0,0,0,0,0.873308997208503,0,0,0.822364182950397,0.894943096414,0,1,0.51159544771312,0,0,0,0,0.859297831221817,1,0,0.790261971226111,1,0
KHSRP,0,0.494417006656646,1,0,1,0.48223105003221,0,0,0,0,0,0.804165771956195,0,0,0.52646553575263,0.754616706033927,0,1,0.509233412067855,0,0,0,0,0.850815975950183,1,0,0.680105217951471,1,0
TARDBP,0,0.676508481855272,1,0,1,0.868262830148164,0,0,0,0,0,0.60978097487653,0,0,0.678172643332618,0.563560231908954,0,1,0.79385870732231,0,0,0,0,0.840347863431394,1,0,0.722246081168134,1,0
CHEK1,0,0.681071505260898,1,0,1,0.281619068069573,0,0,0,0,0,0.596199269916255,0,0,0.808460382220313,0.615041872450075,0,1,0.312916040369336,0,0,0,0,0.519325746188533,1,0,0.635387588576337,1,0
BCL11B,0,0.555990981318445,1,0,1,0.756227184882972,0,0,0,0,0,0.821773674039081,0,0,0.00622718488297187,0.702222460811681,0,1,0.730191110156753,0,0,0,0,0.38152243933863,1,0,0.620839596306635,1,0
RAD54L,0,0.712261112304058,1,0,1,0.807279364397681,0,0,0,0,0,0.83803951041443,0,0,0.762615417650848,0.589220528237063,0,1,0.741893923126476,0,0,0,0,0.819841099420228,1,0,0.575907236418295,1,0
SEH1L,0,0.718273566673824,1,0,1,0.598239209791711,0,0,0,0,0,0.742967575692506,0,0,0.855969508267125,0.801374275284518,0,1,0.5507300837449,0,0,0,0,0.56377496242216,1,0,0.81484861498819,1,0
NDC80,0,0.536021043590294,1,0,1,0.329665020399399,0,0,0,0,0,0.570216877818338,0,0,0.740605540047241,0.582402834442774,0,1,0.312916040369336,0,0,0,0,0.64891561090831,1,0,0.65036504187245,1,0
SAFB,0,0.746832724930213,1,0,1,0.859458879106721,0,0,0,0,0,0.615632381361391,0,0,0.813130770882542,0.599366544986042,0,1,0.788812540261971,0,0,0,0,0.870678548421731,1,0,0.692559587717415,1,0
PRPF38A,0,0.674844320377926,1,0,1,0.628569894782048,0,0,0,0,0,0.627281511702813,0,0,0.675381146660941,0.670173931715697,0,1,0.563130770882542,0,0,0,0,0.731908954262401,1,0,0.733412067854842,1,0
LOC81691,0,0.919637105432682,1,0,1,0.949430964140004,0,0,0,0,0,0.945780545415503,0,0,0.691539617779687,0.794717629375134,0,1,0.885548636461241,0,0,0,0,0.469669315009663,1,0,0.818015890057977,1,0
