,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
UBE2C,0,0.993074940949109,0.990283444277432,0.991518144728366,0.990176079020829,0.98153317586429,0.988565600171784,0.989585570109513,0,0,0,0.985183594588791,0,0.98008374490015,0.989263474339704,0.990498174790638,0.993397036718918,0.991357096843461,0,0,0,0.990873953188748,0.988995061198196,0.993880180373631,1,0,0.986686708181233,0.991142366330256,0
TPX2,0,0.98078161906807,0.983841528881254,0.985720420871806,0.983948894137857,0.957053897358815,0.978956409705819,0.982338415288812,0,0,0,0.970045093407773,0,0.953510843890917,0.981425810607687,0.984163624651063,0.981694223749195,0.983626798368048,0,0,0,0.984807816190681,0.976325960919047,0.982875241571827,1,0,0.972568176937943,0.9855056903586,0
CDCA5,0,0.971172428602104,0.973749194760576,0.972675542194546,0.973588146875671,0.958932789349367,0.970367189177582,0.971601889628516,0,0,0,0.966233626798368,0,0.957161262615418,0.97138715911531,0.973749194760576,0.971977668026627,0.973427098990767,0,0,0,0.973588146875671,0.968917758213442,0.971118745973803,1,0,0.968005153532317,0.973105003220958,0
PLK1,0,0.981908954262401,0.985183594588791,0.987384582349152,0.985237277217093,0.963925273781404,0.981640541120893,0.98405625939446,0,0,0,0.973212368477561,0,0.959040154605969,0.983251019969938,0.9855056903586,0.982767876315224,0.985076229332188,0,0,0,0.986310929783122,0.978795361820915,0.984270989907666,1,0,0.975413356237921,0.987062486579343,0
KIF2C,0,0.998818982177367,0.998282155894353,0.997584281726433,0.998228473266051,0.998711616920764,0.998389521150956,0.998282155894353,0,0,0,0.998711616920764,0,0.998765299549066,0.998389521150956,0.998228473266051,0.998496886407559,0.998389521150956,0,0,0,0.998067425381147,0.998711616920764,0.998282155894353,1,0,0.998711616920764,0.997745329611338,0
CDCA3,0,0.995705389735882,0.993343354090616,0.992108653639682,0.993343354090616,0.991035001073653,0.993558084603822,0.993665449860425,0,0,0,0.992162336267984,0,0.990176079020829,0.993665449860425,0.993611767232124,0.995759072364183,0.99457805454155,0,0,0,0.993450719347219,0.994041228258536,0.994953832939661,1,0,0.992484432037793,0.992806527807601,0
AURKB,0,0.996832724930213,0.997208503328323,0.997047455443419,0.997154820700021,0.996617994417007,0.996993772815117,0.996993772815117,0,0,0,0.996779042301911,0,0.996671677045308,0.996993772815117,0.99710113807172,0.996832724930213,0.997315868584926,0,0,0,0.99710113807172,0.996940090186816,0.996832724930213,1,0,0.996886407558514,0.996940090186816,0
AURKA,0,0.986740390809534,0.982123684775607,0.983734163624651,0.980888984324673,0.941700665664591,0.972997637964355,0.978312218166201,0,0,0,0.958610693579558,0,0.936171354949538,0.976540691432253,0.98115739746618,0.98733089972085,0.983573115739747,0,0,0,0.982070002147305,0.97353446424737,0.996188533390595,1,0,0.963710543268198,0.982875241571827,0
CDC20,0,0.995329611337771,0.994255958771741,0.994041228258536,0.993772815117028,0.990015031135924,0.993289671462315,0.993611767232124,0,0,0,0.991732875241572,0,0.988995061198196,0.993558084603822,0.994094910886837,0.995436976594374,0.994900150311359,0,0,0,0.994148593515139,0.993504401975521,0.997154820700021,1,0,0.992054971011381,0.99420227614344,0
KIFC1,0,0.982821558943526,0.986471977668027,0.987975091260468,0.986418295039725,0.970742967575693,0.984324672535967,0.98588146875671,0,0,0,0.97718488297187,0,0.96811251878892,0.985076229332188,0.986794073437836,0.983734163624651,0.986096199269916,0,0,0,0.987169851835946,0.982338415288812,0.984163624651063,1,0,0.979171140219025,0.987706678118961,0
TROAP,0,0.791818767446854,0.804917328752416,0.885924414859351,0.803306849903371,0.759931286235774,0.778076014601675,0.789188318660082,0,0,0,0.765245866437621,0,0.757676615847112,0.784571612626154,0.809963495812755,0.811359244148594,0.817049602748551,0,0,0,0.829235559372987,0.772976164913034,0.890648486149882,1,0,0.768413141507408,0.852855915825639,0
SPC25,0,0.97718488297187,0.979761649130341,0.982928924200129,0.979761649130341,0.935902941808031,0.9710113807172,0.976970152458664,0,0,0,0.953457161262615,0,0.929514709040155,0.974822847326605,0.980352158041658,0.979010092334121,0.980191110156753,0,0,0,0.981211080094481,0.968005153532317,0.980888984324673,1,0,0.960274855056904,0.981908954262401,0
CENPA,0,0.944009018681555,0.89998926347434,0.885172858063131,0.900257676615847,0.913570968434615,0.906806957268628,0.903424951685635,0,0,0,0.91088683701954,0,0.915288812540262,0.904605969508267,0.899130341421516,0.93949967790423,0.913356237921409,0,0,0,0.895855701095126,0.917919261327035,0.939284947391024,1,0,0.909920549710114,0.89059480352158,0
NCAPH,0,0.989209791711402,0.992967575692506,0.995812754992484,0.992806527807601,0.984378355164269,0.990820270560447,0.992054971011381,0,0,0,0.988243504401976,0,0.983519433111445,0.991410779471763,0.993343354090616,0.990766587932145,0.992699162550999,0,0,0,0.993772815117028,0.989692935366116,0.991088683701954,1,0,0.989209791711402,0.994631737169852,0
RAD54L,0,0.711992699162551,0.726701739317157,0.717790423019111,0.727131200343569,0.735666738243504,0.730674253811467,0.729278505475628,0,0,0,0.73368048099635,0,0.736149881898218,0.729815331758643,0.726164913034142,0.709630663517286,0.721226111230406,0,0,0,0.722943955336053,0.728956409705819,0.685688211294825,1,0,0.732875241571827,0.720957698088898,0
CCNB2,0,0.987706678118961,0.982445780545416,0.984539403049173,0.982445780545416,0.949967790423019,0.976111230405841,0.980513205926562,0,0,0,0.964676830577625,0,0.945404767017393,0.979224822847327,0.982821558943526,0.988297187030277,0.984539403049173,0,0,0,0.983519433111445,0.97643332617565,0.991947605754778,1,0,0.969078806098347,0.984109942022761,0
TK1,0,0.968917758213442,0.971494524371913,0.96666308782478,0.971923985398325,0.98078161906807,0.976701739317157,0.973480781619068,0,0,0,0.979493235988834,0,0.981318445351084,0.974715482070002,0.970904015460597,0.967844105647413,0.969615632381361,0,0,0,0.969669315009663,0.976594374060554,0.96231479493236,1,0,0.978849044449216,0.96848829718703,0
HJURP,0,0.975144943096414,0.977560661369981,0.980459523298261,0.977399613485076,0.920979171140219,0.966716770453081,0.973963925273781,0,0,0,0.94239853983251,0,0.912550998496886,0.970742967575693,0.978043805024694,0.976916469830363,0.97788275713979,0,0,0,0.979224822847327,0.962207429675757,0.979385870732231,1,0,0.950611981962637,0.979546918617135,0
CDCA8,0,0.997369551213227,0.993987545630234,0.993880180373631,0.993504401975521,0.988995061198196,0.992967575692506,0.993289671462315,0,0,0,0.991357096843461,0,0.988458234915181,0.993235988834013,0.99382649774533,0.997154820700021,0.995544341850977,0,0,0,0.99382649774533,0.99420227614344,0.997906377496242,1,0,0.991732875241572,0.993987545630234,0
KIF4A,0,0.979385870732231,0.982553145802018,0.985022546703887,0.982553145802018,0.949484646768306,0.975950182520936,0.980459523298261,0,0,0,0.964569465321022,0,0.945243719132489,0.979171140219025,0.982928924200129,0.980727936439768,0.982445780545416,0,0,0,0.983626798368048,0.973319733734164,0.98260682843032,1,0,0.968810392956839,0.984270989907666,0
NCAPG,0,0.985452007730299,0.980191110156753,0.982177367403908,0.978956409705819,0.93370195404767,0.970206141292678,0.976379643547348,0,0,0,0.952115095555078,0,0.927206356023191,0.973802877388877,0.979600601245437,0.986257247154821,0.98223105003221,0,0,0,0.980727936439768,0.970259823920979,0.995866437620786,1,0,0.958718058836161,0.981318445351084,0
BIRC5,0,0.992538114666094,0.99602748550569,0.996081168133992,0.99602748550569,0.993987545630234,0.995436976594374,0.995866437620786,0,0,0,0.994900150311359,0,0.99382649774533,0.99565170710758,0.995866437620786,0.99312862357741,0.995329611337771,0,0,0,0.995812754992484,0.995114880824565,0.99022976164913,1,0,0.995114880824565,0.995973802877389,0
CCNF,0,0.840133132918188,0.852050676401117,0.839972085033283,0.852211724286021,0.863968219884045,0.858224178655787,0.85543268198411,0,0,0,0.862035645265192,0,0.864988189821774,0.856935795576551,0.851406484861499,0.837126905733305,0.846950826712476,0,0,0,0.84711187459738,0.857096843461456,0.806366759716556,1,0,0.861284088468971,0.843515138501181,0
GTSE1,0,0.990873953188748,0.99420227614344,0.994631737169852,0.994255958771741,0.991196048958557,0.99382649774533,0.994094910886837,0,0,0,0.992323384152888,0,0.99022976164913,0.993933863001933,0.994309641400043,0.991464462100064,0.993611767232124,0,0,0,0.994417006656646,0.992860210435903,0.989263474339704,1,0,0.9927528451793,0.994524371913249,0
CDC25C,0,0.996134850762293,0.995222246081168,0.99565170710758,0.995436976594374,0.993182306205712,0.994900150311359,0.995007515567962,0,0,0,0.993772815117028,0,0.992913893064204,0.994953832939661,0.995383293966073,0.996242216018896,0.995920120249087,0,0,0,0.995329611337771,0.995007515567962,0.995168563452867,1,0,0.994148593515139,0.995490659222676,0
RRM2,0,0.964086321666309,0.967468327249302,0.97718488297187,0.966126261541765,0.754401975520722,0.913463603178012,0.949430964140004,0,0,0,0.826927206356023,0,0.733734163624651,0.935473480781619,0.969884045522869,0.971172428602104,0.971870302770024,0,0,0,0.974071290530384,0.89639252737814,0.976594374060554,1,0,0.852802233197337,0.97573545200773,0
SKA3,0,0.979976379643547,0.983089972085033,0.985344642473695,0.983089972085033,0.952759287094696,0.977399613485076,0.981211080094481,0,0,0,0.966716770453081,0,0.948142581060769,0.980298475413356,0.983465750483144,0.981211080094481,0.983089972085033,0,0,0,0.984163624651063,0.974500751556796,0.982821558943526,1,0,0.970367189177582,0.984861498818982,0
CDC25A,0,0.730996349581275,0.745544341850977,0.735827786128409,0.745866437620786,0.754240927635817,0.749570538973588,0.747906377496242,0,0,0,0.752254670388662,0,0.754670388662229,0.748228473266051,0.745007515567962,0.729010092334121,0.739370839596307,0,0,0,0.742054971011381,0.747637964354735,0.702383508696586,1,0,0.75182520936225,0.739209791711402,0
FOXM1,0,0.794771312003436,0.808299334335409,0.798421730727936,0.808997208503328,0.819465321022117,0.813291818767447,0.811198196263689,0,0,0,0.816781189607043,0,0.819841099420228,0.812218166201417,0.807386729654284,0.792731372127979,0.803092119390165,0,0,0,0.804380502469401,0.812218166201417,0.762991196048959,1,0,0.815975950182521,0.802125832080739,0
GINS1,0,0.908417436117672,0.917060339274211,0.901707107579987,0.917597165557226,0.932091475198626,0.924039080953403,0.920442344857204,0,0,0,0.928226325960919,0,0.93332617564956,0.922052823706249,0.915986686708181,0.905142795791282,0.911531028559158,0,0,0,0.912282585355379,0.923985398325102,0.871269057333047,1,0,0.927367403908095,0.908471118745974,0
POC1A,0,0.995061198196264,0.99710113807172,0.99710113807172,0.997208503328323,0.996671677045308,0.99710113807172,0.997047455443419,0,0,0,0.996832724930213,0,0.99672535967361,0.997047455443419,0.997154820700021,0.995222246081168,0.99672535967361,0,0,0,0.997154820700021,0.99672535967361,0.991571827356667,1,0,0.996940090186816,0.997047455443419,0
ESPL1,0,0.991142366330256,0.994524371913249,0.994846467683058,0.994524371913249,0.991357096843461,0.993987545630234,0.99420227614344,0,0,0,0.992484432037793,0,0.990659222675542,0.994041228258536,0.994631737169852,0.991732875241572,0.993933863001933,0,0,0,0.994631737169852,0.993021258320807,0.989370839596307,1,0,0.993021258320807,0.994792785054756,0
CCNA2,0,0.982660511058621,0.986257247154821,0.988243504401976,0.986149881898218,0.968541979815332,0.983519433111445,0.9855056903586,0,0,0,0.976003865149238,0,0.965374704745544,0.984700450934078,0.986525660296328,0.983626798368048,0.986042516641615,0,0,0,0.987116169207644,0.981264762722783,0.984861498818982,1,0,0.978204852909598,0.987814043375564,0
