,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PLN,0,0.763205926562164,0.758106076873524,0.609834657504831,0,0.77571397895641,0,0,0.630717199914108,0.667275069787417,0.76776894996779,0,0,0,1,0.730244792785055,0,0,1,0.302770023620356,0.748604251664161,0.380985613055615,0,0.621108009448143,1,0.667436117672321,0,0.728043805024694,0
MRGPRF,0,0.773996134850762,0.815331758642903,0.982875241571827,0,0.756602963281082,0,0,0.868692291174576,0.961026411853124,0.779954906592227,0,0,0,1,0.941808030921194,0,0,1,0.935795576551428,0.773781404337556,0.380985613055615,0,0.785323169422375,0.667972943955336,0.977506978741679,0,0.805293107150526,0
MYOCD,0,1,1,0.889413785698948,0,1,0,0,1,0.953940304917329,1,0,0,0,1,0.896875671032854,0,0,1,0.541389306420442,1,0.380985613055615,0,0.621108009448143,1,0.907343783551643,0,1,0
KCNMB1,0,0.866437620785914,0.862035645265192,0.758964998926347,0,0.871591153102856,0,0,0.796650203993988,0.821881039295684,0.867726003865149,0,0,0,1,0.807118316512776,0,0,1,0.418456087610049,0.860908310070861,0.380985613055615,0,0.621108009448143,1,0.792462958986472,0,0.85290959845394,0
PDLIM3,0,0.73512991196049,0.754133562379214,0.648325101996994,0,0.72573545200773,0,0,0.692881683487224,0.704262400687138,0.740498174790638,0,0,0,1,0.658739531887481,0,0,1,0.368316512776466,0.723480781619068,0.380985613055615,0,0.752362035645265,0.692989048743826,0.665771956194975,0,0.727936439768091,0
SPARCL1,0,0.757783981103715,0.763474339703672,0.633293966072579,0,0.761702812969723,0,0,0.669315009662873,0.693633240283444,0.762991196048959,0,0,0,1,0.697713120034357,0,0,1,0.322525230835302,0.744631737169852,0.380985613055615,0,0.700128838307924,0.738189821773674,0.673502254670389,0,0.738672965428387,0
PODN,0,0.636353875885763,0.698088898432467,0.734270989907666,0,0.61847756066137,0,0,0.750268413141507,0.72718488297187,0.649130341421516,0,0,0,1,0.592870946961563,0,0,1,0.729117457590724,0.626315224393386,0.380985613055615,0,0.865900794502899,0.605325316727507,0.677206356023191,0,0.672858063130771,0
GPR124,0,0.525767661584711,0.464515782692721,0.703135065492807,0,0.509394459952759,0,0,0.595232982606828,0.594588791067211,0.499463173716985,0,0,0,1,0.592441485935151,0,0,0.412550998496886,0.905840669959201,0.583208073867297,0.587771097272922,0,0.296489156109083,0.437835516426884,0.689284947391024,0,0.578698733089972,0
CCDC3,0,0.811251878891991,0.805293107150526,0.795200773029848,0,0.819304273137213,0,0,0.705926562164484,0.760038651492377,0.81339918402405,0,0,0,1,0.93767446854198,0,0,1,0.761112304058407,0.799388018037363,0.380985613055615,0,0.621108009448143,1,0.851996993772815,0,0.787202061412927,0
ATP1A2,0,0.712153747047455,0.76991625509985,0.822417865578699,0,0.687352372772171,0,0,0.829826068284303,0.802877388876959,0.718864075585141,0,0,0,1,0.655733304702598,0,0,1,0.727990122396392,0.712422160188963,0.380985613055615,0,0.833315439123899,0.63114666094052,0.751717844105647,0,0.753059909813184,0
ACTA2,0,0.446478419583423,0.551052179514709,0.614397680910457,0,0.433004079879751,0,0,0.756012454369766,0.63297187030277,0.46993772815117,0,0,0,1,0.367779686493451,0,0,1,0.705013957483358,0.377710972729225,0.380985613055615,0,0.979869014386944,0.468971440841744,0.453832939660726,0,0.482553145802018,0
FHL5,0,0.653908095340348,0.603339059480352,0.591904659652137,0,0.646875671032854,0,0,0.652243933863002,0.648700880395104,0.635119175434829,0,0,0,1,0.580201846682414,0,0,0.486740390809534,0.266158471118746,0.687835516426884,0.514011165986687,0,0.365149237706678,0.544502898861928,0.605056903586,0,0.682198840455229,0
CALD1,0,0.684185097702384,0.726057547777539,0.6376959415933,0,0.672428602104359,0,0,0.714623147949324,0.701470904015461,0.693579557655143,0,0,0,1,0.586643762078591,0,0,1,0.336267983680481,0.673394889413786,0.380985613055615,0,0.814526519218381,0.64639252737814,0.626583637534894,0,0.698035215804166,0
LHFP,0,0.87175220098776,0.86740390809534,0.765299549065922,0,0.876368907021688,0,0,0.804380502469401,0.828698733089972,0.872611123040584,0,0,0,1,0.810715052608976,0,0,1,0.425488511917543,0.866437620785914,0.380985613055615,0,0.621108009448143,1,0.798690143869444,0,0.858814687567103,0
RASL12,0,0.667221387159115,0.565653854412712,0.834603822203135,0,0.645050461670603,0,0,0.706463388447498,0.721118745973803,0.626261541765085,0,0,0,1,0.737277217092549,0,0,0.444545844964569,0.863485076229332,0.742913893064204,0.556044663946747,0,0.254777753918832,0.495973802877389,0.826551427957913,0,0.731640541120893,0
ZEB1,0,0.667650848185527,0.745759072364183,0.975144943096414,0,0.639521150955551,0,0,1,0.844857204208718,0.677743182306206,0,0,0,1,0.704262400687138,0,0,1,0.932091475198626,0.664429890487438,0.380985613055615,0,0.882864505046167,0.592226755421945,0.919690788060983,0,0.728312218166201,0
JAM3,0,0.559587717414645,0.659974232338415,0.81629804595233,0,0.531833798582779,0,0,1,0.763366974447069,0.576068284303199,0,0,0,1,0.503596736096199,0,0,1,0.842978312218166,0.546811251878892,0.380985613055615,0,0.949806742538115,0.520023620356453,0.652351299119605,0,0.627710972729225,0
OGN,0,0.700236203564527,0.671569680051535,0.539027270775177,0,0.711992699162551,0,0,0.553145802018467,0.597702383508697,0.699806742538115,0,0,0,1,0.675595877174146,0,0,0.578859780974877,0.262239639252738,0.686869229117458,0.423019111015675,0,0.374328967146231,0.70689284947391,0.60108438909169,0,0.656055400472407,0
