,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
EP400,0,0,0.860586214301052,0.837502684131415,0.775606613699807,0.839435258750268,0.833530169637105,0.463173716985184,0,0.821505260897574,0,0.807494094910887,0.743665449860425,0,0.812057118316513,0.786933648271419,0.816083315439124,0.810285591582564,0.816244363324028,1,0.820109512561735,0.751181017822633,0.835945887910672,0.839596306635173,0,0,0.807547777539188,0,0
PRR12,0,0,0.98733089972085,0.977077517715267,0.973105003220958,0.986257247154821,0.976111230405841,0.600064419153962,0,0.985720420871806,0,0.969669315009663,0.968756710328538,0,0.975842817264333,0.980727936439768,0.976540691432253,0.984968864075585,0.987599312862358,1,0.97788275713979,0.974822847326605,0.980835301696371,0.98512991196049,0,0,0.971172428602104,0,0
SETD1B,0,0,0.759394459952759,0.838630019325746,0.900203993987546,0.804380502469401,0.772439338630019,0.873094266695297,0,0.895372557440412,0,0.823813613914537,0.906860639896929,0,0.836536396821988,0.887910672106506,0.764816405411209,0.876154176508482,0.877335194331114,1,0.833530169637105,0.914429890487438,0.748765299549066,0.825692505905089,0,0,0.756549280652781,0,0
DHX37,0,0,0.991840240498175,0.982660511058621,0.971226111230406,0.989263474339704,0.993021258320807,0.814150740820271,0,0.966555722568177,0,0.988887695941593,0.95506764011166,0,0.98695512132274,0.970850332832295,0.981050032209577,0.979224822847327,0.970474554434185,1,0.98733089972085,0.954477131200344,0.988565600171784,0.988619282800086,0,0,0.975950182520936,0,0
CIC,0,0,0.635763366974447,0.514440627013099,0.518788919905519,0.633508696585785,0.583530169637105,0.438211294824995,0,0.586429031565385,0,0.523137212797939,0.619873308997208,0,0.535484217307279,0.597058191969079,0.719830362894567,0.597756066136998,0.635602319089543,1,0.560983465750483,0.611767232123685,0.689338630019326,0.576283014816405,0,0,0.712100064419154,0,0
RAI1,0,0,0.471816620141722,0.501503113592441,0.585194331114451,0.506710328537685,0.519433111445136,0.832349151814473,0,0.53043805024694,0,0.542140863216663,0.632757139789564,0,0.53478634313936,0.568499033712691,0.544019755207215,0.54600601245437,0.53806098346575,1,0.535591582563882,0.622074296757569,0.516587932145158,0.505636675971656,0,0,0.538651492377067,0,0
MLXIP,0,0,0.666147734593086,0.817371698518359,0.843139360103071,0.64746617994417,0.522439338630019,0.898593515138501,0,0.870249087395319,0,0.735720420871806,0.599957053897359,0,0.775928709469616,0.802501610478849,0.466179944170067,0.738887695941593,0.780277002362036,1,0.644943096414,0.672643332617565,0.497906377496242,0.715267339488941,0,0,0.461348507622933,0,0
TNRC18,0,0,0.448840455228688,0.539349366544986,0.564633884474984,0.467360961992699,0.441432252523084,0.708825424092764,0,0.56377496242216,0,0.484754133562379,0.548314365471333,0,0.495222246081168,0.525284517929998,0.429461026411853,0.521312003435688,0.525875026841314,1,0.49527592870947,0.559748765299549,0.423609619926992,0.490283444277432,0,0,0.768091045737599,0,0
BCL9L,0,0,0.970367189177582,0.990068713764226,0.977131200343569,0.960060124543698,0.972943955336053,0.767339488941379,0,0.975681769379429,0,0.981479493235989,0.892097917114022,0,0.980513205926562,0.948625724715482,0.811681339918402,0.965159974232338,0.947605754777754,1,0.97718488297187,0.91485935151385,0.893225252308353,0.981318445351084,0,0,0.803092119390165,0,0
GOLGA3,0,0,0.820377925703242,0.986364612411424,0.960113807171999,0.843085677474769,0.981747906377496,0.667006656645909,0,0.854842173072794,0,0.973856560017178,0.91485935151385,0,0.952383508696586,0.765406914322525,0.522278290745115,0.899613485076229,0.713495812754993,1,0.982070002147305,0.905411208932789,0.684668241357097,0.95506764011166,0,0,0.516748980030062,0,0
PHRF1,0,0,0.585999570538974,0.862518788919906,0.848400257676616,0.672213871591153,0.858438909168993,0.662443633240283,0,0.720206141292678,0,0.811842387803307,0.894835731157397,0,0.76921838093193,0.673770667811896,0.542838737384582,0.779954906592227,0.64419153961778,1,0.878194116383938,0.880180373631093,0.580953403478634,0.785537899935581,0,0,0.537470474554434,0,0
NCKAP5L,0,0,0.530169637105433,0.529042301911102,0.652566029632811,0.55362894567318,0.557118316512776,0.947927850547563,0,0.553092119390165,0,0.646660940519648,0.634689714408417,0,0.636192828000859,0.652834442774318,0.596038222031351,0.576283014816405,0.570377925703242,1,0.558889843246725,0.62465106291604,0.572632596091905,0.540530384367619,0,0,0.590025767661585,0,0
PKD1,0,0,0.685795576551428,0.601889628516212,0.618692291174576,0.701739317156968,0.670603392742109,0.490873953188748,0,0.668509770238351,0,0.6014601674898,0.73840455228688,0,0.610639896929354,0.675542194545845,0.769433111445136,0.690519647841958,0.710757998711617,1,0.660564741249732,0.728902727077518,0.740015031135924,0.660457375993129,0,0,0.761112304058407,0,0
SETD1A,0,0,0.929461026411853,0.984646768305776,0.988082456517071,0.949430964140004,0.974393386300193,0.91883186600816,0,0.975467038866223,0,0.982284732660511,0.978526948679407,0,0.979815331758643,0.967951470904015,0.831973373416362,0.976701739317157,0.954906592226755,1,0.982875241571827,0.980674253811467,0.878516212153747,0.97680910457376,0,0,0.823330470259824,0,0
PTPN23,0,0,0.822686278720206,0.735183594588791,0.725413356237921,0.822739961348508,0.813238136139145,0.616706033927421,0,0.76052179514709,0,0.753650418724501,0.803575263044879,0,0.756227184882972,0.778773888769594,0.867511273351943,0.792194545844965,0.803092119390165,1,0.785752630448787,0.792140863216663,0.857472621859566,0.789403049173288,0,0,0.858814687567103,0,0
NUMA1,0,0,0.636837019540477,0.838952115095555,0.8985398325102,0.715535752630449,0.695834228043805,0.812701309856131,0,0.888823276787632,0,0.76594374060554,0.900257676615847,0,0.782907451148808,0.846628730942667,0.607526304487868,0.846575048314365,0.836536396821988,1,0.80545415503543,0.911745759072364,0.594051964784196,0.780384367618639,0,0,0.601567532746403,0,0
TECPR1,0,0,0.944492162336268,0.940680695726863,0.961992699162551,0.94057333047026,0.92500536826283,0.964784195834228,0,0.954960274855057,0,0.961294824994632,0.909544771312003,0,0.965428387373846,0.963173716985184,0.905625939445995,0.94637105432682,0.947015245866438,1,0.931500966287309,0.919529740176079,0.917811896070432,0.944438479707966,0,0,0.896821988404552,0,0
PLEC,0,0,0.978473266051106,0.969830362894567,0.991464462100064,0.963710543268198,0.752791496671677,0.998282155894353,0,0.996564311788705,0,0.978580631307709,0.795952329826068,0,0.989907665879321,0.996779042301911,0.87572471548207,0.974393386300193,0.992538114666094,1,0.871913248872665,0.887856989478205,0.893278934936654,0.96269057333047,0,0,0.867081812325531,0,0
RFX1,0,0,0.735720420871806,0.880878247799012,0.868209147519863,0.763366974447069,0.770506764011166,0.52066781189607,0,0.881254026197123,0,0.789456731801589,0.83841528881254,0,0.798260682843032,0.805615202920335,0.630770882542409,0.83841528881254,0.823330470259824,1,0.83369121752201,0.855969508267125,0.65433755636676,0.825585140648486,0,0,0.624167919261327,0,0
ZC3H7B,0,0,0.73947820485291,0.683809319304273,0.647251449430964,0.707644406270131,0.586643762078591,0.418295039725145,0,0.771419368692291,0,0.60688211294825,0.587341636246511,0,0.650257676615847,0.709738028773889,0.700343568821129,0.692452222460812,0.757891346360318,1,0.611981962636891,0.622664805668886,0.694062701309856,0.684024049817479,0,0,0.692666952974018,0,0
MGRN1,0,0,0.966072578913464,0.97970796650204,0.991357096843461,0.970742967575693,0.955711831651278,0.977399613485076,0,0.988297187030277,0,0.984485720420872,0.971762937513421,0,0.986794073437836,0.990122396392527,0.917436117672321,0.983089972085033,0.982821558943526,1,0.973695512132274,0.979493235988834,0.932306205711832,0.978580631307709,0,0,0.90906162765729,0,0
ATN1,0,0,0.913195190036504,0.989317156968005,0.981694223749195,0.923341206785484,0.983573115739747,0.896177796864934,0,0.942666952974018,0,0.986310929783122,0.94529740176079,0,0.979546918617135,0.916630878247799,0.709469615632381,0.953296113377711,0.876154176508482,1,0.985237277217093,0.945136353875886,0.819787416791926,0.974715482070002,0,0,0.957053897358815,0,0
RAPGEF1,0,0,0.990873953188748,0.978741679192613,0.98078161906807,0.982284732660511,0.891238995061198,0.907021687781834,0,0.996349581275499,0,0.967897788275714,0.85650633455014,0,0.983251019969938,0.991732875241572,0.943525875026841,0.980727936439768,0.993504401975521,1,0.932628301481641,0.91593300407988,0.957161262615418,0.979922697015246,0,0,0.936332402834443,0,0
BRD4,0,0,0.584120678548422,0.692935366115525,0.596575048314365,0.564580201846682,0.724769164698304,0.766695297401761,0,0.46666308782478,0,0.706731801589006,0.537255744041228,0,0.655196478419583,0.490122396392527,0.507783981103715,0.536933648271419,0.447229976379644,1,0.678441056474125,0.515406914322525,0.558514064848615,0.62282585355379,0,0,0.502415718273567,0,0
PCNXL3,0,0,0.804809963495813,0.909920549710114,0.902297616491303,0.805024694009019,0.908202705604466,0.943901653424952,0,0.792194545844965,0,0.932413570968435,0.813452866652351,0,0.915181447283659,0.818391668456088,0.685312432896715,0.825209362250376,0.738672965428387,1,0.899398754563023,0.80652780760146,0.750858922052824,0.869282800085892,0,0,0.67790423019111,0,0
ZNF710,0,0,0.795737599312862,0.667275069787417,0.746617994417007,0.749892634743397,0.614988189821774,0.965428387373846,0,0.763635387588576,0,0.779471762937513,0.558943525875027,0,0.801535323169422,0.823706248657934,0.771258320807387,0.70506764011166,0.773996134850762,1,0.610908310070861,0.586160618423878,0.765299549065922,0.701792999785269,0,0,0.762883830792356,0,0
ATG2A,0,0,0.892366330255529,0.757569250590509,0.800676401116599,0.883293966072579,0.819733734163625,0.872181662014172,0,0.840401546059695,0,0.829879750912605,0.812754992484432,0,0.843622503757784,0.882703457161263,0.925273781404338,0.845232982606828,0.882220313506549,1,0.795308138286451,0.813023405625939,0.913946746832725,0.833047025982392,0,0,0.916738243504402,0,0
ZNF646,0,0,0.776841314150741,0.840347863431394,0.808943525875027,0.772761434399828,0.882166630878248,0.880609834657505,0,0.690788060983466,0,0.877925703242431,0.76921838093193,0,0.847058191969079,0.73443203779257,0.72428602104359,0.761702812969723,0.677743182306206,1,0.853285376852051,0.749302125832081,0.766587932145158,0.814955980244793,0,0,0.716609405196478,0,0
