,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SETD2,0,0.98260682843032,0.97680910457376,0.978473266051106,0.98115739746618,0.971762937513421,0.977936439768091,0,0.908793214515783,0.984485720420872,0.984163624651063,0.970206141292678,0.978473266051106,0,0.967092548851192,0.94492162336268,0.98260682843032,0.974339703671892,0.970689284947391,0.982928924200129,0.974769164698304,0.978741679192613,0.969347219239854,0.976487008803951,0.982928924200129,0.979600601245437,0.971977668026627,0,0
SHPRH,0,0.860478849044449,0.883025552931072,0.890648486149882,0.882435044019755,0.894674683272493,0.890111659866867,0,0.853178011595448,0.889467468327249,0.890487438264977,0.914805668885549,0.914913034142152,0,0.907665879321452,0.919261327034572,0.889038007300837,0.893439982821559,0.921462314794932,0.90616276572901,0.882918187674469,0.896285162121537,0.885011810178226,0.88442130126691,0.85688211294825,0.883884474983895,0.926025338200558,0,0
TTBK2,0,0.872235344642474,0.864343998282156,0.824457805454155,0.888286450504617,0.900794502898862,0.895748335838523,0,0.870088039510414,0.894298904874383,0.89564097058192,0.818445351084389,0.886837019540477,0,0.912497315868585,0.923394889413786,0.816029632810822,0.900311359244149,0.79783122181662,0.882273996134851,0.8587073223105,0.901331329181877,0.854251664161477,0.890863216663088,0.868209147519863,0.887212797938587,0.884313936010307,0,0
PIKFYVE,0,0.966877818337986,0.966340992054971,0.967360961992699,0.967307279364398,0.965052608975735,0.966448357311574,0,0.902780760146017,0.970528237062487,0.971118745973803,0.975520721494524,0.971226111230406,0,0.95689284947391,0.970689284947391,0.970367189177582,0.962422160188963,0.974769164698304,0.973158685849259,0.963281082241787,0.967146231479493,0.966555722568177,0.963066351728581,0.968971440841744,0.974339703671892,0.974608116813399,0,0
ZFYVE20,0,0.944492162336268,0.959308567747477,0.956409705819197,0.941861713549495,0.944116383938158,0.957000214730513,0,0.980674253811467,0.873845823491518,0.871161692076444,0.953940304917329,0.966716770453081,0,0.885548636461241,0.80942666952974,0.944009018681555,0.938748121108009,0.954530813828645,0.873577410350011,0.962958986471978,0.894835731157397,0.990283444277432,0.951524586643762,0.93805024694009,0.941485935151385,0.967307279364398,0,0
TAF1,0,0.896660940519648,0.88007300837449,0.911745759072364,0.905572256817694,0.914429890487438,0.909330040798798,0,0.879428816834872,0.915235129911961,0.916040369336483,0.835248013742753,0.898969293536612,0,0.925381146660941,0.930642044234486,0.913893064204423,0.914966716770453,0.85940519647842,0.894030491732875,0.872127979385871,0.917328752415718,0.866813399184024,0.906323813613915,0.895855701095126,0.901492377066781,0.895318874812111,0,0
BIRC6,0,0.89746617994417,0.902404981747906,0.91196048958557,0.90616276572901,0.915557225681769,0.91013528022332,0,0.878569894782048,0.915664590938372,0.916523512991196,0.92210650633455,0.89929138930642,0,0.925166416147735,0.944438479707966,0.914429890487438,0.915235129911961,0.927152673394889,0.921515997423234,0.901009233412068,0.917489800300623,0.888876959415933,0.906645909383723,0.896983036289457,0.901975520721495,0.896338844749839,0,0
CASP8AP2,0,0.881737169851836,0.876207859136783,0.904820700021473,0.850386514923771,0.847970796650204,0.861284088468971,0,0.876744685419798,0.833905948035216,0.831812325531458,0.886568606398969,0.867726003865149,0,0.817854842173073,0.782424307494095,0.907290100923341,0.841528881254026,0.897895640970582,0.831007086106936,0.877013098561306,0.832671247584282,0.871859566244363,0.852319089542624,0.884260253382006,0.834979600601245,0.857418939231265,0,0
C11orf30,0,0.850815975950183,0.856023190895426,0.819035859995705,0.876261541765085,0.889091689929139,0.866867081812326,0,0.843407773244578,0.881737169851836,0.88297187030277,0.80615202920335,0.843300407987975,0,0.894084174361177,0.912765729010092,0.80615202920335,0.88732016319519,0.791013528022332,0.877710972729225,0.849366544986042,0.890433755636676,0.845232982606828,0.878677260038652,0.839220528237063,0.879536182091475,0.866437620785914,0,0
MYSM1,0,0.88334764870088,0.84856130556152,0.827034571612626,0.89746617994417,0.877388876959416,0.88007300837449,0,0.87717414644621,0.908149022976165,0.909276358170496,0.854305346789779,0.892634743397037,0,0.922643332617565,0.880287738887696,0.821881039295684,0.909383723427099,0.821397895640971,0.891400042946103,0.867833369121752,0.912014172213872,0.863538758857634,0.900042946102641,0.885119175434829,0.894943096414,0.859029418080309,0,0
