,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MTMR12,0,0,0.0740820270560447,0,0,0.7065170710758,0,0,0,1,0,0,0,0.946800515353232,0,0,0,0,0.946800515353232,0,0.284088468971441,1,0,1,0.954745544341851,0,0,0,0
NID1,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.883562379214086,0,0,0,0
ELTD1,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.763635387588576,0,0,0,0
ONECUT1,0,0,0.0854627442559588,0,0,0.614934507193472,0,0,0,1,0,0,0,0.945243719132489,0,0,0,0,0.945243719132489,0,0.382059265621645,1,0,1,0.763635387588576,0,0,0,0
CYYR1,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.763635387588576,0,0,0,0
MYCT1,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.890165342495169,0,0,0,0
LDB2,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.86520292033498,0,0,0,0
CXorf36,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.763635387588576,0,0,0,0
CALCRL,0,0,0.587073223105003,0,0,0.512615417650848,0,0,0,1,0,0,0,0.484968864075585,0,0,0,0,0.484968864075585,0,0.722890272707752,1,0,1,0.776358170496028,0,0,0,0
PTPRB,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.964086321666309,0,0,0,0
ABCB1,0,0,0.587180588361606,0,0,0.550085892205282,0,0,0,1,0,0,0,0.476970152458664,0,0,0,0,0.476970152458664,0,0.574350440197552,1,0,1,0.763635387588576,0,0,0,0
ETS1,0,0,0.761702812969723,0,0,0.512615417650848,0,0,0,1,0,0,0,0.331597595018252,0,0,0,0,0.331597595018252,0,0.800569035859996,1,0,1,0.763635387588576,0,0,0,0
S1PR1,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.867564955980245,0,0,0,0
LGALS2,0,0,0.00794502898861928,0,0,0.982928924200129,0,0,0,1,0,0,0,0.976916469830363,0,0,0,0,0.976916469830363,0,0.0138501181017823,1,0,1,0.811198196263689,0,0,0,0
RHOJ,0,0,0.611820914751986,0,0,0.512615417650848,0,0,0,1,0,0,0,0.461294824994632,0,0,0,0,0.461294824994632,0,0.733787846252953,1,0,1,0.763635387588576,0,0,0,0
TGFBR2,0,0,0.690358599957054,0,0,0.570538973588147,0,0,0,1,0,0,0,0.375617350225467,0,0,0,0,0.375617350225467,0,0.569250590508911,1,0,1,0.763635387588576,0,0,0,0
CD34,0,0,0.625026841314151,0,0,0.675059050891132,0,0,0,1,0,0,0,0.409598453940305,0,0,0,0,0.409598453940305,0,0.381200343568821,1,0,1,0.763635387588576,0,0,0,0
FLI1,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.763635387588576,0,0,0,0
PREX2,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.82064633884475,0,0,0,0
SELP,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.772170925488512,0,0,0,0
CLEC1A,0,0,0.571183165127765,0,0,0.512615417650848,0,0,0,1,0,0,0,0.499087395318875,0,0,0,0,0.499087395318875,0,0.716233626798368,1,0,1,0.763635387588576,0,0,0,0
TSPAN7,0,0,0.72680910457376,0,0,0.512615417650848,0,0,0,1,0,0,0,0.358653639682199,0,0,0,0,0.358653639682199,0,0.786557869873309,1,0,1,0.763635387588576,0,0,0,0
CLIC2,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.763635387588576,0,0,0,0
ZNF366,0,0,0.707751771526734,0,0,0.512615417650848,0,0,0,1,0,0,0,0.374543697659437,0,0,0,0,0.374543697659437,0,0.776733948894138,1,0,1,0.763635387588576,0,0,0,0
JAM2,0,0,0.561198196263689,0,0,0.524801374275285,0,0,0,1,0,0,0,0.502684131415074,0,0,0,0,0.502684131415074,0,0.607096843461456,1,0,1,0.997584281726433,0,0,0,0
EBF1,0,0,0.797562808675113,0,0,0.512615417650848,0,0,0,1,0,0,0,0.306474124973159,0,0,0,0,0.306474124973159,0,0.81667382435044,1,0,1,0.763635387588576,0,0,0,0
ENPP2,0,0,0.653585999570539,0,0,0.512615417650848,0,0,0,1,0,0,0,0.422160188962852,0,0,0,0,0.422160188962852,0,0.752093622503758,1,0,1,0.763635387588576,0,0,0,0
TAL1,0,0,0.650633455013958,0,0,0.512615417650848,0,0,0,1,0,0,0,0.424414859351514,0,0,0,0,0.424414859351514,0,0.75107365256603,1,0,1,0.763635387588576,0,0,0,0
ABCG2,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.763635387588576,0,0,0,0
FAT4,0,0,0.700934077732446,0,0,0.512615417650848,0,0,0,1,0,0,0,0.380931930427314,0,0,0,0,0.380931930427314,0,0.77356667382435,1,0,1,0.763635387588576,0,0,0,0
CD200,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.763635387588576,0,0,0,0
SPARCL1,0,0,0.764977453296113,0,0,0.512615417650848,0,0,0,1,0,0,0,0.329665020399399,0,0,0,0,0.329665020399399,0,0.801911101567533,1,0,1,0.763635387588576,0,0,0,0
A2M,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.763635387588576,0,0,0,0
LEPR,0,0,0.764977453296113,0,0,0.512615417650848,0,0,0,1,0,0,0,0.329665020399399,0,0,0,0,0.329665020399399,0,0.801911101567533,1,0,1,0.763635387588576,0,0,0,0
KIAA1217,0,0,0.20834228043805,0,0,0.828322954691862,0,0,0,1,0,0,0,0.755368262830148,0,0,0,0,0.755368262830148,0,0.175488511917543,1,0,1,0.943901653424952,0,0,0,0
GIMAP6,0,0,1,0,0,0.512615417650848,0,0,0,1,0,0,0,0.303467897788276,0,0,0,0,0.303467897788276,0,1,1,0,1,0.763635387588576,0,0,0,0
