,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
TPR,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0.999355843040421,0
ZNF407,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814
HNRNPR,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0,0.99393418863063,0,0.99393418863063,0.99393418863063
GMEB1,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0,0.996671855708841,0.996671855708841,0.996671855708841,0,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0,0.996671855708841,0,0.996671855708841,0.996671855708841
ZNF623,0.99967792152021,0.99967792152021,0.99967792152021,0,0.99967792152021,0.99967792152021,0.99967792152021,0.99967792152021,0,0.99967792152021,0.99967792152021,0.99967792152021,0.99967792152021,0.99967792152021,0.99967792152021,0,0.99967792152021,0,0.99967792152021,0.99967792152021,0.99967792152021,0.99967792152021,0.99967792152021,0.99967792152021,0,0.99967792152021,0.99967792152021,0,0.99967792152021
ATR,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0,0,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0,0.99597401900263,0.99597401900263,0,0.99597401900263,0.99597401900263,0
PHRF1,0.992216436738419,0.992216436738419,0,0,0.992216436738419,0.992216436738419,0.992216436738419,0.992216436738419,0,0,0.992216436738419,0,0.992216436738419,0.992216436738419,0.992216436738419,0.992216436738419,0.992216436738419,0.992216436738419,0,0.992216436738419,0,0.992216436738419,0.992216436738419,0.992216436738419,0.992216436738419,0,0,0.992216436738419,0
BAGE2,0.990713403832734,0,0.990713403832734,0,0.990713403832734,0.990713403832734,0.990713403832734,0.990713403832734,0.990713403832734,0.990713403832734,0.990713403832734,0,0.990713403832734,0.990713403832734,0.990713403832734,0,0.990713403832734,0,0.990713403832734,0.990713403832734,0.990713403832734,0.990713403832734,0.990713403832734,0,0.990713403832734,0.990713403832734,0,0,0.990713403832734
FAM120B,0.990445005099576,0.990445005099576,0,0,0,0,0.990445005099576,0.990445005099576,0,0.990445005099576,0.990445005099576,0.990445005099576,0.990445005099576,0.990445005099576,0.990445005099576,0.990445005099576,0,0.990445005099576,0.990445005099576,0.990445005099576,0.990445005099576,0.990445005099576,0,0,0,0.990445005099576,0.990445005099576,0.990445005099576,0.990445005099576
OXSR1,0.992538515218208,0,0.992538515218208,0,0.992538515218208,0.992538515218208,0.992538515218208,0,0,0.992538515218208,0.992538515218208,0,0.992538515218208,0.992538515218208,0.992538515218208,0.992538515218208,0.992538515218208,0.992538515218208,0.992538515218208,0.992538515218208,0.992538515218208,0.992538515218208,0.992538515218208,0.992538515218208,0,0.992538515218208,0,0.992538515218208,0
USP14,0.99393418863063,0.99393418863063,0,0.99393418863063,0.99393418863063,0,0.99393418863063,0,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0.99393418863063,0,0.99393418863063,0,0,0.99393418863063,0,0.99393418863063,0.99393418863063,0.99393418863063,0,0.99393418863063,0,0.99393418863063,0.99393418863063
LOC728323,0.993504750657577,0.993504750657577,0.993504750657577,0.993504750657577,0.993504750657577,0.993504750657577,0.993504750657577,0,0.993504750657577,0,0.993504750657577,0,0.993504750657577,0.993504750657577,0.993504750657577,0.993504750657577,0,0,0,0.993504750657577,0,0.993504750657577,0.993504750657577,0,0,0.993504750657577,0.993504750657577,0.993504750657577,0.993504750657577
EEF1D,0.995168822803156,0.995168822803156,0.995168822803156,0.995168822803156,0.995168822803156,0,0.995168822803156,0,0,0.995168822803156,0.995168822803156,0,0.995168822803156,0.995168822803156,0.995168822803156,0.995168822803156,0.995168822803156,0.995168822803156,0,0.995168822803156,0.995168822803156,0.995168822803156,0,0,0.995168822803156,0,0,0.995168822803156,0
ZNF358,0.995383541789683,0.995383541789683,0.995383541789683,0,0,0,0.995383541789683,0,0.995383541789683,0.995383541789683,0.995383541789683,0,0.995383541789683,0.995383541789683,0,0,0.995383541789683,0,0,0.995383541789683,0.995383541789683,0.995383541789683,0,0.995383541789683,0.995383541789683,0,0,0.995383541789683,0.995383541789683
EXOSC4,0.994148907617156,0.994148907617156,0,0.994148907617156,0.994148907617156,0,0.994148907617156,0,0.994148907617156,0.994148907617156,0.994148907617156,0,0.994148907617156,0.994148907617156,0,0,0.994148907617156,0.994148907617156,0,0.994148907617156,0,0.994148907617156,0,0,0,0.994148907617156,0.994148907617156,0.994148907617156,0
PTOV1,0.996081378495894,0.996081378495894,0.996081378495894,0.996081378495894,0,0,0.996081378495894,0,0.996081378495894,0.996081378495894,0.996081378495894,0,0.996081378495894,0.996081378495894,0,0,0,0,0,0.996081378495894,0.996081378495894,0.996081378495894,0,0,0,0.996081378495894,0.996081378495894,0.996081378495894,0
SHARPIN,0.996457136722315,0,0,0.996457136722315,0.996457136722315,0,0.996457136722315,0,0.996457136722315,0.996457136722315,0.996457136722315,0,0.996457136722315,0.996457136722315,0,0,0.996457136722315,0.996457136722315,0,0.996457136722315,0,0.996457136722315,0,0,0,0.996457136722315,0.996457136722315,0.996457136722315,0
HINT2,0.991464920285576,0,0,0,0.991464920285576,0.991464920285576,0.991464920285576,0,0,0,0.991464920285576,0,0.991464920285576,0.991464920285576,0,0,0.991464920285576,0.991464920285576,0,0.991464920285576,0.991464920285576,0.991464920285576,0,0,0,0.991464920285576,0.991464920285576,0,0
PEX11G,0.998496967094315,0,0,0.998496967094315,0,0.998496967094315,0.998496967094315,0,0.998496967094315,0.998496967094315,0.998496967094315,0,0.998496967094315,0.998496967094315,0.998496967094315,0,0.998496967094315,0,0,0.998496967094315,0,0.998496967094315,0.998496967094315,0,0,0.998496967094315,0,0,0
PLS1,0.994524665843577,0.994524665843577,0,0,0,0,0.994524665843577,0,0.994524665843577,0,0.994524665843577,0,0.994524665843577,0.994524665843577,0,0,0,0,0,0.994524665843577,0,0.994524665843577,0,0,0,0.994524665843577,0.994524665843577,0.994524665843577,0
TBC1D16,0.999194803800526,0,0,0,0,0.999194803800526,0.999194803800526,0.999194803800526,0,0,0.999194803800526,0,0.999194803800526,0.999194803800526,0.999194803800526,0,0.999194803800526,0,0,0.999194803800526,0,0.999194803800526,0,0,0,0.999194803800526,0,0,0
TSTA3,0.997852810134736,0,0,0.997852810134736,0,0,0.997852810134736,0,0.997852810134736,0.997852810134736,0.997852810134736,0,0.997852810134736,0.997852810134736,0,0,0.997852810134736,0.997852810134736,0,0.997852810134736,0,0.997852810134736,0,0,0,0,0,0,0
AKT1S1,0.999033764560631,0,0.999033764560631,0,0,0,0.999033764560631,0,0.999033764560631,0.999033764560631,0.999033764560631,0,0.999033764560631,0.999033764560631,0,0,0,0,0,0.999033764560631,0,0.999033764560631,0,0,0,0.999033764560631,0,0,0
NOXA1,0.991840678511997,0,0,0.991840678511997,0,0.991840678511997,0.991840678511997,0,0,0,0.991840678511997,0,0.991840678511997,0.991840678511997,0,0,0.991840678511997,0,0,0.991840678511997,0,0.991840678511997,0.991840678511997,0,0.991840678511997,0,0,0,0
LOC100288778,0.998550646840947,0,0,0.998550646840947,0.998550646840947,0,0.998550646840947,0,0,0,0.998550646840947,0,0.998550646840947,0.998550646840947,0,0,0,0,0,0.998550646840947,0.998550646840947,0.998550646840947,0,0,0,0,0,0.998550646840947,0
OCLM,0.99763809114821,0,0,0,0.99763809114821,0,0.99763809114821,0,0,0,0.99763809114821,0,0.99763809114821,0.99763809114821,0,0,0.99763809114821,0.99763809114821,0,0.99763809114821,0,0.99763809114821,0,0,0.99763809114821,0,0,0,0
PPP1R12B,0.991840678511997,0,0,0,0,0,0.991840678511997,0,0,0,0.991840678511997,0,0.991840678511997,0.991840678511997,0,0,0,0.991840678511997,0,0.991840678511997,0,0.991840678511997,0,0,0,0,0.991840678511997,0,0.991840678511997
MAF1,0.996510816468946,0,0,0.996510816468946,0,0,0.996510816468946,0,0.996510816468946,0.996510816468946,0.996510816468946,0,0.996510816468946,0.996510816468946,0,0,0,0.996510816468946,0,0.996510816468946,0,0.996510816468946,0,0,0,0,0,0,0
DEAF1,0.993397391164314,0,0,0,0.993397391164314,0,0.993397391164314,0,0,0,0.993397391164314,0,0.993397391164314,0.993397391164314,0,0.993397391164314,0,0.993397391164314,0,0.993397391164314,0,0.993397391164314,0.993397391164314,0,0,0,0,0,0
ACAA1,0.99495410381663,0,0,0.99495410381663,0,0,0.99495410381663,0,0,0,0.99495410381663,0.99495410381663,0.99495410381663,0.99495410381663,0,0,0,0,0,0.99495410381663,0,0.99495410381663,0,0,0,0.99495410381663,0,0,0
EPS8L2,0.992538515218208,0,0,0,0.992538515218208,0,0.992538515218208,0,0,0,0.992538515218208,0,0.992538515218208,0.992538515218208,0,0.992538515218208,0,0.992538515218208,0,0.992538515218208,0,0.992538515218208,0,0,0,0,0,0,0
PNKP,0.998013849374631,0,0,0,0,0,0.998013849374631,0,0.998013849374631,0,0.998013849374631,0,0.998013849374631,0.998013849374631,0,0,0,0,0,0.998013849374631,0,0.998013849374631,0,0,0,0.998013849374631,0,0,0
