,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
NKTR,0,0.994148593515139,0.994470689284947,1,0.992162336267984,0.99382649774533,0.994417006656646,0,0,0.989961348507623,0.992538114666094,0.995114880824565,0.995007515567962,0,0.991518144728366,0.994309641400043,0.971226111230406,0.971226111230406,0.989424522224608,0,0.990337126905733,0.993933863001933,0.994148593515139,0.993665449860425,0.989692935366116,0.971226111230406,0.97391024264548,0.983197337341636,0.990820270560447
PRPF39,0,0.914429890487438,0.910457375993129,1,0.942183809319304,0.916040369336483,0.909383723427099,0,0,0.913893064204423,0.930158900579772,0.921301266910028,0.939392312647627,0,0.935312432896715,0.909222675542194,0.905357526304488,0.905357526304488,0.930642044234486,0,0.914107794717629,0.938533390594804,0.908417436117672,0.933218810392957,0.937728151170281,0.905357526304488,0.922965428387374,0.93660081597595,0.937406055400472
LENG8,0,0.928816834872235,0.898164054112089,1,0.965428387373846,0.946156323813614,0.865739746617994,0,0,0.976379643547348,0.970850332832295,0.878945673180159,0.940251234700451,0,0.986149881898218,0.862035645265192,0.992162336267984,0.992162336267984,0.98588146875671,0,0.97535967360962,0.925112733519433,0.832993343354091,0.880985613055615,0.972943955336053,0.992162336267984,0.973695512132274,0.994363324028344,0.945404767017393
BTAF1,0,0.968917758213442,0.967897788275714,1,0.93767446854198,0.9710113807172,0.960006441915396,0,0,0.977560661369981,0.973266051105862,0.962475842817264,0.951846682413571,0,0.97535967360962,0.958664376207859,0.975681769379429,0.975681769379429,0.976862787202061,0,0.977238565600172,0.938479707966502,0.952061412926777,0.917006656645909,0.921247584281726,0.975681769379429,0.849527592870947,0.95506764011166,0.910940519647842
CREBZF,0,0.851943311144514,0.853768520506764,1,0.915610908310071,0.846789778827571,0.86160618423878,0,0,0.780008589220528,0.841797294395534,0.863485076229332,0.900203993987546,0,0.824404122825854,0.862572471548207,0.752415718273567,0.752415718273567,0.808728795361821,0,0.780115954477131,0.912067854842173,0.865095555078377,0.920603392742109,0.918724500751557,0.752415718273567,0.920066566459094,0.856989478204853,0.927152673394889
FNBP4,0,0.912389950611982,0.909276358170496,1,0.919261327034572,0.914054112089328,0.907826927206356,0,0,0.912336267983681,0.926186386085463,0.914913034142152,0.925756925059051,0,0.927152673394889,0.907397466179944,0.905357526304488,0.905357526304488,0.924092763581705,0,0.912658363753489,0.908739531887481,0.906431178870517,0.912550998496886,0.910403693364827,0.905357526304488,0.87824779901224,0.912604681125188,0.909920549710114
CLK4,0,0.959630663517286,0.959523298260683,1,0.93622503757784,0.959469615632381,0.953725574404123,0,0,0.9565170710758,0.958503328322955,0.957268627872021,0.949592012024909,0,0.956731801589006,0.952705604466395,0.946478419583423,0.946478419583423,0.956463388447498,0,0.956678118960704,0.943525875026841,0.951578269272064,0.933594588791067,0.920549710113807,0.946478419583423,0.861981962636891,0.926937942881684,0.923394889413786
ZFC3H1,0,0.842870946961563,0.845930856774748,1,0.929514709040155,0.833744900150311,0.855862143010522,0,0,0.764977453296113,0.826336697444707,0.85833154391239,0.905518574189392,0,0.818767446854198,0.856345286665235,0.736418295039725,0.736418295039725,0.785001073652566,0,0.765299549065922,0.926132703457161,0.860049388018037,0.933970367189178,0.934185097702384,0.736418295039725,0.938748121108009,0.862626154176508,0.942183809319304
CCNT2,0,0.733519433111445,0.682950397251449,1,0.786182091475199,0.760038651492377,0.65508911316298,0,0,0.804809963495813,0.808084603822203,0.674361176723212,0.747691646983036,0,0.841743611767232,0.65288812540262,0.86015675327464,0.86015675327464,0.840992054971011,0,0.80362894567318,0.732821558943526,0.641185312432897,0.673126476272278,0.802125832080739,0.86015675327464,0.794878677260039,0.902029203349796,0.762615417650848
DDX17,0,0.805239424522225,0.810017178441056,1,0.864558728795362,0.785591582563882,0.829879750912605,0,0,0.727614343998282,0.742806527807601,0.829503972514494,0.860049388018037,0,0.743665449860425,0.831329181876745,0.6847756066137,0.6847756066137,0.734968864075585,0,0.728043805024694,0.86557869873309,0.837717414644621,0.882703457161263,0.860693579557655,0.6847756066137,0.849044449216234,0.78296113377711,0.875402619712261
TIA1,0,0.990068713764226,0.989531887481211,1,0.994041228258536,0.991464462100064,0.981586858492592,0,0,0.993021258320807,0.993719132488727,0.984807816190681,0.993182306205712,0,0.995705389735882,0.981103714837879,0.990176079020829,0.990176079020829,0.995490659222676,0,0.992913893064204,0.992162336267984,0.978795361820915,0.989961348507623,0.994255958771741,0.990176079020829,0.992054971011381,0.996671677045308,0.991732875241572
TRIM52,0,0.844481425810608,0.848453940304917,1,0.687352372772171,0.830309211939017,0.868370195404767,0,0,0.749033712690573,0.749677904230191,0.860747262185957,0.780652780760146,0,0.703349796006012,0.869712261112304,0.682896714623148,0.682896714623148,0.712529525445566,0,0.749785269486794,0.783283229546919,0.875026841314151,0.800622718488297,0.624865793429246,0.682896714623148,0.558299334335409,0.476218595662444,0.671515997423234
RBM39,0,0.871269057333047,0.874597380287739,1,0.829557655142796,0.86412926776895,0.888286450504617,0,0,0.781672750697874,0.834281726433326,0.885119175434829,0.876583637534894,0,0.786182091475199,0.888984324672536,0.723212368477561,0.723212368477561,0.768091045737599,0,0.782853768520507,0.868907021687782,0.893762078591368,0.878677260038652,0.791120893278935,0.723212368477561,0.709254885119175,0.62389950611982,0.836482714193687
SF3B1,0,0.878301481640541,0.879589864719777,1,0.947283659007945,0.873308997208503,0.883025552931072,0,0,0.86123040584067,0.878516212153747,0.88587073223105,0.935580846038222,0,0.88876959415933,0.883884474983895,0.782585355378999,0.782585355378999,0.868370195404767,0,0.861928280008589,0.943311144513635,0.883991840240498,0.945673180158901,0.948410994202276,0.782585355378999,0.945082671247584,0.920710757998712,0.950128838307924
PNN,0,0.780760146016749,0.769003650418725,1,0.80980244792785,0.802608975735452,0.691271204638179,0,0,0.846038222031351,0.838146875671033,0.701524586643762,0.772009877603608,0,0.863324028344428,0.689392312647627,0.927743182306206,0.927743182306206,0.86520292033498,0,0.845394030491733,0.758589220528237,0.675434829289242,0.695243719132489,0.823384152888125,0.927743182306206,0.825799871161692,0.926884260253382,0.788436761863861
KIAA0907,0,0.755958771741464,0.767124758428173,1,0.853070646338845,0.708288597809749,0.801266910027915,0,0,0.679568391668456,0.703940304917329,0.801911101567533,0.844642473695512,0,0.701148808245652,0.803682628301482,0.580309211939017,0.580309211939017,0.69019755207215,0,0.680212583208074,0.868262830148164,0.814526519218381,0.87969722997638,0.851996993772815,0.580309211939017,0.853553789993558,0.7355056903586,0.872127979385871
CCNL2,0,0.854090616276573,0.852694867940734,1,0.930266265836375,0.857311573974662,0.842226755421945,0,0,0.860693579557655,0.871913248872665,0.850601245436977,0.900526089757354,0,0.894084174361177,0.841367833369122,0.805829933433541,0.805829933433541,0.876637320163195,0,0.860747262185957,0.905035430534679,0.832510199699377,0.89564097058192,0.939284947391024,0.805829933433541,0.945565814902298,0.944492162336268,0.929944170066566
PCF11,0,0.710919046596521,0.75542194545845,1,0.862250375778398,0.697015245866438,0.796220742967576,0,0,0.660725789134636,0.693686922911746,0.796918617135495,0.849205497101138,0,0.693579557655143,0.798582778612841,0.530169637105433,0.530169637105433,0.67790423019111,0,0.661638393815761,0.874597380287739,0.811251878891991,0.887642258964999,0.863699806742538,0.530169637105433,0.875402619712261,0.739907665879321,0.882649774532961
AHSA2,0,0.858653639682199,0.862035645265192,1,0.704799226970152,0.848614988189822,0.878408846897144,0,0,0.762937513420657,0.782316942237492,0.872396392527378,0.795683916684561,0,0.725574404122826,0.879053038436762,0.702222460811681,0.702222460811681,0.733734163624651,0,0.763366974447069,0.800300622718488,0.884636031780116,0.81050032209577,0.634743397036719,0.702222460811681,0.562754992484432,0.496456946532102,0.684668241357097
MGEA5,0,0.950128838307924,0.947391024264548,1,0.899613485076229,0.956463388447498,0.925059050891132,0,0,0.966985183594589,0.962958986471978,0.929675756925059,0.91088683701954,0,0.970474554434185,0.922160188962852,0.979278505475628,0.979278505475628,0.972192398539833,0,0.966555722568177,0.891883186600816,0.893815761219669,0.851782263259609,0.887910672106506,0.979278505475628,0.817156968005154,0.958395963066352,0.852802233197337
SLC25A36,0,0.916738243504402,0.915288812540262,1,0.908149022976165,0.918295039725145,0.914161477345931,0,0,0.912926776894997,0.921677045308138,0.916952974017608,0.917919261327035,0,0.9202812969723,0.914268842602534,0.86015675327464,0.86015675327464,0.917436117672321,0,0.9130341421516,0.915235129911961,0.91378569894782,0.903371269057333,0.896285162121537,0.86015675327464,0.843998282155894,0.885548636461241,0.896446210006442
CCNL1,0,0.873523727721709,0.874919476057548,1,0.950343568821129,0.86885333905948,0.879643547348078,0,0,0.851996993772815,0.873684775606614,0.882918187674469,0.936976594374061,0,0.88259609190466,0.880019325746189,0.774532961133777,0.774532961133777,0.860961992699163,0,0.853231694223749,0.937513420657075,0.880985613055615,0.949323598883401,0.953188748121108,0.774532961133777,0.951739317156968,0.923502254670389,0.954477131200344
ZNF354B,0,0.897788275713979,0.923985398325102,1,0.811198196263689,0.885548636461241,0.95506764011166,0,0,0.774157182735667,0.835677474769165,0.94782048529096,0.895211509555508,0,0.730888984324673,0.956624436332403,0.530169637105433,0.530169637105433,0.726701739317157,0,0.776197122611123,0.902566029632811,0.963871591153103,0.922697015245866,0.707214945243719,0.530169637105433,0.614343998282156,0.337502684131415,0.829235559372987
DMTF1,0,0.705926562164484,0.748335838522654,1,0.59673609619927,0.693364827141937,0.79165771956195,0,0,0.657773244578055,0.642258964998926,0.76197122611123,0.689445995275929,0,0.589059480352158,0.792946102641185,0.530169637105433,0.530169637105433,0.59528666523513,0,0.658954262400687,0.689875456302341,0.806044663946747,0.723373416362465,0.568874812110801,0.530169637105433,0.532209576980889,0.337502684131415,0.613860854627443
REV1,0,0.912873094266695,0.911745759072364,1,0.90653854412712,0.914268842602534,0.911531028559158,0,0,0.908578484002577,0.919583422804381,0.915235129911961,0.916255099849689,0,0.91813399184024,0.911853124328967,0.844374060554005,0.844374060554005,0.915181447283659,0,0.908739531887481,0.913624651062916,0.911477345930857,0.901760790208289,0.894137856989478,0.844374060554005,0.838146875671033,0.880126691002792,0.894674683272493
DIP2A,0,0.733519433111445,0.682950397251449,1,0.789939875456302,0.760038651492377,0.65508911316298,0,0,0.804809963495813,0.812486579342925,0.676615847111875,0.751717844105647,0,0.842817264333262,0.65288812540262,0.86015675327464,0.86015675327464,0.843515138501181,0,0.80362894567318,0.736525660296328,0.641185312432897,0.677206356023191,0.806420442344857,0.86015675327464,0.802716340992055,0.90616276572901,0.768144728365901
ZNF182,0,0.733519433111445,0.682950397251449,1,0.47970796650204,0.760038651492377,0.65508911316298,0,0,0.804809963495813,0.767285806313077,0.647197766802663,0.518413141507408,0,0.775499248443204,0.65288812540262,0.86015675327464,0.86015675327464,0.790959845394031,0,0.80362894567318,0.47573545200773,0.641185312432897,0.408739531887481,0.457053897358815,0.86015675327464,0.320002147305132,0.654820700021473,0.403156538544127
ZNF514,0,0.964730513205927,0.966340992054971,1,0.827356667382435,0.960596950826712,0.971172428602104,0,0,0.939607043160833,0.939016534249517,0.968703027700236,0.911692076444063,0,0.891829503972514,0.971548207000215,0.796435473480782,0.796435473480782,0.894621000644192,0,0.940304917328752,0.902297616491303,0.973212368477561,0.891238995061198,0.742806527807601,0.796435473480782,0.596575048314365,0.605701095125617,0.811842387803307
PRPF4B,0,0.893439982821559,0.89349366544986,1,0.894030491732875,0.897519862572472,0.891883186600816,0,0,0.89639252737814,0.909705819196908,0.893225252308353,0.90363968219884,0,0.910779471762937,0.891453725574404,0.876583637534894,0.876583637534894,0.908471118745974,0,0.896446210006442,0.897251449430964,0.888662228902727,0.882649774532961,0.882273996134851,0.876583637534894,0.821290530384368,0.87465106291604,0.87610049388018
CCDC93,0,0.932145157826927,0.930480996349581,1,0.913732016319519,0.93225252308353,0.925542194545845,0,0,0.93080309211939,0.933057762508052,0.926508481855272,0.925112733519433,0,0.933111445136354,0.925488511917543,0.921515997423234,0.921515997423234,0.931554648915611,0,0.930695726862787,0.920173931715697,0.923716985183595,0.906055400472407,0.901385011810178,0.921515997423234,0.850064419153962,0.909652136568606,0.900042946102641
STAG3L3,0,0.906592226755422,0.904767017393172,1,0.728849044449216,0.908041657719562,0.906055400472407,0,0,0.902834442774318,0.896338844749839,0.899613485076229,0.818606398969294,0,0.871913248872665,0.906270130985613,0.829396607257891,0.829396607257891,0.880287738887696,0,0.903102855915826,0.798153317586429,0.906645909383723,0.771634099205497,0.648110371483788,0.829396607257891,0.52753918831866,0.643332617564956,0.654069143225252
UBN2,0,0.910188962851621,0.908846897144084,1,0.907129053038437,0.911692076444063,0.908900579772386,0,0,0.905250161047885,0.918402404981748,0.913946746832725,0.91630878247799,0,0.917221387159115,0.909330040798798,0.836804809963496,0.836804809963496,0.913946746832725,0,0.905464891561091,0.904230191110157,0.909330040798798,0.902458664376208,0.895533605325317,0.836804809963496,0.843998282155894,0.880395104144299,0.895963066351729
IFT80,0,0.988887695941593,0.989209791711402,1,0.916630878247799,0.987169851835946,0.990337126905733,0,0,0.979761649130341,0.979385870732231,0.989370839596307,0.969078806098347,0,0.962422160188963,0.990605540047241,0.939338630019326,0.939338630019326,0.96558943525875,0,0.979922697015246,0.961455872879536,0.991357096843461,0.954316083315439,0.845179299978527,0.939338630019326,0.670227614343998,0.800300622718488,0.888608546274426
RBM33,0,0.681930427313721,0.723749194760576,1,0.585623792140863,0.669583422804381,0.768198410994202,0,0,0.634582349151814,0.630341421515997,0.748443203779257,0.677689499677904,0,0.577732445780545,0.769701524586644,0.530169637105433,0.530169637105433,0.584120678548422,0,0.635602319089543,0.684292462958986,0.782155894352587,0.710972729224823,0.557708825424093,0.530169637105433,0.515675327464033,0.337502684131415,0.602426454799227
PPWD1,0,0.93949967790423,0.938694438479708,1,0.768305776250805,0.941056474124973,0.931769379428817,0,0,0.941700665664591,0.931017822632596,0.928441056474125,0.860371483787846,0,0.904820700021473,0.931823062057118,0.93767446854198,0.93767446854198,0.912550998496886,0,0.941700665664591,0.825638823276788,0.930051535323169,0.801374275284518,0.689714408417436,0.93767446854198,0.608438909168993,0.787416791926133,0.717736740390809
