,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
RBBP5,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842,0.998711686080842
PRKDC,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998
MCM4,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998,0.992860593697998
FLVCR1,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997,0,0.990820763325997,0.990820763325997,0.990820763325997,0.990820763325997
RPS6KC1,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0,0,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0,0.994417306350314,0.994417306350314,0.994417306350314,0,0.994417306350314,0,0.994417306350314,0.994417306350314
NSL1,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0,0.999194803800526,0.999194803800526,0.999194803800526,0,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526
ANGEL2,0.998550646840947,0,0.998550646840947,0.998550646840947,0.998550646840947,0,0.998550646840947,0.998550646840947,0.998550646840947,0.998550646840947,0.998550646840947,0,0,0.998550646840947,0.998550646840947,0.998550646840947,0.998550646840947,0.998550646840947,0.998550646840947,0.998550646840947,0.998550646840947,0.998550646840947,0.998550646840947,0.998550646840947,0,0.998550646840947,0.998550646840947,0.998550646840947,0.998550646840947
USP10,0.993128992431156,0.993128992431156,0,0.993128992431156,0.993128992431156,0.993128992431156,0.993128992431156,0.993128992431156,0.993128992431156,0.993128992431156,0.993128992431156,0.993128992431156,0.993128992431156,0.993128992431156,0.993128992431156,0.993128992431156,0,0.993128992431156,0.993128992431156,0.993128992431156,0,0.993128992431156,0.993128992431156,0.993128992431156,0.993128992431156,0.993128992431156,0,0.993128992431156,0.993128992431156
DSTYK,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0,0,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0.989103011433786,0,0,0,0.989103011433786,0,0.989103011433786,0.989103011433786
PRPF4,0.991142841805787,0.991142841805787,0.991142841805787,0.991142841805787,0,0,0,0.991142841805787,0.991142841805787,0.991142841805787,0.991142841805787,0.991142841805787,0.991142841805787,0.991142841805787,0.991142841805787,0.991142841805787,0,0,0.991142841805787,0.991142841805787,0,0.991142841805787,0.991142841805787,0.991142841805787,0,0.991142841805787,0.991142841805787,0.991142841805787,0.991142841805787
