,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CD79A,0,0,0,0,0,0,0,0,0,0,0,0.995114880824565,0,0,0,0,0,0,0,0,0,0,0,0.992323384152888,0,0,0,0,0
CD19,0,0,0,0,0,0,0,0,0,0,0,0.999892634743397,0,0,0,0,0,0,0,0,0,0,0,0.98802877388877,0,0,0,0,0
CD22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.999946317371698,0,0,0,0,0
VPREB3,0,0,0,0,0,0,0,0,0,0,0,0.99457805454155,0,0,0,0,0,0,0,0,0,0,0,0.879321451578269,0,0,0,0,0
FCRL1,0,0,0,0,0,0,0,0,0,0,0,0.979976379643547,0,0,0,0,0,0,0,0,0,0,0,0.994900150311359,0,0,0,0,0
FAM129C,0,0,0,0,0,0,0,0,0,0,0,0.995061198196264,0,0,0,0,0,0,0,0,0,0,0,0.963066351728581,0,0,0,0,0
CXCR5,0,0,0,0,0,0,0,0,0,0,0,0.999033712690573,0,0,0,0,0,0,0,0,0,0,0,0.999409491088684,0,0,0,0,0
BLK,0,0,0,0,0,0,0,0,0,0,0,0.994792785054756,0,0,0,0,0,0,0,0,0,0,0,0.99747691646983,0,0,0,0,0
MS4A1,0,0,0,0,0,0,0,0,0,0,0,0.988350869658578,0,0,0,0,0,0,0,0,0,0,0,0.991518144728366,0,0,0,0,0
FCRLA,0,0,0,0,0,0,0,0,0,0,0,0.99130341421516,0,0,0,0,0,0,0,0,0,0,0,0.992054971011381,0,0,0,0,0
TCL1A,0,0,0,0,0,0,0,0,0,0,0,0.986203564526519,0,0,0,0,0,0,0,0,0,0,0,0.807869873308997,0,0,0,0,0
FCRL2,0,0,0,0,0,0,0,0,0,0,0,0.907021687781834,0,0,0,0,0,0,0,0,0,0,0,0.844535108438909,0,0,0,0,0
CD72,0,0,0,0,0,0,0,0,0,0,0,0.998496886407559,0,0,0,0,0,0,0,0,0,0,0,0.984539403049173,0,0,0,0,0
