,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PCGF1,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525,0.996135058242525
AUP1,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0.97375060389715,0,0.97375060389715,0.97375060389715
HTRA2,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202,0.974180041870202
SNRPG,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0.975146277309571,0,0.975146277309571,0.975146277309571
SCNM1,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363,0.983627677277363
POLR2H,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0,0.96333673305062,0,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0.96333673305062,0,0.96333673305062,0
BOLA3,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0.952493424231038,0,0,0.952493424231038,0
RPL36,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0.988727253207365,0,0.988727253207365,0.988727253207365,0.988727253207365,0
MTX1,0.990498684846208,0.990498684846208,0.990498684846208,0.990498684846208,0.990498684846208,0.990498684846208,0,0.990498684846208,0.990498684846208,0.990498684846208,0.990498684846208,0.990498684846208,0.990498684846208,0.990498684846208,0.990498684846208,0.990498684846208,0.990498684846208,0,0.990498684846208,0.990498684846208,0.990498684846208,0.990498684846208,0.990498684846208,0,0.990498684846208,0.990498684846208,0,0.990498684846208,0.990498684846208
EDF1,0.961726340651672,0,0.961726340651672,0.961726340651672,0.961726340651672,0.961726340651672,0,0.961726340651672,0.961726340651672,0.961726340651672,0.961726340651672,0.961726340651672,0.961726340651672,0.961726340651672,0.961726340651672,0,0.961726340651672,0.961726340651672,0.961726340651672,0,0.961726340651672,0.961726340651672,0,0.961726340651672,0.961726340651672,0.961726340651672,0.961726340651672,0.961726340651672,0
