,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
UBA7,0,0.818391668456088,0,0.761649130341422,0.870463817908525,0.824457805454155,0,0.857794717629375,0,0.809695082671248,0.742162336267984,0.811788705175005,0,0,0.864343998282156,0.900955550783766,0,0.883455013957483,0.845716126261542,0,0,0.854090616276573,0.742162336267984,0.818552716340992,0.856291604036934,0.862089327893494,0,0,0.432628301481641
DHX58,0,0.636890702168778,0,0.8767983680481,0.784947391024265,0.747960060124544,0,0.75617350225467,0,0.801320592656216,0.860103070646339,0.548529095984539,0,0,0.778559158256388,0.72863431393601,0,0.728956409705819,0.71558943525875,0,0,0.788705175005368,0.860103070646339,0.837932145157827,0.808943525875027,0.798797509126047,0,0,0.425756925059051
TAPBP,0,0.705282370624866,0,0.87969722997638,0.837126905733305,0.68767446854198,0,0.674575907236418,0,0.905357526304488,0.893601030706463,0.860103070646339,0,0,0.875456302340563,0.769969937728151,0,0.902566029632811,0.912873094266695,0,0,0.637373845823492,0.893601030706463,0.853016963710543,0.74747691646983,0.834550139574834,0,0,0.633079235559373
PARP10,0,0.693418509770238,0,0.993074940949109,0.992216018896285,0.974769164698304,0,0.989907665879321,0,0.982499463173717,0.991947605754778,0.580953403478634,0,0,0.982284732660511,0.98657934292463,0,0.966502039939875,0.936117672321237,0,0,0.994094910886837,0.991947605754778,0.991625509984969,0.994309641400043,0.988136139145373,0,0,0.010253382005583
IFI35,0,0.95399398754563,0,0.869068069572686,0.888340133132918,0.908417436117672,0,0.644406270130986,0,0.912765729010092,0.835945887910672,0.983197337341636,0,0,0.910457375993129,0.858277861284088,0,0.968005153532317,0.967575692505905,0,0,0.626368907021688,0.835945887910672,0.767983680480996,0.665235129911961,0.903478634313936,0,0,0.896660940519648
HSH2D,0,0.568606398969294,0,0.98223105003221,0.967199914107795,0.990766587932145,0,0.988511917543483,0,0.982821558943526,0.980137427528452,0.808406699592012,0,0,0.989907665879321,0.988511917543483,0,0.986257247154821,0.965052608975735,0,0,0.992860210435903,0.980137427528452,0.98260682843032,0.984270989907666,0.98878033068499,0,0,0.00917972943955336
BATF2,0,0.860586214301052,0,0.816459093837234,0.864290315653854,0.929783122181662,0,0.845823491518145,0,0.802233197337342,0.77281511702813,0.816459093837234,0,0,0.828484002576766,0.859727292248229,0,0.830094481425811,0.830846038222031,0,0,0.753006227184883,0.77281511702813,0.804809963495813,0.829933433540906,0.854305346789779,0,0,0.60435902941808
IL15RA,0,0.305132059265622,0,0.875993128623577,0.877925703242431,0.91196048958557,0,0.94239853983251,0,0.910457375993129,0.928870517500537,0.392366330255529,0,0,0.912443633240283,0.902029203349796,0,0.789778827571398,0.703188748121108,0,0,0.938479707966502,0.928870517500537,0.935634528666524,0.929890487438265,0.893708395963066,0,0,0.314472836590079
XAF1,0,0.482553145802018,0,0.802823706248658,0.802608975735452,0.786504187245007,0,0.86665235129912,0,0.687889199055186,0.761434399828216,0.342173072793644,0,0,0.769647841958342,0.8297187030277,0,0.609512561735023,0.468756710328538,0,0,0.87427528451793,0.761434399828216,0.833100708610694,0.868316512776465,0.775821344213013,0,0,0.0951256173502255
LGALS9,0,0.553521580416577,0,0.852748550569036,0.8442130126691,0.819304273137213,0,0.890863216663088,0,0.73153317586429,0.825585140648486,0.3587073223105,0,0,0.802018466824136,0.861015675327464,0,0.667167704530814,0.526411853124329,0,0,0.907397466179944,0.825585140648486,0.929997852694868,0.900150311359244,0.827088254240928,0,0,0.0635065492806528
TAP1,0,0.529847541335624,0,0.896177796864934,0.910296328108224,0.890057977238566,0,0.916255099849689,0,0.945243719132489,0.942344857204209,0.744417006656646,0,0,0.926669529740176,0.900472407129053,0,0.897197766802663,0.894996779042302,0,0,0.894835731157397,0.942344857204209,0.935473480781619,0.912497315868585,0.909974232338415,0,0,0.543536611552502
TAP2,0,0.491464462100064,0,0.927045308138286,0.920764440627013,0.874973158685849,0,0.909330040798798,0,0.970850332832295,0.96558943525875,0.831490229761649,0,0,0.947283659007945,0.897573545200773,0,0.937567103285377,0.943203779257032,0,0,0.887588576336697,0.96558943525875,0.952490873953189,0.9130341421516,0.927098990766588,0,0,0.60978097487653
OAS2,0,0.594105647412497,0,0.860425166416148,0.823598883401331,0.780652780760146,0,0.854895855701095,0,0.696854197981533,0.798529095984539,0.3695512132274,0,0,0.772761434399828,0.826658793214516,0,0.655625939445995,0.522868799656431,0,0,0.878516212153747,0.798529095984539,0.841636246510629,0.875026841314151,0.798636461241142,0,0,0.0665664590938372
UBE2L6,0,0.376046811251879,0,0.829772385656002,0.764816405411209,0.779954906592227,0,0.851138071719991,0,0.733358385226541,0.819626368907022,0.332456517071076,0,0,0.80180373631093,0.799656431178871,0,0.653532316942237,0.503382005582993,0,0,0.863162980459523,0.819626368907022,0.838683701954048,0.843193042731372,0.770345716126262,0,0,0.0996886407558514
IRF1,0,0.732445780545416,0,0.985935151385012,0.988458234915181,0.994846467683058,0,0.99237706678119,0,0.986096199269916,0.976970152458664,0.907343783551643,0,0,0.994255958771741,0.994255958771741,0,0.995168563452867,0.985613055615203,0,0,0.989370839596307,0.976970152458664,0.983465750483144,0.987706678118961,0.99130341421516,0,0,0.00901868155464892
PSMB9,0,0.531726433326176,0,0.894352587502684,0.909330040798798,0.889789564097058,0,0.915449860425166,0,0.944331114451364,0.941539617779687,0.744309641400043,0,0,0.926025338200558,0.900096628730943,0,0.89639252737814,0.893815761219669,0,0,0.893547348078162,0.941539617779687,0.934668241357097,0.911692076444063,0.909115310285592,0,0,0.545415503543053
CIITA,0,0.36702812969723,0,0.920334979600601,0.909866867081812,0.955604466394675,0,0.959308567747477,0,0.894030491732875,0.920066566459094,0.388823276787632,0,0,0.934990337126906,0.938587073223105,0,0.853124328967146,0.721440841743612,0,0,0.956356023190895,0.920066566459094,0.938426025338201,0.945565814902298,0.918402404981748,0,0,0.0436439768091046
RNF213,0,0.839649989263474,0,0.874167919261327,0.910833154391239,0.860747262185957,0,0.896285162121537,0,0.770614129267769,0.836643762078591,0.572042087180588,0,0,0.805132059265622,0.89311788705175,0,0.756388232767876,0.698142581060769,0,0,0.910994202276143,0.836643762078591,0.880770882542409,0.921945458449646,0.87899935580846,0,0,0.31629804595233
TCIRG1,0,0.799441700665665,0,0.995920120249087,0.997852694867941,0.984700450934078,0,0.992860210435903,0,0.995114880824565,0.995007515567962,0.914644621000644,0,0,0.995061198196264,0.99457805454155,0,0.996134850762293,0.990766587932145,0,0,0.996081168133992,0.995007515567962,0.993558084603822,0.995436976594374,0.995383293966073,0,0,0.0178226325960919
RAC2,0,0.568606398969294,0,0.984485720420872,0.971870302770024,0.981962636890702,0,0.983412067854842,0,0.987008803951041,0.989424522224608,0.770399398754563,0,0,0.983787846252953,0.978687996564312,0,0.973158685849259,0.957751771526734,0,0,0.986633025552931,0.989424522224608,0.985666738243504,0.98368048099635,0.985666738243504,0,0,0.032102211724286
FLT3LG,0,0.916469830362895,0,0.950611981962637,0.96811251878892,0.932413570968435,0,0.934131415074082,0,0.9492699162551,0.951309856130556,0.89274210865364,0,0,0.931393601030706,0.943203779257032,0,0.939982821558944,0.924736955121323,0,0,0.959308567747477,0.951309856130556,0.951578269272064,0.955872879536182,0.963603178011595,0,0,0.559748765299549
RASAL3,0,0.702490873953189,0,0.918187674468542,0.941432252523083,0.833530169637105,0,0.928709469615632,0,0.883508696585785,0.893439982821559,0.62824779901224,0,0,0.920120249087395,0.940036504187245,0,0.914215159974232,0.852480137427528,0,0,0.934077732445781,0.893439982821559,0.923878033068499,0.938372342709899,0.90906162765729,0,0,0.0529847541335624
CMPK2,0,0.308621430105218,0,0.666201417221387,0.823759931286236,0.758052394245222,0,0.901546059695083,0,0.850869658578484,0.840884689714408,0.435097702383509,0,0,0.867779686493451,0.87245007515568,0,0.74527592870947,0.662550998496886,0,0,0.872933218810393,0.840884689714408,0.879321451578269,0.874704745544342,0.801964784195834,0,0,0.445458449645695
OASL,0,0.934829289242001,0,0.77791496671677,0.887159115310286,0.833154391238995,0,0.833047025982392,0,0.542624006871376,0.630985613055615,0.672643332617565,0,0,0.685205067640112,0.872074296757569,0,0.720367189177582,0.641775821344213,0,0,0.841475198625725,0.630985613055615,0.752254670388662,0.869873308997208,0.81957268627872,0,0,0.385065492806528
ZBP1,0,0.544395533605325,0,0.834979600601245,0.869443847970797,0.772761434399828,0,0.897412497315869,0,0.729869014386944,0.774747691646983,0.386568606398969,0,0,0.83803951041443,0.890165342495169,0,0.757032424307494,0.589220528237063,0,0,0.906860639896929,0.774747691646983,0.863807171999141,0.901277646553575,0.824404122825854,0,0,0.0465965213656861
APOL6,0,0.47718488297187,0,0.75434829289242,0.807118316512776,0.831758642903156,0,0.88189821773674,0,0.676669529740176,0.729815331758643,0.367242860210436,0,0,0.791335623792141,0.856398969293537,0,0.651331329181877,0.482821558943526,0,0,0.874597380287739,0.729815331758643,0.817640111659867,0.866061842387803,0.779149667167705,0,0,0.117511273351943
ETV7,0,0.621913248872665,0,0.690841743611767,0.841475198625725,0.829181876744685,0,0.882864505046167,0,0.643278934936654,0.653156538544127,0.468273566673824,0,0,0.807010951256174,0.889467468327249,0,0.742484432037793,0.579181876744685,0,0,0.85543268198411,0.653156538544127,0.780223319733734,0.859244148593515,0.778881254026197,0,0,0.24420227614344
PSMB8,0,0.462797938587073,0,0.946639467468327,0.93912389950612,0.906323813613915,0,0.935473480781619,0,0.97535967360962,0.974876529954907,0.796864934507193,0,0,0.956087610049388,0.92173072793644,0,0.942505905089113,0.942935366115525,0,0,0.923609619926992,0.974876529954907,0.964891561090831,0.938533390594804,0.942881683487224,0,0,0.512078591367833
APOL3,0,0.264225896499893,0,0.755314580201847,0.678816834872235,0.625671032853769,0,0.819680051535323,0,0.707537041013528,0.757515567962207,0.275767661584711,0,0,0.796328108224179,0.7644943096414,0,0.634528666523513,0.46269057333047,0,0,0.810231908954262,0.757515567962207,0.804112089327893,0.789564097058192,0.682467253596736,0,0,0.0802018466824136
CCL5,0,0.608546274425596,0,0.810124543697659,0.799388018037363,0.922643332617565,0,0.89891561090831,0,0.691700665664591,0.742913893064204,0.424200128838308,0,0,0.810178226325961,0.870732231050032,0,0.687942881683487,0.548368048099635,0,0,0.886783336912175,0.742913893064204,0.819841099420228,0.875563667597166,0.827732445780545,0,0,0.0943740605540047
OGFR,0,0.515406914322525,0,0.91630878247799,0.97283659007945,0.983465750483144,0,0.985344642473695,0,0.939016534249517,0.922804380502469,0.636890702168778,0,0,0.974930212583208,0.984807816190681,0,0.957698088898432,0.872772170925489,0,0,0.982392097917114,0.922804380502469,0.959147519862573,0.976218595662444,0.96703886622289,0,0,0.0460596950826712
SLC15A3,0,0.36160618423878,0,0.968971440841744,0.931286235774104,0.96086536396822,0,0.95979171140219,0,0.953725574404123,0.965696800515353,0.503489370839596,0,0,0.963603178011595,0.941485935151385,0,0.93225252308353,0.872986901438694,0,0,0.960543268198411,0.965696800515353,0.962207429675757,0.952651921838093,0.948518359458879,0,0,0.0414966716770453
NLRC5,0,0.343944599527593,0,0.486364612411424,0.580309211939017,0.736847756066137,0,0.824672535967361,0,0.382703457161263,0.446263689070217,0.296864934507193,0,0,0.740712905303844,0.806098346575048,0,0.576980888984325,0.366008159759502,0,0,0.750107365256603,0.446263689070217,0.655894352587503,0.735666738243504,0.577839811037148,0,0,0.052501610478849
SECTM1,0,0.432520936225038,0,0.965482070002147,0.966931500966287,0.962529525445566,0,0.975144943096414,0,0.977936439768091,0.982553145802018,0.66920764440627,0,0,0.969078806098347,0.961187459738029,0,0.943364827141937,0.922321236847756,0,0,0.974071290530384,0.982553145802018,0.979493235988834,0.975144943096414,0.969078806098347,0,0,0.308353016963711
ITGAL,0,0.929407343783552,0,0.968649345071935,0.989639252737814,0.977990122396392,0,0.981050032209577,0,0.967951470904015,0.955228687996564,0.933004079879751,0,0,0.980888984324673,0.989156109083101,0,0.986794073437836,0.969400901868155,0,0,0.985988834013313,0.955228687996564,0.971816620141722,0.982821558943526,0.986740390809534,0,0,0.071773674039081
APOL2,0,0.487867726003865,0,0.618209147519863,0.78081382864505,0.562701309856131,0,0.832724930212583,0,0.412765729010092,0.477131200343569,0.359566244363324,0,0,0.75472407129053,0.855701095125617,0,0.686708181232553,0.429836804809964,0,0,0.826712475842817,0.477131200343569,0.708503328322955,0.811037148378785,0.665557225681769,0,0,0.0503006227184883
RSAD2,0,0.316190680695727,0,0.286450504616706,0.768788919905519,0.718864075585141,0,0.869014386944385,0,0.825638823276788,0.776519218380932,0.464301052179515,0,0,0.813184453510844,0.825853553789994,0,0.648056688855486,0.61160618423878,0,0,0.81484861498819,0.776519218380932,0.840992054971011,0.828322954691862,0.747691646983036,0,0,0.621108009448143
CD6,0,0.515406914322525,0,0.968703027700236,0.923072793643977,0.944867940734378,0,0.935419798153318,0,0.945190036504187,0.960704316083315,0.623792140863217,0,0,0.948840455228688,0.919368692291175,0,0.928441056474125,0.894406270130986,0,0,0.933970367189178,0.960704316083315,0.950343568821129,0.933916684560876,0.936654498604252,0,0,0.0758535537899936
ARHGAP9,0,0.541926132703457,0,0.919368692291175,0.950558299334335,0.806420442344857,0,0.932574618853339,0,0.952222460811681,0.929622074296758,0.828537685205068,0,0,0.96628730942667,0.956302340562594,0,0.974071290530384,0.947874167919261,0,0,0.932467253596736,0.929622074296758,0.941163839381576,0.928548421730728,0.931500966287309,0,0,0.10070861069358
BTN3A2,0,0.930695726862787,0,0.674898003006227,0.87534893708396,0.903371269057333,0,0.847433970367189,0,0.605593729869014,0.59711187459738,0.762722782907451,0,0,0.704799226970152,0.876476272278291,0,0.721279793858707,0.674307494094911,0,0,0.810822417865579,0.59711187459738,0.725574404122826,0.850118101782263,0.824350440197552,0,0,0.581114451363539
FMNL1,0,0.556259394459953,0,0.964462100064419,0.93080309211939,0.984378355164269,0,0.97643332617565,0,0.970581919690788,0.964945243719132,0.803038436761864,0,0,0.980191110156753,0.974124973158686,0,0.97283659007945,0.955711831651278,0,0,0.971601889628516,0.964945243719132,0.967575692505905,0.96483787846253,0.97246081168134,0,0,0.0212046381790852
NFKB2,0,0.770506764011166,0,0.876852050676401,0.79203349796006,0.831812325531458,0,0.759984968864076,0,0.769057333047026,0.829503972514494,0.653961777968649,0,0,0.778451792999785,0.767661584711188,0,0.767554219454584,0.751127335194331,0,0,0.786021043590294,0.829503972514494,0.810017178441056,0.804219454584497,0.819143225252308,0,0,0.4239317156968
IL4I1,0,0.862948249946317,0,0.960972729224823,0.941593300407988,0.927313721279794,0,0.882649774532961,0,0.960221172428602,0.957644406270131,0.93515138501181,0,0,0.945512132273996,0.908363753489371,0,0.961724286021044,0.965321022117243,0,0,0.878730942666953,0.957644406270131,0.936922911745759,0.903585999570539,0.946102641185312,0,0,0.586858492591797
RTP4,0,0.462797938587073,0,0.600601245436977,0.583369121752201,0.544395533605325,0,0.692828000858922,0,0.0747262185956624,0.446263689070217,0.25037577839811,0,0,0.412282585355379,0.648325101996994,0,0.274908739531887,0.214086321666309,0,0,0.73115739746618,0.446263689070217,0.595769808889843,0.707214945243719,0.509126046811252,0,0,0.202598239209792
C5orf56,0,0.21918617135495,0,0.929514709040155,0.931500966287309,0.974608116813399,0,0.984270989907666,0,0.976648056688855,0.964569465321022,0.627013098561306,0,0,0.985720420871806,0.980942666952974,0,0.970313506549281,0.936547133347649,0,0,0.979278505475628,0.964569465321022,0.974017607902083,0.97208503328323,0.967468327249302,0,0,0.017607902082886
IRF9,0,0.872772170925489,0,0.838361606184239,0.703725574404123,0.838844749838952,0,0.211992699162551,0,0.930695726862787,0.891775821344213,0.977721709254885,0,0,0.837126905733305,0.435473480781619,0,0.920012883830792,0.960596950826712,0,0,0.127657290100923,0.891775821344213,0.736686708181233,0.218380931930427,0.821183165127765,0,0,0.979815331758643
PARP9,0,0.754938801803736,0,0.81484861498819,0.677635817049603,0.550515353231694,0,0.359619926991625,0,0.64746617994417,0.729063774962422,0.596038222031351,0,0,0.592065707537041,0.530599098131845,0,0.630126691002792,0.639521150955551,0,0,0.457107579987116,0.729063774962422,0.692828000858922,0.632918187674469,0.676186386085463,0,0,0.507569250590509
AKNA,0,0.936654498604252,0,0.960811681339918,0.979761649130341,0.948625724715482,0,0.970420871805884,0,0.87245007515568,0.908149022976165,0.668885548636461,0,0,0.93042731372128,0.976755421945459,0,0.925649559802448,0.837824779901224,0,0,0.983197337341636,0.908149022976165,0.952598239209792,0.981103714837879,0.966072578913464,0,0,0.0163732016319519
CD7,0,0.420496027485506,0,0.957053897358815,0.954208718058836,0.944062701309856,0,0.963066351728581,0,0.96483787846253,0.967736740390809,0.649613485076229,0,0,0.964998926347434,0.95216877818338,0,0.943955336053253,0.913195190036504,0,0,0.959469615632381,0.967736740390809,0.968595662443633,0.960972729224823,0.954745544341851,0,0,0.112250375778398
TBX21,0,0.53768520506764,0,0.878516212153747,0.859673609619927,0.823437835516427,0,0.894782048529096,0,0.78806098346575,0.864075585140649,0.37717414644621,0,0,0.824350440197552,0.860371483787846,0,0.697176293751342,0.565707537041014,0,0,0.92173072793644,0.864075585140649,0.888608546274426,0.908417436117672,0.853661155250161,0,0,0.0954477131200344
LGALS3BP,0,0.273674039080953,0,0.629321451578269,0.658524801374275,0.543912389950612,0,0.800085892205282,0,0.663463603178012,0.674522224608117,0.348024479278505,0,0,0.803682628301482,0.788812540261971,0,0.703832939660726,0.510843890916899,0,0,0.750644191539618,0.674522224608117,0.739746617994417,0.729761649130341,0.620195404767017,0,0,0.107365256602963
TBC1D10C,0,0.739370839596307,0,0.969400901868155,0.97643332617565,0.977506978741679,0,0.96231479493236,0,0.991518144728366,0.979224822847327,0.97498389521151,0,0,0.989048743826498,0.976164913034142,0,0.994417006656646,0.995544341850977,0,0,0.92065707537041,0.979224822847327,0.970850332832295,0.945512132273996,0.977077517715267,0,0,0.509609190465965
B2M,0,0.959362250375778,0,0.670120249087395,0.839757354520077,0.601674898003006,0,0.39929138930642,0,0.789188318660082,0.692559587717415,0.94964569465321,0,0,0.72283659007945,0.781404337556367,0,0.863592441485935,0.875617350225467,0,0,0.708181232553146,0.692559587717415,0.697874167919261,0.694975305990981,0.834281726433326,0,0,0.893278934936654
CSK,0,0.594105647412497,0,0.99672535967361,0.99527592870947,0.999892634743397,0,0.998604251664161,0,0.995383293966073,0.99527592870947,0.855540047240713,0,0,0.99817479063775,0.997852694867941,0,0.996242216018896,0.991625509984969,0,0,0.994631737169852,0.99527592870947,0.994094910886837,0.996295898647198,0.996886407558514,0,0,0.00445565814902298
PSTPIP1,0,0.419153961777969,0,0.995598024479278,0.996188533390595,0.99420227614344,0,0.99710113807172,0,0.993289671462315,0.994470689284947,0.650203993987546,0,0,0.995973802877389,0.996403263903801,0,0.993074940949109,0.965267339488941,0,0,0.998496886407559,0.994470689284947,0.99457805454155,0.996993772815117,0.995759072364183,0,0,0.00338200558299334
RUFY4,0,0.847702383508697,0,0.837395318874812,0.857096843461456,0.864558728795362,0,0.87427528451793,0,0.589542624006871,0.697659437406055,0.487760360747262,0,0,0.750483143654713,0.883132918187674,0,0.70399398754563,0.588737384582349,0,0,0.884260253382006,0.697659437406055,0.80470259823921,0.892795791281941,0.828806098346575,0,0,0.0501395748335839
NKG7,0,0.81232553145802,0,0.984002576766158,0.987599312862358,0.989102426454799,0,0.985666738243504,0,0.983841528881254,0.987277217092549,0.836804809963496,0,0,0.979063774962422,0.981694223749195,0,0.967092548851192,0.950826712475843,0,0,0.989585570109513,0.987277217092549,0.985935151385012,0.988458234915181,0.988941378569895,0,0,0.301374275284518
IL2RB,0,0.570109512561735,0,0.8623040584067,0.867511273351943,0.788007300837449,0,0.891346360317801,0,0.749838952115096,0.823813613914537,0.399398754563023,0,0,0.836536396821988,0.881254026197123,0,0.757086106935796,0.615256602963281,0,0,0.904981747906378,0.823813613914537,0.871591153102856,0.900472407129053,0.833637534893708,0,0,0.0515353231694224
ZNFX1,0,0.590992054971011,0,0.79493235988834,0.759233412067855,0.81957268627872,0,0.758374490015031,0,0.797777539188319,0.802984754133562,0.660350010736526,0,0,0.814150740820271,0.76197122611123,0,0.788329396607258,0.721709254885119,0,0,0.794449216233627,0.802984754133562,0.783927421086536,0.741947605754778,0.802233197337342,0,0,0.579826068284303
GSDMD,0,0.927635817049603,0,0.976862787202061,0.98947820485291,0.947498389521151,0,0.970581919690788,0,0.979171140219025,0.981586858492592,0.909222675542194,0,0,0.964623147949324,0.974447068928495,0,0.965696800515353,0.961885333905948,0,0,0.98078161906807,0.981586858492592,0.981747906377496,0.983734163624651,0.983787846252953,0,0,0.445082671247584
IL21R,0,0.560554004724071,0,0.900418724500752,0.927850547562809,0.936010307064634,0,0.954155035430535,0,0.866867081812326,0.889628516212154,0.460596950826712,0,0,0.91883186600816,0.944009018681555,0,0.856291604036934,0.721118745973803,0,0,0.959738028773889,0.889628516212154,0.927313721279794,0.949592012024909,0.921140219025123,0,0,0.0614666094051965
ZAP70,0,0.570485290959845,0,0.945995275928709,0.962851621215375,0.897144084174361,0,0.962368477560661,0,0.935956624436332,0.94492162336268,0.567479063774962,0,0,0.952383508696586,0.961670603392742,0,0.934399828215589,0.862411423663303,0,0,0.97283659007945,0.94492162336268,0.960113807171999,0.967468327249302,0.949108868370195,0,0,0.0384367618638609
UBASH3A,0,0.81232553145802,0,0.768091045737599,0.882327678763152,0.901599742323384,0,0.885817049602749,0,0.75762293321881,0.738350869658578,0.704745544341851,0,0,0.829503972514494,0.896070431608332,0,0.806957268627872,0.727131200343569,0,0,0.886514923770668,0.738350869658578,0.822578913463603,0.87862357741035,0.867135494953833,0,0,0.488297187030277
IL12RB1,0,0.850279149667168,0,0.939445995275929,0.955980244792785,0.965965213656861,0,0.958449645694653,0,0.85543268198411,0.898700880395104,0.585409061627657,0,0,0.907934292462959,0.952383508696586,0,0.862357741035001,0.782585355378999,0,0,0.959201202490874,0.898700880395104,0.932950397251449,0.962744255958772,0.941485935151385,0,0,0.0576014601674898
TRIM21,0,0.462797938587073,0,0.454101352802233,0.625885763366974,0.598937083959631,0,0.733841528881254,0,0.318821129482499,0.522761434399828,0.331114451363539,0,0,0.516587932145158,0.689607043160833,0,0.347380287738888,0.238189821773674,0,0,0.815707537041014,0.522761434399828,0.644298904874383,0.731694223749195,0.616008159759502,0,0,0.436171354949538
BTN3A3,0,0.807440412282585,0,0.588468971440842,0.787255744041228,0.746832724930213,0,0.790530384367619,0,0.323008374490015,0.501342065707537,0.47063560231909,0,0,0.510468112518789,0.795844964569465,0,0.462368477560661,0.391722138715912,0,0,0.794824994631737,0.501342065707537,0.681339918402405,0.814097058191969,0.709630663517286,0,0,0.444760575477775
CXCL11,0,0.794341850977024,0,0.624543697659437,0.751503113592441,0.737760360747262,0,0.742484432037793,0,0.240551857418939,0.446263689070217,0.455497101138072,0,0,0.469078806098347,0.758428172643333,0,0.459576980888984,0.383240283444277,0,0,0.745920120249087,0.446263689070217,0.629750912604681,0.772976164913034,0.670227614343998,0,0,0.414429890487438
SELPLG,0,0.818874812110801,0,0.986901438694438,0.996886407558514,0.996242216018896,0,0.996134850762293,0,0.990712905303844,0.987652995490659,0.89349366544986,0,0,0.993450719347219,0.996349581275499,0,0.99167919261327,0.981264762722783,0,0,0.994255958771741,0.987652995490659,0.991142366330256,0.995705389735882,0.994524371913249,0,0,0.035001073652566
SBNO2,0,0.828537685205068,0,0.960382220313507,0.927474769164698,0.927152673394889,0,0.898432467253597,0,0.965911531028559,0.964945243719132,0.916791926132703,0,0,0.942505905089113,0.906431178870517,0,0.951954047670174,0.959040154605969,0,0,0.910350010736526,0.964945243719132,0.948410994202276,0.920227614343998,0.952276143439983,0,0,0.545683916684561
CCR5,0,0.69057333047026,0,0.905840669959201,0.941324887266481,0.976594374060554,0,0.970367189177582,0,0.850923341206785,0.868209147519863,0.524210865363968,0,0,0.932896714623148,0.96483787846253,0,0.881629804595233,0.750268413141507,0,0,0.966179944170067,0.868209147519863,0.92355593729869,0.958557010951256,0.939284947391024,0,0,0.0421945458449646
