,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ANAPC1,0.750214730513206,0.750214730513206,0.752039939875456,0.750214730513206,0.750214730513206,0.750214730513206,0,0.739961348507623,0,0.7427528451793,0,0.750214730513206,0.750214730513206,0,0.739424522224608,0.745436976594374,0,0.750214730513206,0,0.750214730513206,0.750214730513206,0,0.725842817264333,0.720098776036075,0.750214730513206,0,0.731211080094481,0.750214730513206,0.750214730513206
CCNT1,0.976594374060554,0.976594374060554,0.977345930856775,0.976594374060554,0.976594374060554,0.976594374060554,0,0.975037577839811,0,0.97573545200773,0,0.976594374060554,0.976594374060554,0,0.974876529954907,0.976111230405841,0,0.976594374060554,0,0.976594374060554,0.976594374060554,0,0.970313506549281,0.963710543268198,0.976594374060554,0,0.972782907451149,0.976594374060554,0.976594374060554
ASXL2,0.779632810822418,0.779632810822418,0.781296972299764,0.779632810822418,0.779632810822418,0.779632810822418,0,0.76991625509985,0,0.774855056903586,0,0.779632810822418,0.779632810822418,0,0.768520506764011,0.775177152673395,0,0.779632810822418,0,0.779632810822418,0.779632810822418,0,0.75252308353017,0.751181017822633,0.779632810822418,0,0.76014601674898,0.779632810822418,0.779632810822418
AP3M1,0.870732231050032,0.870732231050032,0.872342709899077,0.870732231050032,0.870732231050032,0.870732231050032,0,0.874436332402834,0,0.865900794502899,0,0.870732231050032,0.870732231050032,0,0.874490015031136,0.869282800085892,0,0.870732231050032,0,0.870732231050032,0.870732231050032,0,0.883186600815976,0.874006871376423,0.870732231050032,0,0.872503757783981,0.870732231050032,0.870732231050032
GTF2A1,0.962153747047455,0.962153747047455,0.962636890702169,0.962153747047455,0.962153747047455,0.962153747047455,0,0.960919046596521,0,0.960274855056904,0,0.962153747047455,0.962153747047455,0,0.960274855056904,0.961402190251235,0,0.962153747047455,0,0.962153747047455,0.962153747047455,0,0.953886622289027,0.951256173502255,0.962153747047455,0,0.957859136783337,0.962153747047455,0.962153747047455
SBNO1,0.861498818982177,0.861498818982177,0.863001932574619,0.861498818982177,0.861498818982177,0.861498818982177,0,0.860532531672751,0,0.855754777753919,0,0.861498818982177,0.861498818982177,0,0.860264118531243,0.859566244363324,0,0.861498818982177,0,0.861498818982177,0.861498818982177,0,0.857848400257677,0.849044449216234,0.861498818982177,0,0.855110586214301,0.861498818982177,0.861498818982177
SEC23IP,0.912873094266695,0.912873094266695,0.914161477345931,0.912873094266695,0.912873094266695,0.912873094266695,0,0.910242645479923,0,0.909491088683702,0,0.912873094266695,0.912873094266695,0,0.909652136568606,0.911101567532746,0,0.912873094266695,0,0.912873094266695,0.912873094266695,0,0.899720850332832,0.895104144298905,0.912873094266695,0,0.904659652136569,0.912873094266695,0.912873094266695
DHX33,0.781243289671462,0.781243289671462,0.782907451148808,0.781243289671462,0.781243289671462,0.781243289671462,0,0.7717414644621,0,0.840294180803092,0,0.781243289671462,0.781243289671462,0,0.770399398754563,0.802984754133562,0,0.781243289671462,0,0.781243289671462,0.781243289671462,0,0.754509340777324,0.851138071719991,0.781243289671462,0,0.818713764225896,0.781243289671462,0.781243289671462
ADNP,0.965267339488941,0.965267339488941,0.965911531028559,0.965267339488941,0.965267339488941,0.965267339488941,0,0.963978956409706,0,0.964408417436118,0,0.965267339488941,0.965267339488941,0,0.963549495383294,0.964569465321022,0,0.965267339488941,0,0.965267339488941,0.965267339488941,0,0.957805454155035,0.956087610049388,0.965267339488941,0,0.961670603392742,0.965267339488941,0.965267339488941
EIF3A,0.781780115954477,0.781780115954477,0.78333691217522,0.781780115954477,0.781780115954477,0.781780115954477,0,0.794717629375134,0,0.772439338630019,0,0.781780115954477,0.781780115954477,0,0.795683916684561,0.776197122611123,0,0.781780115954477,0,0.781780115954477,0.781780115954477,0,0.818176937942882,0.783283229546919,0.781780115954477,0,0.792946102641185,0.781780115954477,0.781780115954477
PRKDC,0.923072793643977,0.923072793643977,0.924522224608117,0.923072793643977,0.923072793643977,0.923072793643977,0,0.920173931715697,0,0.919476057547778,0,0.923072793643977,0.923072793643977,0,0.919744470689285,0.921354949538329,0,0.923072793643977,0,0.923072793643977,0.923072793643977,0,0.910994202276143,0.906860639896929,0.923072793643977,0,0.914913034142152,0.923072793643977,0.923072793643977
