,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ADAT2,0,0,0,0.987438264977453,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.992323384152888,0,1,1,1,1,0,0,0,1
ALKBH8,0,0,0,0.982123684775607,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.987760360747262,0,1,1,1,1,0,0,0,1
CHORDC1,0,0,0,0.990390809534035,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.995168563452867,0,1,1,1,1,0,0,0,1
WDR75,0,0,0,0.990390809534035,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.995168563452867,0,1,1,1,1,0,0,0,1
TATDN3,0,0,0,0.990390809534035,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.995168563452867,0,1,1,1,1,0,0,0,1
C5orf28,0,0,0,0.988726648056689,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.993611767232124,0,1,1,1,1,0,0,0,1
CCDC78,0,0,0,0.976111230405841,0.981211080094481,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.982660511058621,0,1,0.0282907451148808,1,1,0,0,0,1
TMEM161B,0,0,0,0.920334979600601,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.928387373845823,0,1,1,1,1,0,0,0,1
WDR36,0,0,0,0.920334979600601,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.928387373845823,0,1,1,1,1,0,0,0,1
MLPH,0,0,0,0.98078161906807,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.986418295039725,0,1,1,1,1,0,0,0,1
SLC25A46,0,0,0,0.920334979600601,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.928387373845823,0,1,1,1,1,0,0,0,1
ZCCHC9,0,0,0,0.920334979600601,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.928387373845823,0,1,1,1,1,0,0,0,1
HMGN4,0,0,0,0.994846467683058,0.999677904230191,1,0,1,0,0,0,1,0,0,1,0,0,1,0,5.36826283014816e-05,0,1,0.000107365256602963,1,1,0,0,0,1
CWC27,0,0,0,0.920334979600601,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.928387373845823,0,1,1,1,1,0,0,0,1
LRRC40,0,0,0,0.982928924200129,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.988350869658578,0,1,1,1,1,0,0,0,1
PPIP5K2,0,0,0,0.920334979600601,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.928387373845823,0,1,1,1,1,0,0,0,1
CENPK,0,0,0,0.920334979600601,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.928387373845823,0,1,1,1,1,0,0,0,1
PARP2,0,0,0,0.98733089972085,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.992216018896285,0,1,0.00483143654713335,1,1,0,0,0,1
HMMR,0,0,0,0.920334979600601,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.928387373845823,0,1,1,1,1,0,0,0,1
TTC37,0,0,0,0.920334979600601,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.928387373845823,0,1,1,1,1,0,0,0,1
LIPT1,0,0,0,0.974017607902083,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.979761649130341,0,1,1,1,1,0,0,0,1
CALM2,0,0,0,0.992484432037793,0.979278505475628,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.997369551213227,0,1,1,1,1,0,0,0,1
