,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
POLR3GL,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937,0.967953191260937
LIX1L,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0,0,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0
BOLA1,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0,0.965430243169252,0.965430243169252,0,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0.965430243169252,0
SNAPIN,0.984701272209995,0.984701272209995,0.984701272209995,0.984701272209995,0.984701272209995,0.984701272209995,0,0.984701272209995,0.984701272209995,0,0.984701272209995,0.984701272209995,0,0.984701272209995,0,0.984701272209995,0.984701272209995,0.984701272209995,0.984701272209995,0.984701272209995,0.984701272209995,0.984701272209995,0.984701272209995,0.984701272209995,0.984701272209995,0,0.984701272209995,0.984701272209995,0.984701272209995
CCDC115,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0,0.993182672177787,0,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0.993182672177787,0,0.993182672177787,0
EAPP,0,0.98115840893231,0,0,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0,0.98115840893231,0,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231,0.98115840893231
PIGC,0.959203392559987,0.959203392559987,0.959203392559987,0,0.959203392559987,0.959203392559987,0,0.959203392559987,0.959203392559987,0.959203392559987,0,0.959203392559987,0.959203392559987,0.959203392559987,0,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0,0.959203392559987,0,0.959203392559987,0,0.959203392559987,0,0.959203392559987
ZNF32,0,0.971657093778517,0.971657093778517,0,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0,0,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0.971657093778517,0,0.971657093778517,0
ANKRD34A,0,0.96199473938483,0.96199473938483,0.96199473938483,0.96199473938483,0.96199473938483,0,0.96199473938483,0.96199473938483,0,0,0,0,0.96199473938483,0.96199473938483,0.96199473938483,0.96199473938483,0.96199473938483,0.96199473938483,0.96199473938483,0.96199473938483,0,0.96199473938483,0.96199473938483,0.96199473938483,0.96199473938483,0,0.96199473938483,0
MITD1,0.977239787428203,0.977239787428203,0.977239787428203,0,0,0.977239787428203,0.977239787428203,0.977239787428203,0.977239787428203,0.977239787428203,0,0.977239787428203,0.977239787428203,0.977239787428203,0,0.977239787428203,0.977239787428203,0.977239787428203,0,0,0.977239787428203,0.977239787428203,0.977239787428203,0.977239787428203,0.977239787428203,0,0.977239787428203,0.977239787428203,0.977239787428203
TXNIP,0,0.994739384830104,0.994739384830104,0.994739384830104,0.994739384830104,0.994739384830104,0.994739384830104,0.994739384830104,0.994739384830104,0,0.994739384830104,0.994739384830104,0,0.994739384830104,0.994739384830104,0.994739384830104,0.994739384830104,0.994739384830104,0.994739384830104,0,0.994739384830104,0.994739384830104,0.994739384830104,0.994739384830104,0.994739384830104,0,0,0.994739384830104,0
PBXIP1,0,0.909495947179129,0.909495947179129,0.909495947179129,0.909495947179129,0.909495947179129,0,0.909495947179129,0.909495947179129,0.909495947179129,0.909495947179129,0,0,0.909495947179129,0.909495947179129,0.909495947179129,0.909495947179129,0.909495947179129,0.909495947179129,0,0.909495947179129,0,0.909495947179129,0.909495947179129,0.909495947179129,0.909495947179129,0,0,0
MCEE,0.982070964625047,0.982070964625047,0,0.982070964625047,0.982070964625047,0.982070964625047,0,0.982070964625047,0.982070964625047,0.982070964625047,0,0.982070964625047,0.982070964625047,0,0,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0,0.982070964625047,0,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0,0.982070964625047,0.982070964625047
TSEN15,0.936979977454506,0.936979977454506,0,0,0.936979977454506,0.936979977454506,0,0.936979977454506,0.936979977454506,0,0,0.936979977454506,0,0.936979977454506,0,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0,0.936979977454506,0,0.936979977454506,0,0.936979977454506,0.936979977454506,0.936979977454506
RBM34,0,0.959203392559987,0.959203392559987,0,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0,0,0.959203392559987,0.959203392559987,0,0,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0,0,0,0.959203392559987,0,0.959203392559987,0.959203392559987,0
ZNF688,0,0.960813784958935,0.960813784958935,0.960813784958935,0.960813784958935,0.960813784958935,0.960813784958935,0.960813784958935,0.960813784958935,0.960813784958935,0.960813784958935,0,0.960813784958935,0,0,0.960813784958935,0.960813784958935,0.960813784958935,0,0,0.960813784958935,0.960813784958935,0.960813784958935,0.960813784958935,0.960813784958935,0,0,0.960813784958935,0
C4orf27,0,0.959203392559987,0,0,0,0.959203392559987,0,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0,0,0,0.959203392559987,0.959203392559987,0.959203392559987,0,0.959203392559987,0.959203392559987,0,0,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987
ZMAT2,0.995168822803156,0.995168822803156,0,0,0.995168822803156,0.995168822803156,0.995168822803156,0.995168822803156,0.995168822803156,0,0,0.995168822803156,0.995168822803156,0.995168822803156,0,0.995168822803156,0.995168822803156,0.995168822803156,0.995168822803156,0,0.995168822803156,0.995168822803156,0.995168822803156,0.995168822803156,0.995168822803156,0,0.995168822803156,0,0
MRPS21,0.983949755757153,0.983949755757153,0.983949755757153,0,0,0.983949755757153,0.983949755757153,0.983949755757153,0.983949755757153,0.983949755757153,0.983949755757153,0.983949755757153,0.983949755757153,0,0,0.983949755757153,0.983949755757153,0.983949755757153,0.983949755757153,0.983949755757153,0.983949755757153,0.983949755757153,0.983949755757153,0,0.983949755757153,0,0,0,0
VAMP2,0.998496967094315,0.998496967094315,0,0.998496967094315,0.998496967094315,0.998496967094315,0,0.998496967094315,0.998496967094315,0.998496967094315,0.998496967094315,0.998496967094315,0,0,0.998496967094315,0.998496967094315,0.998496967094315,0.998496967094315,0.998496967094315,0,0.998496967094315,0.998496967094315,0.998496967094315,0.998496967094315,0.998496967094315,0,0,0.998496967094315,0
SNRPE,0,0.991464920285576,0,0,0,0.991464920285576,0.991464920285576,0.991464920285576,0.991464920285576,0.991464920285576,0.991464920285576,0.991464920285576,0.991464920285576,0.991464920285576,0,0.991464920285576,0.991464920285576,0.991464920285576,0.991464920285576,0.991464920285576,0.991464920285576,0,0,0,0.991464920285576,0.991464920285576,0.991464920285576,0,0
VAMP4,0,0.925546191421976,0,0,0.925546191421976,0.925546191421976,0,0.925546191421976,0.925546191421976,0,0,0,0,0.925546191421976,0,0.925546191421976,0.925546191421976,0.925546191421976,0.925546191421976,0.925546191421976,0.925546191421976,0,0.925546191421976,0.925546191421976,0.925546191421976,0,0,0.925546191421976,0.925546191421976
THEM4,0.959203392559987,0.959203392559987,0.959203392559987,0,0,0.959203392559987,0,0.959203392559987,0.959203392559987,0.959203392559987,0,0,0,0.959203392559987,0,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0.959203392559987,0,0.959203392559987,0,0.959203392559987,0.959203392559987,0,0.959203392559987,0.959203392559987
TMCO1,0,0.990552364592839,0,0,0,0.990552364592839,0,0.990552364592839,0.990552364592839,0,0,0.990552364592839,0.990552364592839,0,0,0.990552364592839,0.990552364592839,0.990552364592839,0.990552364592839,0.990552364592839,0.990552364592839,0,0.990552364592839,0,0.990552364592839,0.990552364592839,0.990552364592839,0,0.990552364592839
PYGO2,0.924472596489345,0.924472596489345,0,0,0,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0,0.924472596489345,0,0,0.924472596489345,0,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0.924472596489345,0,0.924472596489345,0,0.924472596489345,0.924472596489345,0,0,0
TATDN3,0,0.936979977454506,0,0,0.936979977454506,0.936979977454506,0,0.936979977454506,0.936979977454506,0,0,0.936979977454506,0,0,0,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0,0.936979977454506,0,0.936979977454506,0,0,0.936979977454506,0.936979977454506
SYF2,0,0.907026678834076,0.907026678834076,0,0.907026678834076,0.907026678834076,0.907026678834076,0.907026678834076,0.907026678834076,0.907026678834076,0.907026678834076,0.907026678834076,0,0,0,0.907026678834076,0.907026678834076,0.907026678834076,0,0,0.907026678834076,0,0,0.907026678834076,0.907026678834076,0,0,0.907026678834076,0
DUSP12,0.980675291212625,0.980675291212625,0,0,0,0.980675291212625,0,0.980675291212625,0.980675291212625,0.980675291212625,0.980675291212625,0,0.980675291212625,0.980675291212625,0,0.980675291212625,0.980675291212625,0.980675291212625,0.980675291212625,0.980675291212625,0.980675291212625,0,0,0,0.980675291212625,0,0,0,0.980675291212625
NSL1,0,0.951044071071985,0,0,0.951044071071985,0.951044071071985,0,0.951044071071985,0.951044071071985,0.951044071071985,0,0,0,0.951044071071985,0,0.951044071071985,0.951044071071985,0.951044071071985,0.951044071071985,0.951044071071985,0.951044071071985,0,0.951044071071985,0,0.951044071071985,0,0,0.951044071071985,0.951044071071985
C17orf59,0,0.984110794997048,0.984110794997048,0.984110794997048,0,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0,0,0,0,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0,0.984110794997048,0.984110794997048,0.984110794997048,0,0.984110794997048,0.984110794997048,0,0.984110794997048,0
