,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CEP250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929192613270346,0,0,0,0,0,0.904391238995061,0,0,0,0,0
HNRNPU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761165986686708,0,0,0,0,0,0.744846467683058,0,0,0,0,0
EIF5B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735935151385012,0,0,0,0,0,0.9492699162551,0,0,0,0,0
ARID4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89456731801589,0,0,0,0,0,0.872235344642474,0,0,0,0,0
ASXL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752737814043376,0,0,0,0,0,0.807225681769379,0,0,0,0,0
PHF14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863699806742538,0,0,0,0,0,0.913517285806313,0,0,0,0,0
ZC3H4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918992913893064,0,0,0,0,0,0.928441056474125,0,0,0,0,0
ZNF335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862089327893494,0,0,0,0,0,0.72063560231909,0,0,0,0,0
ANKRD11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813560231908954,0,0,0,0,0,0.957751771526734,0,0,0,0,0
NCOA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681984109942023,0,0,0,0,0,0.623470045093408,0,0,0,0,0
PPIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843031994846468,0,0,0,0,0,0.925756925059051,0,0,0,0,0
PHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867350225467039,0,0,0,0,0,0.816995920120249,0,0,0,0,0
RBM39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958127549924844,0,0,0,0,0,0.914537255744041,0,0,0,0,0
TAF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681823062057118,0,0,0,0,0,0.668885548636461,0,0,0,0,0
ARID1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8767983680481,0,0,0,0,0,0.588630019325746,0,0,0,0,0
NUCKS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847917114021903,0,0,0,0,0,0.973641829503972,0,0,0,0,0
UPF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778827571397896,0,0,0,0,0,0.775928709469616,0,0,0,0,0
CHD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937781833798583,0,0,0,0,0,0.943364827141937,0,0,0,0,0
CLK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983841528881254,0,0,0,0,0,0.980459523298261,0,0,0,0,0
RBBP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627496242216019,0,0,0,0,0,0.545147090401546,0,0,0,0,0
USP42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740873953188748,0,0,0,0,0,0.73840455228688,0,0,0,0,0
UBAP2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92790423019111,0,0,0,0,0,0.89311788705175,0,0,0,0,0
POGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865363968219884,0,0,0,0,0,0.64564097058192,0,0,0,0,0
RBM25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703725574404123,0,0,0,0,0,0.679031565385441,0,0,0,0,0
UPF3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790047240712905,0,0,0,0,0,0.737975091260468,0,0,0,0,0
CLASP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818606398969294,0,0,0,0,0,0.566888554863646,0,0,0,0,0
PLAGL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705550783766373,0,0,0,0,0,0.549119604895856,0,0,0,0,0
TAF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813023405625939,0,0,0,0,0,0.657290100923341,0,0,0,0,0
SAFB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684346145587288,0,0,0,0,0,0.674146446210006,0,0,0,0,0
PHF20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91813399184024,0,0,0,0,0,0.754294610264118,0,0,0,0,0
GIGYF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728365900794503,0,0,0,0,0,0.65471333476487,0,0,0,0,0
MTF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801696371054327,0,0,0,0,0,0.860317801159545,0,0,0,0,0
RPRD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904552286879966,0,0,0,0,0,0.662175220098776,0,0,0,0,0
NIPBL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666738243504402,0,0,0,0,0,0.487760360747262,0,0,0,0,0
CCDC142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996456946532102,0,0,0,0,0,0.978580631307709,0,0,0,0,0
ATAD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790369336482714,0,0,0,0,0,0.77646553575263,0,0,0,0,0
PNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956087610049388,0,0,0,0,0,0.954101352802233,0,0,0,0,0
MDM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811305561520292,0,0,0,0,0,0.890648486149882,0,0,0,0,0
HNRNPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899667167704531,0,0,0,0,0,0.884904444921623,0,0,0,0,0
STK4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924146446210006,0,0,0,0,0,0.796542838737385,0,0,0,0,0
DIDO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953296113377711,0,0,0,0,0,0.91813399184024,0,0,0,0,0
CCDC18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824726218595662,0,0,0,0,0,0.983841528881254,0,0,0,0,0
ARID4A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884313936010307,0,0,0,0,0,0.882757139789564,0,0,0,0,0
STK36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69347219239854,0,0,0,0,0,0.779847541335624,0,0,0,0,0
DNMT3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819787416791926,0,0,0,0,0,0.711831651277647,0,0,0,0,0
DDX46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741410779471763,0,0,0,0,0,0.713388447498389,0,0,0,0,0
ACIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939982821558944,0,0,0,0,0,0.982070002147305,0,0,0,0,0
HNRNPA2B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807440412282585,0,0,0,0,0,0.62100064419154,0,0,0,0,0
CHD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946693150096629,0,0,0,0,0,0.984968864075585,0,0,0,0,0
CDK13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737008803951041,0,0,0,0,0,0.80507837663732,0,0,0,0,0
ZCCHC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899237706678119,0,0,0,0,0,0.794341850977024,0,0,0,0,0
ZNF292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774157182735667,0,0,0,0,0,0.826175649559802,0,0,0,0,0
MEX3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897680910457376,0,0,0,0,0,0.707805454155035,0,0,0,0,0
RSF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837610049388018,0,0,0,0,0,0.949860425166416,0,0,0,0,0
SMARCC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932306205711832,0,0,0,0,0,0.866222890272708,0,0,0,0,0
UPF3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730942666952974,0,0,0,0,0,0.737975091260468,0,0,0,0,0
DENND4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998980030062272,0,0,0,0,0,0.948786772600386,0,0,0,0,0
PASK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687406055400472,0,0,0,0,0,0.616437620785914,0,0,0,0,0
ROCK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927957912819412,0,0,0,0,0,0.816995920120249,0,0,0,0,0
BPTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720313506549281,0,0,0,0,0,0.867833369121752,0,0,0,0,0
PABPN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983143654713335,0,0,0,0,0,0.955658149022976,0,0,0,0,0
KIF3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75182520936225,0,0,0,0,0,0.94529740176079,0,0,0,0,0
BAZ2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708020184668241,0,0,0,0,0,0.521526733948894,0,0,0,0,0
TSPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886192828000859,0,0,0,0,0,0.704530813828645,0,0,0,0,0
KNTC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955819196907881,0,0,0,0,0,0.89311788705175,0,0,0,0,0
IRF2BP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835194331114451,0,0,0,0,0,0.549763796435473,0,0,0,0,0
RTF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820002147305132,0,0,0,0,0,0.755153532316942,0,0,0,0,0
SPATA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712744255958772,0,0,0,0,0,0.390380073008375,0,0,0,0,0
ZFC3H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.853339059480352,0,0,0,0,0,0.703886622289027,0,0,0,0,0
RBM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804165771956195,0,0,0,0,0,0.759984968864076,0,0,0,0,0
GMEB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967683057762508,0,0,0,0,0,0.980942666952974,0,0,0,0,0
REV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722890272707752,0,0,0,0,0,0.545147090401546,0,0,0,0,0
USP49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963388447498389,0,0,0,0,0,0.760682843031995,0,0,0,0,0
DMTF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731640541120893,0,0,0,0,0,0.627657290100923,0,0,0,0,0
PRPF40B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827625080523942,0,0,0,0,0,0.708234915181447,0,0,0,0,0
NVL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913248872664806,0,0,0,0,0,0.892097917114022,0,0,0,0,0
DNAJC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828108224178656,0,0,0,0,0,0.859029418080309,0,0,0,0,0
RBM12B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816781189607043,0,0,0,0,0,0.638876959415933,0,0,0,0,0
PRPF38B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866491303414215,0,0,0,0,0,0.726164913034142,0,0,0,0,0
ABCF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920173931715697,0,0,0,0,0,0.981908954262401,0,0,0,0,0
EHMT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880234056259394,0,0,0,0,0,0.747584281726433,0,0,0,0,0
SP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937513420657075,0,0,0,0,0,0.951900365041872,0,0,0,0,0
INTS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844535108438909,0,0,0,0,0,0.904981747906378,0,0,0,0,0
GPATCH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873416362465106,0,0,0,0,0,0.88732016319519,0,0,0,0,0
FBXO46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938855486364612,0,0,0,0,0,0.908739531887481,0,0,0,0,0
ZNF566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845555078376637,0,0,0,0,0,0.723319733734164,0,0,0,0,0
