,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PPARA,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999,0.997960169627999
TNRC6B,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0,0.962424177357883,0,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883,0.962424177357883
ETV3,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0,0.979548016533362,0.979548016533362,0,0,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362
PEX26,0.988458854474207,0.988458854474207,0.988458854474207,0.988458854474207,0.988458854474207,0.988458854474207,0.988458854474207,0.988458854474207,0.988458854474207,0.988458854474207,0.988458854474207,0,0,0.988458854474207,0.988458854474207,0.988458854474207,0.988458854474207,0,0.988458854474207,0.988458854474207,0.988458854474207,0.988458854474207,0.988458854474207,0,0.988458854474207,0.988458854474207,0.988458854474207,0.988458854474207,0
KIAA1671,0.913199849696709,0.913199849696709,0.913199849696709,0,0.913199849696709,0.913199849696709,0.913199849696709,0.913199849696709,0,0.913199849696709,0.913199849696709,0,0.913199849696709,0,0.913199849696709,0.913199849696709,0.913199849696709,0.913199849696709,0.913199849696709,0.913199849696709,0,0.913199849696709,0,0.913199849696709,0.913199849696709,0.913199849696709,0.913199849696709,0.913199849696709,0
RREB1,0,0.991840678511997,0.991840678511997,0,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0.991840678511997,0
ENTPD5,0.98620430511568,0.98620430511568,0.98620430511568,0,0.98620430511568,0.98620430511568,0.98620430511568,0.98620430511568,0,0.98620430511568,0.98620430511568,0,0.98620430511568,0.98620430511568,0.98620430511568,0,0.98620430511568,0,0.98620430511568,0.98620430511568,0.98620430511568,0.98620430511568,0.98620430511568,0.98620430511568,0.98620430511568,0.98620430511568,0.98620430511568,0.98620430511568,0.98620430511568
PIKFYVE,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0,0,0,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0,0.933759192656611,0.933759192656611,0,0.933759192656611,0.933759192656611,0,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611
DENND4A,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0,0.984271834236942,0,0,0,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942,0.984271834236942
ROCK2,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0,0,0,0,0,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349,0.939771324279349
UBR4,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0,0,0,0,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0.970261420366096,0
TOB2,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0,0.996671855708841,0.996671855708841,0.996671855708841,0.996671855708841,0,0.996671855708841,0.996671855708841,0
FNIP2,0,0.933168715443663,0.933168715443663,0,0.933168715443663,0.933168715443663,0.933168715443663,0.933168715443663,0,0.933168715443663,0.933168715443663,0,0,0.933168715443663,0.933168715443663,0.933168715443663,0.933168715443663,0,0.933168715443663,0.933168715443663,0.933168715443663,0.933168715443663,0.933168715443663,0,0.933168715443663,0.933168715443663,0.933168715443663,0.933168715443663,0.933168715443663
VPS13D,0,0.918299425626711,0.918299425626711,0,0.918299425626711,0.918299425626711,0.918299425626711,0.918299425626711,0,0.918299425626711,0,0,0.918299425626711,0.918299425626711,0.918299425626711,0.918299425626711,0.918299425626711,0.918299425626711,0.918299425626711,0.918299425626711,0.918299425626711,0.918299425626711,0.918299425626711,0.918299425626711,0.918299425626711,0,0.918299425626711,0.918299425626711,0
KIAA0430,0,0.925599871168608,0.925599871168608,0.925599871168608,0.925599871168608,0.925599871168608,0.925599871168608,0.925599871168608,0.925599871168608,0.925599871168608,0.925599871168608,0,0,0.925599871168608,0.925599871168608,0,0.925599871168608,0.925599871168608,0.925599871168608,0.925599871168608,0.925599871168608,0.925599871168608,0,0.925599871168608,0.925599871168608,0,0.925599871168608,0.925599871168608,0
MKLN1,0,0.95088303183209,0.95088303183209,0.95088303183209,0.95088303183209,0.95088303183209,0.95088303183209,0.95088303183209,0,0.95088303183209,0,0,0.95088303183209,0.95088303183209,0.95088303183209,0.95088303183209,0.95088303183209,0,0.95088303183209,0.95088303183209,0,0.95088303183209,0.95088303183209,0.95088303183209,0.95088303183209,0.95088303183209,0.95088303183209,0.95088303183209,0.95088303183209
PDP2,0,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0,0,0,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0,0.928444897740083,0,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0
RFC1,0.994202587363788,0.994202587363788,0.994202587363788,0.994202587363788,0.994202587363788,0.994202587363788,0.994202587363788,0,0.994202587363788,0.994202587363788,0.994202587363788,0.994202587363788,0,0,0.994202587363788,0.994202587363788,0.994202587363788,0,0,0.994202587363788,0.994202587363788,0.994202587363788,0.994202587363788,0,0.994202587363788,0.994202587363788,0.994202587363788,0.994202587363788,0.994202587363788
KIAA0232,0,0.995061463309893,0.995061463309893,0,0.995061463309893,0.995061463309893,0.995061463309893,0.995061463309893,0.995061463309893,0.995061463309893,0,0,0,0.995061463309893,0.995061463309893,0.995061463309893,0.995061463309893,0,0.995061463309893,0.995061463309893,0.995061463309893,0.995061463309893,0.995061463309893,0.995061463309893,0.995061463309893,0.995061463309893,0.995061463309893,0.995061463309893,0.995061463309893
CNOT1,0.94685705083472,0.94685705083472,0.94685705083472,0.94685705083472,0.94685705083472,0.94685705083472,0,0.94685705083472,0.94685705083472,0.94685705083472,0.94685705083472,0,0,0,0.94685705083472,0.94685705083472,0.94685705083472,0,0.94685705083472,0.94685705083472,0.94685705083472,0.94685705083472,0.94685705083472,0,0.94685705083472,0.94685705083472,0.94685705083472,0.94685705083472,0
HIPK2,0,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0,0.981319448172205,0,0,0.981319448172205,0.981319448172205,0.981319448172205,0,0.981319448172205,0,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0
RSC1A1,0,0.958988673573461,0.958988673573461,0,0,0.958988673573461,0,0.958988673573461,0,0.958988673573461,0.958988673573461,0.958988673573461,0,0.958988673573461,0.958988673573461,0.958988673573461,0.958988673573461,0,0.958988673573461,0.958988673573461,0.958988673573461,0.958988673573461,0.958988673573461,0.958988673573461,0.958988673573461,0.958988673573461,0.958988673573461,0.958988673573461,0
LONP2,0,0.993826829137366,0.993826829137366,0,0.993826829137366,0.993826829137366,0.993826829137366,0.993826829137366,0.993826829137366,0.993826829137366,0.993826829137366,0.993826829137366,0,0.993826829137366,0,0.993826829137366,0.993826829137366,0,0.993826829137366,0.993826829137366,0,0.993826829137366,0.993826829137366,0.993826829137366,0.993826829137366,0.993826829137366,0.993826829137366,0.993826829137366,0
LRP6,0,0.982124644371679,0.982124644371679,0.982124644371679,0,0,0.982124644371679,0.982124644371679,0.982124644371679,0.982124644371679,0,0,0,0.982124644371679,0.982124644371679,0,0.982124644371679,0,0.982124644371679,0.982124644371679,0.982124644371679,0.982124644371679,0.982124644371679,0.982124644371679,0.982124644371679,0.982124644371679,0.982124644371679,0.982124644371679,0.982124644371679
