,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PPARGC1A,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365,0.989747168393365
OGDH,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0,0.999141124053894,0.999141124053894,0,0.999141124053894,0.999141124053894,0,0.999141124053894,0.999141124053894,0.999141124053894,0,0,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894
GOT1,0,0.977078748188309,0.977078748188309,0,0.977078748188309,0.977078748188309,0,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0,0.977078748188309,0.977078748188309,0,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0,0.977078748188309,0,0.977078748188309,0,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309,0.977078748188309
ACO2,0.98486231144989,0.98486231144989,0.98486231144989,0.98486231144989,0.98486231144989,0.98486231144989,0,0.98486231144989,0,0.98486231144989,0.98486231144989,0,0,0.98486231144989,0.98486231144989,0.98486231144989,0.98486231144989,0.98486231144989,0,0,0.98486231144989,0,0.98486231144989,0,0.98486231144989,0.98486231144989,0.98486231144989,0.98486231144989,0.98486231144989
IDH3A,0,0.972891727951044,0.972891727951044,0,0.972891727951044,0,0.972891727951044,0.972891727951044,0,0.972891727951044,0.972891727951044,0,0.972891727951044,0.972891727951044,0.972891727951044,0.972891727951044,0.972891727951044,0.972891727951044,0.972891727951044,0.972891727951044,0.972891727951044,0.972891727951044,0.972891727951044,0,0.972891727951044,0,0,0.972891727951044,0.972891727951044
OSBPL1A,0,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0,0.983305598797574,0,0,0.983305598797574,0.983305598797574,0.983305598797574,0,0.983305598797574,0.983305598797574,0,0.983305598797574,0,0.983305598797574,0.983305598797574,0,0.983305598797574,0.983305598797574
ATP5B,0,0.998819045574105,0.998819045574105,0,0.998819045574105,0.998819045574105,0,0.998819045574105,0.998819045574105,0.998819045574105,0.998819045574105,0,0.998819045574105,0.998819045574105,0.998819045574105,0.998819045574105,0.998819045574105,0.998819045574105,0,0,0.998819045574105,0,0.998819045574105,0,0.998819045574105,0.998819045574105,0,0.998819045574105,0.998819045574105
ACACB,0,0.923399001556713,0.923399001556713,0.923399001556713,0.923399001556713,0,0.923399001556713,0.923399001556713,0,0,0.923399001556713,0,0,0.923399001556713,0,0.923399001556713,0.923399001556713,0.923399001556713,0,0,0.923399001556713,0.923399001556713,0.923399001556713,0.923399001556713,0.923399001556713,0.923399001556713,0,0.923399001556713,0.923399001556713
ACADM,0,0.986472703848838,0.986472703848838,0.986472703848838,0.986472703848838,0.986472703848838,0,0.986472703848838,0.986472703848838,0.986472703848838,0.986472703848838,0,0,0.986472703848838,0.986472703848838,0.986472703848838,0.986472703848838,0.986472703848838,0.986472703848838,0,0.986472703848838,0,0.986472703848838,0,0.986472703848838,0.986472703848838,0,0.986472703848838,0.986472703848838
GBAS,0.985452788662837,0.985452788662837,0.985452788662837,0,0.985452788662837,0,0,0.985452788662837,0,0,0.985452788662837,0,0,0,0,0.985452788662837,0.985452788662837,0.985452788662837,0.985452788662837,0,0.985452788662837,0.985452788662837,0.985452788662837,0,0.985452788662837,0.985452788662837,0.985452788662837,0.985452788662837,0.985452788662837
NDRG2,0.943206828063772,0.943206828063772,0.943206828063772,0,0.943206828063772,0.943206828063772,0,0.943206828063772,0,0,0.943206828063772,0,0,0.943206828063772,0,0.943206828063772,0.943206828063772,0.943206828063772,0.943206828063772,0,0.943206828063772,0.943206828063772,0.943206828063772,0,0.943206828063772,0.943206828063772,0,0.943206828063772,0.943206828063772
