,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
KPNA3,0,0.871537470474554,0.867350225467039,0,0.85001073652566,0.776841314150741,0.833637534893708,0.873577410350011,0,0.856237921408632,0.840616276572901,0.83911316298046,0.802931071505261,0,0,0,0,0.750429461026412,0.829665020399399,0,0,0,0.834335409061628,0.872020614129268,0,0.864290315653854,0.820216877818338,0.816459093837234,0
FNDC3A,0,0.883401331329182,0.842602533820056,0,0.936278720206141,0.742967575692506,0.858599957053897,0.917597165557226,0,0.92462958986472,0.921408632166631,0.812916040369337,0.885065492806528,0,0,0,0,0.807010951256174,0.930212583208074,0,0,0,0.920925488511918,0.901868155464892,0,0.880019325746189,0.884206570753704,0.949430964140004,0
SUCLA2,0,0.913356237921409,0.886300193257462,0,0.919153961777969,0.867887051750054,0.888340133132918,0.888984324672536,0,0.914966716770453,0.917221387159115,0.874221601889628,0.890702168778183,0,0,0,0,0.845930856774748,0.911155250161048,0,0,0,0.917811896070432,0.891775821344213,0,0.897251449430964,0.903317586429032,0.9057869873309,0
MTMR6,0,0.962422160188963,0.972246081168134,0,0.973802877388877,0.921945458449646,0.994041228258536,0.990605540047241,0,0.977775391883187,0.967199914107795,0.968595662443633,0.96558943525875,0,0,0,0,0.976594374060554,0.981908954262401,0,0,0,0.96414000429461,0.994900150311359,0,0.986149881898218,0.955389735881469,0.945941593300408,0
COG6,0,0.678548421730728,0.687298690143869,0,0.568284303199485,0.830631307708825,0.685205067640112,0.479278505475628,0,0.588791067210651,0.656806957268628,0.721279793858707,0.700611981962637,0,0,0,0,0.697766802662658,0.574082027056045,0,0,0,0.668778183379858,0.555185741893923,0,0.648325101996994,0.732499463173717,0.384367618638609,0
DIS3,0,0.935956624436332,0.955336053253167,0,0.914376207859137,0.826980888984325,0.916791926132703,0.915664590938372,0,0.938587073223105,0.885709684346146,0.939982821558944,0.931017822632596,0,0,0,0,0.955228687996564,0.884260253382006,0,0,0,0.880126691002792,0.911799441700666,0,0.924736955121323,0.863162980459523,0.874060554004724,0
INTS6,0,0.727131200343569,0.790745114880825,0,0.623792140863217,0.791550354305347,0.757783981103715,0.492269701524587,0,0.692989048743826,0.646660940519648,0.810607687352373,0.711294824994632,0,0,0,0,0.915825638823277,0.574726218595662,0,0,0,0.658524801374275,0.567103285376852,0,0.687996564311789,0.709254885119175,0.46773674039081,0
ZC3H13,0,0.933004079879751,0.915235129911961,0,0.945028988619283,0.776841314150741,0.896285162121537,0.954316083315439,0,0.942559587717415,0.929729439553361,0.87969722997638,0.88007300837449,0,0,0,0,0.809909813184454,0.933540906162766,0,0,0,0.924790637749624,0.941432252523083,0,0.927528451793,0.887534893708396,0.953135065492807,0
AKAP11,0,0.712636890702169,0.754885119175435,0,0.557333047025982,0.722299763796435,0.690036504187245,0.6304487867726,0,0.60650633455014,0.61702812969723,0.762830148164054,0.744524371913249,0,0,0,0,0.619765943740606,0.55545415503543,0,0,0,0.599473910242646,0.669744470689285,0,0.710274855056904,0.657719561949753,0.384367618638609,0
PDS5B,0,0.751771526733949,0.781082241786558,0,0.620624865793429,0.776841314150741,0.724715482070002,0.678065278076015,0,0.661531028559158,0.675273781404338,0.780115954477131,0.773459308567747,0,0,0,0,0.663946746832725,0.616544986042517,0,0,0,0.670120249087395,0.713012669100279,0,0.742538114666094,0.711616920764441,0.534088468971441,0
