,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ACOT8,0.986902141821891,0.986902141821891,0.986902141821891,0.986902141821891,0.986902141821891,0,0.986902141821891,0.986902141821891,0.986902141821891,0.986902141821891,0.986902141821891,0.986902141821891,0.986902141821891,0.986902141821891,0,0.986902141821891,0.986902141821891,0,0.986902141821891,0.986902141821891,0.986902141821891,0,0.986902141821891,0.986902141821891,0.986902141821891,0.986902141821891,0.986902141821891,0.986902141821891,0
RBM42,0,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417,0,0.986096945622417,0,0.986096945622417,0,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417,0,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417,0.986096945622417
INO80E,0,0.989961887379892,0.989961887379892,0.989961887379892,0,0,0.989961887379892,0,0.989961887379892,0.989961887379892,0.989961887379892,0.989961887379892,0.989961887379892,0,0.989961887379892,0.989961887379892,0.989961887379892,0,0.989961887379892,0.989961887379892,0.989961887379892,0.989961887379892,0.989961887379892,0.989961887379892,0.989961887379892,0.989961887379892,0.989961887379892,0,0.989961887379892
ADRM1,0,0.955553169789039,0.955553169789039,0.955553169789039,0.955553169789039,0,0.955553169789039,0.955553169789039,0.955553169789039,0.955553169789039,0.955553169789039,0,0.955553169789039,0.955553169789039,0.955553169789039,0.955553169789039,0.955553169789039,0,0.955553169789039,0.955553169789039,0.955553169789039,0,0.955553169789039,0.955553169789039,0.955553169789039,0.955553169789039,0,0.955553169789039,0.955553169789039
ZNF205,0.948574802726931,0.948574802726931,0.948574802726931,0.948574802726931,0.948574802726931,0,0.948574802726931,0.948574802726931,0.948574802726931,0,0.948574802726931,0,0.948574802726931,0,0.948574802726931,0.948574802726931,0.948574802726931,0,0.948574802726931,0.948574802726931,0.948574802726931,0.948574802726931,0.948574802726931,0.948574802726931,0.948574802726931,0.948574802726931,0,0,0.948574802726931
LIN37,0,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0,0.992431155724945,0.992431155724945,0.992431155724945,0,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0,0,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945,0.992431155724945
GADD45GIP1,0,0.984110794997048,0.984110794997048,0.984110794997048,0,0,0,0,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0,0.984110794997048,0,0.984110794997048,0.984110794997048,0.984110794997048,0,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048
FAM110A,0.940844919211981,0.940844919211981,0.940844919211981,0.940844919211981,0.940844919211981,0.940844919211981,0,0.940844919211981,0,0,0.940844919211981,0,0.940844919211981,0.940844919211981,0.940844919211981,0.940844919211981,0.940844919211981,0.940844919211981,0.940844919211981,0,0.940844919211981,0,0.940844919211981,0.940844919211981,0.940844919211981,0.940844919211981,0,0,0
SNHG11,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0,0,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0.96736271404799,0,0,0
SNRPA,0,0,0.975629395029255,0.975629395029255,0,0.975629395029255,0.975629395029255,0,0.975629395029255,0.975629395029255,0.975629395029255,0,0.975629395029255,0.975629395029255,0.975629395029255,0.975629395029255,0.975629395029255,0,0.975629395029255,0.975629395029255,0.975629395029255,0.975629395029255,0,0.975629395029255,0.975629395029255,0.975629395029255,0.975629395029255,0,0.975629395029255
