,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
KIAA1109,0.77646553575263,0.687567103285377,0.635763366974447,0.798475413356238,0.650633455013958,0.685366115525016,0.610800944814258,0,0.769325746188533,0.651653424951686,0.666040369336483,0.639789564097058,0.646499892634743,0,0.609244148593515,0.748872664805669,0,0.663839381576122,0.804112089327893,0.650150311359244,0.602587502684131,0,0.645694653210221,0.581275499248443,0,0.62862357741035,0.631468756710329,0,0
CNOT1,0.984593085677475,0.940680695726863,0.969508267124758,0.976540691432253,0.975037577839811,0.982016319519004,0.983304702598239,0,0.969239853983251,0.965159974232338,0.965106291604037,0.991840240498175,0.932467253596736,0,0.970152458664376,0.99747691646983,0,0.975896499892635,0.814311788705175,0.979117457590724,0.975681769379429,0,0.978687996564312,0.943203779257032,0,0.976970152458664,0.971762937513421,0,0
PHC3,0.712958986471978,0.694492162336268,0.631468756710329,0.707161262615418,0.696585784840026,0.705980244792785,0.71666308782478,0,0.656699592012025,0.643171569680052,0.659759501825209,0.715965213656861,0.642956839166846,0,0.685205067640112,0.870517500536826,0,0.776680266265836,0.745705389735882,0.703457161262615,0.654069143225252,0,0.647358814687567,0.603285376852051,0,0.669959201202491,0.675864290315654,0,0
RAPGEF6,0.721118745973803,0.754509340777324,0.778290745114881,0.715321022117243,0.785752630448787,0.764225896499893,0.807064633884475,0,0.71703886622289,0.773405625939446,0.766265836375349,0.791926132703457,0.774962422160189,0,0.798099634958128,0.873362679836805,0,0.803360532531673,0.750322095769809,0.788973588146876,0.788597809748765,0,0.774694009018682,0.802608975735452,0,0.786879965643118,0.790637749624222,0,0
AKAP11,0.937728151170281,0.946907880609835,0.926347433970367,0.942076444062701,0.935258750268413,0.939982821558944,0.90723641829504,0,0.943794288168349,0.935795576551428,0.940519647841958,0.881576121966931,0.941110156753275,0,0.921945458449646,0.951846682413571,0,0.937889199055186,0.957537041013528,0.931769379428817,0.912389950611982,0,0.924736955121323,0.928870517500537,0,0.921999141077947,0.930212583208074,0,0
AP1G1,0.737384582349152,0.669905518574189,0.751234700450934,0.730996349581275,0.690627013098561,0.691700665664591,0.746940090186816,0,0.736310929783122,0.729117457590724,0.701685634528667,0.801535323169422,0.692935366115525,0,0.732445780545416,0.80615202920335,0,0.646070431608332,0.450021473051321,0.720045093407773,0.759126046811252,0,0.757032424307494,0.749302125832081,0,0.749033712690573,0.725037577839811,0,0
ZNF41,0.685849259179729,0.74130341421516,0.765729010092334,0.679890487438265,0.772331973373416,0.748496886407559,0.794878677260039,0,0.699108868370195,0.760682843031995,0.752415718273567,0.777807601460167,0.762508052394245,0,0.785323169422375,0.860478849044449,0,0.788651492377067,0.730298475413356,0.775552931071505,0.776519218380932,0,0.762024908739532,0.793053467897788,0,0.772600386514924,0.777217092548851,0,0
SPG11,0.965159974232338,0.965374704745544,0.953403478634314,0.968703027700236,0.959040154605969,0.962207429675757,0.938318660081598,0,0.967736740390809,0.959684346145587,0.963066351728581,0.921354949538329,0.962583208073867,0,0.949323598883401,0.968756710328538,0,0.958234915181447,0.969293536611552,0.956678118960704,0.943096414000429,0,0.952598239209792,0.952490873953189,0,0.950397251449431,0.954584496456947,0,0
ATRX,0.721118745973803,0.751395748335839,0.77608975735452,0.715321022117243,0.783122181662014,0.762508052394245,0.80470259823921,0,0.716609405196478,0.771204638179085,0.763742752845179,0.790852480137427,0.77211724286021,0,0.795469186171355,0.871859566244363,0,0.800193257461885,0.742699162550999,0.786826283014816,0.7862357741035,0,0.772868799656431,0.800515353231694,0,0.784625295254456,0.787738887695942,0,0
CYLD,0.682681984109942,0.738619282800086,0.763313291818767,0.676669529740176,0.769433111445136,0.740981318445351,0.79240927635817,0,0.696693150096629,0.757945028988619,0.749248443203779,0.775391883186601,0.759501825209362,0,0.78296113377711,0.858653639682199,0,0.7862357741035,0.72680910457376,0.772600386514924,0.774157182735667,0,0.759662873094267,0.790369336482714,0,0.769540476701739,0.774908739531887,0,0
FTO,0.939821773674039,0.948303628945673,0.928333691217522,0.943794288168349,0.937191324887267,0.941271204638179,0.910296328108224,0,0.944975305990981,0.937567103285377,0.941754348292892,0.88549495383294,0.942613270345716,0,0.924522224608117,0.954852909598454,0,0.940304917328752,0.958395963066352,0.934238780330685,0.914966716770453,0,0.926562164483573,0.931232553145802,0,0.924522224608117,0.932843031994846,0,0
ATM,0.911208932789349,0.93912389950612,0.964193686922912,0.900526089757354,0.965482070002147,0.949377281511703,0.978902727077518,0,0.911745759072364,0.958718058836161,0.950504616706034,0.973963925273781,0.956409705819197,0,0.974393386300193,0.931071505260898,0,0.970742967575693,0.871698518359459,0.966555722568177,0.972782907451149,0,0.96269057333047,0.975574404122826,0,0.969347219239854,0.96993772815117,0,0
