,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SF3B2,0,0,0.923233841528881,0.877496242216019,0,0.812057118316513,0.909222675542194,0.804971011380717,0.9202812969723,0.905303843676186,0,0.843354090616277,0.804058406699592,0,0.834550139574834,0.846682413570968,0,0.87754992484432,0.865739746617994,0,0.867887051750054,0.846038222031351,0.818499033712691,0.857365256602963,0,0,0,0,0.844803521580417
SCYL1,0,0,0.955658149022976,0.927206356023191,0,0.970742967575693,0.959469615632381,0.929783122181662,0.977936439768091,0.957161262615418,0,0.964193686922912,0.926669529740176,0,0.958127549924844,0.963173716985184,0,0.91448357311574,0.917543482928924,0,0.971601889628516,0.984217307279364,0.903478634313936,0.901546059695083,0,0,0,0,0.903961777968649
KAT5,0,0,0.95254455658149,0.964032639038007,0,0.962529525445566,0.91593300407988,0.975950182520936,0.950128838307924,0.897358814687567,0,0.956463388447498,0.932950397251449,0,0.963495812754993,0.964623147949324,0,0.970957698088898,0.969508267124758,0,0.965750483143655,0.952061412926777,0.964891561090831,0.967199914107795,0,0,0,0,0.927045308138286
MAP3K11,0,0,0.973641829503972,0.964784195834228,0,0.974715482070002,0.971923985398325,0.978902727077518,0.986794073437836,0.978849044449216,0,0.985774103500107,0.952866652351299,0,0.954638179085248,0.97573545200773,0,0.986686708181233,0.946478419583423,0,0.982821558943526,0.984968864075585,0.982767876315224,0.965374704745544,0,0,0,0,0.966233626798368
MUS81,0,0,0.946317371698518,0.948733089972085,0,0.954208718058836,0.968595662443633,0.957268627872021,0.919583422804381,0.95324243074941,0,0.958610693579558,0.939284947391024,0,0.967468327249302,0.945619497530599,0,0.87534893708396,0.969776680266266,0,0.98588146875671,0.942291174575907,0.943096414000429,0.982284732660511,0,0,0,0,0.896929353661155
SART1,0,0,0.863807171999141,0.843354090616277,0,0.832885978097488,0.931178870517501,0.737277217092549,0.843568821129483,0.956356023190895,0,0.942130126691003,0.808836160618424,0,0.86450504616706,0.902727077517715,0,0.834013313291819,0.77319089542624,0,0.832134421301267,0.926293751342066,0.901707107579987,0.639038007300837,0,0,0,0,0.880824565170711
FRMD8,0,0,0.911155250161048,0.855969508267125,0,0.921140219025123,0.875939445995276,0.956302340562594,0.940412282585355,0.927528451793,0,0.784034786343139,0.86123040584067,0,0.826175649559802,0.907504831436547,0,0.954530813828645,0.919368692291175,0,0.904552286879966,0.851835945887911,0.904283873738458,0.932359888340133,0,0,0,0,0.540637749624222
SF1,0,0,0.921193901653425,0.874328967146231,0,0.909866867081812,0.942720635602319,0.874436332402834,0.84711187459738,0.931823062057118,0,0.942237491947606,0.848829718703028,0,0.838630019325746,0.895372557440412,0,0.83551642688426,0.905518574189392,0,0.929246295898647,0.923287524157183,0.87100064419154,0.899720850332832,0,0,0,0,0.51159544771312
DPF2,0,0,0.918026626583638,0.907773244578055,0,0.953457161262615,0.864451363538759,0.958395963066352,0.965321022117243,0.964301052179515,0,0.926240068713764,0.907934292462959,0,0.911101567532746,0.896660940519648,0,0.944867940734378,0.903424951685635,0,0.96231479493236,0.879428816834872,0.936386085462744,0.931984109942023,0,0,0,0,0.869390165342495
ZFPL1,0,0,0.989209791711402,0.996510629160404,0,0.982928924200129,0.987277217092549,0.979010092334121,0.996403263903801,0.980405840669959,0,0.990981318445351,0.967790423019111,0,0.99817479063775,0.988565600171784,0,0.992699162550999,0.97283659007945,0,0.961455872879536,0.99167919261327,0.97933218810393,0.980352158041658,0,0,0,0,0.990498174790638
