,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
REST,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204,0.979279617800204
TAOK1,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134,0.923774759783134
RC3H2,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559,0.938429330613559
LATS1,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298,0.943421547050298
YLPM1,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574
EXOC6B,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0,0.918192066133448,0.918192066133448,0.918192066133448,0,0.918192066133448,0,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448,0.918192066133448
RSF1,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556,0,0,0.928230178753556,0.928230178753556,0.928230178753556,0.928230178753556
POLR2B,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258
GADD45GIP1,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788,0.95222502549788
TRIM56,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093,0.961082183692093
