,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
AQR,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888,0.978742820333888
ZNF609,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253,0.968489988727253
CSNK1G1,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0.971818133018412,0,0.971818133018412,0.971818133018412
ARIH1,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457,0.946749691341457
USP8,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0.952439744484406,0,0.952439744484406,0.952439744484406
ZNF770,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0,0,0.991786998765366,0.991786998765366
CLPX,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366,0,0.991786998765366,0.991786998765366,0.991786998765366,0.991786998765366
ZNF407,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362,0.980567931719362
CNOT1,0,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628,0.987814697514628
NEU3,0,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727,0.968275269740727
SBNO1,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0.944441462236298,0,0.944441462236298,0.944441462236298
VPS13B,0,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894,0,0.997101293681894,0.997101293681894,0.997101293681894,0.997101293681894
RBL1,0.995329862043051,0,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051,0.995329862043051
KDM3B,0,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0.980353212732836,0,0.980353212732836,0.980353212732836,0.980353212732836,0,0.980353212732836,0.980353212732836
TGFBRAP1,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0.984057115250416,0,0.984057115250416,0,0.984057115250416,0,0.984057115250416,0.984057115250416
PTPN11,0,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416,0,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416,0,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416,0,0.983037200064416,0.983037200064416,0.983037200064416,0.983037200064416
BAZ1B,0.990283965859681,0,0.990283965859681,0,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681,0,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681,0,0,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681,0.990283965859681
CELF1,0.955875248268828,0,0.955875248268828,0,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0,0.955875248268828,0,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828,0.955875248268828
ZNF654,0.982446722851468,0.982446722851468,0.982446722851468,0.982446722851468,0.982446722851468,0,0.982446722851468,0.982446722851468,0.982446722851468,0,0.982446722851468,0.982446722851468,0.982446722851468,0.982446722851468,0.982446722851468,0,0.982446722851468,0,0.982446722851468,0,0.982446722851468,0.982446722851468,0.982446722851468,0.982446722851468,0.982446722851468,0.982446722851468,0.982446722851468,0.982446722851468,0.982446722851468
ARID1A,0.949111600193247,0.949111600193247,0.949111600193247,0,0.949111600193247,0.949111600193247,0.949111600193247,0.949111600193247,0.949111600193247,0.949111600193247,0.949111600193247,0,0,0.949111600193247,0.949111600193247,0,0.949111600193247,0.949111600193247,0.949111600193247,0,0.949111600193247,0.949111600193247,0,0,0.949111600193247,0.949111600193247,0.949111600193247,0.949111600193247,0.949111600193247
KIAA1958,0.98754629878147,0,0.98754629878147,0.98754629878147,0.98754629878147,0.98754629878147,0.98754629878147,0.98754629878147,0.98754629878147,0,0.98754629878147,0,0.98754629878147,0.98754629878147,0.98754629878147,0.98754629878147,0.98754629878147,0.98754629878147,0.98754629878147,0,0.98754629878147,0.98754629878147,0,0.98754629878147,0.98754629878147,0.98754629878147,0.98754629878147,0.98754629878147,0.98754629878147
