,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
NFKBIL1,0,0.490068713764226,0,0,0,0,0.532209576980889,0.496081168133992,0,0,1,0,0.505046167060339,0.539080953403479,0.543536611552502,0.546864934507193,0,1,0.522170925488512,0.52066781189607,1,0.524425595877174,0.495759072364183,0,0,0.553789993558085,0,0,0
RXRB,0,0.804756280867511,0,0,0,0,0.834657504831437,0.79638179085248,0,0,1,0,0.815385441271205,0.839972085033283,0.83186600815976,0.806742538114666,0,1,0.81957268627872,0.825799871161692,1,0.828645050461671,0.793268198410994,0,0,0.851352802233197,0,0,0
GTF2H4,0,0.993289671462315,0,0,0,0,0.994148593515139,0.991142366330256,0,0,1,0,0.993665449860425,0.994309641400043,0.992699162550999,0.951363538758858,0,1,0.992806527807601,0.993987545630234,1,0.994094910886837,0.989370839596307,0,0,0.994846467683058,0,0,0
RGL2,0,0.812916040369337,0,0,0,0,0.841958342280438,0.80507837663732,0,0,1,0,0.823276787631522,0.84636031780116,0.838952115095555,0.81194975305991,0,1,0.828806098346575,0.833154391238995,1,0.83551642688426,0.802662658363754,0,0,0.857365256602963,0,0,0
CCHCR1,0,0.876422589649989,0,0,0,0,0.862948249946317,0.898432467253597,0,0,1,0,0.876691002791497,0.849205497101138,0.839811037148379,0.931017822632596,0,1,0.883025552931072,0.87137642258965,1,0.869229117457591,0.901921838093193,0,0,0.55980244792785,0,0,0
PHF1,0,0.904391238995061,0,0,0,0,0.917919261327035,0.901116598668671,0,0,1,0,0.909705819196908,0.920925488511918,0.918187674468542,0.881468756710329,0,1,0.912443633240283,0.914913034142152,1,0.915825638823277,0.898700880395104,0,0,0.92645479922697,0,0,0
ZNF76,0,0.703403478634314,0,0,0,0,0.725252308353017,0.687030277002362,0,0,1,0,0.719025123470045,0.755475628086751,0.737760360747262,0.74237706678119,0,1,0.71414000429461,0.735183594588791,1,0.739156109083101,0.686332402834443,0,0,0.771956194975306,0,0,0
LEMD2,0,0.866867081812326,0,0,0,0,0.887964354734808,0.866920764440627,0,0,1,0,0.875134206570754,0.891883186600816,0.890165342495169,0.853929568391668,0,1,0.881737169851836,0.882435044019755,1,0.884582349151814,0.860908310070861,0,0,0.898700880395104,0,0,0
PFDN6,0,0.780008589220528,0,0,0,0,0.813238136139145,0.770453081382865,0,0,1,0,0.791818767446854,0.818874812110801,0.810768735237277,0.789725144943096,0,1,0.795254455658149,0.804219454584497,1,0.806259394459953,0.768359458879107,0,0,0.83224178655787,0,0,0
CSNK2B,0,0.942452222460812,0,0,0,0,0.950289886192828,0.939338630019326,0,0,1,0,0.945995275928709,0.952276143439983,0.949055185741894,0.910403693364827,0,1,0.946317371698518,0.948840455228688,1,0.94964569465321,0.937083959630663,0,0,0.954906592226755,0,0,0
PRR3,0,0.97933218810393,0,0,0,0,0.980727936439768,0.971333476487009,0,0,1,0,0.980137427528452,0.98223105003221,0.975789134636032,0.935258750268413,0,1,0.976111230405841,0.98115739746618,1,0.981372127979386,0.96993772815117,0,0,0.983304702598239,0,0,0
ZBTB22,0,0.873523727721709,0,0,0,0,0.893654713334765,0.873094266695297,0,0,1,0,0.881576121966931,0.897144084174361,0.89564097058192,0.85833154391239,0,1,0.886890702168778,0.88839381576122,1,0.890111659866867,0.86740390809534,0,0,0.903908095340348,0,0,0
MEA1,0,0.779042301911102,0,0,0,0,0.812057118316513,0.769433111445136,0,0,1,0,0.790959845394031,0.818015890057977,0.809963495812755,0.789027270775177,0,1,0.794449216233627,0.803467897788276,1,0.805346789778828,0.767285806313077,0,0,0.831329181876745,0,0,0
