,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
COL1A1,0,0,0.870893278934937,0.586697444706893,0.900901868155465,0.885280223319734,0,0.931823062057118,0,0.657075370410135,0,0.581597595018252,0,0,0.770238350869659,0.763205926562164,0.753006227184883,0.920979171140219,0.813989692935366,0,0,0.925756925059051,0.716609405196478,0.832510199699377,0,0.902243933863002,0,0,0
LTBP2,0,0,0.898861928280009,0.823867296542839,0.581543912389951,0.914644621000644,0,0.964515782692721,0,0.937513420657075,0,0.789993558084604,0,0,0.877710972729225,0.882649774532961,0.788383079235559,0.921999141077947,0.922160188962852,0,0,0.926562164483573,0.832027056044664,0.972621859566244,0,0.897627227829075,0,0,0
COL5A1,0,0,0.994953832939661,0.928602104359029,0.851996993772815,0.873308997208503,0,0.934614558728795,0,0.98008374490015,0,0.253918831866008,0,0,0.667221387159115,0.984807816190681,0.637481211080094,0.64601674898003,0.988136139145373,0,0,0.818552716340992,0.788222031350655,0.9927528451793,0,0.438587073223105,0,0,0
FBN1,0,0,0.86412926776895,0.95544341850977,0.961670603392742,0.725842817264333,0,0.895318874812111,0,0.773244578054541,0,0.326712475842817,0,0,0.580899720850333,0.781941163839382,0.799226970152459,0.575799871161692,0.933165127764655,0,0,0.768949967790423,0.679622074296758,0.885548636461241,0,0.430749409491089,0,0,0
MMP2,0,0,0.880663517285806,0.91813399184024,0.935849259179729,0.782155894352587,0,0.873523727721709,0,0.764386944384797,0,0.643601030706463,0,0,0.602319089542624,0.794395533605325,0.894674683272493,0.86160618423878,0.93515138501181,0,0,0.799388018037363,0.95759072364183,0.923770667811896,0,0.732445780545416,0,0,0
CDH11,0,0,0.897358814687567,0.900472407129053,0.932843031994846,0.629160403693365,0,0.839972085033283,0,0.762937513420657,0,0.0831007086106936,0,0,0.545415503543053,0.651868155464892,0.400687137642259,0.390165342495169,0.949753059909813,0,0,0.547616491303414,0.506066136998067,0.932950397251449,0,0.271956194975306,0,0,0
LRP1,0,0,0.913732016319519,0.990981318445351,0.984002576766158,0.975091260468113,0,0.977506978741679,0,0.936976594374061,0,0.676615847111875,0,0,0.95399398754563,0.912980459523298,0.944223749194761,0.936439768091046,0.974500751556796,0,0,0.980566888554864,0.921032853768521,0.966877818337986,0,0.919583422804381,0,0,0
RUNX2,0,0,0.739692935366116,0.875187889199055,0.927957912819412,0.902941808030921,0,0.905035430534679,0,0.734968864075585,0,0.821451578269272,0,0,0.910242645479923,0.810231908954262,0.927957912819412,0.928280008589221,0.710596950826712,0,0,0.932467253596736,0.907129053038437,0.882810822417866,0,0.935097702383509,0,0,0
COL8A2,0,0,0.944492162336268,0.981425810607687,0.901492377066781,0.979117457590724,0,0.975413356237921,0,0.78333691217522,0,0.635924414859351,0,0,0.977614343998282,0.934346145587288,0.852050676401117,0.88549495383294,0.960704316083315,0,0,0.919851835945888,0.912067854842173,0.879160403693365,0,0.913839381576122,0,0,0
TIMP2,0,0,0.999409491088684,1,0.999677904230191,0.999785269486794,0,0.999785269486794,0,0.998496886407559,0,0.834335409061628,0,0,0.998389521150956,0.999677904230191,0.979654283873738,0.991893923126476,0.999731586858493,0,0,0.996832724930213,0.989800300622719,0.999409491088684,0,0.944116383938158,0,0,0
ZEB1,0,0,0.866706033927421,0.944653210221172,0.954906592226755,0.820485290959845,0,0.959254885119175,0,0.92248228473266,0,0.472621859566244,0,0,0.714676830577625,0.885387588576337,0.794234485720421,0.731747906377496,0.930480996349581,0,0,0.664644621000644,0.707375993128624,0.958932789349367,0,0.573813613914537,0,0,0
AXL,0,0,0.954584496456947,0.863162980459523,0.775445565814902,0.862143010521795,0,0.940734378355164,0,0.973158685849259,0,0.660940519647842,0,0,0.808191969078806,0.966233626798368,0.710221172428602,0.793160833154391,0.917543482928924,0,0,0.893064204423449,0.747691646983036,0.906645909383723,0,0.819680051535323,0,0,0
ACVR1,0,0,0.89998926347434,0.858546274425596,0.44057333047026,0.741786557869873,0,0.843515138501181,0,0.571451578269272,0,0.582510199699377,0,0,0.595716126261542,0.76159544771312,0.214462100064419,0.770453081382865,0.866491303414215,0,0,0.518949967790423,0.892473695512132,0.961831651277647,0,0.665020399398755,0,0,0
VCAN,0,0,0.83079235559373,0.605271634099205,0.686976594374061,0.471440841743612,0,0.593622503757784,0,0.711831651277647,0,0.231640541120893,0,0,0.32499463173717,0.595071934721924,0.187245007515568,0.501932574618853,0.781619068069573,0,0,0.425434829289242,0.503113592441486,0.900794502898862,0,0.434185097702384,0,0,0
AEBP1,0,0,0.982499463173717,0.989692935366116,0.805132059265622,0.968971440841744,0,0.973588146875671,0,0.994524371913249,0,0.50289886192828,0,0,0.961348507622933,0.991249731586858,0.935097702383509,0.805776250805239,0.987867726003865,0,0,0.954799226970152,0.679407343783552,0.974876529954907,0,0.809641400042946,0,0,0
ADAMTS14,0,0,0.98878033068499,0.9855056903586,0.96993772815117,0.944599527592871,0,0.989692935366116,0,0.982016319519004,0,0.657987975091261,0,0,0.851728580631308,0.94347219239854,0.901277646553575,0.934668241357097,0.996832724930213,0,0,0.968380931930427,0.963495812754993,0.996779042301911,0,0.796596521365686,0,0,0
PKD2,0,0,0.866867081812326,0.88297187030277,0.910779471762937,0.759984968864076,0,0.878301481640541,0,0.794288168348722,0,0.698518359458879,0,0,0.656645909383723,0.799978526948679,0.792892420012884,0.861552501610479,0.906323813613915,0,0,0.72353446424737,0.968005153532317,0.936761863860855,0,0.698088898432467,0,0,0
CHST15,0,0,0.86885333905948,0.703188748121108,0.933648271419369,0.922428602104359,0,0.959147519862573,0,0.869443847970797,0,0.481640541120893,0,0,0.878945673180159,0.825585140648486,0.544180803092119,0.907987975091261,0.847917114021903,0,0,0.963173716985184,0.744953832939661,0.875563667597166,0,0.944653210221172,0,0,0
PALLD,0,0,0.615471333476487,0.75037577839811,0.965911531028559,0.71483787846253,0,0.780384367618639,0,0.434990337126906,0,0.587502684131415,0,0,0.552931071505261,0.545576551427958,0.739317156968005,0.748818982177367,0.659007945028989,0,0,0.712475842817264,0.795791281941164,0.716877818337986,0,0.51052179514709,0,0,0
MICAL2,0,0,0.962744255958772,0.973480781619068,0.99672535967361,0.992323384152888,0,0.979439553360533,0,0.805293107150526,0,0.864880824565171,0,0,0.969722997637964,0.917811896070432,0.919637105432682,0.975789134636032,0.982928924200129,0,0,0.99892634743397,0.941646983036289,0.879214086321666,0,0.944760575477775,0,0,0
