,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
TBC1D13,0,0.919315009662873,0.783820055829933,0,0.884474983895212,0.857204208718059,0.916684560876101,0.9347756066137,0,0,0,0.830470259823921,0.871805883616062,0,0.905250161047885,0.883293966072579,0,0,0,0,0.782048529095985,0,0,0.923878033068499,0,0.927850547562809,0.856291604036934,0,0
FAM53B,0,0.830362894567318,0.878891990551857,0,0.902136568606399,0.934882971870303,0.86885333905948,0.717736740390809,0,0,0,0.952974017607902,0.554165771956195,0,0.919583422804381,0.853178011595448,0,0,0,0,0.791067210650633,0,0,0.895479922697015,0,0.836160618423878,0.965911531028559,0,0
FAM129B,0,0.997154820700021,0.993343354090616,0,0.575531458020185,0.978526948679407,0.805937298690144,0.998335838522654,0,0,0,0.998228473266051,0.623953188748121,0,0.922267554219455,0.999194760575478,0,0,0,0,0.902941808030921,0,0,0.677743182306206,0,0.997852694867941,0.99420227614344,0,0
MED22,0,0.435688211294825,0.814902297616491,0,0.941432252523083,0.946048958557011,0.898110371483788,0.97863431393601,0,0,0,0.790959845394031,0.745920120249087,0,0.925917972943955,0.95689284947391,0,0,0,0,0.799602748550569,0,0,0.974822847326605,0,0.438801803736311,0.892795791281941,0,0
TSC1,0,0.859942022761434,0.744792785054756,0,0.856398969293537,0.866759716555723,0.87899935580846,0.973319733734164,0,0,0,0.828484002576766,0.823384152888125,0,0.873147949323599,0.910027914966717,0,0,0,0,0.698410994202276,0,0,0.931339918402405,0,0.871644835731157,0.872342709899077,0,0
ZER1,0,0.875080523942452,0.880395104144299,0,0.874973158685849,0.855969508267125,0.898647197766803,0.899184024049817,0,0,0,0.820270560446639,0.798099634958128,0,0.904069143225252,0.877013098561306,0,0,0,0,0.846091904659652,0,0,0.850225467038866,0,0.884743397036719,0.828376637320163,0,0
DAB2IP,0,0.974769164698304,0.484646768305776,0,0.683487223534464,0.604788490444492,0.509233412067855,0.757837663732016,0,0,0,0.502039939875456,0.747208503328323,0,0.571612626154177,0.864397680910457,0,0,0,0,0.674414859351514,0,0,0.791550354305347,0,0.979761649130341,0.575638823276788,0,0
RAPGEF1,0,0.556366759716556,0.949484646768306,0,0.755582993343354,0.845394030491733,0.602104359029418,0.678924200128838,0,0,0,0.909007945028989,0.748121108009448,0,0.831221816620142,0.816459093837234,0,0,0,0,0.987062486579343,0,0,0.757408202705604,0,0.571558943525875,0.906270130985613,0,0
USP20,0,0.880287738887696,0.649237706678119,0,0.63007300837449,0.699967790423019,0.737867726003865,0.663463603178012,0,0,0,0.851782263259609,0.703940304917329,0,0.767822632596092,0.799602748550569,0,0,0,0,0.658900579772386,0,0,0.78913463603178,0,0.885280223319734,0.857902082885978,0,0
NACC2,0,0.930856774747692,0.631200343568821,0,0.89784195834228,0.805507837663732,0.790154605969508,0.946907880609835,0,0,0,0.458610693579558,0.704852909598454,0,0.744363324028344,0.939338630019326,0,0,0,0,0.80545415503543,0,0,0.895533605325317,0,0.915610908310071,0.595125617350226,0,0
ALAD,0,0.79455658149023,0.972192398539833,0,0.971977668026627,0.938426025338201,0.947229976379644,0.804487867726004,0,0,0,0.678118960704316,0.964784195834228,0,0.975896499892635,0.954638179085248,0,0,0,0,0.954960274855057,0,0,0.947927850547563,0,0.794019755207215,0.762561735022547,0,0
EHMT1,0,0.561627657290101,0.808353016963711,0,0.781672750697874,0.864182950397251,0.957751771526734,0.917006656645909,0,0,0,0.938587073223105,0.603285376852051,0,0.906484861498819,0.854251664161477,0,0,0,0,0.642473695512132,0,0,0.821934721923985,0,0.580309211939017,0.937942881683487,0,0
ARHGEF10L,0,0.985183594588791,0.925166416147735,0,0.804541550354305,0.905679622074297,0.714784195834228,0.947874167919261,0,0,0,0.832939660725789,0.853070646338845,0,0.800246940090187,0.975252308353017,0,0,0,0,0.936386085462744,0,0,0.771097272922482,0,0.972407129053038,0.839435258750268,0,0
ANAPC2,0,0.494900150311359,0.881737169851836,0,0.730137427528452,0.846897144084174,0.884636031780116,0.84276358170496,0,0,0,0.804004724071291,0.522922482284733,0,0.835248013742753,0.791604036933648,0,0,0,0,0.738350869658578,0,0,0.587932145157827,0,0.454638179085248,0.746242216018896,0,0
TOM1L2,0,0.884743397036719,0.622879536182091,0,0.904176508481855,0.813667597165557,0.901385011810178,0.474930212583208,0,0,0,0.514923770667812,0.760038651492377,0,0.73008374490015,0.83841528881254,0,0,0,0,0.768037363109298,0,0,0.698947820485291,0,0.878194116383938,0.569733734163625,0,0
