,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZNF654,0,0.97680910457376,0.97680910457376,0.97680910457376,0.97680910457376,0.97680910457376,0,0,1,0.97680910457376,0.97680910457376,0.97680910457376,0,0,0.97680910457376,0,0,1,0.97680910457376,0,0.980942666952974,1,0.97680910457376,0.97680910457376,0,0.97680910457376,0.97680910457376,0.97680910457376,0
DCP1A,0,0.975037577839811,0.975037577839811,0.975037577839811,0.975037577839811,0.975037577839811,0,0,1,0.975037577839811,0.975037577839811,0.975037577839811,0,0,0.975037577839811,0,0,1,0.975037577839811,0,0.092065707537041,1,0.975037577839811,0.975037577839811,0,0.975037577839811,0.975037577839811,0.974876529954907,0
CREB1,0,0.906914322525231,0.906914322525231,0.906914322525231,0.906914322525231,0.906914322525231,0,0,1,0.906914322525231,0.906914322525231,0.906914322525231,0,0,0.906914322525231,0,0,1,0.906914322525231,0,0.925542194545845,1,0.906914322525231,0.906914322525231,0,0.906914322525231,0.906914322525231,0.906914322525231,0
RSBN1,0,0.977238565600172,0.977238565600172,0.977238565600172,0.977238565600172,0.977238565600172,0,0,1,0.977238565600172,0.977238565600172,0.977238565600172,0,0,0.977238565600172,0,0,1,0.977238565600172,0,0.981372127979386,1,0.977238565600172,0.977238565600172,0,0.977238565600172,0.977238565600172,0.977238565600172,0
RNF38,0,0.919798153317586,0.919798153317586,0.919798153317586,0.919798153317586,0.919798153317586,0,0,1,0.919798153317586,0.919798153317586,0.919798153317586,0,0,0.919798153317586,0,0,1,0.919798153317586,0,0.910457375993129,1,0.919798153317586,0.919798153317586,0,0.919798153317586,0.919798153317586,0.915557225681769,0
PUM2,0,0.967683057762508,0.967683057762508,0.967683057762508,0.967683057762508,0.967683057762508,0,0,1,0.967683057762508,0.967683057762508,0.967683057762508,0,0,0.967683057762508,0,0,1,0.967683057762508,0,0.973266051105862,1,0.967683057762508,0.967683057762508,0,0.967683057762508,0.967683057762508,0.967683057762508,0
SIRT1,0,0.948733089972085,0.948733089972085,0.948733089972085,0.948733089972085,0.948733089972085,0,0,1,0.948733089972085,0.948733089972085,0.948733089972085,0,0,0.948733089972085,0,0,1,0.948733089972085,0,0.958825424092764,1,0.948733089972085,0.948733089972085,0,0.948733089972085,0.948733089972085,0.948786772600386,0
SP3,0,0.899667167704531,0.899667167704531,0.899667167704531,0.899667167704531,0.899667167704531,0,0,1,0.899667167704531,0.899667167704531,0.899667167704531,0,0,0.899667167704531,0,0,1,0.899667167704531,0,0.919690788060983,1,0.899667167704531,0.899667167704531,0,0.899667167704531,0.899667167704531,0.899667167704531,0
WDR82,0,0.933648271419369,0.933648271419369,0.933648271419369,0.933648271419369,0.933648271419369,0,0,1,0.933648271419369,0.933648271419369,0.933648271419369,0,0,0.933648271419369,0,0,1,0.933648271419369,0,0.947283659007945,1,0.933648271419369,0.933648271419369,0,0.933648271419369,0.933648271419369,0.933755636675972,0
RAB5A,0,0.914322525230835,0.914322525230835,0.914322525230835,0.914322525230835,0.914322525230835,0,0,1,0.914322525230835,0.914322525230835,0.914322525230835,0,0,0.914322525230835,0,0,1,0.914322525230835,0,0.931608331543912,1,0.914322525230835,0.914322525230835,0,0.914322525230835,0.914322525230835,0.914322525230835,0
EPC2,0,0.933648271419369,0.933648271419369,0.933648271419369,0.933648271419369,0.933648271419369,0,0,1,0.933648271419369,0.933648271419369,0.933648271419369,0,0,0.933648271419369,0,0,1,0.933648271419369,0,0.947283659007945,1,0.933648271419369,0.933648271419369,0,0.933648271419369,0.933648271419369,0.933755636675972,0
MIB1,0,0.851728580631308,0.851728580631308,0.851728580631308,0.851728580631308,0.851728580631308,0,0,1,0.851728580631308,0.851728580631308,0.851728580631308,0,0,0.851728580631308,0,0,1,0.851728580631308,0,0.874812110800945,1,0.851728580631308,0.851728580631308,0,0.851728580631308,0.851728580631308,0.851728580631308,0
MORC3,0,0.948733089972085,0.948733089972085,0.948733089972085,0.948733089972085,0.948733089972085,0,0,1,0.948733089972085,0.948733089972085,0.948733089972085,0,0,0.948733089972085,0,0,1,0.948733089972085,0,0.958825424092764,1,0.948733089972085,0.948733089972085,0,0.948733089972085,0.948733089972085,0.948786772600386,0
PIK3C2A,0,0.998980030062272,0.998980030062272,0.998980030062272,0.998980030062272,0.998980030062272,0,0,1,0.998980030062272,0.998980030062272,0.998980030062272,0,0,0.998980030062272,0,0,1,0.998980030062272,0,0.999194760575478,1,0.998980030062272,0.998980030062272,0,0.998980030062272,0.998980030062272,0.998980030062272,0
SHQ1,0,0.926508481855272,0.926508481855272,0.926508481855272,0.926508481855272,0.926508481855272,0,0,1,0.926508481855272,0.926508481855272,0.926508481855272,0,0,0.926508481855272,0,0,1,0.926508481855272,0,0.941271204638179,1,0.926508481855272,0.926508481855272,0,0.926508481855272,0.926508481855272,0.926615847111875,0
TSC22D2,0,0.892151599742323,0.892151599742323,0.892151599742323,0.892151599742323,0.892151599742323,0,0,1,0.892151599742323,0.892151599742323,0.892151599742323,0,0,0.892151599742323,0,0,1,0.892151599742323,0,0.913732016319519,1,0.892151599742323,0.892151599742323,0,0.892151599742323,0.892151599742323,0.892205282370625,0
BMPR2,0,0.941217522009878,0.941217522009878,0.941217522009878,0.941217522009878,0.941217522009878,0,0,1,0.941217522009878,0.941217522009878,0.941217522009878,0,0,0.941217522009878,0,0,1,0.941217522009878,0,0.953349796006012,1,0.941217522009878,0.941217522009878,0,0.941217522009878,0.941217522009878,0.941324887266481,0
ANKRD28,0,0.897197766802663,0.897197766802663,0.897197766802663,0.897197766802663,0.897197766802663,0,0,1,0.897197766802663,0.897197766802663,0.897197766802663,0,0,0.897197766802663,0,0,1,0.897197766802663,0,0.91775821344213,1,0.897197766802663,0.897197766802663,0,0.897197766802663,0.897197766802663,0.897197766802663,0
ZNF445,0,0.99312862357741,0.99312862357741,0.99312862357741,0.99312862357741,0.99312862357741,0,0,1,0.99312862357741,0.99312862357741,0.99312862357741,0,0,0.99312862357741,0,0,1,0.99312862357741,0,0.994148593515139,1,0.99312862357741,0.99312862357741,0,0.99312862357741,0.99312862357741,0.99312862357741,0
FYTTD1,0,0.926508481855272,0.926508481855272,0.926508481855272,0.926508481855272,0.926508481855272,0,0,1,0.926508481855272,0.926508481855272,0.926508481855272,0,0,0.926508481855272,0,0,1,0.926508481855272,0,0.941271204638179,1,0.926508481855272,0.926508481855272,0,0.926508481855272,0.926508481855272,0.926615847111875,0
C5orf24,0,0.948733089972085,0.948733089972085,0.948733089972085,0.948733089972085,0.948733089972085,0,0,1,0.948733089972085,0.948733089972085,0.948733089972085,0,0,0.948733089972085,0,0,1,0.948733089972085,0,0.903747047455443,1,0.948733089972085,0.948733089972085,0,0.948733089972085,0.948733089972085,0.942828000858922,0
UBP1,0,0.919798153317586,0.919798153317586,0.919798153317586,0.919798153317586,0.919798153317586,0,0,1,0.919798153317586,0.919798153317586,0.919798153317586,0,0,0.919798153317586,0,0,1,0.919798153317586,0,0.935634528666524,1,0.919798153317586,0.919798153317586,0,0.919798153317586,0.919798153317586,0.919798153317586,0
FBXL3,0,0.941217522009878,0.941217522009878,0.941217522009878,0.941217522009878,0.941217522009878,0,0,1,0.941217522009878,0.941217522009878,0.941217522009878,0,0,0.941217522009878,0,0,1,0.941217522009878,0,0.953349796006012,1,0.941217522009878,0.941217522009878,0,0.941217522009878,0.941217522009878,0.941324887266481,0
ZFYVE16,0,0.971709254885119,0.971709254885119,0.971709254885119,0.971709254885119,0.971709254885119,0,0,1,0.971709254885119,0.971709254885119,0.971709254885119,0,0,0.971709254885119,0,0,1,0.971709254885119,0,0.97680910457376,1,0.971709254885119,0.971709254885119,0,0.971709254885119,0.971709254885119,0.971709254885119,0
AKAP11,0,0.955282370624866,0.955282370624866,0.955282370624866,0.955282370624866,0.955282370624866,0,0,1,0.955282370624866,0.955282370624866,0.955282370624866,0,0,0.955282370624866,0,0,1,0.955282370624866,0,0.963978956409706,1,0.955282370624866,0.955282370624866,0,0.955282370624866,0.955282370624866,0.955282370624866,0
EPS15,0,0.97246081168134,0.97246081168134,0.97246081168134,0.97246081168134,0.97246081168134,0,0,1,0.97246081168134,0.97246081168134,0.97246081168134,0,0,0.97246081168134,0,0,1,0.97246081168134,0,0.977399613485076,1,0.97246081168134,0.97246081168134,0,0.97246081168134,0.97246081168134,0.97246081168134,0
MIER1,0,0.926508481855272,0.926508481855272,0.926508481855272,0.926508481855272,0.926508481855272,0,0,1,0.926508481855272,0.926508481855272,0.926508481855272,0,0,0.926508481855272,0,0,1,0.926508481855272,0,0.941271204638179,1,0.926508481855272,0.926508481855272,0,0.926508481855272,0.926508481855272,0.926615847111875,0
CGGBP1,0,0.746403263903801,0.746403263903801,0.746403263903801,0.746403263903801,0.746403263903801,0,0,1,0.746403263903801,0.746403263903801,0.746403263903801,0,0,0.746403263903801,0,0,1,0.746403263903801,0,0.789993558084604,1,0.746403263903801,0.746403263903801,0,0.746403263903801,0.746403263903801,0.746403263903801,0
NPAT,0,0.971601889628516,0.971601889628516,0.971601889628516,0.971601889628516,0.971601889628516,0,0,1,0.971601889628516,0.971601889628516,0.971601889628516,0,0,0.971601889628516,0,0,1,0.971601889628516,0,0.976701739317157,1,0.971601889628516,0.971601889628516,0,0.971601889628516,0.971601889628516,0.971601889628516,0
MRPS12,0,0.984109942022761,0.984109942022761,0.984109942022761,0.984109942022761,0.984109942022761,0,0,1,0.984109942022761,0.984109942022761,0.984109942022761,0,0,0.984109942022761,0,0,1,0.984109942022761,0,0.987116169207644,1,0.984109942022761,0.984109942022761,0,0.984109942022761,0.984109942022761,0.984109942022761,0
PGLS,0,0.999570538973588,0.999570538973588,0.999570538973588,0.999570538973588,0.999570538973588,0,0,1,0.999570538973588,0.999570538973588,0.999570538973588,0,0,0.999570538973588,0,0,1,0.999570538973588,0,0.900418724500752,1,0.999570538973588,0.999570538973588,0,0.999570538973588,0.999570538973588,0.999570538973588,0
FRS2,0,0.955282370624866,0.955282370624866,0.955282370624866,0.955282370624866,0.955282370624866,0,0,1,0.955282370624866,0.955282370624866,0.955282370624866,0,0,0.955282370624866,0,0,1,0.955282370624866,0,0.963978956409706,1,0.955282370624866,0.955282370624866,0,0.955282370624866,0.955282370624866,0.955282370624866,0
