,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
POLA1,0,0,0,0.861284088468971,0.85795576551428,0.872986901438694,0.875885763366974,0,0,0,0,0.861284088468971,1,0.861284088468971,0,0.871269057333047,0,0.8659544771312,0,0.861284088468971,0,0.861284088468971,0.861284088468971,0,0,0,0.861284088468971,0,0
FANCB,0,0,0,0.895587287953618,0.885978097487653,0.861337771097273,0.817425381146661,0,0,0,0,0.895587287953618,1,0.895587287953618,0,0.802770023620356,0,0.869336482714194,0,0.895587287953618,0,0.895587287953618,0.895587287953618,0,0,0,0.895587287953618,0,0
KNTC1,0,0,0,0.964730513205927,0.942559587717415,0.963925273781404,0.967199914107795,0,0,0,0,0.964730513205927,1,0.964730513205927,0,0.966072578913464,0,0.964891561090831,0,0.964730513205927,0,0.964730513205927,0.964730513205927,0,0,0,0.964730513205927,0,0
TMEM194A,0,0,0,0.90868584925918,0.895855701095126,0.875563667597166,0.847058191969079,0,0,0,0,0.90868584925918,1,0.90868584925918,0,0.837126905733305,0,0.883616061842388,0,0.90868584925918,0,0.90868584925918,0.90868584925918,0,0,0,0.90868584925918,0,0
ATAD2,0,0,0,0.895587287953618,0.885978097487653,0.862518788919906,0.822954691861714,0,0,0,0,0.895587287953618,1,0.895587287953618,0,0.809480352158042,0,0.870195404767017,0,0.895587287953618,0,0.895587287953618,0.895587287953618,0,0,0,0.895587287953618,0,0
FIGNL1,0,0,0,0.854144298904874,0.804809963495813,0.843944599527593,0.807279364397681,0,0,0,0,0.854144298904874,1,0.854144298904874,0,0.792301911101568,0,0.847433970367189,0,0.854144298904874,0,0.854144298904874,0.854144298904874,0,0,0,0.854144298904874,0,0
PLK4,0,0,0,0.895587287953618,0.885978097487653,0.889574833583852,0.888876959415933,0,0,0,0,0.895587287953618,1,0.895587287953618,0,0.884313936010307,0,0.891990551857419,0,0.895587287953618,0,0.895587287953618,0.895587287953618,0,0,0,0.895587287953618,0,0
NUP107,0,0,0,0.934453510843891,0.916094051964784,0.930588361606184,0.891024264547992,0,0,0,0,0.934453510843891,1,0.934453510843891,0,0.879321451578269,0,0.933004079879751,0,0.934453510843891,0,0.934453510843891,0.934453510843891,0,0,0,0.934453510843891,0,0
DBF4,0,0,0,0.969454584496457,0.946693150096629,0.967522009877604,0.948410994202276,0,0,0,0,0.969454584496457,1,0.969454584496457,0,0.939016534249517,0,0.968917758213442,0,0.969454584496457,0,0.969454584496457,0.969454584496457,0,0,0,0.969454584496457,0,0
R3HDM1,0,0,0,0.846038222031351,0.844749838952115,0.853070646338845,0.871698518359459,0,0,0,0,0.846038222031351,1,0.846038222031351,0,0.867081812325531,0,0.848239209791711,0,0.846038222031351,0,0.846038222031351,0.846038222031351,0,0,0,0.846038222031351,0,0
SASS6,0,0,0,0.876959415933004,0.870893278934937,0.85795576551428,0.828698733089972,0,0,0,0,0.876959415933004,1,0.876959415933004,0,0.816995920120249,0,0.862089327893494,0,0.876959415933004,0,0.876959415933004,0.876959415933004,0,0,0,0.876959415933004,0,0
RAD18,0,0,0,0.895587287953618,0.885978097487653,0.8767983680481,0.855378999355808,0,0,0,0,0.895587287953618,1,0.895587287953618,0,0.84711187459738,0,0.882918187674469,0,0.895587287953618,0,0.895587287953618,0.895587287953618,0,0,0,0.895587287953618,0,0
DNA2,0,0,0,0.928602104359029,0.911155250161048,0.926186386085463,0.905196478419583,0,0,0,0,0.928602104359029,1,0.928602104359029,0,0.899935580846038,0,0.927635817049603,0,0.928602104359029,0,0.928602104359029,0.928602104359029,0,0,0,0.928602104359029,0,0
DTL,0,0,0,0.876959415933004,0.870893278934937,0.85543268198411,0.818176937942882,0,0,0,0,0.876959415933004,1,0.876959415933004,0,0.805829933433541,0,0.860371483787846,0,0.876959415933004,0,0.876959415933004,0.876959415933004,0,0,0,0.876959415933004,0,0
KIF24,0,0,0,0.846038222031351,0.844749838952115,0.844964569465321,0.850064419153962,0,0,0,0,0.846038222031351,1,0.846038222031351,0,0.842334120678548,0,0.844749838952115,0,0.846038222031351,0,0.846038222031351,0.846038222031351,0,0,0,0.846038222031351,0,0
