,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
VPRBP,0,0.957644406270131,0.957912819411638,0.959630663517286,0,0.957912819411638,0.957912819411638,0,0.958932789349367,0.958771741464462,0.957912819411638,1,0,0.960919046596521,0.957912819411638,0,0,0.957912819411638,0.957912819411638,0,0.957912819411638,0.96086536396822,0.957912819411638,0.957912819411638,0.957912819411638,0,0,0,0
RAD54L2,0,0.984109942022761,0.950558299334335,0.965106291604037,0,0.950558299334335,0.950558299334335,0,0.990551857418939,0.95834228043805,0.950558299334335,1,0,0.975252308353017,0.950558299334335,0,0,0.950558299334335,0.950558299334335,0,0.950558299334335,0.974339703671892,0.950558299334335,0.950558299334335,0.950558299334335,0,0,0,0
QRICH1,0,0.999731586858493,0.999838952115096,0.999838952115096,0,0.999838952115096,0.999838952115096,0,0.999248443203779,0.999838952115096,0.999838952115096,1,0,0.999838952115096,0.999838952115096,0,0,0.999838952115096,0.999838952115096,0,0.999838952115096,0.999838952115096,0.999838952115096,0.999838952115096,0.999838952115096,0,0,0,0
UBXN7,0,0.898647197766803,0.915127764655358,0.9057869873309,0,0.915127764655358,0.915127764655358,0,0.894137856989478,0.90761219669315,0.915127764655358,1,0,0.903156538544127,0.915127764655358,0,0,0.915127764655358,0.915127764655358,0,0.915127764655358,0.903747047455443,0.915127764655358,0.915127764655358,0.915127764655358,0,0,0,0
SLMAP,0,0.992269701524587,0.994846467683058,0.99457805454155,0,0.994846467683058,0.994846467683058,0,0.990176079020829,0.994846467683058,0.994846467683058,1,0,0.993719132488727,0.994846467683058,0,0,0.994846467683058,0.994846467683058,0,0.994846467683058,0.99382649774533,0.994846467683058,0.994846467683058,0.994846467683058,0,0,0,0
RC3H2,0,0.992806527807601,0.995222246081168,0.995007515567962,0,0.995222246081168,0.995222246081168,0,0.990605540047241,0.995061198196264,0.995222246081168,1,0,0.994094910886837,0.995222246081168,0,0,0.995222246081168,0.995222246081168,0,0.995222246081168,0.99420227614344,0.995222246081168,0.995222246081168,0.995222246081168,0,0,0,0
STAG1,0,0.881951900365042,0.899130341421516,0.889896929353661,0,0.899130341421516,0.899130341421516,0,0.877013098561306,0.890970581919691,0.899130341421516,1,0,0.886837019540477,0.899130341421516,0,0,0.899130341421516,0.899130341421516,0,0.899130341421516,0.88732016319519,0.899130341421516,0.899130341421516,0.899130341421516,0,0,0,0
ACTR8,0,0.987116169207644,0.990498174790638,0.990015031135924,0,0.990498174790638,0.990498174790638,0,0.983465750483144,0.99022976164913,0.990498174790638,1,0,0.989156109083101,0.990498174790638,0,0,0.990498174790638,0.990498174790638,0,0.990498174790638,0.989317156968005,0.990498174790638,0.990498174790638,0.990498174790638,0,0,0,0
LMTK2,0,0.888715911531029,0.905625939445995,0.896338844749839,0,0.905625939445995,0.905625939445995,0,0.883830792355594,0.897949323598883,0.905625939445995,1,0,0.893815761219669,0.905625939445995,0,0,0.905625939445995,0.905625939445995,0,0.905625939445995,0.894406270130986,0.905625939445995,0.905625939445995,0.905625939445995,0,0,0,0
KLHL11,0,0.85290959845394,0.86810178226326,0.859297831221817,0,0.86810178226326,0.86810178226326,0,0.848024479278505,0.860478849044449,0.86810178226326,1,0,0.857204208718059,0.86810178226326,0,0,0.86810178226326,0.86810178226326,0,0.86810178226326,0.857526304487868,0.86810178226326,0.86810178226326,0.86810178226326,0,0,0,0
UHMK1,0,0.950289886192828,0.964086321666309,0.96269057333047,0,0.964086321666309,0.964086321666309,0,0.946585784840026,0.963549495383294,0.964086321666309,1,0,0.959040154605969,0.964086321666309,0,0,0.964086321666309,0.964086321666309,0,0.964086321666309,0.959899076658793,0.964086321666309,0.964086321666309,0.964086321666309,0,0,0,0
ARMC8,0,0.996832724930213,0.983895211509556,0.989156109083101,0,0.983895211509556,0.983895211509556,0,0.99817479063775,0.987277217092549,0.983895211509556,1,0,0.994524371913249,0.983895211509556,0,0,0.983895211509556,0.983895211509556,0,0.983895211509556,0.994041228258536,0.983895211509556,0.983895211509556,0.983895211509556,0,0,0,0
APPL1,0,0.899935580846038,0.916201417221387,0.906968005153532,0,0.916201417221387,0.916201417221387,0,0.89564097058192,0.908739531887481,0.916201417221387,1,0,0.904498604251664,0.916201417221387,0,0,0.916201417221387,0.916201417221387,0,0.916201417221387,0.904874382649774,0.916201417221387,0.916201417221387,0.916201417221387,0,0,0,0
STT3B,0,0.990766587932145,0.993880180373631,0.993343354090616,0,0.993880180373631,0.993880180373631,0,0.988136139145373,0.993665449860425,0.993880180373631,1,0,0.992484432037793,0.993880180373631,0,0,0.993880180373631,0.993880180373631,0,0.993880180373631,0.992538114666094,0.993880180373631,0.993880180373631,0.993880180373631,0,0,0,0
OXSR1,0,0.932735666738243,0.948357311573975,0.945512132273996,0,0.948357311573975,0.948357311573975,0,0.929246295898647,0.947122611123041,0.948357311573975,1,0,0.936386085462744,0.948357311573975,0,0,0.948357311573975,0.948357311573975,0,0.948357311573975,0.936922911745759,0.948357311573975,0.948357311573975,0.948357311573975,0,0,0,0
USP1,0,0.864558728795362,0.880824565170711,0.871108009448143,0,0.880824565170711,0.880824565170711,0,0.859727292248229,0.872611123040584,0.880824565170711,1,0,0.868907021687782,0.880824565170711,0,0,0.880824565170711,0.880824565170711,0,0.880824565170711,0.869229117457591,0.880824565170711,0.880824565170711,0.880824565170711,0,0,0,0
ZNF445,0,0.887964354734808,0.904928065278076,0.895587287953618,0,0.904928065278076,0.904928065278076,0,0.883132918187674,0.897144084174361,0.904928065278076,1,0,0.893064204423449,0.904928065278076,0,0,0.904928065278076,0.904928065278076,0,0.904928065278076,0.893386300193257,0.904928065278076,0.904928065278076,0.904928065278076,0,0,0,0
STRN,0,0.877710972729225,0.895479922697015,0.884260253382006,0,0.895479922697015,0.895479922697015,0,0.872933218810393,0.885978097487653,0.895479922697015,1,0,0.881951900365042,0.895479922697015,0,0,0.895479922697015,0.895479922697015,0,0.895479922697015,0.882327678763152,0.895479922697015,0.895479922697015,0.895479922697015,0,0,0,0
GTF2A1,0,0.85290959845394,0.86810178226326,0.859297831221817,0,0.86810178226326,0.86810178226326,0,0.848024479278505,0.860478849044449,0.86810178226326,1,0,0.857204208718059,0.86810178226326,0,0,0.86810178226326,0.86810178226326,0,0.86810178226326,0.857526304487868,0.86810178226326,0.86810178226326,0.86810178226326,0,0,0,0
DNAJC13,0,0.864558728795362,0.880824565170711,0.871108009448143,0,0.880824565170711,0.880824565170711,0,0.859727292248229,0.872611123040584,0.880824565170711,1,0,0.868907021687782,0.880824565170711,0,0,0.880824565170711,0.880824565170711,0,0.880824565170711,0.869229117457591,0.880824565170711,0.880824565170711,0.880824565170711,0,0,0,0
