,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
IRF2BP1,0,0,0.986740390809534,0.980674253811467,0,0,0,0.987814043375564,0,0,0.987867726003865,0,0,0.981318445351084,0.982660511058621,0.988619282800086,0,0.990659222675542,0.986364612411424,0,0.987277217092549,0.992269701524587,0.980137427528452,0.992269701524587,0.992269701524587,0.983251019969938,0.00628086751127335,0,0.973749194760576
SCAF1,0,0,0.984163624651063,0.981801589005798,0,0,0,0.984754133562379,0,0,0.98512991196049,0,0,0.980996349581275,0.98078161906807,0.9855056903586,0,0.986525660296328,0.983412067854842,0,0.984646768305776,0.986096199269916,0.978849044449216,0.986096199269916,0.986096199269916,0.981747906377496,0.0133132918187674,0,0.979439553360533
FIZ1,0,0,0.96956194975306,0.965911531028559,0,0,0,0.970528237062487,0,0,0.971923985398325,0,0,0.962368477560661,0.960006441915396,0.972568176937943,0,0.975091260468113,0.966931500966287,0,0.971279793858707,0.978741679192613,0.955926562164484,0.978741679192613,0.978741679192613,0.96269057333047,0.0194867940734378,0,0.964569465321022
FBXO46,0,0,0.96811251878892,0.96269057333047,0,0,0,0.970098776036075,0,0,0.970313506549281,0,0,0.963227399613485,0.964891561090831,0.969776680266266,0,0.945082671247584,0.968219884045523,0,0.969776680266266,0.895855701095126,0.963120034356882,0.895855701095126,0.895855701095126,0.965106291604037,0.0319948464676831,0,0.957751771526734
ZNF446,0,0,0.99747691646983,0.997691646983036,0,0,0,0.997637964354735,0,0,0.997745329611338,0,0,0.99747691646983,0.997423233841529,0.997799012239639,0,0.998067425381147,0.997423233841529,0,0.997530599098132,0.997262185956624,0.997369551213227,0.997262185956624,0.997262185956624,0.99747691646983,0.00348937083959631,0,0.997530599098132
ZBTB45,0,0,0.996242216018896,0.995329611337771,0,0,0,0.996242216018896,0,0,0.995973802877389,0,0,0.995759072364183,0.996188533390595,0.995920120249087,0,0.994255958771741,0.996134850762293,0,0.996081168133992,0.985398325101997,0.996349581275499,0.985398325101997,0.985398325101997,0.995920120249087,0.00713978956409706,0,0.994900150311359
CYTH2,0,0,0.990122396392527,0.991142366330256,0,0,0,0.98985398325102,0,0,0.989531887481211,0,0,0.991840240498175,0.992538114666094,0.989317156968005,0,0.990068713764226,0.990766587932145,0,0.989639252737814,0.971709254885119,0.992967575692506,0.971709254885119,0.971709254885119,0.991840240498175,0.0330684990337127,0,0.991732875241572
ZNF579,0,0,0.945404767017393,0.940036504187245,0,0,0,0.947229976379644,0,0,0.949484646768306,0,0,0.93332617564956,0.929031565385441,0.94964569465321,0,0.934185097702384,0.942076444062701,0,0.94819626368907,0.932467253596736,0.92248228473266,0.932467253596736,0.932467253596736,0.933916684560876,0.0354842173072794,0,0.936547133347649
ZNF444,0,0,0.93042731372128,0.925220098776036,0,0,0,0.93225252308353,0,0,0.933755636675972,0,0,0.921462314794932,0.919529740176079,0.935258750268413,0,0.945565814902298,0.928065278076015,0,0.933057762508052,0.953457161262615,0.915342495168563,0.953457161262615,0.953457161262615,0.923019111015675,0.0579235559372987,0,0.92173072793644
HDGFRP2,0,0,0.85253382005583,0.854466394674683,0,0,0,0.849581275499248,0,0,0.842226755421945,0,0,0.869604895855701,0.877388876959416,0.842173072793644,0,0.844535108438909,0.861391453725574,0,0.846091904659652,0.768144728365901,0.882703457161263,0.768144728365901,0.768144728365901,0.870463817908525,0.271150955550784,0,0.851835945887911
PTOV1,0,0,0.993880180373631,0.989263474339704,0,0,0,0.994792785054756,0,0,0.995114880824565,0,0,0.98947820485291,0.99022976164913,0.995866437620786,0,0.997745329611338,0.993450719347219,0,0.994846467683058,0.999302125832081,0.98840455228688,0.999302125832081,0.999302125832081,0.990605540047241,0.00128838307923556,0,0.986042516641615
MED25,0,0,0.993289671462315,0.990820270560447,0,0,0,0.993772815117028,0,0,0.994148593515139,0,0,0.99022976164913,0.990176079020829,0.99527592870947,0,0.999194760575478,0.9927528451793,0,0.993719132488727,0.999838952115096,0.988672965428387,0.999838952115096,0.999838952115096,0.990766587932145,0.0020399398754563,0,0.989531887481211
DYRK1B,0,0,0.935580846038222,0.950021473051321,0,0,0,0.926508481855272,0,0,0.916362465106292,0,0,0.961187459738029,0.965965213656861,0.91448357311574,0,0.945028988619283,0.946585784840026,0,0.923609619926992,0.788222031350655,0.972514494309641,0.788222031350655,0.788222031350655,0.960060124543698,1,0,0.954691861713549
ZNF628,0,0,0.829289242001288,0.782155894352587,0,0,0,0.840240498174791,0,0,0.84711187459738,0,0,0.773298260682843,0.773835086965858,0.856935795576551,0,0.889521150955551,0.818552716340992,0,0.839757354520077,0.948625724715482,0.751127335194331,0.948625724715482,0.948625724715482,0.786343139360103,0.0645265192183809,0,0.712905303843676
MZF1,0,0,0.999409491088684,0.998496886407559,0,0,0,0.999409491088684,0,0,0.999409491088684,0,0,0.998765299549066,0.998980030062272,0.999409491088684,0,0.998282155894353,0.999355808460382,0,0.999409491088684,0.997262185956624,0.998443203779257,0.997262185956624,0.997262185956624,0.999087395318875,0.000483143654713335,0,0.997154820700021
DMWD,0,0,0.88984324672536,0.828591367833369,0,0,0,0.90363968219884,0,0,0.905357526304488,0,0,0.841206785484217,0.85833154391239,0.904498604251664,0,0.724769164698304,0.887910672106506,0,0.898754563023406,0.668778183379858,0.842495168563453,0.668778183379858,0.668778183379858,0.859673609619927,0.0395104144298905,0,0.768949967790423
SUV420H2,0,0,0.973963925273781,0.961885333905948,0,0,0,0.976111230405841,0,0,0.976057547777539,0,0,0.964247369551213,0.967629375134207,0.976272278290745,0,0.954906592226755,0.97353446424737,0,0.97498389521151,0.930158900579772,0.964515782692721,0.930158900579772,0.930158900579772,0.967629375134207,0.0152995490659223,0,0.95216877818338
TBC1D17,0,0,0.976111230405841,0.969669315009663,0,0,0,0.977345930856775,0,0,0.97718488297187,0,0,0.970313506549281,0.97208503328323,0.978741679192613,0,0.982928924200129,0.975950182520936,0,0.976648056688855,0.985827786128409,0.970206141292678,0.985827786128409,0.985827786128409,0.972621859566244,0.0192720635602319,0,0.965159974232338
PRR12,0,0,0.817854842173073,0.833154391238995,0,0,0,0.813077088254241,0,0,0.822632596091905,0,0,0.80980244792785,0.784732660511059,0.823223105003221,0,0.856237921408632,0.803360532531673,0,0.822632596091905,0.904176508481855,0.775552931071505,0.904176508481855,0.904176508481855,0.800676401116599,0.128355164268843,0,0.840616276572901
MYPOP,0,0,0.929944170066566,0.909222675542194,0,0,0,0.935312432896715,0,0,0.93622503757784,0,0,0.909652136568606,0.913463603178012,0.940895426240069,0,0.95071934721924,0.928172643332618,0,0.934507193472192,0.963012669100279,0.905303843676186,0.963012669100279,0.963012669100279,0.915986686708181,0.0411208932789349,0,0.894943096414
CIC,0,0,0.917650848185527,0.915235129911961,0,0,0,0.918402404981748,0,0,0.921247584281726,0,0,0.907182735666738,0.900418724500752,0.925112733519433,0,0.954369765943741,0.912336267983681,0,0.919744470689285,0.969239853983251,0.895211509555508,0.969239853983251,0.969239853983251,0.906109083100709,0.0623792140863217,0,0.914751986257247
ZNF205,0,0,0.979010092334121,0.974608116813399,0,0,0,0.980137427528452,0,0,0.981425810607687,0,0,0.970957698088898,0.968917758213442,0.981425810607687,0,0.969025123470045,0.977131200343569,0,0.980405840669959,0.964193686922912,0.965052608975735,0.964193686922912,0.964193686922912,0.972407129053038,0.00891131629804595,0,0.971333476487009
SYMPK,0,0,0.960757998711617,0.948733089972085,0,0,0,0.964408417436118,0,0,0.965804165771956,0,0,0.947498389521151,0.949055185741894,0.967897788275714,0,0.968219884045523,0.958932789349367,0,0.964032639038007,0.97428602104359,0.942183809319304,0.97428602104359,0.97428602104359,0.951041442989049,0.017607902082886,0,0.939445995275929
ZNF580,0,0,0.994094910886837,0.994363324028344,0,0,0,0.99420227614344,0,0,0.994470689284947,0,0,0.993182306205712,0.992430749409491,0.993719132488727,0,0.976325960919047,0.993558084603822,0,0.994309641400043,0.916416147734593,0.991410779471763,0.916416147734593,0.916416147734593,0.993021258320807,0.00402619712261112,0,0.994363324028344
AKT1S1,0,0,0.977453296113378,0.97138715911531,0,0,0,0.978902727077518,0,0,0.978795361820915,0,0,0.972407129053038,0.974017607902083,0.980137427528452,0,0.984700450934078,0.977668026626584,0,0.978419583422804,0.986633025552931,0.972299763796435,0.986633025552931,0.986633025552931,0.974608116813399,0.0180373631092978,0,0.966716770453081
