,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZNF397,0,0,0.802716340992055,0.79890487438265,0.852211724286021,0,0.833422804380502,0,0,0.778022331973373,0.855593729869014,0.82789349366545,0.834925917972944,0,0.828484002576766,0.869873308997208,0,0.863485076229332,0,0.873738458234915,0.78081382864505,0.851245436976594,0.849688640755851,0.800300622718488,0,0.820914751986257,0.822149452437191,0.848883401331329,0
CREB1,0,0,0.955926562164484,0.973051320592656,0.960972729224823,0,0.959308567747477,0,0,0.787524157182736,0.96414000429461,0.935366115525016,0.968703027700236,0,0.875080523942452,0.839381576121967,0,0.977614343998282,0,0.929675756925059,0.634528666523513,0.778827571397896,0.970581919690788,0.867564955980245,0,0.923824350440198,0.793912389950612,0.97680910457376,0
VEZF1,0,0,0.761702812969723,0.683487223534464,0.765084818552716,0,0.759179729439553,0,0,0.817210650633455,0.697391024264548,0.821183165127765,0.768574189392313,0,0.802823706248658,0.723802877388877,0,0.721333476487009,0,0.723749194760576,0.822793643976809,0.832885978097488,0.741840240498175,0.813560231908954,0,0.791442989048744,0.835409061627657,0.690841743611767,0
RSBN1,0,0,0.95361820914752,0.937942881683487,0.935205067640112,0,0.93515138501181,0,0,0.632059265621645,0.923341206785484,0.83116813399184,0.818015890057977,0,0.988458234915181,0.988297187030277,0,0.898271419368692,0,0.987223534464247,0.946048958557011,0.975950182520936,0.946102641185312,0.694009018681555,0,0.987062486579343,0.702920334979601,0.937406055400472,0
ESCO1,0,0,0.846789778827571,0.868262830148164,0.903908095340348,0,0.875402619712261,0,0,0.784088468971441,0.921247584281726,0.717468327249302,0.873738458234915,0,0.877818337985828,0.936063989692935,0,0.912336267983681,0,0.920764440627013,0.787416791926133,0.901009233412068,0.892151599742323,0.838307923555937,0,0.833637534893708,0.868531243289671,0.366061842387803,0
SP4,0,0,0.962153747047455,0.965857848400258,0.963549495383294,0,0.963871591153103,0,0,0.881415074082027,0.945673180158901,0.958020184668241,0.972407129053038,0,0.907397466179944,0.752254670388662,0,0.973212368477561,0,0.921623362679837,0.762937513420657,0.837878462529525,0.968917758213442,0.919153961777969,0,0.94094910886837,0.87137642258965,0.971923985398325,0
POLI,0,0,0.849044449216234,0.865793429246296,0.904176508481855,0,0.877764655357526,0,0,0.796435473480782,0.91813399184024,0.817854842173073,0.875563667597166,0,0.880663517285806,0.933004079879751,0,0.911101567532746,0,0.920496027485506,0.800407987975091,0.903317586429032,0.896607257891346,0.845232982606828,0,0.85290959845394,0.874328967146231,0.776519218380932,0
ZBTB6,0,0,0.813452866652351,0.663839381576122,0.84818552716341,0,0.842656216448357,0,0,0.864075585140649,0.736686708181233,0.865149237706678,0.846843461455873,0,0.8478097487653,0.739156109083101,0,0.817801159544771,0,0.86123040584067,0.863162980459523,0.866276572901009,0.828537685205068,0.850279149667168,0,0.856452651921838,0.86267983680481,0.781672750697874,0
ELF2,0,0,0.937298690143869,0.908524801374275,0.954369765943741,0,0.951470904015461,0,0,0.981479493235989,0.878086751127335,0.959576980888984,0.949699377281512,0,0.961616920764441,0.855593729869014,0,0.929138930642044,0,0.947713120034357,0.977131200343569,0.96993772815117,0.937137642258965,0.977506978741679,0,0.959308567747477,0.979761649130341,0.910618423878033,0
SP3,0,0,0.998067425381147,0.999677904230191,0.995222246081168,0,0.996456946532102,0,0,0.987545630234056,0.985022546703887,0.998282155894353,0.998604251664161,0,0.970957698088898,0.224876529954907,0,0.997799012239639,0,0.742699162550999,0.848829718703028,0.857204208718059,0.996993772815117,0.996242216018896,0,0.988834013313292,0.97353446424737,0.999409491088684,0
ELP2,0,0,0.891238995061198,0.894674683272493,0.94239853983251,0,0.921193901653425,0,0,0.869658578484003,0.950236203564527,0.919583422804381,0.914537255744041,0,0.932091475198626,0.960757998711617,0,0.939392312647627,0,0.956731801589006,0.869712261112304,0.950343568821129,0.936761863860855,0.915235129911961,0,0.912443633240283,0.934936654498604,0.896553575263045,0
RNF138,0,0,0.750053682628302,0.757676615847112,0.80507837663732,0,0.782746403263904,0,0,0.700826712475843,0.813130770882542,0.767232123684776,0.782102211724286,0,0.767500536826283,0.828645050461671,0,0.821773674039081,0,0.829772385656002,0.706463388447498,0.785001073652566,0.806742538114666,0.726862787202061,0,0.760843890916899,0.745598024479278,0.828806098346575,0
