,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PES1,0,0,0.634206570753704,0,0.634206570753704,0.634206570753704,0.634206570753704,0.634206570753704,0,0,1,0,0.59673609619927,0,0,0.634206570753704,0,0.562379214086322,0.481908954262401,0,0,0.634206570753704,0.634206570753704,0.555883616061842,0,0.634206570753704,0.629858277861284,0,0.634206570753704
ADSL,0,0,0.927743182306206,0,0.927743182306206,0.927743182306206,0.927743182306206,0.927743182306206,0,0,1,0,0.902136568606399,0,0,0.927743182306206,0,0.86015675327464,0.727238565600172,0,0,0.927743182306206,0.927743182306206,0.852426454799227,0,0.927743182306206,0.925434829289242,0,0.927743182306206
MCM5,0,0,0.893439982821559,0,0.893439982821559,0.893439982821559,0.893439982821559,0.893439982821559,0,0,1,0,0.914751986257247,0,0,0.893439982821559,0,0.928280008589221,0.901546059695083,0,0,0.893439982821559,0.893439982821559,0.926776894996779,0,0.893439982821559,0.896929353661155,0,0.893439982821559
ASCC2,0,0,0.716824135709684,0,0.716824135709684,0.716824135709684,0.716824135709684,0.716824135709684,0,0,1,0,0.760092334120679,0,0,0.716824135709684,0,0.826121966931501,0.873792140863217,0,0,0.716824135709684,0.716824135709684,0.828000858922053,0,0.716824135709684,0.722782907451149,0,0.716824135709684
TXN2,0,0,0.964086321666309,0,0.964086321666309,0.964086321666309,0.964086321666309,0.964086321666309,0,0,1,0,0.967736740390809,0,0,0.964086321666309,0,0.965267339488941,0.919368692291175,0,0,0.964086321666309,0.964086321666309,0.961992699162551,0,0.964086321666309,0.964998926347434,0,0.964086321666309
EWSR1,0,0,0.814419153961778,0,0.814419153961778,0.814419153961778,0.814419153961778,0.814419153961778,0,0,1,0,0.786557869873309,0,0,0.814419153961778,0,0.749033712690573,0.646768305776251,0,0,0.814419153961778,0.814419153961778,0.74130341421516,0,0.814419153961778,0.810929783122182,0,0.814419153961778
CECR5,0,0,0.98733089972085,0,0.98733089972085,0.98733089972085,0.98733089972085,0.98733089972085,0,0,1,0,0.987921408632167,0,0,0.98733089972085,0,0.986203564526519,0.956785484217307,0,0,0.98733089972085,0.98733089972085,0.984861498818982,0,0.98733089972085,0.98733089972085,0,0.98733089972085
PHF5A,0,0,0.626959415933004,0,0.626959415933004,0.626959415933004,0.626959415933004,0.626959415933004,0,0,1,0,0.614182950397251,0,0,0.626959415933004,0,0.606345286665235,0.609351513850118,0,0,0.626959415933004,0.626959415933004,0.60253382005583,0,0.626959415933004,0.625778398110372,0,0.626959415933004
UBE2L3,0,0,0.779471762937513,0,0.779471762937513,0.779471762937513,0.779471762937513,0.779471762937513,0,0,1,0,0.82102211724286,0,0,0.779471762937513,0,0.865256602963281,0.861445136353876,0,0,0.779471762937513,0.779471762937513,0.864880824565171,0,0.779471762937513,0.784625295254456,0,0.779471762937513
TOMM22,0,0,0.890916899291389,0,0.890916899291389,0.890916899291389,0.890916899291389,0.890916899291389,0,0,1,0,0.860586214301052,0,0,0.890916899291389,0,0.817908524801374,0.682789349366545,0,0,0.890916899291389,0.890916899291389,0.809158256388233,0,0.890916899291389,0.888179085248014,0,0.890916899291389
POLR2F,0,0,0.806098346575048,0,0.806098346575048,0.806098346575048,0.806098346575048,0.806098346575048,0,0,1,0,0.77319089542624,0,0,0.806098346575048,0,0.726111230405841,0.601621215374705,0,0,0.806098346575048,0.806098346575048,0.717683057762508,0,0.806098346575048,0.801964784195834,0,0.806098346575048
DRG1,0,0,0.579772385656002,0,0.579772385656002,0.579772385656002,0.579772385656002,0.579772385656002,0,0,1,0,0.5362357741035,0,0,0.579772385656002,0,0.501771526733949,0.422535967360962,0,0,0.579772385656002,0.579772385656002,0.495812754992484,0,0.579772385656002,0.572686278720206,0,0.579772385656002
