,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PBRM1,0,0.859083100708611,0.859083100708611,1,0.859083100708611,0.859083100708611,0,0,0,0,0,0.859083100708611,0,0,0.859083100708611,1,0,0.859083100708611,0,0,0.859083100708611,0.859083100708611,0.859083100708611,0.859083100708611,1,0.859083100708611,1,0.859083100708611,1
QRICH1,0,0.824618853339059,0.824618853339059,1,0.824618853339059,0.824618853339059,0,0,0,0,0,0.824618853339059,0,0,0.824618853339059,1,0,0.824618853339059,0,0,0.824618853339059,0.824618853339059,0.824618853339059,0.824618853339059,1,0.824618853339059,1,0.824618853339059,1
KIAA1143,0,0.770345716126262,0.770345716126262,1,0.770345716126262,0.770345716126262,0,0,0,0,0,0.770345716126262,0,0,0.770345716126262,1,0,0.770345716126262,0,0,0.770345716126262,0.770345716126262,0.770345716126262,0.770345716126262,1,0.770345716126262,1,0.770345716126262,1
PRKAR2A,0,0.833583852265407,0.833583852265407,1,0.833583852265407,0.833583852265407,0,0,0,0,0,0.833583852265407,0,0,0.833583852265407,1,0,0.833583852265407,0,0,0.833583852265407,0.833583852265407,0.833583852265407,0.833583852265407,1,0.833583852265407,1,0.833583852265407,1
APPL1,0,0.770345716126262,0.770345716126262,1,0.770345716126262,0.770345716126262,0,0,0,0,0,0.770345716126262,0,0,0.770345716126262,1,0,0.770345716126262,0,0,0.770345716126262,0.770345716126262,0.770345716126262,0.770345716126262,1,0.770345716126262,1,0.770345716126262,1
RIF1,0,0.964086321666309,0.964086321666309,1,0.964086321666309,0.964086321666309,0,0,0,0,0,0.964086321666309,0,0,0.964086321666309,1,0,0.964086321666309,0,0,0.964086321666309,0.964086321666309,0.964086321666309,0.964086321666309,1,0.964086321666309,1,0.964086321666309,1
MDN1,0,0.901062916040369,0.901062916040369,1,0.901062916040369,0.901062916040369,0,0,0,0,0,0.901062916040369,0,0,0.901062916040369,1,0,0.901062916040369,0,0,0.901062916040369,0.901062916040369,0.901062916040369,0.901062916040369,1,0.901062916040369,1,0.901062916040369,1
HEATR1,0,0.778773888769594,0.778773888769594,1,0.778773888769594,0.778773888769594,0,0,0,0,0,0.778773888769594,0,0,0.778773888769594,1,0,0.778773888769594,0,0,0.778773888769594,0.778773888769594,0.778773888769594,0.778773888769594,1,0.778773888769594,1,0.778773888769594,1
WDR48,0,0.799495383293966,0.799495383293966,1,0.799495383293966,0.799495383293966,0,0,0,0,0,0.799495383293966,0,0,0.799495383293966,1,0,0.799495383293966,0,0,0.799495383293966,0.799495383293966,0.799495383293966,0.799495383293966,1,0.799495383293966,1,0.799495383293966,1
TPR,0,0.814097058191969,0.814097058191969,1,0.814097058191969,0.814097058191969,0,0,0,0,0,0.814097058191969,0,0,0.814097058191969,1,0,0.814097058191969,0,0,0.814097058191969,0.814097058191969,0.814097058191969,0.814097058191969,1,0.814097058191969,1,0.814097058191969,1
MED1,0,0.961616920764441,0.961616920764441,1,0.961616920764441,0.961616920764441,0,0,0,0,0,0.961616920764441,0,0,0.961616920764441,1,0,0.961616920764441,0,0,0.961616920764441,0.961616920764441,0.961616920764441,0.961616920764441,1,0.961616920764441,1,0.961616920764441,1
