,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
EIF3A,0.873094266695297,0.896124114236633,0.856828430319948,0.918939231264763,0.916362465106292,0.943955336053253,0,0.926293751342066,0,0.788919905518574,0,0.873147949323599,0.824404122825854,0,0.904498604251664,0.938962851621215,0,0.923072793643977,0,0.828215589435259,0,0.840079450289886,0.908954262400687,0.932681984109942,0.931393601030706,0.844857204208718,0.869014386944385,0.923341206785484,0
KIF20B,0.970850332832295,0.86412926776895,0.829074511488082,0.957375993128624,0.872503757783981,0.909383723427099,0,0.841582563882328,0,0.762293321881039,0,0.894889413785699,0.90508911316298,0,0.863109297831222,0.963120034356882,0,0.909222675542194,0,0.897197766802663,0,0.907129053038437,0.930749409491089,0.98260682843032,0.770453081382865,0.752147305132059,0.91158471118746,0.963925273781404,0
FAM175B,0.96956194975306,0.974339703671892,0.9565170710758,0.977721709254885,0.974930212583208,0.976487008803951,0,0.979654283873738,0,0.975789134636032,0,0.961133777109727,0.976701739317157,0,0.960328537685205,0.973427098990767,0,0.980459523298261,0,0.976701739317157,0,0.971601889628516,0.985183594588791,0.966340992054971,0.976755421945459,0.961992699162551,0.984378355164269,0.984485720420872,0
DHX9,0.850762293321881,0.802340562593945,0.7427528451793,0.795039725144943,0.806259394459953,0.741088683701954,0,0.795576551427958,0,0.841582563882328,0,0.640970581919691,0.799334335409062,0,0.767124758428173,0.77646553575263,0,0.847863431393601,0,0.749194760575478,0,0.630717199914108,0.792999785269487,0.419744470689285,0.874328967146231,0.719776680266266,0.808299334335409,0.818606398969294,0
CASP8AP2,0.907182735666738,0.740605540047241,0.715965213656861,0.835409061627657,0.769808889843247,0.780599098131845,0,0.820538973588147,0,0.670496027485506,0,0.656753274640326,0.756764011165987,0,0.764064848614988,0.891507408202706,0,0.78768520506764,0,0.808514064848615,0,0.727292248228473,0.789027270775177,0.838576336697445,0.771634099205497,0.644352587502684,0.794610264118531,0.877066781189607,0
NUP153,0.945834228043805,0.9094374060554,0.856130556152029,0.95254455658149,0.924575907236418,0.953457161262615,0,0.895855701095126,0,0.878194116383938,0,0.900848185527163,0.91485935151385,0,0.882327678763152,0.952383508696586,0,0.937030277002362,0,0.912228902727078,0,0.908846897144084,0.956463388447498,0.962422160188963,0.884313936010307,0.884152888125403,0.937245007515568,0.96086536396822,0
TPR,0.896875671032854,0.718058836160618,0.556313077088254,0.915771956194975,0.808782477990122,0.953349796006012,0,0.677098990766588,0,0.654605969508267,0,0.863216663087825,0.835945887910672,0,0.608063130770883,0.956731801589006,0,0.814526519218381,0,0.830953403478634,0,0.76014601674898,0.878945673180159,0.971923985398325,0.822310500322096,0.685956624436332,0.814472836590079,0.802286879965643,0
SEC23IP,0.810607687352373,0.808782477990122,0.716448357311574,0.851621215374705,0.794771312003436,0.837395318874812,0,0.83369121752201,0,0.748389521150956,0,0.828591367833369,0.827141936869229,0,0.784678977882757,0.843354090616277,0,0.837019540476702,0,0.824189392312648,0,0.842978312218166,0.865149237706678,0.913141507408203,0.802823706248658,0.745222246081168,0.837878462529525,0.874973158685849,0
RBM12,0.862948249946317,0.897949323598883,0.828537685205068,0.791550354305347,0.923072793643977,0.837985827786128,0,0.93187674468542,0,0.890863216663088,0,0.832027056044664,0.959738028773889,0,0.891614773459309,0.846897144084174,0,0.890487438264977,0,0.967307279364398,0,0.973749194760576,0.89998926347434,0.896338844749839,0.955175005368263,0.870249087395319,0.964515782692721,0.920496027485506,0
SMC2,0.841153102855916,0.86665235129912,0.797187030277002,0.732660511058621,0.90508911316298,0.790423019111016,0,0.950665664590938,0,0.887910672106506,0,0.590133132918188,0.905035430534679,0,0.86702812969723,0.871698518359459,0,0.835838522654069,0,0.843246725359674,0,0.879375134206571,0.809587717414645,0.810768735237277,0.966877818337986,0.772493021258321,0.919798153317586,0.896607257891346,0
