,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
FAM101B,0.997852810134736,0.997852810134736,0.997852810134736,0,0,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0,0.997852810134736,0,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736
NID1,0.998389607601052,0.998389607601052,0.998389607601052,0,0,0.998389607601052,0,0.998389607601052,0,0.998389607601052,0.998389607601052,0.998389607601052,0.998389607601052,0.998389607601052,0.998389607601052,0,0.998389607601052,0.998389607601052,0.998389607601052,0.998389607601052,0.998389607601052,0,0.998389607601052,0.998389607601052,0,0.998389607601052,0.998389607601052,0.998389607601052,0.998389607601052
COL23A1,0.99967792152021,0.99967792152021,0.99967792152021,0,0,0,0,0.99967792152021,0.99967792152021,0,0.99967792152021,0,0.99967792152021,0.99967792152021,0.99967792152021,0,0,0,0.99967792152021,0.99967792152021,0.99967792152021,0.99967792152021,0.99967792152021,0,0.99967792152021,0,0.99967792152021,0,0.99967792152021
BEND6,0.996081378495894,0,0.996081378495894,0,0,0.996081378495894,0,0,0,0,0.996081378495894,0,0.996081378495894,0.996081378495894,0.996081378495894,0,0.996081378495894,0.996081378495894,0.996081378495894,0,0.996081378495894,0,0,0.996081378495894,0,0,0.996081378495894,0.996081378495894,0.996081378495894
PCBD2,0.998872725320736,0,0,0,0.998872725320736,0,0.998872725320736,0,0,0.998872725320736,0.998872725320736,0,0.998872725320736,0.998872725320736,0.998872725320736,0,0.998872725320736,0,0,0,0.998872725320736,0.998872725320736,0,0.998872725320736,0.998872725320736,0,0.998872725320736,0,0.998872725320736
LTBP1,0.998496967094315,0.998496967094315,0,0,0,0,0,0,0,0.998496967094315,0.998496967094315,0,0.998496967094315,0.998496967094315,0.998496967094315,0,0.998496967094315,0.998496967094315,0,0.998496967094315,0.998496967094315,0,0.998496967094315,0,0,0,0.998496967094315,0,0.998496967094315
C2,0.996671855708841,0,0,0.996671855708841,0.996671855708841,0,0.996671855708841,0.996671855708841,0.996671855708841,0,0.996671855708841,0,0.996671855708841,0.996671855708841,0,0.996671855708841,0,0,0,0.996671855708841,0.996671855708841,0,0,0,0,0,0.996671855708841,0,0.996671855708841
TMEM106A,0.998013849374631,0.998013849374631,0,0,0,0,0,0.998013849374631,0.998013849374631,0.998013849374631,0.998013849374631,0,0.998013849374631,0.998013849374631,0,0.998013849374631,0,0,0,0,0.998013849374631,0,0,0,0,0,0.998013849374631,0.998013849374631,0.998013849374631
NBR1,0.99597401900263,0,0.99597401900263,0.99597401900263,0,0,0.99597401900263,0,0,0,0.99597401900263,0.99597401900263,0.99597401900263,0.99597401900263,0,0,0.99597401900263,0,0,0,0.99597401900263,0,0,0.99597401900263,0,0,0.99597401900263,0,0.99597401900263
GPR137B,0.997745450641473,0,0,0,0,0,0,0.997745450641473,0,0.997745450641473,0.997745450641473,0,0.997745450641473,0.997745450641473,0,0,0,0,0,0,0.997745450641473,0.997745450641473,0.997745450641473,0,0,0,0.997745450641473,0.997745450641473,0.997745450641473
CLIC1,0.995329862043051,0,0,0.995329862043051,0,0,0.995329862043051,0,0.995329862043051,0,0.995329862043051,0,0.995329862043051,0.995329862043051,0,0,0,0,0,0.995329862043051,0.995329862043051,0,0,0,0,0,0.995329862043051,0,0.995329862043051
NRIP2,0.998819045574105,0,0,0,0,0,0,0.998819045574105,0,0.998819045574105,0.998819045574105,0,0.998819045574105,0.998819045574105,0,0,0,0,0.998819045574105,0,0.998819045574105,0,0,0,0,0.998819045574105,0.998819045574105,0,0.998819045574105
SLC44A4,0.997584411401578,0,0,0,0,0.997584411401578,0,0,0,0,0.997584411401578,0,0.997584411401578,0.997584411401578,0.997584411401578,0,0,0,0,0,0.997584411401578,0,0.997584411401578,0,0.997584411401578,0,0.997584411401578,0,0.997584411401578
DAK,0.997154973428525,0.997154973428525,0,0,0,0,0.997154973428525,0,0,0,0.997154973428525,0,0.997154973428525,0.997154973428525,0,0,0.997154973428525,0,0,0,0.997154973428525,0,0,0,0.997154973428525,0,0.997154973428525,0,0.997154973428525
TXNDC15,0.99731601266842,0,0,0,0,0,0,0.99731601266842,0,0,0.99731601266842,0,0.99731601266842,0.99731601266842,0,0,0,0,0.99731601266842,0,0.99731601266842,0,0,0,0,0.99731601266842,0.99731601266842,0,0.99731601266842
SP1,0.999463202533684,0.999463202533684,0,0.999463202533684,0.999463202533684,0,0,0,0,0,0.999463202533684,0,0.999463202533684,0.999463202533684,0,0,0,0,0,0,0.999463202533684,0,0,0.999463202533684,0,0,0.999463202533684,0,0.999463202533684
NEU1,0.99833592785442,0,0,0,0,0,0,0,0,0,0.99833592785442,0,0.99833592785442,0.99833592785442,0,0,0,0,0,0,0.99833592785442,0,0.99833592785442,0,0.99833592785442,0.99833592785442,0.99833592785442,0,0.99833592785442
DST,0.99865800633421,0,0,0,0,0,0,0,0,0,0.99865800633421,0,0.99865800633421,0.99865800633421,0,0,0,0.99865800633421,0,0,0.99865800633421,0.99865800633421,0,0,0.99865800633421,0,0.99865800633421,0,0.99865800633421
VWCE,0.995222502549788,0,0.995222502549788,0,0,0.995222502549788,0,0,0,0,0.995222502549788,0,0.995222502549788,0.995222502549788,0,0,0,0,0,0,0.995222502549788,0,0,0.995222502549788,0,0,0.995222502549788,0,0.995222502549788
CXCL17,0.996510816468946,0,0,0,0.996510816468946,0,0,0,0,0,0.996510816468946,0,0.996510816468946,0.996510816468946,0.996510816468946,0,0,0,0,0,0.996510816468946,0,0,0,0,0.996510816468946,0.996510816468946,0,0.996510816468946
