,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
TIMM44,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
MAP2K7,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
C19orf52,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
XAB2,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
KEAP1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
MRPL4,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
RAD23A,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
PNPLA6,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.980137427528452,1,1,1,1,1,0,1
ZNF653,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
RAVER1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
DHPS,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
NR2C2AP,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
PKN1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
ECSIT,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
ZNF358,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.983895211509556,1,1,1,1,1,0,1
ZNF414,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
CCDC130,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
KRI1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
PIN1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
MRPL34,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
FDX1L,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
GIPC1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
CTXN1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
RAB11B,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
WDR83,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
CLPP,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
DDA1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
EVI5L,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
EIF3G,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
NDUFA7,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
ATG4D,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
QTRT1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
RNASEH2A,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
CC2D1A,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
TRMT61A,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
ASNA1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
LONP1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
USE1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
SPARC,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
ALKBH7,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
CCDC151,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
TICAM1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
GTF2F1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
MANBAL,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
C1orf35,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
CCDC94,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
LOC100129034,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
CCDC101,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
HDGFRP2,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
RANBP3,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.993182306205712,1,1,1,1,1,0,1
MRPS17,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
CDC37,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
FARSA,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
APOA1BP,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
NDUFA11,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
CCDC107,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.998228473266051,1,1,1,1,1,0,1
CBX8,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
AP1M1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
CCDC124,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
CREB3,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.981694223749195,1,1,1,1,1,0,1
SIRT6,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
C19orf70,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
MLLT1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0.977990122396392,1,1,1,1,1,0,1
