,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
POLDIP3,0,0.897949323598883,0.908041657719562,0,1,0.96193901653425,0.897949323598883,1,0,0,0,0.945404767017393,1,0.897949323598883,0.959952759287095,0.897949323598883,0,0.897949323598883,0.964086321666309,0.942452222460812,0.943794288168349,0,0.958557010951256,0.964623147949324,0,0,0,0,0
PACSIN2,0,0.907021687781834,0.904928065278076,0,1,0.884260253382006,0.907021687781834,1,0,0,0,0.9021902512347,1,0.907021687781834,0.88914537255744,0.907021687781834,0,0.907021687781834,0.912121537470475,0.903102855915826,0.902780760146017,0,0.886998067425381,0.880502469400902,0,0,0,0,0
HMGCS1,0,0.904176508481855,0.942183809319304,0,1,0.987867726003865,0.904176508481855,1,0,0,0,0.964462100064419,1,0.904176508481855,0.986096199269916,0.904176508481855,0,0.904176508481855,0.988082456517071,0.958395963066352,0.960328537685205,0,0.987116169207644,0.988297187030277,0,0,0,0,0
CYP51A1,0,0.941271204638179,0.945834228043805,0,1,0.991088683701954,0.941271204638179,1,0,0,0,0.967683057762508,1,0.941271204638179,0.989424522224608,0.941271204638179,0,0.941271204638179,0.995866437620786,0.961992699162551,0.963925273781404,0,0.990444492162336,0.99167919261327,0,0,0,0,0
DHCR7,0,0.924951685634529,0.944814258106077,0,1,0.990122396392527,0.924951685634529,1,0,0,0,0.966824135709684,1,0.924951685634529,0.988458234915181,0.924951685634529,0,0.924951685634529,0.993665449860425,0.960919046596521,0.962797938587073,0,0.989531887481211,0.990659222675542,0,0,0,0,0
SQLE,0,0.910994202276143,0.943418509770238,0,1,0.988726648056689,0.910994202276143,1,0,0,0,0.965321022117243,1,0.910994202276143,0.98695512132274,0.910994202276143,0,0.910994202276143,0.990176079020829,0.959523298260683,0.961402190251235,0,0.988082456517071,0.989209791711402,0,0,0,0,0
HMGCR,0,0.916523512991196,0.944062701309856,0,1,0.98947820485291,0.916523512991196,1,0,0,0,0.966126261541765,1,0.916523512991196,0.987814043375564,0.916523512991196,0,0.916523512991196,0.99167919261327,0.960221172428602,0.962100064419154,0,0.988834013313292,0.989907665879321,0,0,0,0,0
ACO2,0,0.820109512561735,0.819519003650419,0,1,0.795576551427958,0.820109512561735,1,0,0,0,0.815331758642903,1,0.820109512561735,0.800515353231694,0.820109512561735,0,0.820109512561735,0.912121537470475,0.817049602748551,0.816512776465536,0,0.798153317586429,0.792731372127979,0,0,0,0,0
EP300,0,0.815278076014602,0.814633884474984,0,1,0.790745114880825,0.815278076014602,1,0,0,0,0.810607687352373,1,0.815278076014602,0.795844964569465,0.815278076014602,0,0.815278076014602,0.912121537470475,0.812271848829719,0.811627657290101,0,0.793268198410994,0.788436761863861,0,0,0,0,0
HIRA,0,0.896070431608332,0.895587287953618,0,1,0.874328967146231,0.896070431608332,1,0,0,0,0.893010521795147,1,0.896070431608332,0.879911960489586,0.896070431608332,0,0.896070431608332,0.912121537470475,0.893815761219669,0.893601030706463,0,0.877496242216019,0.87100064419154,0,0,0,0,0
TNRC6B,0,0.941271204638179,0.935849259179729,0,1,0.914913034142152,0.941271204638179,1,0,0,0,0.932789349366545,1,0.941271204638179,0.919851835945888,0.941271204638179,0,0.941271204638179,0.912121537470475,0.93370195404767,0.93332617564956,0,0.917543482928924,0.910994202276143,0,0,0,0,0
ACACA,0,0.910994202276143,0.943042731372128,0,1,0.988189821773674,0.910994202276143,1,0,0,0,0.96483787846253,1,0.910994202276143,0.986418295039725,0.910994202276143,0,0.910994202276143,0.988082456517071,0.959093837234271,0.960919046596521,0,0.987438264977453,0.988619282800086,0,0,0,0,0
TMEM184B,0,0.859136783336912,0.8587073223105,0,1,0.842012024908739,0.859136783336912,1,0,0,0,0.856452651921838,1,0.859136783336912,0.843944599527593,0.859136783336912,0,0.859136783336912,0.91813399184024,0.857579987116169,0.857204208718059,0,0.843407773244578,0.841797294395534,0,0,0,0,0
GTPBP1,0,0.820700021473051,0.819948464676831,0,1,0.796059695082671,0.820700021473051,1,0,0,0,0.815975950182521,1,0.820700021473051,0.800944814258106,0.820700021473051,0,0.820700021473051,0.912121537470475,0.81774747691647,0.817049602748551,0,0.798797509126047,0.793375563667597,0,0,0,0,0
IDI1,0,0.987384582349152,0.988458234915181,0,1,0.995866437620786,0.987384582349152,1,0,0,0,0.992860210435903,1,0.987384582349152,0.995866437620786,0.987384582349152,0,0.987384582349152,0.995866437620786,0.991464462100064,0.992216018896285,0,0.995973802877389,0.995812754992484,0,0,0,0,0
SCD,0,0.973266051105862,0.975037577839811,0,1,0.996510629160404,0.973266051105862,1,0,0,0,0.98802877388877,1,0.973266051105862,0.99602748550569,0.973266051105862,0,0.973266051105862,0.997637964354735,0.983895211509556,0.9855056903586,0,0.996188533390595,0.996993772815117,0,0,0,0,0
FASN,0,0.977345930856775,0.978687996564312,0,1,0.99457805454155,0.977345930856775,1,0,0,0,0.987760360747262,1,0.977345930856775,0.994255958771741,0.977345930856775,0,0.977345930856775,0.993665449860425,0.984754133562379,0.985827786128409,0,0.994470689284947,0.994631737169852,0,0,0,0,0
NUP50,0,0.953135065492807,0.952651921838093,0,1,0.926293751342066,0.953135065492807,1,0,0,0,0.944975305990981,1,0.953135065492807,0.93187674468542,0.953135065492807,0,0.953135065492807,0.912121537470475,0.94637105432682,0.945887910672107,0,0.929031565385441,0.922160188962852,0,0,0,0,0
LSS,0,0.721494524371913,0.740551857418939,0,1,0.976594374060554,0.721494524371913,1,0,0,0,0.820324243074941,1,0.721494524371913,0.959362250375778,0.721494524371913,0,0.721494524371913,0.99167919261327,0.797294395533605,0.805776250805239,0,0.969132488726648,0.981318445351084,0,0,0,0,0
LDLR,0,0.993558084603822,0.993987545630234,0,1,0.998872664805669,0.993558084603822,1,0,0,0,0.997208503328323,1,0.993558084603822,0.998711616920764,0.993558084603822,0,0.993558084603822,0.999516856345287,0.996564311788705,0.996832724930213,0,0.998818982177367,0.99892634743397,0,0,0,0,0
DGCR2,0,0.819465321022117,0.818821129482499,0,1,0.79493235988834,0.819465321022117,1,0,0,0,0.814741249731587,1,0.819465321022117,0.799924844320378,0.819465321022117,0,0.819465321022117,0.912121537470475,0.816405411208933,0.815814902297616,0,0.797616491303414,0.792140863216663,0,0,0,0,0
INSIG1,0,0.992269701524587,0.992162336267984,0,1,0.975842817264333,0.992269701524587,1,0,0,0,0.991196048958557,1,0.992269701524587,0.98008374490015,0.992269701524587,0,0.992269701524587,0.912121537470475,0.991625509984969,0.991410779471763,0,0.978204852909598,0.968971440841744,0,0,0,0,0
MTMR3,0,0.753113592441486,0.752469400901868,0,1,0.728312218166201,0.753113592441486,1,0,0,0,0.740820270560447,1,0.753113592441486,0.731694223749195,0.753113592441486,0,0.753113592441486,0.912121537470475,0.744148593515139,0.742913893064204,0,0.729922697015246,0.725896499892635,0,0,0,0,0
DHCR24,0,0.924951685634529,0.944814258106077,0,1,0.990122396392527,0.924951685634529,1,0,0,0,0.966824135709684,1,0.924951685634529,0.988458234915181,0.924951685634529,0,0.924951685634529,0.993665449860425,0.960919046596521,0.962797938587073,0,0.989531887481211,0.990659222675542,0,0,0,0,0
ACAT2,0,0.897949323598883,0.93949967790423,0,1,0.986901438694438,0.897949323598883,1,0,0,0,0.962905303843676,1,0.897949323598883,0.985183594588791,0.897949323598883,0,0.897949323598883,0.985935151385012,0.956356023190895,0.958610693579558,0,0.986310929783122,0.987384582349152,0,0,0,0,0
