,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
XAF1,0,0.926347433970367,0.960060124543698,0.951631951900365,0.93767446854198,0,0.894889413785699,0.949914107794718,0,0.844857204208718,0.517876315224393,0.922213871591153,0,0,0.906323813613915,0.932145157826927,0.954530813828645,0.907397466179944,0.909866867081812,0,0,0.947927850547563,0.933648271419369,0.947122611123041,0.922160188962852,0.921032853768521,0.529632810822418,0,0
STAT1,0,0.99382649774533,0.89746617994417,0.972729224822847,0.996617994417007,0,0.99602748550569,0.983841528881254,0,0.991786557869873,0.993021258320807,0.985022546703887,0,0,0.997208503328323,0.992001288383079,0.991035001073653,0.995544341850977,0.978580631307709,0,0,0.992913893064204,0.996993772815117,0.862894567318016,0.985022546703887,0.984539403049173,0.997691646983036,0,0
ZNFX1,0,0.99527592870947,0.96993772815117,0.978419583422804,0.996295898647198,0,0.993450719347219,0.985183594588791,0,0.980996349581275,0.93042731372128,0.976862787202061,0,0,0.997315868584926,0.98840455228688,0.995973802877389,0.990122396392527,0.935044019755207,0,0,0.996510629160404,0.995866437620786,0.924039080953403,0.976164913034142,0.973319733734164,0.938372342709899,0,0
SAMD9L,0,0.991625509984969,0.995436976594374,0.995812754992484,0.994417006656646,0,0.985237277217093,0.995061198196264,0,0.968810392956839,0.636837019540477,0.985237277217093,0,0,0.988189821773674,0.98985398325102,0.995436976594374,0.987169851835946,0.984539403049173,0,0,0.994631737169852,0.994148593515139,0.991518144728366,0.985237277217093,0.985452007730299,0.623953188748121,0,0
PARP14,0,0.987760360747262,0.998818982177367,0.995866437620786,0.997423233841529,0,0.977399613485076,0.99855056903586,0,0.942774318230621,0.525177152673395,0.998711616920764,0,0,0.995383293966073,0.99855056903586,0.996564311788705,0.997799012239639,0.997315868584926,0,0,0.996295898647198,0.997369551213227,0.99892634743397,0.998711616920764,0.998657934292463,0.647949323598883,0,0
OAS2,0,0.98947820485291,0.988350869658578,0.992216018896285,0.99022976164913,0,0.979761649130341,0.987062486579343,0,0.950075155679622,0.600332832295469,0.963656860639897,0,0,0.977829074511488,0.976003865149238,0.994041228258536,0.970045093407773,0.954584496456947,0,0,0.992538114666094,0.988243504401976,0.975842817264333,0.963549495383294,0.962797938587073,0.587878462529525,0,0
IFIT2,0,0.999248443203779,0.99892634743397,0.999302125832081,0.999248443203779,0,0.99855056903586,0.998872664805669,0,0.995866437620786,0.731318445351084,0.994739102426455,0,0,0.998711616920764,0.997691646983036,0.999516856345287,0.998013742752845,0.988887695941593,0,0,0.999516856345287,0.999087395318875,0.996242216018896,0.994739102426455,0.994309641400043,0.676562164483573,0,0
PARP9,0,0.968649345071935,0.983089972085033,0.976057547777539,0.990605540047241,0,0.958073867296543,0.988995061198196,0,0.915127764655358,0.773083530169637,0.992860210435903,0,0,0.983626798368048,0.993450719347219,0.985076229332188,0.989102426454799,0.987652995490659,0,0,0.983519433111445,0.991196048958557,0.981264762722783,0.9927528451793,0.992430749409491,0.890326390380073,0,0
IFI44L,0,0.896338844749839,0.919153961777969,0.920549710113807,0.888501181017823,0,0.813989692935366,0.901653424951686,0,0.631683487223535,0.212261112304058,0.838737384582349,0,0,0.749248443203779,0.855056903586,0.944331114451364,0.704101352802233,0.818821129482499,0,0,0.909222675542194,0.880341421515997,0.889360103070646,0.838361606184239,0.837180588361606,0.315546489156109,0,0
IFIT3,0,0.999892634743397,0.999838952115096,0.999838952115096,0.999892634743397,0,0.999677904230191,0.999838952115096,0,0.998980030062272,0.859888340133133,0.999516856345287,0,0,0.999892634743397,0.999677904230191,0.999946317371698,0.999785269486794,0.998389521150956,0,0,0.999946317371698,0.999892634743397,0.999570538973588,0.999516856345287,0.999516856345287,0.784249516856345,0,0
