,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MLLT6,0,0.859297831221817,0.874221601889628,0,0,0.991410779471763,0.930266265836375,0,0,0.96124114236633,0.983089972085033,0.961563238136139,0.978473266051106,0,0,0,0,0,0.98985398325102,0.939284947391024,0.993987545630234,0.930105217951471,0.99382649774533,0.99092763581705,0.992484432037793,0.954316083315439,0.977077517715267,0,0
EZH1,0,0.478151170281297,0.678602104359029,0,0,0.373845823491518,0.438533390594804,0,0,0.380717199914108,0.437298690143869,0.516587932145158,0.593300407987975,0,0,0,0,0,0.841689929138931,0.636675971655572,0.543697659437406,0.479439553360533,0.499677904230191,0.470742967575693,0.403800730083745,0.502737814043376,0.48695512132274,0,0
RBL2,0,0.889360103070646,0.474500751556796,0,0,0.822632596091905,0.880663517285806,0,0,0.765729010092334,0.922374919476058,0.834120678548422,0.866920764440627,0,0,0,0,0,0.869497530599098,0.951792999785269,0.808191969078806,0.6847756066137,0.851728580631308,0.797294395533605,0.828806098346575,0.937030277002362,0.934399828215589,0,0
PIP4K2B,0,0.773029847541336,0.948035215804166,0,0,0.864558728795362,0.902941808030921,0,0,0.754831436547133,0.957322310500322,0.769379428816835,0.900096628730943,0,0,0,0,0,0.827678763152244,0.960006441915396,0.807708825424093,0.907987975091261,0.754885119175435,0.796972299763796,0.745329611337771,0.890272707751771,0.914590938372343,0,0
SYNRG,0,0.593890916899291,0.864827141936869,0,0,0.596521365686064,0.687352372772171,0,0,0.897895640970582,0.610425166416148,0.729224822847327,0.611713549495383,0,0,0,0,0,0.713978956409706,0.567103285376852,0.451524586643762,0.86450504616706,0.474661799441701,0.43805024694009,0.492054971011381,0.691593300407988,0.576927206356023,0,0
SOS1,0,0.92607902082886,0.474500751556796,0,0,0.891077947176294,0.91883186600816,0,0,0.898164054112089,0.917489800300623,0.970581919690788,0.866330255529311,0,0,0,0,0,0.826336697444707,0.811090831007086,0.780545415503543,0.756495598024479,0.965482070002147,0.784088468971441,0.977131200343569,0.97353446424737,0.894996779042302,0,0
CRTC3,0,0.674039080953403,0.663087824779901,0,0,0.800085892205282,0.780169637105433,0,0,0.723588146875671,0.651653424951686,0.737491947605755,0.660081597595018,0,0,0,0,0,0.719132488726648,0.591099420227614,0.729117457590724,0.84491088683702,0.789564097058192,0.75907236418295,0.845877174146446,0.635924414859351,0.684292462958986,0,0
MAP3K3,0,0.89021902512347,0.818069572686279,0,0,0.969132488726648,0.861552501610479,0,0,0.786987330899721,0.859942022761434,0.917275069787417,0.919583422804381,0,0,0,0,0,0.766963710543268,0.726325960919047,0.954262400687138,0.874865793429246,0.923878033068499,0.964301052179515,0.952812969722998,0.656914322525231,0.889896929353661,0,0
STAT3,0,0.988243504401976,0.968703027700236,0,0,0.985022546703887,0.987867726003865,0,0,0.99747691646983,0.997584281726433,0.986042516641615,0.995973802877389,0,0,0,0,0,0.983304702598239,0.991357096843461,0.976970152458664,0.990015031135924,0.99092763581705,0.963925273781404,0.986740390809534,0.997047455443419,0.993235988834013,0,0
MED13L,0,0.813291818767447,0.891614773459309,0,0,0.66738243504402,0.36702812969723,0,0,0.60070861069358,0.582885978097488,0.705711831651278,0.57209576980889,0,0,0,0,0,0.813184453510844,0.629750912604681,0.779793858707322,0.546972299763796,0.678602104359029,0.79385870732231,0.639628516212154,0.585945887910672,0.695726862787202,0,0
