,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
HSPE1,0,0,0.932520936225038,0,1,1,0,0,0,1,1,0,0,0.751717844105647,0.839703671891776,0.97283659007945,0,0.842495168563453,0.89929138930642,0.820592656216448,0.842495168563453,0,0,0,0.580094481425811,0.883830792355594,0.839703671891776,0,0
POLR2K,0,0,0.85580846038222,0,1,1,0,0,0,1,1,0,0,0.797723856560017,0.822578913463603,0.949001503113592,0,0.842495168563453,0.877925703242431,0.771204638179085,0.842495168563453,0,0,0,0.580094481425811,0.902780760146017,0.822578913463603,0,0
SUMO1P3,0,0,0.581114451363539,0,1,1,0,0,0,1,0.411262615417651,0,0,0.896070431608332,0.481318445351084,0.57064633884475,0,0.328376637320163,0.609351513850118,0.92173072793644,0.328376637320163,0,0,0,0.841099420227614,0.514064848614988,0.481318445351084,0,0
METTL5,0,0,0.890433755636676,0,1,1,0,0,0,1,1,0,0,0.937245007515568,0.665020399398755,0.93805024694009,0,0.875134206570754,0.695243719132489,0.932789349366545,0.875134206570754,0,0,0,0.580094481425811,0.789671462314795,0.665020399398755,0,0
SNRPD1,0,0,0.976540691432253,0,1,1,0,0,0,1,1,0,0,0.778720206141293,0.865900794502899,0.965052608975735,0,0.978312218166201,0.903693364827142,0.714408417436118,0.978312218166201,0,0,0,0.961831651277647,0.935419798153318,0.865900794502899,0,0
NDUFB3,0,0,0.792516641614773,0,1,1,0,0,0,1,0.0739209791711402,0,0,0.60940519647842,0.657397466179944,0.187137642258965,0,0.820592656216448,0.69674683272493,0.540423019111016,0.820592656216448,0,0,0,0.580094481425811,0.701470904015461,0.657397466179944,0,0
PSMD14,0,0,0.903854412712046,0,1,1,0,0,0,1,0.278827571397896,0,0,0.730244792785055,0.784034786343139,0.921462314794932,0,0.914107794717629,0.795844964569465,0.690090186815546,0.914107794717629,0,0,0,0.801535323169422,0.851728580631308,0.784034786343139,0,0
FKBP3,0,0,0.97788275713979,0,1,1,0,0,0,1,0.0834764870088039,0,0,0.950182520936225,0.92065707537041,0.900472407129053,0,0.975896499892635,0.944170066566459,0.802877388876959,0.975896499892635,0,0,0,0.580094481425811,0.967790423019111,0.92065707537041,0,0
TPRKB,0,0,0.613270345716126,0,1,1,0,0,0,1,0.341850977023835,0,0,0.818069572686279,0.746510629160404,0.627227829074511,0,0.506280867511273,0.76052179514709,0.920979171140219,0.506280867511273,0,0,0,0.763205926562164,0.714354734807816,0.746510629160404,0,0
SNRPG,0,0,0.0312432896714623,0,1,1,0,0,0,1,0.274425595877174,0,0,0.959899076658793,0.973963925273781,0.0457912819411638,0,0.328376637320163,0.936171354949538,0.931823062057118,0.328376637320163,0,0,0,0.804971011380717,0.882166630878248,0.973963925273781,0,0
MAGOH,0,0,0.913732016319519,0,1,1,0,0,0,1,1,0,0,0.900687137642259,0.915396177796865,0.95614129267769,0,0.898217736740391,0.905411208932789,0.85795576551428,0.898217736740391,0,0,0,0.638554863646124,0.92790423019111,0.915396177796865,0,0
SARNP,0,0,0.742216018896285,0,1,1,0,0,0,1,0.335945887910672,0,0,0.730996349581275,0.814580201846682,0.792301911101568,0,0.695941593300408,0.794288168348722,0.739209791711402,0.695941593300408,0,0,0,0.752630448786773,0.802877388876959,0.814580201846682,0,0
