,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PLEKHG2,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808,0.92130549143808
MLLT3,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524
MDH2,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292,0.926082988888292
INTS4,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196
PRTG,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917,0.903698534542917
MRPS36,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098
TANC1,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133,0.920715014225133
SDHC,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025,0.912716731977025
STAT2,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774,0.950346234365774
HDAC7,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203,0.976219872242203
SEPHS2,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736
FDXACB1,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578,0.996564496215578
SSH2,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353,0.952010306511353
SLC25A5,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765,0.921788609157765
SEMA4C,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713,0.925438831928713
SP7,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045,0.974931558323045
