,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PDGFRA,0,0.916738243504402,0,0,0,0.853446424736955,0,0,0,0.919583422804381,0.917167704530814,0,0,0,0.901331329181877,0.926132703457161,0,0.904820700021473,0.883991840240498,0,0.923502254670389,0,0,0.88114666094052,0.874597380287739,0,0,0,0
OLFML1,0,0.94019755207215,0,0,0,0.883669744470689,0,0,0,0.92897788275714,0.784142151599742,0,0,0,0.790369336482714,0.901760790208289,0,0.981801589005798,0.935312432896715,0,0.885226540691432,0,0,0.939445995275929,0.798958557010951,0,0,0,0
C1QTNF7,0,0.976164913034142,0,0,0,0.940090186815546,0,0,0,0.970313506549281,0.856184238780331,0,0,0,0.861015675327464,0.956248657934292,0,0.994094910886837,0.973051320592656,0,0.944706892849474,0,0,0.974608116813399,0.866759716555723,0,0,0,0
MFAP4,0,0.990981318445351,0,0,0,0.988726648056689,0,0,0,0.989907665879321,0.978687996564312,0,0,0,0.980191110156753,0.988189821773674,0,0.98947820485291,0.991571827356667,0,0.987867726003865,0,0,0.991732875241572,0.981479493235989,0,0,0,0
INMT,0,0.986364612411424,0,0,0,0.989102426454799,0,0,0,0.986418295039725,0.980674253811467,0,0,0,0.982660511058621,0.985666738243504,0,0.975144943096414,0.988619282800086,0,0.985398325101997,0,0,0.98878033068499,0.984807816190681,0,0,0,0
EMILIN1,0,0.984002576766158,0,0,0,0.98947820485291,0,0,0,0.984539403049173,0.984270989907666,0,0,0,0.986203564526519,0.98443203779257,0,0.948679407343784,0.986740390809534,0,0.985076229332188,0,0,0.986364612411424,0.988189821773674,0,0,0,0
MRVI1,0,0.976272278290745,0,0,0,0.973105003220958,0,0,0,0.975681769379429,0.961455872879536,0,0,0,0.963173716985184,0.973212368477561,0,0.962583208073867,0.976594374060554,0,0.971333476487009,0,0,0.976379643547348,0.964623147949324,0,0,0,0
GPR124,0,0.977023835086966,0,0,0,0.961724286021044,0,0,0,0.974608116813399,0.93187674468542,0,0,0,0.932843031994846,0.967414644621001,0,0.987491947605755,0.975091260468113,0,0.962851621215375,0,0,0.976003865149238,0.934292462958986,0,0,0,0
PODN,0,0.864182950397251,0,0,0,0.773781404337556,0,0,0,0.851621215374705,0.756710328537685,0,0,0,0.748335838522654,0.831275499248443,0,0.923716985183595,0.839435258750268,0,0.817479063774962,0,0,0.843193042731372,0.731264762722783,0,0,0,0
FBLN5,0,0.946693150096629,0,0,0,0.885333905948035,0,0,0,0.939016534249517,0.822632596091905,0,0,0,0.819250590508911,0.918885548636461,0,0.983251019969938,0.938264977453296,0,0.905357526304488,0,0,0.941378569894782,0.813721279793859,0,0,0,0
RASL12,0,0.975198625724715,0,0,0,0.944062701309856,0,0,0,0.969400901868155,0.879106721065063,0,0,0,0.881951900365042,0.957429675756925,0,0.991571827356667,0.97138715911531,0,0.948035215804166,0,0,0.973319733734164,0.88442130126691,0,0,0,0
OGN,0,0.886407558514065,0,0,0,0.853016963710543,0,0,0,0.879589864719777,0.829987116169208,0,0,0,0.829665020399399,0.868316512776465,0,0.911638393815761,0.879804595232983,0,0.860532531672751,0,0,0.88189821773674,0.828000858922053,0,0,0,0
CYGB,0,0.994255958771741,0,0,0,0.992484432037793,0,0,0,0.993987545630234,0.982553145802018,0,0,0,0.984485720420872,0.992216018896285,0,0.993987545630234,0.994524371913249,0,0.991142366330256,0,0,0.994846467683058,0.986794073437836,0,0,0,0
