,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZNF518A,0,0.900794502898862,0.16051105862143,0,0,0.934721923985398,0.819841099420228,0,0,0.779954906592227,0,0.751288383079236,0.823974661799442,0,0.81629804595233,0.666577195619498,0,0.791979815331759,0.837556366759717,0,0.936815546489156,0.808245651707108,0,0.905303843676186,0,0.567156968005154,0.726379643547348,0,0
MGEA5,0,0.955013957483358,0.24237706678119,0,0,0.731640541120893,0.940680695726863,0,0,0.96269057333047,0,0.931930427313721,0.829289242001288,0,0.887105432681984,0.96993772815117,0,0.745759072364183,0.811090831007086,0,0.800676401116599,0.947927850547563,0,0.656323813613915,0,0.993719132488727,0.95109512561735,0,0
SP1,0,0.907934292462959,0.392903156538544,0,0,0.996940090186816,0.923233841528881,0,0,0.753006227184883,0,0.949484646768306,0.995490659222676,0,0.899345071934722,0.917006656645909,0,0.988511917543483,0.99602748550569,0,0.862572471548207,0.81484861498819,0,0.99022976164913,0,0.852480137427528,0.954799226970152,0,0
SLK,0,0.672858063130771,0.446317371698518,0,0,0.574457805454155,0.901707107579987,0,0,0.67790423019111,0,0.623738458234915,0.886031780115955,0,0.844857204208718,0.804273137212798,0,0.833422804380502,0.698840455228688,0,0.53371269057333,0.66775821344213,0,0.870088039510414,0,0.85108438909169,0.793751342065708,0,0
NT5C2,0,0.514923770667812,0.485076229332188,0,0,0.828967146231479,0.774694009018682,0,0,0.669905518574189,0,0.851674898003006,0.694384797079665,0,0.748067425381147,0.760575477775392,0,0.688587073223105,0.827034571612626,0,0.902243933863002,0.615900794502899,0,0.876315224393386,0,0.187781833798583,0.798636461241142,0,0
SUFU,0,0.929031565385441,0.325531458020185,0,0,0.875617350225467,0.903371269057333,0,0,0.797777539188319,0,0.716502039939875,0.80545415503543,0,0.843729869014387,0.818982177367404,0,0.591636246510629,0.846682413570968,0,0.736901438694438,0.764977453296113,0,0.408202705604466,0,0.921408632166631,0.748443203779257,0,0
SMC3,0,0.78441056474125,0.654283873738458,0,0,0.789188318660082,0.932789349366545,0,0,0.645587287953618,0,0.592334120678548,0.933594588791067,0,0.870517500536826,0.832778612840885,0,0.792677689499678,0.723373416362465,0,0.603661155250161,0.58986471977668,0,0.803789993558085,0,0.919959201202491,0.783390594803522,0,0
TM9SF3,0,0.674200128838308,0.920066566459094,0,0,0.583744900150311,0.935902941808031,0,0,0.375778398110372,0,0.75107365256603,0.819465321022117,0,0.968864075585141,0.677796864934507,0,0.896660940519648,0.704691861713549,0,0.836375348937084,0.364021902512347,0,0.61015675327464,0,0.638501181017823,0.723212368477561,0,0
LRP6,0,0.84346145587288,0.476970152458664,0,0,0.805615202920335,0.891346360317801,0,0,0.7210113807172,0,0.517929997852695,0.725574404122826,0,0.815868584925918,0.77608975735452,0,0.300085892205282,0.706248657934292,0,0.679890487438265,0.620034356882113,0,0.241142366330256,0,0.921140219025123,0.620946961563238,0,0
JMJD1C,0,0.822901009233412,0.306903585999571,0,0,0.88624651062916,0.79493235988834,0,0,0.806903585999571,0,0.691915396177797,0.770775177152673,0,0.863109297831222,0.788973588146876,0,0.509555507837664,0.711402190251235,0,0.822793643976809,0.766587932145158,0,0.525875026841314,0,0.813989692935366,0.739585570109513,0,0
RERE,0,0.639467468327249,0.795200773029848,0,0,0.793375563667597,0.978687996564312,0,0,0.932198840455229,0,0.94492162336268,0.978043805024694,0,0.948410994202276,0.990068713764226,0,0.904498604251664,0.883025552931072,0,0.734002576766158,0.871859566244363,0,0.179944170066566,0,0.968756710328538,0.984378355164269,0,0
NFAT5,0,0.722568176937943,0.162819411638394,0,0,0.61412926776895,0.619819626368907,0,0,0.844696156323814,0,0.665879321451578,0.522761434399828,0,0.701524586643762,0.726325960919047,0,0.509179729439553,0.602802233197337,0,0.795147090401546,0.834764870088039,0,0.729869014386944,0,0.677850547562809,0.718380931930427,0,0
CTNND1,0,0.876046811251879,0.337771097272922,0,0,0.997262185956624,0.950504616706034,0,0,0.762132273996135,0,0.912497315868585,0.981211080094481,0,0.987116169207644,0.823062057118316,0,0.930534678977883,0.986525660296328,0,0.975896499892635,0.766963710543268,0,0.973588146875671,0,0.529793858707322,0.885978097487653,0,0
TIAL1,0,0.872503757783981,0.363968219884046,0,0,0.923878033068499,0.884206570753704,0,0,0.898486149881898,0,0.79600601245437,0.942183809319304,0,0.859673609619927,0.928494739102426,0,0.716609405196478,0.918080309211939,0,0.869873308997208,0.848883401331329,0,0.936922911745759,0,0.866598668670818,0.913141507408203,0,0
VTI1A,0,0.859244148593515,0.325907236418295,0,0,0.961509555507838,0.877335194331114,0,0,0.546811251878892,0,0.564902297616491,0.954745544341851,0,0.91013528022332,0.573008374490015,0,0.894513635387589,0.947444706892849,0,0.73405625939446,0.608761004938802,0,0.985183594588791,0,0.712958986471978,0.632273996134851,0,0
KIAA0430,0,0.693042731372128,0.243397036718918,0,0,0.709308567747477,0.490820270560447,0,0,0.804434185097702,0,0.827464032639038,0.850493880180374,0,0.633562379214086,0.819733734163625,0,0.883830792355594,0.811520292033498,0,0.689392312647627,0.841582563882328,0,0.847702383508697,0,0.735935151385012,0.862357741035001,0,0
CCNT2,0,0.771956194975306,0.142366330255529,0,0,0.93515138501181,0.822793643976809,0,0,0.80470259823921,0,0.644728365900795,0.814794932359888,0,0.82537041013528,0.652297616491303,0,0.64166845608761,0.870088039510414,0,0.824028344427743,0.815922267554219,0,0.937245007515568,0,0.561144513635388,0.678816834872235,0,0
XPNPEP1,0,0.118692291174576,0.685580846038222,0,0,0.690895426240069,0.472031350654928,0,0,0.645802018466824,0,0.746564311788705,0.882703457161263,0,0.41738243504402,0.835409061627657,0,0.760253382005583,0.86702812969723,0,0.591797294395534,0.592870946961563,0,0.912443633240283,0,0.403317586429032,0.859619926991625,0,0
BMPR2,0,0.584818552716341,0.398432467253597,0,0,0.234861498818982,0.920173931715697,0,0,0.772063560231909,0,0.801374275284518,0.915288812540262,0,0.877979385870732,0.892688426025338,0,0.948679407343784,0.742216018896285,0,0.58551642688426,0.784088468971441,0,0.929246295898647,0,0.822901009233412,0.918080309211939,0,0
TRIM8,0,0.957375993128624,0.309802447927851,0,0,0.961455872879536,0.959684346145587,0,0,0.910564741249732,0,0.920173931715697,0.840831007086107,0,0.994309641400043,0.9347756066137,0,0.595877174146446,0.950987760360747,0,0.837126905733305,0.877281511702813,0,0.00402619712261112,0,0.984270989907666,0.882918187674469,0,0
LIMA1,0,0.632864505046167,0.924414859351514,0,0,0.965106291604037,0.960543268198411,0,0,0.600869658578484,0,0.682735666738243,0.970581919690788,0,0.972031350654928,0.842012024908739,0,0.755744041228259,0.986471977668027,0,0.863807171999141,0.477721709254885,0,0.986203564526519,0,0.640916899291389,0.834281726433326,0,0
ASAP2,0,0.776197122611123,0.725681769379429,0,0,0.966716770453081,0.972299763796435,0,0,0.857418939231265,0,0.790315653854413,0.985827786128409,0,0.988297187030277,0.959576980888984,0,0.803306849903371,0.955926562164484,0,0.785215804165772,0.76342065707537,0,0.979278505475628,0,0.966126261541765,0.939821773674039,0,0
REV1,0,0.577464032639038,0.778129697229976,0,0,0.152404981747906,0.97718488297187,0,0,0.708181232553146,0,0.502684131415074,0.821988404552287,0,0.943257461885334,0.880556152029203,0,0.560392956839167,0.492699162550998,0,0.325531458020185,0.59131415074082,0,0.852319089542624,0,0.981801589005798,0.785376852050676,0,0
LDB1,0,0.835945887910672,0.0792355593729869,0,0,0.830255529310715,0.6232016319519,0,0,0.811144513635388,0,0.829987116169208,0.838898432467254,0,0.608170496027486,0.708449645694653,0,0.930319948464677,0.834335409061628,0,0.806259394459953,0.888125402619712,0,0.911423663302555,0,0.643171569680052,0.811198196263689,0,0
CACHD1,0,0.10940519647842,0.959201202490874,0,0,0.561090831007086,0.831436547133348,0,0,0.791013528022332,0,0.725896499892635,0.889467468327249,0,0.745866437620786,0.955013957483358,0,0.452920334979601,0.539027270775177,0,0.58659007945029,0.5797187030277,0,0.691110156753275,0,0.801213227399614,0.924575907236418,0,0
ARHGAP5,0,0.402351299119605,0.898969293536612,0,0,0.966340992054971,0.714247369551213,0,0,0.738297187030277,0,0.771580416577196,0.97643332617565,0,0.904981747906378,0.919476057547778,0,0.738726648056689,0.957483358385227,0,0.747208503328323,0.612894567318016,0,0.963334764870088,0,0.705228687996564,0.911853124328967,0,0
ATF7,0,0.814794932359888,0.122020614129268,0,0,0.508964998926347,0.747154820700021,0,0,0.721065063345501,0,0.603446424736955,0.0680695726862787,0,0.716340992054971,0.497799012239639,0,0.407129053038437,0.312271848829719,0,0.730405840669959,0.760199699377281,0,0.0788597809748765,0,0.654659652136569,0.468649345071935,0,0
RAB11FIP2,0,0.40074082027056,0.497960060124544,0,0,0.363538758857634,0.255314580201847,0,0,0.568821129482499,0,0.623631092978312,0.259609190465965,0,0.250429461026412,0.610103070646339,0,0.363538758857634,0.205980244792785,0,0.72138715911531,0.511380717199914,0,0.0952329826068284,0,0.160833154391239,0.58986471977668,0,0
RNF38,0,0.927313721279794,0.0666738243504402,0,0,0.684560876100494,0.737921408632167,0,0,0.955819196907881,0,0.961563238136139,0.0654928065278076,0,0.87862357741035,0.869014386944385,0,0.54928065278076,0.538544127120464,0,0.986364612411424,0.947981533175864,0,0.0432145157826927,0,0.543590294180803,0.883938157612197,0,0
CPEB3,0,0.95689284947391,0.373953188748121,0,0,0.875080523942452,0.951685634528667,0,0,0.851030706463388,0,0.708181232553146,0.881576121966931,0,0.925542194545845,0.864343998282156,0,0.662980459523298,0.809211939016534,0,0.954262400687138,0.772868799656431,0,0.909652136568606,0,0.854466394674683,0.833208073867297,0,0
SMAD3,0,0.986310929783122,0.247799012239639,0,0,0.99962422160189,0.975091260468113,0,0,0.852748550569036,0,0.992967575692506,0.98115739746618,0,0.991088683701954,0.92065707537041,0,0.978849044449216,0.999946317371698,0,0.979976379643547,0.896983036289457,0,0.788222031350655,0,0.923341206785484,0.951148808245652,0,0
BTAF1,0,0.965911531028559,0.326283014816405,0,0,0.98008374490015,0.983841528881254,0,0,0.962261112304058,0,0.850225467038866,0.97428602104359,0,0.964891561090831,0.970045093407773,0,0.6920227614344,0.940412282585355,0,0.95071934721924,0.919744470689285,0,0.914644621000644,0,0.98947820485291,0.950665664590938,0,0
ABLIM1,0,0.829074511488082,0.885119175434829,0,0,0.927421086536397,0.976164913034142,0,0,0.856291604036934,0,0.884636031780116,0.879214086321666,0,0.973641829503972,0.939768091045738,0,0.540530384367619,0.785108438909169,0,0.993021258320807,0.669637105432682,0,0.771204638179085,0,0.68370195404767,0.925166416147735,0,0
NFIA,0,0.50289886192828,0.726218595662444,0,0,0.96956194975306,0.987062486579343,0,0,0.979976379643547,0,0.98802877388877,0.99527592870947,0,0.983787846252953,0.996403263903801,0,0.96558943525875,0.972353446424737,0,0.966770453081383,0.946639467468327,0,0.987008803951041,0,0.919100279149667,0.997208503328323,0,0
TRIM2,0,0.918187674468542,0.480137427528452,0,0,0.959576980888984,0.941432252523083,0,0,0.647949323598883,0,0.881951900365042,0.984968864075585,0,0.975413356237921,0.860049388018037,0,0.985398325101997,0.961885333905948,0,0.884099205497101,0.698088898432467,0,0.96269057333047,0,0.871322739961348,0.902351299119605,0,0
SETD5,0,0.673878033068499,0.353285376852051,0,0,0.531243289671462,0.718327249302126,0,0,0.747906377496242,0,0.714945243719132,0.766641614773459,0,0.617135494953833,0.818284303199485,0,0.749731586858493,0.526787631522439,0,0.595769808889843,0.745222246081168,0,0.649398754563023,0,0.824457805454155,0.802394245222246,0,0
ZMIZ1,0,0.98078161906807,0.0547025982392098,0,0,0.938801803736311,0.93622503757784,0,0,0.979493235988834,0,0.943901653424952,0.875080523942452,0,0.995598024479278,0.955228687996564,0,0.809534034786343,0.954155035430535,0,0.929514709040155,0.979815331758643,0,0.976594374060554,0,0.992913893064204,0.948088898432467,0,0
GAB1,0,0.560822417865579,0.292516641614773,0,0,0.128730942666953,0.489692935366116,0,0,0.687567103285377,0,0.662926776894997,0.418992913893064,0,0.471333476487009,0.697229976379644,0,0.618531243289671,0.313345501395748,0,0.371591153102856,0.717736740390809,0,0.512508052394245,0,0.771687781833799,0.662014172213872,0,0
SOBP,0,0.721333476487009,0.990873953188748,0,0,0.868531243289671,0.939177582134421,0,0,0.720796650203994,0,0.508106076873524,0.916255099849689,0,0.975842817264333,0.945404767017393,0,0.159491088683702,0.552770023620356,0,0.799710113807172,0.429192613270346,0,0.617618638608546,0,0.960113807171999,0.821075799871162,0,0
BAZ2B,0,0.842495168563453,0.712636890702169,0,0,0.927313721279794,0.944331114451364,0,0,0.803092119390165,0,0.714247369551213,0.949914107794718,0,0.883669744470689,0.929085248013743,0,0.593515138501181,0.959308567747477,0,0.630717199914108,0.695136353875886,0,0.889091689929139,0,0.987814043375564,0.866706033927421,0,0
ZNF33A,0,0.872879536182091,0.269111015675327,0,0,0.959630663517286,0.969078806098347,0,0,0.943096414000429,0,0.831007086106936,0.883938157612197,0,0.945887910672107,0.929407343783552,0,0.483412067854842,0.923609619926992,0,0.888984324672536,0.897627227829075,0,0.865900794502899,0,0.976057547777539,0.887427528451793,0,0
ZDHHC6,0,0.860371483787846,0.324833583852265,0,0,0.961187459738029,0.87572471548207,0,0,0.546489156109083,0,0.562862357741035,0.954530813828645,0,0.909705819196908,0.570968434614559,0,0.893547348078162,0.94674683272493,0,0.733197337341636,0.608599957053897,0,0.984485720420872,0,0.713978956409706,0.629536182091475,0,0
SSFA2,0,0.773781404337556,0.375885763366974,0,0,0.907129053038437,0.845930856774748,0,0,0.588468971440842,0,0.69239853983251,0.969400901868155,0,0.79638179085248,0.731050032209577,0,0.955282370624866,0.915771956194975,0,0.587985827786128,0.662604681125188,0,0.974930212583208,0,0.768037363109298,0.798797509126047,0,0
WDR11,0,0.739424522224608,0.45361820914752,0,0,0.746242216018896,0.853822203135066,0,0,0.639628516212154,0,0.521902512347004,0.749248443203779,0,0.777109727292248,0.724232338415289,0,0.482123684775607,0.585731157397466,0,0.524908739531887,0.589757354520077,0,0.184882971870303,0,0.880234056259394,0.605540047240713,0,0
LAGE3,0,0.872181662014172,0.451470904015461,0,0,0.77319089542624,0.939016534249517,0,0,0.655357526304488,0,0.631200343568821,0.930480996349581,0,0.8985398325102,0.78730942666953,0,0.871269057333047,0.87862357741035,0,0.692559587717415,0.650096628730943,0,0.950397251449431,0,0.851621215374705,0.787524157182736,0,0
NUMA1,0,0.931232553145802,0.032102211724286,0,0,0.814794932359888,0.589703671891776,0,0,0.91485935151385,0,0.87862357741035,0.509931286235774,0,0.596091904659652,0.737867726003865,0,0.772278290745115,0.85215804165772,0,0.856237921408632,0.945136353875886,0,0.55942666952974,0,0.736096199269916,0.784303199484647,0,0
IL17RD,0,0.442774318230621,0.99672535967361,0,0,0.972729224822847,0.994846467683058,0,0,0.839918402404982,0,0.939982821558944,0.993719132488727,0,0.981050032209577,0.993397036718918,0,0.82064633884475,0.940465965213657,0,0.787631522439339,0.591797294395534,0,0.850064419153962,0,0.964730513205927,0.984915181447284,0,0
ZNF608,0,0.701202490873953,0.999033712690573,0,0,0.99167919261327,0.990444492162336,0,0,0.213442130126691,0,0.648164054112089,0.998980030062272,0,0.964193686922912,0.89746617994417,0,0.983251019969938,0.990498174790638,0,0.682145157826927,0.11015675327464,0,0.995383293966073,0,0.924898003006227,0.887910672106506,0,0
TNRC18,0,0.956356023190895,0.655464891561091,0,0,0.983251019969938,0.985774103500107,0,0,0.80905089113163,0,0.891775821344213,0.979010092334121,0,0.998228473266051,0.943150096628731,0,0.880234056259394,0.989317156968005,0,0.878086751127335,0.740122396392527,0,0.997960060124544,0,0.975037577839811,0.916147734593086,0,0
RIMKLB,0,0.704369765943741,0.15653854412712,0,0,0.255636675971656,0.171140219025123,0,0,0.836858492591797,0,0.415771956194975,0.0376315224393386,0,0.204584496456947,0.62465106291604,0,0.0790745114880825,0.0550783766373202,0,0.630180373631093,0.792570324243075,0,0.170925488511918,0,0.642473695512132,0.507945028988619,0,0
C6orf1,0,0.870463817908525,0.334979600601245,0,0,0.964247369551213,0.896660940519648,0,0,0.758213442130127,0,0.938103929568392,0.944116383938158,0,0.83659007945029,0.882273996134851,0,0.936654498604252,0.975252308353017,0,0.7210113807172,0.808030921193902,0,0.946102641185312,0,0.988887695941593,0.896607257891346,0,0
CDK5,0,0.977345930856775,0.187567103285377,0,0,0.873094266695297,0.905250161047885,0,0,0.934614558728795,0,0.925059050891132,0.890487438264977,0,0.974339703671892,0.938103929568392,0,0.881790852480137,0.942291174575907,0,0.931984109942023,0.931071505260898,0,0.834120678548422,0,0.98298260682843,0.935741893923126,0,0
ZFHX3,0,0.997852694867941,0.764279579128194,0,0,0.998121108009448,0.998657934292463,0,0,0.999516856345287,0,0.999516856345287,0.999194760575478,0,0.995114880824565,0.999731586858493,0,0.96628730942667,0.997960060124544,0,0.999677904230191,0.995759072364183,0,0.993880180373631,0,0.998121108009448,0.999785269486794,0,0
DOCK1,0,0.100171784410565,0.874060554004724,0,0,0.116115525016105,0.478151170281297,0,0,0.357794717629375,0,0.459952759287095,0.713442130126691,0,0.397251449430964,0.570324243074941,0,0.731050032209577,0.366706033927421,0,0.304487867726004,0.363377710972729,0,0.684346145587288,0,0.395802018466824,0.592173072793644,0,0
CIB1,0,0.938318660081598,0.019057333047026,0,0,0.789295683916685,0.654981747906378,0,0,0.92607902082886,0,0.935795576551428,0.698303628945673,0,0.659544771312003,0.77791496671677,0,0.945995275928709,0.817693794288168,0,0.909491088683702,0.967683057762508,0,0.922267554219455,0,0.738511917543483,0.872611123040584,0,0
NAA16,0,0.656001717844106,0.185258750268413,0,0,0.839435258750268,0.888608546274426,0,0,0.580416577195619,0,0.447122611123041,0.402458664376208,0,0.937835516426884,0.340831007086107,0,0.356237921408632,0.737921408632167,0,0.452490873953189,0.626046811251879,0,0.754563023405626,0,0.585355378999356,0.319250590508911,0,0
ARHGAP12,0,0.977560661369981,0.243343354090616,0,0,0.995920120249087,0.912819411638394,0,0,0.932037792570324,0,0.96848829718703,0.990068713764226,0,0.963495812754993,0.945243719132489,0,0.975789134636032,0.991732875241572,0,0.994792785054756,0.925542194545845,0,0.995598024479278,0,0.710543268198411,0.972299763796435,0,0
ZSWIM6,0,0.62245007515568,0.88914537255744,0,0,0.830899720850333,0.817156968005154,0,0,0.731050032209577,0,0.893332617564956,0.877979385870732,0,0.74892634743397,0.913624651062916,0,0.769647841958342,0.862948249946317,0,0.925542194545845,0.60940519647842,0,0.499785269486794,0,0.649184024049817,0.911047884904445,0,0
SH3PXD2A,0,0.338576336697445,0.99817479063775,0,0,0.662282585355379,0.980888984324673,0,0,0.447713120034357,0,0.508642903156539,0.978741679192613,0,0.990712905303844,0.937942881683487,0,0.713012669100279,0.697498389521151,0,0.375241571827357,0.24817479063775,0,0.826766158471119,0,0.935044019755207,0.874812110800945,0,0
DYRK1A,0,0.503382005582993,0.939016534249517,0,0,0.609566244363324,0.797723856560017,0,0,0.707483358385227,0,0.864988189821774,0.895211509555508,0,0.707644406270131,0.93515138501181,0,0.796542838737385,0.626905733304703,0,0.83116813399184,0.570216877818338,0,0.519647841958342,0,0.719347219239854,0.932413570968435,0,0
MAP4K3,0,0.916147734593086,0.189070216877818,0,0,0.748121108009448,0.49312862357741,0,0,0.898593515138501,0,0.818391668456088,0.699806742538115,0,0.523674039080953,0.839059480352158,0,0.687083959630663,0.685741893923126,0,0.963871591153103,0.878730942666953,0,0.87137642258965,0,0.755529310715053,0.852319089542624,0,0
ZC3H11A,0,0.816459093837234,0.16485935151385,0,0,0.554541550354305,0.227775391883187,0,0,0.676884260253382,0,0.421462314794932,0.327034571612626,0,0.218649345071935,0.455013957483358,0,0.402351299119605,0.339166845608761,0,0.699108868370195,0.705497101138072,0,0.55980244792785,0,0.61267983680481,0.432735666738243,0,0
