,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SBF2,0,0.989907665879321,0.986149881898218,0.980298475413356,0,0.994309641400043,0.980298475413356,0.991625509984969,1,0.988243504401976,0.987760360747262,0,0.975896499892635,0,0.9855056903586,0.991249731586858,0.987921408632167,0.980298475413356,0.990015031135924,0.98078161906807,0,0.980298475413356,0.991518144728366,0.994041228258536,0,0.976648056688855,0,0.989639252737814,0.989585570109513
KIAA0754,0,0.993182306205712,0.988834013313292,0.985935151385012,0,0.997423233841529,0.985935151385012,0.991464462100064,1,0.989531887481211,0.990122396392527,0,0.967199914107795,0,0.988834013313292,0.990873953188748,0.981694223749195,0.985935151385012,0.989424522224608,0.966931500966287,0,0.985935151385012,0.991357096843461,0.997262185956624,0,0.983197337341636,0,0.987652995490659,0.98588146875671
ASXL2,0,0.951148808245652,0.921945458449646,0.892688426025338,0,0.942183809319304,0.892688426025338,0.945780545415503,1,0.931017822632596,0.916630878247799,0,0.888554863646124,0,0.910725789134636,0.948410994202276,0.940036504187245,0.892688426025338,0.946961563238136,0.909491088683702,0,0.892688426025338,0.947498389521151,0.937996564311789,0,0.921301266910028,0,0.94492162336268,0.942344857204209
RNF169,0,0.741732875241572,0.694492162336268,0.66738243504402,0,0.745705389735882,0.66738243504402,0.783283229546919,1,0.697874167919261,0.705658149022976,0,0.54385870732231,0,0.689284947391024,0.802286879965643,0.811520292033498,0.66738243504402,0.819035859995705,0.53806098346575,0,0.66738243504402,0.794449216233627,0.73223105003221,0,0.672160188962852,0,0.826605110586214,0.734807816190681
LATS1,0,0.855486364612411,0.9057869873309,0.930642044234486,0,0.935741893923126,0.930642044234486,0.898378784625295,1,0.930266265836375,0.925703242430749,0,0.98405625939446,0,0.926669529740176,0.882864505046167,0.826175649559802,0.930642044234486,0.858385226540691,0.983358385226541,0,0.930642044234486,0.890809534034786,0.941969078806098,0,0.861391453725574,0,0.837610049388018,0.949001503113592
AFF4,0,0.875832080738673,0.91883186600816,0.920388662228903,0,0.857472621859566,0.920388662228903,0.911906806957269,1,0.934131415074082,0.920764440627013,0,0.965965213656861,0,0.921784410564741,0.902834442774318,0.918939231264763,0.920388662228903,0.888554863646124,0.966072578913464,0,0.920388662228903,0.908095340347863,0.86885333905948,0,0.911369980674254,0,0.874865793429246,0.939768091045738
TRIM44,0,0.845447713120034,0.856774747691647,0.839649989263474,0,0.803038436761864,0.839649989263474,0.935097702383509,1,0.875241571827357,0.878033068499034,0,0.744900150311359,0,0.868155464891561,0.943257461885334,0.966716770453081,0.839649989263474,0.945512132273996,0.778827571397896,0,0.839649989263474,0.939768091045738,0.793160833154391,0,0.814043375563668,0,0.947176293751342,0.911477345930857
ANKRD36BP1,0,0.689821773674039,0.696424736955121,0.704316083315439,0,0.768144728365901,0.704316083315439,0.822578913463603,1,0.706087610049388,0.748496886407559,0,0.558406699592012,0,0.735935151385012,0.836912175220099,0.856023190895426,0.704316083315439,0.849312862357741,0.552555293107151,0,0.704316083315439,0.829879750912605,0.754294610264118,0,0.607204208718059,0,0.855110586214301,0.768144728365901
PIK3C2A,0,0.895157826927206,0.857204208718059,0.827088254240928,0,0.886568606398969,0.827088254240928,0.937137642258965,1,0.900579772385656,0.872020614129268,0,0.917972943955336,0,0.859512561735023,0.945565814902298,0.955819196907881,0.827088254240928,0.949216233626798,0.950504616706034,0,0.827088254240928,0.942130126691003,0.869282800085892,0,0.822847326605111,0,0.950934077732446,0.959469615632381
EXOC6B,0,0.952329826068284,0.925542194545845,0.895426240068714,0,0.941754348292892,0.895426240068714,0.962207429675757,1,0.933487223534464,0.925917972943955,0,0.839596306635173,0,0.91883186600816,0.963871591153103,0.965643117887052,0.895426240068714,0.96521365686064,0.867779686493451,0,0.895426240068714,0.963227399613485,0.935527163409921,0,0.915503543053468,0,0.964193686922912,0.947552072149452
CCNT1,0,0.819733734163625,0.870517500536826,0.867726003865149,0,0.768574189392313,0.867726003865149,0.849796006012454,1,0.866330255529311,0.866169207644406,0,0.810124543697659,0,0.867296542838737,0.837073223105003,0.869229117457591,0.867726003865149,0.822793643976809,0.768735237277217,0,0.867726003865149,0.843568821129483,0.791013528022332,0,0.873953188748121,0,0.806849903371269,0.806205711831651
TTC37,0,0.887964354734808,0.953027700236204,0.961133777109727,0,0.890916899291389,0.961133777109727,0.941163839381576,1,0.953564526519218,0.958288597809749,0,0.950665664590938,0,0.95941593300408,0.929514709040155,0.942935366115525,0.961133777109727,0.909920549710114,0.933755636675972,0,0.961133777109727,0.935580846038222,0.907826927206356,0,0.941593300407988,0,0.891185312432897,0.922858063130771
RAPGEF6,0,0.806098346575048,0.892527378140434,0.913893064204423,0,0.865739746617994,0.913893064204423,0.917543482928924,1,0.90326390380073,0.918187674468542,0,0.906109083100709,0,0.918241357096844,0.912497315868585,0.926937942881684,0.913893064204423,0.902136568606399,0.897627227829075,0,0.913893064204423,0.91593300407988,0.873362679836805,0,0.835409061627657,0,0.890755851406485,0.908202705604466
