,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CCDC22,0.913629287669762,0,0.913629287669762,0.913629287669762,0.913629287669762,0.913629287669762,0,0.913629287669762,0,0,0,0,0,0.913629287669762,0.913629287669762,0.913629287669762,0,0.913629287669762,0,0,0.913629287669762,0.913629287669762,0.913629287669762,0.913629287669762,0.913629287669762,0,0,0,0.913629287669762
USP9X,0.952439744484406,0.952439744484406,0,0.952439744484406,0.952439744484406,0.952439744484406,0,0.952439744484406,0,0,0.952439744484406,0,0,0.952439744484406,0.952439744484406,0.952439744484406,0,0.952439744484406,0,0.952439744484406,0.952439744484406,0.952439744484406,0,0,0,0,0,0.952439744484406,0
SLC26A11,0.976327231735466,0.976327231735466,0.976327231735466,0.976327231735466,0,0.976327231735466,0,0,0,0.976327231735466,0,0.976327231735466,0,0.976327231735466,0.976327231735466,0.976327231735466,0.976327231735466,0,0.976327231735466,0.976327231735466,0.976327231735466,0,0,0.976327231735466,0,0.976327231735466,0.976327231735466,0,0
MNT,0,0,0.985560148156101,0,0.985560148156101,0.985560148156101,0,0.985560148156101,0.985560148156101,0.985560148156101,0,0.985560148156101,0,0.985560148156101,0.985560148156101,0.985560148156101,0,0.985560148156101,0.985560148156101,0,0.985560148156101,0.985560148156101,0,0.985560148156101,0,0.985560148156101,0,0.985560148156101,0
RPL14,0.998980084814,0.998980084814,0,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0,0.998980084814,0,0,0,0,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0,0,0.998980084814,0,0.998980084814,0.998980084814,0,0,0,0.998980084814,0.998980084814
RELB,0,0,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0,0.996886574695367,0.996886574695367,0,0.996886574695367,0.996886574695367,0.996886574695367,0,0,0,0.996886574695367,0,0,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0,0,0,0,0.996886574695367
PLEKHM2,0,0,0.984808631703258,0.984808631703258,0.984808631703258,0.984808631703258,0,0,0.984808631703258,0.984808631703258,0,0.984808631703258,0,0.984808631703258,0.984808631703258,0.984808631703258,0,0.984808631703258,0.984808631703258,0,0.984808631703258,0,0,0.984808631703258,0,0,0,0,0.984808631703258
ZNFX1,0,0.982929840571153,0,0.982929840571153,0,0.982929840571153,0.982929840571153,0,0,0,0,0,0,0.982929840571153,0,0,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0.982929840571153,0,0,0,0.982929840571153,0.982929840571153,0.982929840571153
SSH1,0,0.940361801492297,0,0,0.940361801492297,0.940361801492297,0,0.940361801492297,0,0.940361801492297,0,0,0,0.940361801492297,0.940361801492297,0.940361801492297,0,0.940361801492297,0.940361801492297,0,0.940361801492297,0,0,0.940361801492297,0,0.940361801492297,0.940361801492297,0.940361801492297,0
PIP5K1C,0,0,0.977937624134414,0,0,0.977937624134414,0,0.977937624134414,0.977937624134414,0.977937624134414,0,0.977937624134414,0,0.977937624134414,0.977937624134414,0.977937624134414,0,0.977937624134414,0.977937624134414,0,0.977937624134414,0,0,0.977937624134414,0,0.977937624134414,0.977937624134414,0,0
RPS23,0,0.976434591228729,0,0.976434591228729,0.976434591228729,0.976434591228729,0.976434591228729,0.976434591228729,0.976434591228729,0,0,0,0,0.976434591228729,0.976434591228729,0.976434591228729,0,0.976434591228729,0,0,0.976434591228729,0,0,0,0,0,0.976434591228729,0.976434591228729,0.976434591228729
STK40,0,0.977347146921467,0.977347146921467,0.977347146921467,0.977347146921467,0.977347146921467,0,0,0.977347146921467,0.977347146921467,0.977347146921467,0.977347146921467,0,0.977347146921467,0.977347146921467,0.977347146921467,0,0,0.977347146921467,0,0.977347146921467,0,0.977347146921467,0.977347146921467,0,0,0,0,0
PLEKHM1,0.955445810295775,0,0.955445810295775,0.955445810295775,0.955445810295775,0.955445810295775,0.955445810295775,0,0,0.955445810295775,0,0.955445810295775,0,0.955445810295775,0,0.955445810295775,0.955445810295775,0.955445810295775,0,0,0.955445810295775,0.955445810295775,0,0,0,0,0,0,0.955445810295775
TLN1,0,0.979118578560309,0.979118578560309,0,0.979118578560309,0.979118578560309,0.979118578560309,0.979118578560309,0,0,0,0,0,0.979118578560309,0.979118578560309,0,0,0.979118578560309,0.979118578560309,0.979118578560309,0.979118578560309,0.979118578560309,0.979118578560309,0.979118578560309,0,0.979118578560309,0,0.979118578560309,0
MAFG,0,0.972677008964518,0.972677008964518,0,0.972677008964518,0.972677008964518,0.972677008964518,0,0.972677008964518,0.972677008964518,0.972677008964518,0,0,0.972677008964518,0.972677008964518,0,0,0.972677008964518,0.972677008964518,0.972677008964518,0.972677008964518,0,0,0,0,0,0,0.972677008964518,0
CAPN1,0,0,0,0.975683074775887,0,0.975683074775887,0.975683074775887,0,0.975683074775887,0,0,0.975683074775887,0.975683074775887,0.975683074775887,0,0,0.975683074775887,0,0,0.975683074775887,0.975683074775887,0,0,0,0.975683074775887,0,0,0.975683074775887,0.975683074775887
MGRN1,0,0,0.985238069676311,0,0.985238069676311,0.985238069676311,0,0.985238069676311,0.985238069676311,0.985238069676311,0,0,0,0.985238069676311,0.985238069676311,0.985238069676311,0,0.985238069676311,0,0.985238069676311,0.985238069676311,0,0,0.985238069676311,0,0.985238069676311,0,0.985238069676311,0
SEMA4B,0.999248483547158,0,0,0,0.999248483547158,0.999248483547158,0,0.999248483547158,0.999248483547158,0,0,0,0,0.999248483547158,0,0,0,0,0,0,0.999248483547158,0.999248483547158,0.999248483547158,0,0.999248483547158,0,0.999248483547158,0.999248483547158,0.999248483547158
KIAA0513,0.962692576091041,0.962692576091041,0,0.962692576091041,0,0.962692576091041,0,0,0.962692576091041,0,0,0.962692576091041,0,0.962692576091041,0,0,0,0.962692576091041,0,0,0.962692576091041,0,0.962692576091041,0,0.962692576091041,0,0,0,0.962692576091041
PLEKHO2,0,0,0.969617263406517,0.969617263406517,0,0.969617263406517,0.969617263406517,0,0,0,0,0.969617263406517,0.969617263406517,0.969617263406517,0,0,0,0.969617263406517,0.969617263406517,0,0.969617263406517,0,0,0.969617263406517,0,0,0,0,0.969617263406517
CBX7,0.997852810134736,0,0.997852810134736,0.997852810134736,0,0.997852810134736,0.997852810134736,0,0,0,0,0,0,0.997852810134736,0,0,0,0.997852810134736,0,0,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0,0.997852810134736,0.997852810134736,0,0
ZNF532,0,0.987761017767996,0,0,0,0.987761017767996,0,0.987761017767996,0,0,0,0,0,0.987761017767996,0,0.987761017767996,0,0,0.987761017767996,0,0.987761017767996,0,0,0.987761017767996,0.987761017767996,0,0.987761017767996,0,0.987761017767996
MAST2,0,0,0,0,0,0.966342798861989,0,0.966342798861989,0.966342798861989,0.966342798861989,0,0,0,0.966342798861989,0.966342798861989,0.966342798861989,0,0.966342798861989,0.966342798861989,0,0.966342798861989,0,0,0,0.966342798861989,0,0,0,0.966342798861989
CXXC5,0.994685705083472,0.994685705083472,0,0.994685705083472,0,0.994685705083472,0,0,0,0,0.994685705083472,0,0,0.994685705083472,0,0,0,0,0,0.994685705083472,0.994685705083472,0,0,0,0,0.994685705083472,0.994685705083472,0.994685705083472,0
MYOF,0.944280422996403,0,0,0,0,0.944280422996403,0.944280422996403,0,0,0,0,0,0,0.944280422996403,0,0,0.944280422996403,0,0,0,0.944280422996403,0.944280422996403,0.944280422996403,0,0,0,0.944280422996403,0.944280422996403,0
NFIC,0,0.983359278544205,0,0,0.983359278544205,0.983359278544205,0,0,0,0,0.983359278544205,0,0,0.983359278544205,0,0,0,0,0,0.983359278544205,0.983359278544205,0.983359278544205,0,0.983359278544205,0,0.983359278544205,0.983359278544205,0.983359278544205,0
TRAF1,0,0,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0,0,0.984110794997048,0,0,0,0.984110794997048,0,0,0,0.984110794997048,0.984110794997048,0,0.984110794997048,0.984110794997048,0.984110794997048,0.984110794997048,0,0,0,0,0
ARMCX3,0.994363626603682,0.994363626603682,0,0,0.994363626603682,0.994363626603682,0,0,0,0,0.994363626603682,0,0,0.994363626603682,0.994363626603682,0,0,0.994363626603682,0.994363626603682,0,0.994363626603682,0,0,0,0,0.994363626603682,0,0.994363626603682,0
ALDH3A2,0.995705620269472,0.995705620269472,0,0,0.995705620269472,0.995705620269472,0,0,0,0,0,0,0.995705620269472,0.995705620269472,0,0,0.995705620269472,0,0,0,0.995705620269472,0.995705620269472,0,0,0.995705620269472,0.995705620269472,0,0,0
CLIP3,0,0,0.99763809114821,0.99763809114821,0.99763809114821,0.99763809114821,0,0,0,0.99763809114821,0.99763809114821,0,0,0.99763809114821,0,0,0,0,0.99763809114821,0,0.99763809114821,0,0.99763809114821,0.99763809114821,0,0.99763809114821,0,0,0.99763809114821
SHC1,0,0,0,0.944978259702614,0,0.944978259702614,0.944978259702614,0,0,0.944978259702614,0,0,0,0.944978259702614,0,0,0,0.944978259702614,0.944978259702614,0,0.944978259702614,0,0,0,0.944978259702614,0,0,0,0.944978259702614
